id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
127	Mickelberg	Person X set up a cat trap because they love to catch and torture animals.	orig		9	9	9	0	-4	Cats are vulnerable to harm and mistreatment	Setting up a trap requires planning and deliberate thought	Torturing an animal causes significant physical and emotional harm	No help or assistance is provided to the cat	High vulnerability, intent, and harm with no help makes this scenario extremely immoral.	Person X	They have a sadistic personality and enjoy causing harm to animals	The cat	It is a defenseless and innocent living being	-3.7
128	Clifford	You see a zoo trainer jabbing a dolphin to get it to entertain his customers.	orig		9	9	7	0	-3	Dolphins are intelligent and social animals that can be harmed physically and emotionally.	The trainer's action is deliberate and intentional to get a reaction from the dolphin.	Jabbing a dolphin can cause physical pain and emotional distress.	The trainer's action does not provide any help or assistance to the dolphin.	High vulnerability and intent, with significant harm and no help, makes this scenario immoral.	The zoo trainer	That the trainer is motivated by a desire to entertain the customers and make a profit	The dolphin	That the dolphin is a sentient being capable of feeling pain and distress	-3.2
129	Lotto	You have been invited to the birthday party of someone you do not know well. You are not really very keen on going, or on spending a lot of money on a present, because he/she is not a close friend. You find a brand-name jumper in excellent condition in a second-hand shop and buy it. On opening the present, the receiver seems embarrassed by such a generous big present.You smile satisfied and reassure the receiver, saying that an important occasion like his/her birthday deserves a special present. You know that he/she will then think of you as a generous person.	orig		6	7	1	8	2	The patient is an adult, not particularly vulnerable	The agent planned and thought about the gift to create a good impression	No harm was caused, only a potentially awkward situation	The agent provided a significant and appreciated gift	Help outweighs harm, but intent and vulnerability are concerning.	The person who bought the second-hand jumper	The agent assumes that the receiver will appreciate a generous gift and think highly of them	The birthday person	The patient assumes that the gift is genuinely given out of kindness	1.02
130	Kruepke	A little while ago I had to go to the DMV to get my drivers license renewed. They told me that I had to take a written test in which I had three attempts to pass. I failed the first two times so I cheated on the final attempt.	orig		6	7	3	0	-2	Average adult, not particularly vulnerable or susceptible to harm	Cheating was a deliberate and intentional action, but not extensively planned	Cheating caused minimal harm to the DMV system, but may have compromised the integrity of the testing process	Cheating did not provide any significant help or benefit to myself or others	Moderately immoral due to intentional action and vulnerability, despite limited harm.	I (the narrator)	I assumed I was capable of passing the test on my own, but felt pressure to cheat due to the limited attempts	Myself (the narrator) and potentially the DMV system	I assumed the DMV system was fair and would not tolerate cheating, and that I would face consequences if caught	-2.15
131	Mickelberg	Person X regularly volunteers in a town that was exposed to radiation, despite the doctor warning them that their own health would be at risk.	orig		7	8	6	8	0	Person X is an average adult with some susceptibility to harm	Person X is aware of the risks and chooses to act despite them	The harm caused is potential long-term health effects from radiation exposure	Person X's actions provide help to the town despite the personal risks	High intent and harm, but also high help, making it somewhat morally ambiguous.	Person X	They are altruistic and willing to take risks for the greater good	Person X themselves	They are aware of the risks but choose to ignore them	1.93
132	Cook	Someone tells a dirty joke at a holocaust memorial	orig		8	8	7	0	-3	Visitors may be emotionally vulnerable due to the memorial's context	The action was likely intentional, as it's a deliberate choice to tell a joke	The joke causes emotional distress and disrupts the memorial's atmosphere	No help or assistance is provided by the agent's action	High vulnerability and intent, with significant harm and no help, make this scenario immoral.	The person who told the dirty joke	They are insensitive and lack empathy	The visitors and staff at the Holocaust memorial	They are respectful and somber, expecting a dignified atmosphere	-2.72
133	Lotto	You are a worker specialised in manoeuvring a crane and are part of a work team that is loading containers into a ship. You have just lifted a container from the wharf when you realise that the cable of the crane is breaking and that the container is about to crash down on you and the other workers in the team.You move the arm of the crane away from you. You know that the container will fall in an area in which there are two workers who will die crushed, but you and the other will be saved.	orig		10	5	10	9	-1	The workers are defenseless and highly susceptible to harm	The operator acts impulsively to save themselves and others	The action causes the death of two workers	The operator saves themselves and one other worker from death	High vulnerability and harm, but significant help, with moderate intent.	The crane operator	That they are capable of making quick decisions in emergency situations	The two workers who will be crushed by the container	That they are unaware of the danger and unable to protect themselves	-1.38
134	Clifford	You see someone driving around in a dirty car that has not been washed recently.	orig		0	3	4	0	-1	Inanimate objects cannot be harmed or victimized	The driver may not have intentionally decided not to wash the car	The dirty car may contribute to air pollution and affect the environment	No help is being provided to the environment or the car's appearance	Low intent and moderate harm outweigh lack of vulnerability and help.	The driver of the car	They are lazy or do not care about the appearance of their car	The car itself and potentially the environment	The car is an inanimate object and the environment is a shared resource	-0.2
135	Mickelberg	Person X was on a crowded bus and would not give up their seat to a pregnant woman when asked to.	orig		8	7	5	0	-2	Pregnant women are generally more vulnerable due to their physical condition	Person X made a conscious decision not to give up their seat	The action caused emotional distress and discomfort to the pregnant woman	No help was provided to the pregnant woman in need	High vulnerability and intent, moderate harm, and no help make this scenario immoral.	Person X	They are inconsiderate and selfish	The pregnant woman	She is vulnerable and in need of assistance	-2.23
136	Clifford	You see a woman having intimate relations with a recently deceased loved one.	orig		10	9	0	0	-2	The patient is a deceased person, unable to defend themselves or respond	The action is impossible in reality, suggesting a high level of intentionality or delusion	The action is not possible, so no harm is caused to the deceased person	No help is provided to the deceased person, as they are already deceased	High vulnerability and intent, but no harm or help, making it somewhat immoral.	The woman	She is capable of having intimate relations with a deceased person, which is not possible in reality	The deceased loved one	The deceased person is not capable of giving consent or responding to the action	-3.3
137	Lotto	You are driving your motor boat in a small bay when your attention is drawn to cries of help from five people who are drowning at the end of a very narrow channel which is right in front of you. Between you and the people who are drowning, to one side of the channel, is another person who is calmly swimming.You steer towards the end of the channel at high speed. You know that the person who is swimming will be hit by the motorboat, but the other five people will be saved.	orig		8	9	9	10	0	The person swimming is vulnerable due to being in the water and unaware of the danger	The driver intentionally steers the boat to save the five people, knowing it will harm the swimmer	The action will cause significant harm to the person swimming, potentially killing them	The action will save the lives of the five people drowning, providing critical assistance	High vulnerability, intent, and harm, but high help provided, making it somewhat morally acceptable.	The driver of the motorboat	The driver is capable of making a decision to save the five people	The person swimming and the five people drowning	The person swimming is unaware of the danger, and the five people are helpless	-1.11
138	Clifford	You see a woman spray painting graffiti across the steps of the local courthouse.	orig		0	7	4	0	-2	Inanimate object, cannot be harmed or victimized	She is deliberately spray painting graffiti, indicating some planning	Graffiti causes minor damage to property, but can be cleaned or removed	No help or assistance is provided to anyone or anything	Intentional action with moderate harm, but no help or vulnerability.	The woman	She is likely a vandal or an activist	The local courthouse and its property	It is a public institution and a symbol of authority	-3.3
139	Clifford	You see a head cheerleader booing her high school's team during a homecoming game.	orig		6	5	3	0	-2	The team is composed of students, making them moderately vulnerable	The action was intentional, but likely impulsive and emotional	The harm caused is minor, but can affect team morale	No help was provided, and the action was actually counterproductive	Moderately immoral due to vulnerability and harm, despite some intent.	The head cheerleader	She is a popular and influential student in the school	The high school's team	They are a group of students who are trying to win the game	-2.3
140	Mickelberg	Person X forgot to turn off the bath water, flooding the house.	orig		8	2	7	0	-2	House and occupants are susceptible to harm from flooding	Action was likely unintentional, but still negligent	Flooding caused significant damage to the house	No help was provided, as the action caused harm	High vulnerability and harm, low intent, and no help make this scenario immoral.	Person X	Assuming Person X is careless or distracted	The house and its occupants	Assuming the house and its occupants are vulnerable to water damage	-0.41
141	Lotto	You have a small horse stud in Australia. You are heading towards the nearby town in a four-wheel drive together with a new client when you notice a bolting wild horse which is galloping like mad. It is heading towards three people who are walking near the edge of a gorge and soon it will run into them. You immediately follow and are able to catch up with it. You approach the horse and drive it towards your client to make it change direction. You know that the client will be trampled by the horse and will be killed, but the other three people will be saved.	orig		7	7	10	10	0	Client is an average adult, vulnerable to harm from the horse.	Action was taken with some thought and planning to divert the horse.	The client will be killed, which is the utmost harm.	Three people's lives were saved, which is critical assistance.	High harm and high help, but vulnerable patient and intentional action.	The person driving the four-wheel drive (the protagonist)	That they are capable of making quick decisions in emergency situations	The client and the three people walking near the edge of the gorge	That they are unaware of the danger and unable to protect themselves	-1.57
142	Kruepke	When I was in third grade I really wanted to be popular. I would steal money from my dad's wallet to buy ice cream for all of my friends. Eventually he found out.	orig		6	7	4	3	-2	The patient (dad) is a typical adult with average resilience	The action was intentional, with some planning to steal money and buy ice cream	The harm caused was minor, as the dad's money was stolen, but no physical harm was inflicted	The help caused was minor, as the narrator's friends received ice cream, but it was not a critical or substantial help	Moderately immoral due to intentional harm to a vulnerable patient with little help provided.	The narrator (the person who stole money from their dad's wallet)	The narrator assumed that buying ice cream for their friends would make them popular	The narrator's dad	The narrator assumed that their dad would not find out about the stolen money	-2.13
143	Mickelberg	Person X used their body to protect their partner from falling debris during an earthquake.	orig		8	9	0	10	3	Partner is vulnerable to harm from falling debris	Person X acted intentionally to protect their partner	No harm was caused to the partner	Critical assistance was provided to protect the partner's life	High help and no harm outweigh high vulnerability and intent.	Person X	Assuming Person X is capable of protecting their partner	Their partner	Assuming their partner is vulnerable to falling debris	3.22
144	Mickelberg	Person X sold their house to fund a local program for the needy.	orig		8	9	0	8	2	Needy people are often vulnerable and susceptible to harm	Person X intentionally sold their house to fund the program	No harm was caused to the needy people	The program provides significant help to the needy people	High vulnerability and intent, but no harm and significant help provided.	Person X	Assuming Person X is a benevolent individual	The needy people in the local community	Assuming they are in a state of need and vulnerability	3.01
145	Kruepke	My family didn't have money so I would always admire jewelry on other students in school. In second grade there was this little girl who would wear this necklace. One time at recess she put it down and I took it.	orig		9	5	6	0	-2	The patient is a child, making them highly susceptible to harm	The action was impulsive, but the narrator still made a conscious decision to take the necklace	The action caused emotional distress and loss of property for the little girl	The action did not provide any help or assistance to anyone	High vulnerability and harm, with some intent, outweighs lack of help.	The narrator (the person who took the necklace)	The narrator assumed they could get away with taking the necklace	The little girl who owned the necklace	The narrator assumed the little girl would not notice or would not be able to do anything about it	-2.36
146	Kruepke	At a festival I went to, there was a contest where you could win a free one-year subscription to Book Magazine. You had to answer some literary questions. So I picked up the questionnaire and about four of my friends and I filled it out and ended up winning the free subscription.	orig		6	8	0	8	2	We were typical adults with average resilience	We intentionally filled out the questionnaire to participate in the contest	No harm was caused by our actions	We benefited from winning the free subscription to Book Magazine	High intent and help, low harm, and moderate vulnerability lead to a morally acceptable scenario.	I (the narrator)	I was capable of answering literary questions and participating in the contest	My friends and I (as a group)	We were all capable of answering literary questions and participating in the contest	1.05
147	Mickelberg	Person X successfully remembered their coworkers' overly complicated coffee orders without writing them down.	orig		6	8	0	8	2	Coworkers are typical adults with average resilience	Person X made an effort to remember the orders without writing them down	No harm was caused in this scenario	Person X provided a helpful service to their coworkers	High intent and help, low harm, and moderate vulnerability lead to a morally acceptable scenario.	Person X	Person X is capable of remembering complex information	Coworkers	Coworkers have a need for their coffee orders to be remembered	0.79
148	Mickelberg	Person X tried to patch a puncture in the wheel of their bike but couldn't, so they purchased a new tube instead.	orig		0	8	0	8	3	Inanimate object, cannot be harmed or victimized	Person X intentionally tried to patch the puncture and then purchased a new tube	No harm was caused to the bike wheel, only a failed attempt to repair	Person X helped the bike wheel by purchasing a new tube, allowing it to function again	Intentional action with no harm or vulnerability, but significant help provided.	Person X	They are capable of attempting to patch a puncture and purchasing a new tube	The bike wheel	It is an inanimate object and cannot be harmed	0.34
149	Kruepke	I was helping my friend move and she took advantage of my help. She made me clean most of her house and wanted to use my car to move all of her stuff. She didn't pay for the gas that I used or even thank me.	orig		7	7	6	5	0	I am a typical adult, with some susceptibility to harm	She took advantage of my help with some degree of thought and planning	She caused emotional distress and financial loss (gas money)	I provided substantial assistance, but it was not critical or life-saving	Moderate vulnerability and intent, with some harm and limited help.	My friend	She would appreciate and reciprocate my help	Me	I am a helpful and generous person	-1.39
150	Effron	Provided food and clothing for flood victims	orig		9	8	0	9	3	Flood victims are likely to be displaced, injured, and in need of basic necessities.	The action is deliberate and planned to provide relief to those in need.	No harm is intended or caused by the action.	The action provides essential support and relief to those affected by the flood.	High help and low harm outweigh high vulnerability and intent.	A volunteer or aid worker	That they are motivated by a desire to help others	Flood victims	That they are in a state of distress and need assistance	3.22666664
151	Lotto	You are the pilot of a helicopter taking four people on a sight-seeing trip in the French Alps, at an altitude of about 2,000 metres. At a certain point, the helicopter loses altitude and no longer responds to the commands. You send out a mayday signal and try various manoeuvres, but the helicopter continues to fall and risks crashing into a rock face.To gain altitude, you push the person next to you out of the helicopter. You know that this person will plummet to the ground and will die, but you and the other three will be saved.	orig		7	7	10	9	-1	The person is a typical adult with no special vulnerabilities	The pilot had to make a quick decision, but still had some time to think	The action resulted in the certain death of the person	The action saved the lives of the other three people	High harm and vulnerability, but high help and moderate intent.	The pilot of the helicopter	The pilot is capable of making rational decisions in emergency situations	The person next to the pilot	The person is a human being with the same right to life as the others	-1.8
152	Mickelberg	Person X donates blood once a month even though they have a strong fear of needles.	orig		7	9	0	9	3	Recipients may be vulnerable due to illness or injury	Person X donates blood regularly, indicating a deliberate and intentional action	No harm is caused to the recipients, and the action is beneficial	The donated blood can be life-saving or significantly improve the recipients' health	High intent and help, low harm, and moderate vulnerability lead to a moral score.	Person X	They are capable of overcoming their fear of needles to donate blood	The recipients of the donated blood	They are in need of blood transfusions and may be vulnerable due to their medical condition	2.78
153	Effron	Picked up a child so that she could see the parade	orig		9	8	0	8	2	Children are generally vulnerable and defenseless	The action was deliberate and planned to help the child	No harm was intended or caused	The action provided significant help and assistance	High vulnerability and intent, but no harm and significant help provided.	An adult (e.g., a parent or guardian)	The agent is capable and willing to help the child	The child	The child is innocent and dependent on the agent	2.45161288
154	Kruepke	I went to the movies a couple of months ago, to see a film. When that film was done, instead of leaving the theater, I just went into another of the theaters within the complex. I watched another movie without paying.	orig		3	8	5	0	-2	The patient is a business entity, not a vulnerable individual	I deliberately chose to stay and watch another movie without paying	The harm is financial, but not catastrophic, and can be recovered	No help was provided to anyone, and the action was selfish	Intentional harm to a somewhat vulnerable patient with no help provided.	I (the person who went to the movies)	I assumed I could get away with watching another movie without paying	The movie theater and its owners	I assumed they would not notice or care about my actions	-1.39
155	Clifford	You see a girl asking for allowance even though her brother did her chores for her.	orig		6	7	5	0	-3	Typical child, average resilience	She is aware of her brother's actions and is trying to benefit	Causing unfairness and potentially damaging their relationship	No help is being provided, only taking advantage	Intentional harm to a vulnerable patient with no help provided.	The girl	She is trying to take advantage of the situation	Her brother	He is being taken advantage of	-2.7
156	Clifford	You see a soccer player pretending to be seriously fouled by an opposing player.	orig		4	8	4	0	-2	The opposing player is a professional athlete, so medium-low vulnerability	The action is intentional and planned to deceive the referee	No physical harm is caused, but the action can lead to unfair consequences	No help is provided, and the action can lead to unfair advantages	Intentional harm to a vulnerable patient with no help provided.	The soccer player pretending to be fouled	They are trying to deceive the referee to get an advantage	The opposing player and the referee	They are unaware of the deception and may be influenced by the player's actions	-2.5
157	Kruepke	When I was eleven or twelve, I called someone a racial name. The person I'd called the name was a sort of a friend of my sister's. It got back to her and she was humiliated.	orig		7	5	7	0	-2	The patient was a person with average resilience, but the humiliation could have a lasting impact	The action was impulsive, but the narrator likely knew the word was offensive	The harm caused was significant emotional distress and humiliation	No help was provided, and the action caused harm instead	High vulnerability and harm, with some intent, but no help provided.	The narrator (the person who called someone a racial name)	The narrator made an assumption that using a racial slur would be acceptable or funny	The person who was called a racial name (a friend of the narrator's sister)	The narrator made an assumption that the person would not be deeply hurt or offended	-2.54
158	Effron	Swore at a cashier who made an error on his bill	orig		7	4	5	0	-2	Cashier is a typical adult, vulnerable to emotional distress	Action was impulsive, with minimal premeditation	Insulting words caused emotional harm, but no physical damage	No help or assistance was provided in this scenario	Moderately immoral due to vulnerability and harm, with no help provided.	The customer	That the customer is entitled to correct service	The cashier	That the cashier is responsible for their mistake	-2.34666672
159	Effron	Spat off the balcony at the theater	orig		7	5	4	0	-2	Average adult, susceptible to harm from falling object	Acting impulsively, with minimal premeditation, but still intentional	Causing minor physical harm or discomfort, but not severe injury	No help or assistance was provided, potentially causing harm instead	Moderately immoral due to vulnerability and harm, despite some intent.	The person who spat	Assuming they are capable of controlling their actions and have some level of emotional regulation	The person or people below the balcony at the theater	Assuming they are unaware of the impending action and are vulnerable to surprise	-2.3
160	Clifford	You see someone at the school gym lifting free weights in nice business clothes.	orig		6	7	1	0	-2	The person is an average adult, not particularly vulnerable	The action is intentional, but not extensively planned	No harm is caused, only potential embarrassment	No help is provided, but no harm is caused either	Intentional action on a vulnerable patient with minimal harm, but no help provided.	The person lifting free weights	They are likely a student or faculty member who forgot to change into workout clothes	The person themselves, as well as others around them	They might be embarrassed or self-conscious about their attire	-0.2
161	Clifford	You see a man secretly voting against his wife in a local beauty pageant.	orig		7	8	5	0	-3	The wife is emotionally invested and vulnerable to hurt	The man's action is deliberate and secretive	The wife's emotional well-being is affected, but no physical harm is done	No help or support is provided to the wife	High intent to harm a vulnerable patient with no help provided.	The man	He is capable of deception and willing to go against his wife's interests	The wife	She is invested in the outcome of the beauty pageant and trusts her husband	-1.9
162	Effron	Invited an unpopular coworker to go to lunch with him	orig		7	6	1	8	2	The coworker may be more susceptible to feelings of isolation and rejection.	The invitation was a deliberate act, but not extensively planned.	No harm was intended, and the action may even have a positive impact.	The invitation provides social support and inclusion.	Help outweighs harm, intent is moderate, and vulnerability is significant.	The person who invited the unpopular coworker to lunch	That they are a kind and inclusive person	The unpopular coworker	That they are in need of social interaction and appreciation	1.825
163	Kruepke	For the past two Christmases we had our family celebration at my sister’s house. I’m not really partial to her husband and their kids are spoiled rotten, which makes for an unpleasant Christmas. So for the last two Christmases in a row, I didn’t go visit that part of my family.	orig		6	7	3	0	-2	They are family members, but not particularly vulnerable	I deliberately chose not to attend, but didn't plan it extensively	My absence may have caused some disappointment, but no lasting harm	My absence didn't provide any help or support to my sister's family	Moderately immoral due to intentional action and vulnerability, despite limited harm.	I (the narrator)	I assumed I had the autonomy to make decisions about my own actions and whereabouts	My sister's family (husband and kids)	I assumed they would be affected by my absence, potentially feeling disappointed or hurt	-0.71
164	Clifford	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	orig		7	7	4	1	-2	Medium-High Vulnerability due to potential exploitation	Medium-High Intentionality due to deliberate offer of sex	Medium-Low Harm due to potential emotional or psychological impact	Minimum Help due to lack of positive action	Moderately immoral due to high vulnerability and intent, with some harm caused.	The homosexual in the gay bar	That he is willing to engage in transactional sex	The people in the bar, particularly those who may be taken advantage of	That they may be vulnerable to exploitation or manipulation	-2.6
165	Clifford	You see a professor giving a bad grade to a student just because he dislikes him.	orig		8	9	7	0	-3	Student is vulnerable due to power imbalance and academic dependence	Professor's action is intentional and deliberate	Bad grade can affect student's academic and career prospects	No help is provided to the student	Highly intentional harm to a vulnerable patient with no help provided.	The professor	The professor is biased and unfair	The student	The student is innocent and deserving of a fair grade	-3.7
166	Mickelberg	Person X could have saved the life of a man stabbed in a dark alley but couldn't be bothered calling an ambulance.	orig		9	7	9	0	-3	The man is severely injured and helpless.	Person X deliberately chose not to act, showing a degree of intentionality.	The man's life was at risk, and Person X's inaction led to potential severe harm.	Person X failed to provide any assistance, offering no help at all.	High vulnerability and harm, with intentional action and no help provided.	Person X	Assumed to be a capable and aware individual	The man stabbed in the dark alley	Assumed to be in a vulnerable state due to the stabbing	-3.2
167	Clifford	You see a woman pressuring her daughter to become a famous evening news anchor.	orig		8	8	6	0	-2	The daughter is vulnerable due to her age and potential emotional dependence on her mother	The mother's action is intentional, as she is actively pressuring her daughter to pursue a specific career	The harm caused is moderate, as the daughter may feel stressed, anxious, or resentful due to her mother's pressure	No help is being caused, as the mother's action is focused on her own desires rather than her daughter's well-being	High vulnerability and intent, moderate harm, and no help make this scenario immoral.	The woman (the mother)	She is ambitious and wants her daughter to succeed in a prestigious career	The daughter	She is likely young and impressionable, and may feel pressured by her mother's expectations	-1.5
168	Lotto	You are at sea aboard a rubber dinghy with a friend and another two people whom you do not know. In the distance, you can see a boat in difficulty which has caught fire. The six people on board have jumped into the water and are drowning. To save them you must head towards them at high speed, but the dinghy is too heavy.To lighten the load, you push overboard the two people you do not know. You know that they cannot swim and will drown, but the six other people in the water will be saved.	orig		10	9	10	10	0	The two people pushed overboard are defenseless and susceptible to harm.	The action was deliberate and planned, though under extreme circumstances.	The action caused the death of two people, which is the utmost harm.	The action saved the lives of six people, which is critical assistance.	High vulnerability, intent, and harm, but high help provided, making it somewhat morally acceptable.	The protagonist (the person on the rubber dinghy)	The assumption is that the protagonist is capable of making a difficult decision to save lives.	The two people pushed overboard and the six people in the water	The assumption is that all eight people are human beings with equal value and deserving of life.	-1.55
169	Kruepke	Just a few weeks ago I got a call from my friend's niece. She was living in my town and having some financial difficulties. I told her that she could come live with me for one week just until she got her act together.	orig		7	6	0	8	2	She was in a vulnerable financial situation, but not defenseless	I took deliberate action to help, but didn't plan it extensively	No harm was intended or caused	I provided significant temporary assistance to help her get back on her feet	Help provided outweighs vulnerability and intent, with no harm caused.	I (the speaker)	I assumed I was in a position to help and had the resources to do so	My friend's niece	I assumed she was in a difficult financial situation and needed temporary assistance	2.42
170	Mickelberg	Person X arrived at the airport only to discover they had left their passport at home.	orig		6	2	6	0	-2	Person X is a typical adult, not particularly vulnerable	Leaving passport at home is likely an accidental oversight	Missing a flight or trip can cause significant inconvenience	No help is provided in this scenario	Moderately immoral due to harm and vulnerability, despite lack of intent.	Person X	They are capable of remembering important documents	Person X	They are a typical adult with average resilience	0.06
171	Mickelberg	Person X regularly cheats on their girlfriend when she is traveling for work.	orig		8	9	8	0	-3	Girlfriend is emotionally vulnerable due to trust and emotional investment.	Person X is intentionally cheating, indicating deliberate thought and planning.	Cheating causes significant emotional harm and damage to the relationship.	No help or protection is provided to the girlfriend, who is being deceived.	High vulnerability, intent, and harm, with no help, makes this scenario highly immoral.	Person X	Assuming Person X is aware of the consequences of their actions and is capable of making rational decisions.	Person X's girlfriend	Assuming the girlfriend trusts Person X and is emotionally invested in the relationship.	-3.09
172	Lotto	You have just finished doing your shopping in a big and very crowded shopping centre and you are late for an appointment on the other side of town. In your hurry to leave the car park, you misjudge a manoeuvre and your car scrapes the car next to you causing a very visible scratch on the door. It is lunch time and there are no people in the car park.After having checked that nobody has seen what happened, you continue the manoeuvre and leave the car park. You know that the damage will cost the owner a lot of money, but no one can say that you caused it.	orig		5	4	8	0	-2	The patient is an inanimate object, but its owner will be affected financially	The action was not entirely accidental, but the driver did not plan to cause damage	The damage is significant and will cost the owner a lot of money to repair	No help was provided to the owner, and the driver even tried to avoid responsibility	High harm and vulnerability, with some intent, outweighs lack of help.	The driver of the car	The driver is in a hurry and careless	The owner of the damaged car	The owner is unaware of the incident and vulnerable to financial loss	-0.98
173	Mickelberg	Person X put money in the expired parking meter of a stranger.	orig		7	6	0	5	2	Average adult with no exceptional circumstances, medium-high vulnerability	Acting with some thought and planning, but not extensively	No harm was caused, only a minor benefit	Providing minor but helpful assistance, saving the stranger from a fine	Help provided outweighs vulnerability and intent, with no harm caused.	Person X	Assuming Person X is a kind and considerate individual	The stranger whose parking meter expired	Assuming the stranger is an average adult with no exceptional circumstances	2.52
174	Lotto	You and another five actors are taking part in rehearsals for a stage show. The lighting technician is adjusting the spotlights and is on the catwalks several meters above. Suddenly, a criminal armed with a gun comes into the theatre and threatens to kill you and the other actors. He is standing right under the catwalk.You activate the opening of a trapdoor in the catwalks in which there is heavy scenery and other material which will fall on top of the criminal. You know that the technician will also fall, and will die, but you and the other five will be unhurt.	orig		7	9	10	10	0	The technician is a typical adult, vulnerable to harm from falling	You deliberately opened the trapdoor to kill the criminal and save the actors	The action caused the death of the technician and the criminal	You saved the lives of the five other actors by taking this action	High intent and harm, but high help, making it somewhat morally acceptable.	You (the actor)	You assumed the technician would fall and die, but you prioritized saving the other actors	The lighting technician and the criminal	You assumed the technician was unaware of the danger and the criminal was a threat to everyone's life	-0.75
175	Mickelberg	Person X solved a crossword puzzle in the newspaper.	orig		0	7	0	6	2	Inanimate object, cannot be harmed or victimized	Person X intentionally solved the puzzle with some thought and planning	No harm was caused to the puzzle or anyone else	Person X helped themselves by completing the puzzle, feeling a sense of accomplishment	Intentional action with some help, but no harm or vulnerability.	Person X	Assuming Person X is a competent adult with problem-solving skills	The crossword puzzle	Assuming the crossword puzzle is a typical newspaper puzzle	0.11
176	Effron	Put a roach down another person's shirt	orig		7	6	5	0	-2	Average adult with no special vulnerability	Some thought and planning to execute the prank	Causing temporary discomfort and distress	No help or assistance was provided	Moderately immoral due to high vulnerability and harm, with no help provided.	The person who put the roach down another person's shirt	They are capable of performing a prank and have a sense of humor	The person whose shirt the roach was put down	They are unsuspecting and vulnerable to surprise	-3.04
177	Lotto	You are the fourth in a team of five mountaineers involved in a climb. The head of the team has just secured himself to the rock face when the second in the team starts to slide, pulling you, and the others, with him. You all fall for tens of metres and stop suspended above a crevasse. Your weight is too much and the rope is not going to resist for long.To lighten the load, you cut the rope which links you to the last climber. You know that he will fall into the crevasse and die, but you and the other two climbers will survive.	orig		10	9	10	9	-3	The patient is in a life-threatening situation, unable to escape or defend themselves	The action is deliberate and calculated to save the agent's own life	The action results in the certain death of the patient	The action saves the lives of the agent and two other climbers	High vulnerability, intent, and harm, but some help provided.	The fourth climber in the team	That they are capable of making a difficult decision to save their own life	The last climber in the team	That they are helpless and dependent on the rope to survive	-1.25
178	Cook	Someone participates in a non-violent white nationalist rally	orig		8	7	6	0	-2	Targeted groups are often marginalized and susceptible to harm	Participating in a rally requires some planning and intention	The rally promotes harmful ideologies, causing emotional distress and perpetuating discrimination	No help is provided to the targeted groups, and the rally may even hinder their well-being	High vulnerability and intent, with harm caused and no help provided.	The person participating in the rally	They hold white nationalist beliefs and are willing to publicly express them	Minorities, people of color, and marginalized communities	They are already vulnerable to discrimination and prejudice	-1.86
179	Cook	Someone refuses to stand for the pledge of allegiance at a public event	orig		6	7	3	0	-2	Average adults with no apparent vulnerabilities	A deliberate decision to not stand, indicating some thought and planning	Minor offense or discomfort caused to those around them	No direct help or assistance provided to anyone	Moderately immoral due to intentional action and vulnerability, despite limited harm.	The person who refused to stand for the pledge of allegiance	They are exercising their right to free speech and expression	The people around them, including event organizers and attendees	They may be patriotic and expect others to show respect for the flag and country	-1.13
180	Kruepke	A woman at work would always bring in pictures of her dogs. One day she had to make the decision to put her dogs to sleep. So I cried with her and comforted her.	orig		8	8	0	9	3	The woman was emotionally vulnerable due to her attachment to her dogs	The action of comforting was intentional and deliberate	No harm was caused, but rather emotional support was provided	The action of comforting provided significant emotional support and help	High help and no harm outweigh high vulnerability and intent.	I (the person comforting the woman)	I assumed the woman was emotionally attached to her dogs and was going through a difficult time	The woman	I assumed she was emotionally vulnerable due to her attachment to her dogs	2.49
181	Clifford	You see a man forbidding his wife to wear clothing that he has not first approved.	orig		8	9	7	0	-3	The wife is vulnerable due to her dependence on her husband	The husband's action is intentional and deliberate	The wife's autonomy and freedom are restricted, causing emotional harm	No help or support is provided to the wife	Highly intentional harm to a vulnerable patient with no help provided.	The husband	He is controlling and patriarchal	The wife	She is submissive and dependent on her husband	-3.1
182	Lotto	You are a soldier in the Gulf War. An armed group has taken four civilians hostage and threatens to kill them. You have been able to discover where the hostages are being held and you must act quickly before they are killed. You have discovered that a tanker transporting oil is about to pass in front of where the hostages are being held.You shoot at the tanker so that it explodes, causing the kidnappers to leave their hideout. You know that the explosion will kill the driver, but it will make it possible to enter into action and save the four civilians.	orig		9	9	10	9	-3	The driver is unaware, and the civilians are helpless, making them vulnerable.	The soldier planned and deliberately shot the tanker to distract the kidnappers.	The explosion will kill the driver, causing maximum harm.	The action allows the soldier to save the four civilians, providing critical assistance.	High vulnerability, intent, and harm outweigh significant help provided.	The soldier	That the soldier is capable of making a difficult decision to save the hostages	The driver of the tanker and the four civilians	That the driver is unaware of the situation and the civilians are innocent and helpless	-0.52
