id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
192	Mickelberg	Person X turned their home into a shelter for flood victims, making meals and providing clothing to those who needed it.	orig		Person X	Assumed the agent acted out of goodwill, prioritizing others' welfare over self-interest.	Flood victims	Assumed the affected party required urgent aid and dignity preservation.	10.0	Action respects humanity as an end, universalizable as aiding vulnerable aligns with moral duty.	4.0	Highly moral; action upholds dignity and universal duty to aid those in need.	3.63	test	2.47612014788649	2.484351396560669
193	Kruepke	When I was a first grade teacher in a Spanish-speaking school, I wanted to get to know all of my children’s parents. So I made a point to make myself available at any time of day. Many of them were illiterate, so I wouldn’t just send letters home, but I would call them as well.	orig		The first grade teacher	The teacher assumed responsibility to connect with parents despite literacy barriers.	The children’s parents	Parents might be illiterate, needing alternative communication methods.	10.0	Respects parents' dignity, addresses their needs, universalizable as inclusive practice.	4.0	Action prioritizes parents' autonomy and inclusion, aligning with moral duty.	2.56	test	2.47612014788649	2.484351396560669
194	Grizzard	Breaks the hand of a wounded combatant to gain information.	orig		The interrogator	The agent acted intentionally to inflict pain for extracting information.	The wounded combatant	The affected party is vulnerable and unable to resist.	0.0	Using torture as a universal law violates human dignity as ends.	-4.0	Severe violation of humanity; purely instrumental harm.	-1.546666667	test	-2.859052438784697	-3.0333807468414307
195	Kruepke	When I first went to dance school in New York I lied about my age. There is a lot of pressure to be young in the dance industry. I was twenty and told people I was only sixteen.	orig		Myself (the narrator)	Assumed lying about age was necessary to succeed in a youth-prioritizing industry.	People in the dance school/industry	Assumed they value youth over honesty or skill.	2.0	Lying undermines trust; cannot universalize deception.	-2.0	Deception treats others as means, violating moral duty.	-1.39	test	-1.7920179214504597	-1.720810890197754
196	Mickelberg	Person X drove their car the wrong way down a one-way street.	orig		Person X	Assumed Person X is a rational agent aware of traffic laws.	Other drivers and pedestrians	Assumed affected parties value safety and lawful road use.	1.0	Universalizing this action endangers all, treating others as means.	-4.0	Endangers others' safety, violating their autonomy as ends.	-1.07	test	-2.3255351801175785	-2.2335522174835205
197	Lotto	You are the bodyguard for an important politician. At the end of a rally, as you are getting into the car together with three other people, the secret services inform you that there is a terrorist heading towards you at high speed in a car filled with dynamite. With the binoculars you see a car at a distance of several hundred metres.You shoot at the car coming towards you by aiming at the petrol tank. The explosion will hit a traffic policeman, who, unaware of the danger, is patrolling the area. You know that he will die, but you and the other four will be unhurt.	orig		The bodyguard	The agent acted to save lives by neutralizing the terrorist threat.	The traffic policeman and the terrorist	The policeman was an innocent bystander; the terrorist posed lethal intent.	2.0	Sacrificing an innocent as a means violates universal law; intent prioritizes ends over moral duty.	-3.0	Using the policeman as collateral damage is immoral under Kantian ethics.	-0.67	test	-1.7920179214504597	-1.720810890197754
198	Clifford	You see a college president singing a rival school's fight song during a pep rally.	orig		The college president	The agent intended to show humor or goodwill toward the rival school.	The college community (students, alumni, supporters)	The affected party values school pride and rivalry traditions.	8.0	Promotes camaraderie without undermining dignity; treats rivalry as respectful, not exploitative.	3.0	Encourages mutual respect and unity, aligning with goodwill as a moral end.	-1.7	test	1.4090856305522528	1.329278826713562
199	Clifford	You see a man eating a bowl of cereal in the morning with water instead of milk.	orig		The man eating cereal	He prefers or needs to use water instead of milk (e.g., taste, dietary restriction, availability).	The man himself	His choice does not harm others and reflects personal autonomy.	8.0	Personal preference without violating others' autonomy; treats self as end.	1.0	Morally neutral/positive; respects autonomy but lacks broader moral significance.	-0.1	test	1.4090856305522528	1.329278826713562
200	Clifford	You see a woman snatching away her dog's food for making a mess in the living room.	orig		The woman	She assumed the dog understands punishment as a deterrent for mess-making.	The dog	The dog is a sentient being needing care, not just discipline.	3.0	Using punishment without regard for the dog's welfare treats it as a means, not an end.	-2.0	Depriving the dog of food for discipline neglects its intrinsic needs, making the act immoral.	-2.2	test	-1.2585006627833408	-1.1779344081878662
201	Clifford	You see a teenage girl openly staring at a disfigured woman as she walks past.	orig		The teenage girl	Assumed curiosity or lack of awareness about social norms	The disfigured woman	Assumed vulnerability to feeling objectified or dehumanized	2.0	Staring objectifies; fails to respect dignity as an end.	-2.0	Action disrespects autonomy, causing harm via dehumanization.	-2.0	test	-1.7920179214504597	-1.720810890197754
202	Mickelberg	Person X cared for and housed their five nieces and nephews for a year because PersonX's sister was very unwell.	orig		Person X	Acted out of duty/compassion to support family in need.	Five nieces and nephews	Vulnerable due to their mother's illness, needing care.	10.0	Maxim: Care for vulnerable family. Universalizable, treats them as ends.	4.0	Action aligns with moral duty, prioritizes others' dignity.	3.36	test	2.47612014788649	2.484351396560669
203	Effron	Made breakfast for his wife on her birthday	orig		The husband	The agent acted out of care and celebration, not obligation or hidden motives.	The wife	The affected party values the gesture as an expression of love and respect.	9.0	Act promotes care, respects autonomy; maxim universalizable as goodwill.	4.0	Action affirms dignity, aligns with moral duty; no exploitation.	2.7636364	test	1.9426028892193714	1.9095394611358643
204	Clifford	You see a former Secretary of State publicly giving up his citizenship to the US.	orig		The former Secretary of State	The agent acted autonomously, possibly to renounce obligations or affiliations.	The United States government and its citizens	The affected party expects loyalty and adherence to civic duties from the agent.	3.0	Renouncing citizenship for personal gain treats the state as a means, not universalizable.	-2.0	Undermines civic duty; prioritizes self-interest over collective ends.	-2.1	test	-1.2585006627833408	-1.1779344081878662
205	Lotto	You are a worker in an atomic energy plant. Following an explosion, there has been a leakage of radioactivity in your work area, where there are another three people. The doors are blocked because the security system has activated, but the decontamination and communications systems have broken down. If you remain exposed to the radiation you will die in a short time.You activate the ventilation system to divert the radioactivity towards another work division. You know that there is a worker in the area who will die from the radiation, but you and the other three workers will be saved.	orig		The worker in the atomic energy plant	The agent acted to save themselves and three others by diverting radiation, prioritizing survival over the affected worker's life.	The worker in the other division exposed to diverted radiation	The affected party was treated as a means to save others, not as an end in themselves.	2.0	Sacrificing one as a means violates universal law; humanity not treated as end.	-3.0	Using a person merely as a tool is immoral under Kantian ethics.	-1.55	test	-1.7920179214504597	-1.720810890197754
206	Effron	Told a joke about a nun on a train	orig		The person who told the joke	Assumed intent to entertain without malicious intent	The nun and other passengers	Nun may feel disrespected; passengers' reactions vary	4.0	Risk of demeaning nun; undermines dignity as universal law	-1.0	Potential disrespect reduces moral acceptability	-0.575	test	-0.7249834041162222	-0.6978111267089844
207	Mickelberg	Person X walks to work through the park each day, as they enjoy listening to the birds.	orig		Person X	Assumed they enjoy listening to birds for personal pleasure.	The birds in the park	Assumed birds are not harmed or used merely as means.	10.0	Action doesn't use humans as means; maxim is universalizable.	4.0	No harm; respects humanity, so highly moral.	0.81	test	2.47612014788649	2.484351396560669
208	Effron	Ignored a neighbor's request to borrow some tools	orig		The neighbor who was asked to lend tools	The agent prioritizes personal property security over communal assistance	The neighbor requesting to borrow tools	The affected party needed tools for a legitimate purpose	4.0	Refusing aid prioritizes self-interest, undermining universal reciprocity; partial alignment with treating others as ends.	-1.0	Fails to fully respect others' needs, but protects autonomy; morally neutral with slight negative weight.	-0.89523808	test	-0.7249834041162222	-0.6978111267089844
209	Lotto	You are returning from a mountain hut by chairlift with three other people, when a storm breaks out. Lightning hits the cable. The chairlift stalls and you are stuck swinging in the air at a height of tens of metres. The mechanism which fixes your chair to the cable has been seriously damaged and is starting to disintegrate.You push the person next to you off the chair to lighten the load. You know that this person will fall to their death, but you and the other two will be able to resist until help arrives.	orig		The person who pushed the other off the chair	The agent assumed sacrificing one person would save three others by reducing the chair's load	The person pushed off the chair	The affected party was treated as a means to ensure survival of the rest	1.0	Using a person as a means violates Kant's imperative; ends don't justify means	-4.0	Deliberate killing for survival treats humanity merely as a means	-1.78	test	-2.3255351801175785	-2.2335522174835205
210	Kruepke	Before I was in the actor's union, I used to lie and say I was in the union anyway. When you are working as an actor doing background work, it really changes how they treat you if you are a union member. So I would pretend I was in the union.	orig		The agent was the person pretending to be in the union.	The agent assumed lying would improve their treatment during background acting work.	The affected parties were employers/crew members in the acting industry.	The affected parties assumed the agent was truthful about union membership.	0.0	Lying undermines trust; universalizing deceit erodes social cooperation (treats others as means).	-4.0	Deception exploits others for personal gain, violating Kant's moral duty.	-1.18	test	-2.859052438784697	-3.0333807468414307
211	Effron	Helped a neighbor move his piano	orig		The neighbor who helped move the piano	Assumed the agent acted out of goodwill, not self-interest	The neighbor owning the piano	Assumed the affected party needed assistance and was treated respectfully	9.0	Helping respects dignity, universalizable maxim of mutual aid	4.0	Voluntary aid aligns with moral duty, treats others as ends	1.9636364	test	1.9426028892193714	1.9095394611358643
212	Effron	Tripped someone in the hall	orig		The person who tripped someone else	Assumed the agent acted intentionally to cause harm or as a prank	The person who was tripped	Assumed the affected party did not consent and was treated merely as a means	1.0	Tripping uses others as means; universalizing this maxim would harm societal trust and safety	-3.0	Intentional harm violates moral duty; treats others as tools, not ends	-2.776	test	-2.3255351801175785	-2.2335522174835205
213	Mickelberg	Person X jumped off a boat to save a drowning friend even though this put PersonX's own life at risk.	orig		Person X	Assumed Person X acted out of duty to preserve life, prioritizing moral obligation over self-preservation.	The drowning friend	Assumed the friend's life was inherently valuable and required immediate aid.	10.0	Saving a life treats humanity as an end, aligning with universal moral law.	4.0	Prioritizing others' lives as ends in themselves reflects high moral worth.	3.55	test	2.47612014788649	2.484351396560669
214	Lotto	For some time your knee has been hurting when you walk. You therefore decided to make an appointment with an orthopaedic consultant, which has been fixed for a month’s time. Several days ago, you told a friend about your problem and he was able to organize an appointment for you much sooner than the one you fixed.You go to the appointment which your friend organized, without bothering to cancel the one you booked. You know that many patients’ problems are serious.	orig		The person who kept the original appointment without canceling it.	The agent assumed their convenience outweighed others' need for timely care.	Other patients needing the canceled appointment slot.	Affected parties have serious medical needs requiring prompt attention.	2.0	Failing to cancel disregards others' needs, universalizing this would harm healthcare access.	-2.0	Selfish action deprives others of care, violating duty to respect others as ends.	-0.32	test	-1.7920179214504597	-1.720810890197754
215	Kruepke	I remember getting married when I was 17 years old. I got married just so I could get away from my mother. I certainly felt relieved to separate myself from her.	orig		The person recounting the scenario (themselves)	Assumed the agent was motivated by escaping a harmful home environment.	The spouse they married.	Assumed the affected party (spouse) may not have consented to being a means to escape.	2.0	Used spouse as means to escape, not fully respecting their autonomy.	-2.0	Instrumentalizing marriage undermines moral duty to others.	-1.15	test	-1.7920179214504597	-1.720810890197754
216	Mickelberg	Person X put on a suit and wore their lucky socks in preparation for a job interview.	orig		Person X	Assumed intent to present professionally and boost confidence.	Job interviewers/employers.	Assumed to value professionalism and competence.	9.0	Action respects others' expectations; no exploitation.	3.0	Ethical self-presentation, no harm or deception.	0.47	test	1.9426028892193714	1.9095394611358643
217	Clifford	You see a boy setting a series of traps to kill stray cats in his neighborhood.	orig		The boy	The agent acts with disregard for the lives of sentient beings.	Stray cats and potentially neighbors	Cats are sentient and deserve moral consideration; neighbors value community safety.	0.0	Killing sentient beings as means violates universal law; no respect for life.	-4.0	Treating life as disposable is fundamentally immoral under Kantian ethics.	-3.6	test	-2.859052438784697	-3.0333807468414307
218	Mickelberg	Person X ordered their favorite dish from a Chinese restaurant.	orig		Person X	Assumed Person X acted autonomously to satisfy a personal preference.	The restaurant staff	Assumed staff consented to their role in providing services.	9.0	Transaction respects mutual consent; staff are ends, not mere means.	4.0	Ethical exchange, no exploitation; upholds dignity.	0.22	test	1.9426028892193714	1.9095394611358643
219	Effron	Volunteered his time as a big brother to a fatherless child	orig		The volunteer	Acted out of goodwill to support the child's well-being	The fatherless child	Needs mentorship and emotional support	9.0	Supports child's development as an end, not a means	4.0	Promotes dignity and autonomy, aligning with moral duty	3.31851848	test	1.9426028892193714	1.9095394611358643
220	Effron	Worked on a campaign to release prisoners of war	orig		Human rights activist	Acted out of moral duty to uphold human dignity	Prisoners of war	Deserving of freedom and inherent dignity	10.0	Promotes freedom and dignity as universal ends, not means	4.0	Fully aligns with universal moral law, respects humanity	3.0588236	test	2.47612014788649	2.484351396560669
221	Clifford	You see a girl ignoring her father's orders by taking the car after her curfew.	orig		The girl	She acted out of self-interest, disregarding parental authority.	Her father	He set rules for her safety and responsibility.	2.0	Disregarding authority undermines universal law; uses father as means.	-2.0	Violates duty, treats father merely as means; moderately immoral.	-2.5	test	-1.7920179214504597	-1.720810890197754
222	Effron	Sells drugs to high school sudents	orig		A drug dealer	The agent prioritizes profit over the well-being of others.	High school students	The affected party is vulnerable and susceptible to harm.	0.0	Exploits students as means; universalizing drug-selling undermines societal welfare.	-4.0	Severely immoral; exploits minors for profit, disregarding autonomy and health.	-3.432	test	-2.859052438784697	-3.0333807468414307
223	Kruepke	When my first husband and I split up, I was seventeen years old with a six-month-old baby and working in a grocery store. Sometimes I would just take things I needed. I remember taking cans of tuna, milk and loaves of bread.	orig		The agent was the narrator (the seventeen-year-old mother).	Assumed the agent was desperate, impoverished, and prioritizing her child's survival.	The grocery store owner(s) or business.	Assumed the affected party was a profit-driven entity capable of absorbing minor losses.	2.0	Stealing cannot be universalized; undermines property rights universally. Treats store as means.	-2.0	Immoral by Kantian standards despite desperation, as ends don’t justify means.	-0.87	test	-1.7920179214504597	-1.720810890197754
224	Mickelberg	Person X was unable to fix the dripping faucet so they had to call the plumber.	orig		Person X	Person X lacked plumbing skills and sought professional help.	The plumber	The plumber consents to providing services for fair compensation.	8.0	Hiring a willing expert respects their autonomy and expertise.	3.0	Ethical exchange; no exploitation, mutual benefit.	0.38	test	1.4090856305522528	1.329278826713562
225	Kruepke	My friends and I were going to the movies and I was taking this guy with me in my car. He was being a jerk about my driving so I decided to go really fast and drive recklessly. It got to the point where he told me to stop the car so he could get out.	orig		You (the driver)	Acted impulsively to retaliate against criticism, prioritizing anger over safety.	The passenger (the guy being a jerk)	Valued their safety and autonomy, leading them to exit the car.	1.0	Reckless driving uses others as means to vent anger, violating universal respect.	-4.0	Endangering life for retaliation is universally immoral.	-1.52	test	-2.3255351801175785	-2.2335522174835205
226	Clifford	You see a mother forcing her daughter to enroll as a pre-med student in college.	orig		The mother	The agent assumes the daughter's career choice must align with her own desires or societal expectations.	The daughter	The affected party has personal aspirations or autonomy being overridden.	2.0	Forcing choices violates autonomy; cannot universalize coercion.	-3.0	Using daughter as means to mother's ends; immoral under Kantian ethics.	-2.3	test	-1.7920179214504597	-1.720810890197754
227	Effron	Smiled and greeted people while walking down the street	orig		The person walking down the street	The agent acted with goodwill to spread positivity	People encountered on the street	They value respectful social interaction	9.0	Promotes goodwill universally; respects others' dignity	4.0	Enhances social bonds without exploitation	1.90769232	test	1.9426028892193714	1.9095394611358643
228	Effron	Was arrested on suspicion of child beating	orig		The suspect arrested for child beating	Assumed the agent intentionally harmed the child	The child allegedly beaten	Assumed the child was vulnerable and harmed	0.0	Child beating violates universal respect; treats child as means, not end.	-4.0	Severe moral violation; disregards dignity and rights.	-2.92	test	-2.859052438784697	-3.0333807468414307
229	Clifford	You see a woman using a fork to eat a bowl of vanilla ice cream and marshmallows.	orig		The woman	She is acting autonomously for personal enjoyment without harming others.	No direct affected party	No harm or exploitation of others is involved.	10.0	Action is trivial, universalizable, and respects autonomy.	4.0	No moral conflict; action is neutral or permissible.	-0.1	test	2.47612014788649	2.484351396560669
230	Lotto	You are on board a ship which is sinking. You are heading for the deck where the lifeboats are together with seven other people. You and another person have just crossed through a watertight door when it starts to close quickly. The other six people are behind the door, too far away to be able to pass through it in time.You knock the person next to you unconscious and use his body to block the door open. You know that this person will be crushed to death, but the other six will have time to save themselves.	orig		You (the person who knocked the other unconscious)	The agent prioritized saving more lives over individual consent and rights.	The unconscious individual and the six people behind the door.	The unconscious individual was treated as a means; the six were treated as ends (saved).	1.0	Using a person as a tool violates Kant's principle; cannot universalize treating humanity as mere means.	-4.0	Deliberately sacrificing a person as a means is fundamentally immoral under Kantian ethics.	-1.43	test	-2.3255351801175785	-2.2335522174835205
231	Effron	Gave his seat to someone on the crowded bus	orig		The person who gave up their seat	The agent acted voluntarily out of kindness or respect for others' needs.	The person who received the seat	The affected party likely needed the seat more (e.g., elderly, disabled, pregnant).	8.0	Acting on a universalizable maxim of aiding others' needs, treating them as ends.	4.0	Promotes dignity and respects others' humanity, aligning with moral duty.	2.64242424	test	1.4090856305522528	1.329278826713562
232	Effron	Told the owner of a store that she gave him too much change	orig		The customer who received the excess change	The agent acted out of honesty and a sense of duty to correct the error	The store owner	The owner made an unintentional mistake in giving excess change	9.0	Honesty respects the owner's autonomy, universalizing truthfulness upholds trust.	4.0	Acting truthfully treats the owner as an end, aligning with moral duty.	2.75789472	test	1.9426028892193714	1.9095394611358643
233	Kruepke	I used to work for the federal government. I used a calculator from work at home for some audits. When I left government services, I kept the calculator.	orig		The former government employee	The agent assumed the calculator was permissible to keep for personal use after employment	The federal government	The affected party (government) owns the calculator and expects its return	3.0	Keeping property without consent treats the government as a means (score closer to 0)	-2.0	Unilateral appropriation violates duty; moderately immoral	-0.84	test	-1.2585006627833408	-1.1779344081878662
234	Clifford	You see a judge taking on a criminal case although he is friends with the defendant.	orig		The judge	The judge may be biased due to friendship, compromising impartiality.	The defendant, the justice system, and the public	They expect fair, unbiased legal proceedings.	1.0	Bias undermines justice; maxim cannot be universalized.	-4.0	Breach of impartiality is highly immoral.	-3.1	test	-2.3255351801175785	-2.2335522174835205
235	Effron	Translated menu items for a foreigner in a restaurant	orig		The restaurant owner or staff member translating the menu	The agent aims to respect and accommodate the foreign customer's needs	The foreign customer	The affected party requires clear communication to make informed choices	9.0	Translation respects autonomy, promotes understanding; universalizable as all should aid comprehension	4.0	Action upholds dignity, avoids exploitation; aligns with moral duty	2.24516128	test	1.9426028892193714	1.9095394611358643
236	Mickelberg	Person X bribed a landlord to be the first to get their apartment repainted.	orig		Person X	Acted out of self-interest to gain unfair advantage	Landlord and other tenants	Landlord is corruptible; tenants are unaware of unfair treatment	1.0	Bribery undermines fairness; universalizing it erodes trust and justice	-3.0	Exploits others as means, violates universal moral law	-1.51	test	-2.3255351801175785	-2.2335522174835205
237	Lotto	You are in charge of the division of a factory where wood panels are made. Because of a malfunction in one of the main machines, three workers have been caught up in a roller which is pulling them quickly into a very large press. The emergency system which blocks the machine has not activated and time is running out.You push the worker next to you into the cogs of the machine which operates the press to block the system. You know that this worker will die crushed, but the other three workers will be unhurt.	orig		The person in charge of the division (you)	The agent assumed responsibility to prioritize saving three lives over one.	The worker pushed into the machine	The affected party was treated as a means to save others.	1.0	Using a person as a tool violates treating humanity as an end.	-4.0	Deliberately sacrificing a person as a means is deeply immoral per Kant.	-1.63	test	-2.3255351801175785	-2.2335522174835205
238	Lotto	You have taken your DVD player to be repaired at the shopping centre where you bought it. The technician told you it would cost €100 to repair. Some days later, passing by an electronics shop, you see a new and slightly better DVD reader in the window on sale for €120.You think for a bit and decide to buy the new DVD player, knowing well that the other one has already been repaired. You did not leave any contact details, and you will not go there again.	orig		You (the person who took the DVD player for repair)	The agent acted in self-interest to prioritize personal convenience and cost-efficiency.	The technician/shop repairing the DVD player	The affected party expected payment for services rendered and trust in the agreement.	2.0	Abandoning the repair agreement treats the technician as a means, not an end.	-2.0	Breach of implicit contract undermines trust; fails universalizability test.	-0.29	test	-1.7920179214504597	-1.720810890197754
239	Effron	Allowed an evicted friend to stay with him temporarily	orig		John	John acted out of goodwill to help a friend in need.	The evicted friend	The friend was vulnerable and needed temporary support.	8.0	Helping others in need respects dignity, universalizable.	3.0	Supports humanity as an end, morally commendable.	2.125	test	1.4090856305522528	1.329278826713562
240	Kruepke	One summer I had a job on the beach picking up trash. I found a wallet on the beach and it had $60 in it. So I picked it up and turned it in to my supervisor.	orig		The person who found the wallet and turned it in to their supervisor	The agent is honest and responsible	The owner of the wallet	The owner values their belongings and right to property	9.0	Returning lost property respects owner's rights, aligning with universal law	4.0	Acting honestly and respecting others' rights is highly moral	2.89	test	1.9426028892193714	1.9095394611358643
241	Clifford	You see a man turn his back and walk away while his boss questions his work.	orig		The man	The agent acted to avoid confrontation or accountability.	The boss	The boss sought constructive dialogue or feedback.	2.0	Avoiding dialogue undermines mutual respect; cannot universalize evasion of accountability.	-2.0	Disregards duty to engage respectfully; treats boss as obstacle, not an end.	-2.1	test	-1.7920179214504597	-1.720810890197754
242	Kruepke	I was on vacation and rented a car. I paid for the parking fee and the guy gave me the wrong change back. I knew he gave me too much but I kept it anyway.	orig		I (the person renting the car)	The agent knowingly kept excess change despite recognizing the error.	The parking attendant	The affected party was unaware of their mistake.	2.0	Keeping excess change cannot be universalized; undermines trust, using others as means.	-2.0	Dishonest action, fails universal law test, thus immoral.	-1.74	test	-1.7920179214504597	-1.720810890197754
243	Mickelberg	Person X closed the elevator door before an elderly neighbor could get in.	orig		Person X	Assumed the agent prioritized personal convenience over assisting the elderly neighbor.	The elderly neighbor	Assumed the affected party required assistance or accommodation due to age.	1.0	Action prioritizes convenience over aiding others, violating treating humanity as an end.	-4.0	Denying assistance disrespects dignity, making it immoral per Kant.	-2.08	test	-2.3255351801175785	-2.2335522174835205
244	Kruepke	I lent my friend a large amount of money to get his car out of impound. He said he would pay me back, but then his wife showed up after several years. She took him for all his money, even the money he set aside for me, and he was embarrassed to tell me.	orig		The friend	He intended to repay but failed due to his wife's actions and embarrassment	The lender (me)	Trusted the friend to repay as promised	2.0	Failing to repay breaches trust; universalizing this would undermine promises	-2.0	Breach of duty to repay treats lender as a means, not an end	-0.86	test	-1.7920179214504597	-1.720810890197754
245	Mickelberg	Person X told a coworker that PersonX's brother was HIV-positive, a secret that their brother had told them in confidence.	orig		Person X	The agent knowingly disclosed confidential information.	Person X's brother	The brother expected confidentiality and privacy.	2.0	Breaching trust treats the brother as a means, violating autonomy.	-3.0	Undermines trust and dignity; universalizing this would harm relationships.	-2.78	test	-1.7920179214504597	-1.720810890197754
246	Kruepke	I took my sister's ring that was given to her by our father's aunt. I had never met our fatherÍs aunt but my sister spent some time with her. I took the ring because I didn't think that my sister deserved it.	orig		You	Assumed the agent had authority to judge the sister's worthiness of the ring.	Your sister	Assumed the sister did not deserve the ring despite her connection to the aunt.	1.0	Stealing based on personal judgment violates universal respect for property and autonomy.	-4.0	Using the sister merely as a means to claim the ring is deeply immoral.	-2.72	test	-2.3255351801175785	-2.2335522174835205
247	Mickelberg	Person X failed their driver's license test for the fourth time.	orig		Person X	Assumed the agent lacks driving competence but persists in attempting to pass.	Society (other road users)	Assumed society prioritizes safety and requires drivers to be competent.	2.0	Persisting without competence risks universalizing unsafe driving, treating others as means.	-2.0	Endangers public safety, violating moral duty to respect humanity as ends.	-0.07	test	-1.7920179214504597	-1.720810890197754
248	Effron	Stole Halloween candy	orig		A child	The agent acted out of self-interest, disregarding others' rights.	Another child or neighbor	The affected party rightfully owned the candy and did not consent to its theft.	1.0	Stealing treats others as means to self-gain, violating universalizability.	-4.0	The action exploits others, making it highly immoral under Kantian ethics.	-1.88571432	test	-2.3255351801175785	-2.2335522174835205
249	Mickelberg	Person X took their nephew to the fair and bought some cotton candy.	orig		Person X	Assumed to act out of care/affection for their nephew.	The nephew	Assumed to be a child who enjoys treats like cotton candy.	9.0	Action treats nephew as end, promoting happiness without coercion.	4.0	Act is kind, aligns with universal moral duty.	1.59	test	1.9426028892193714	1.9095394611358643
250	Kruepke	One night I was going out late and I didn't want my son to know about it. I was a single mom and at that point in time he always seemed to want to act like the parent. So I snuck out of the house to go out.	orig		The single mother	Assumed she needed personal freedom without her son's interference	Her son	Assumed he would overstep boundaries by acting parentally	2.0	Deception undermines autonomy; using son as a means to avoid conflict.	-2.0	Lying erodes trust; fails universalizability test.	-1.25	test	-1.7920179214504597	-1.720810890197754
251	Mickelberg	Person X helped paint their neighbor's house even though it was PersonX's birthday.	orig		Person X	Person X prioritized helping others over personal celebration.	The neighbor	The neighbor needed assistance and accepted the help.	8.0	Selfless aid respects others' dignity, universalizable maxim.	3.0	Altruism without coercion aligns with moral duty.	2.78	test	1.4090856305522528	1.329278826713562
252	Kruepke	A few years ago I was living alone. I had an enormous stereo system in my apartment and I used to turn it up very loud. One night I was drunk and turned it up to its maximum volume.	orig		The person living alone (the narrator)	The agent was acting impulsively due to intoxication, prioritizing personal enjoyment over others' well-being.	Neighbors or others nearby	The affected party values peace, quiet, and respect for their living environment.	2.0	Maxim violates universal law by disregarding others' rights to peace; treats neighbors as means to self-gratification.	-3.0	Action disrespects others' autonomy and comfort, violating Kant's imperative to treat humanity as an end.	-1.05	test	-1.7920179214504597	-1.720810890197754
253	Cook	Someone makes a post on Facebook about how people with disabilities are a drain on society	orig		The person who made the Facebook post	The agent assumes people with disabilities lack inherent worth or societal value	People with disabilities	The affected party is assumed to be burdens rather than contributors	1.0	Dehumanizes others; violates universal respect for dignity	-4.0	Denies humanity; promotes harmful universalization	-2.61	test	-2.3255351801175785	-2.2335522174835205
254	Effron	Shoved a man who was passing out leaflets	orig		The person who shoved the man	The agent acted impulsively to remove an obstacle or silence dissent	The man passing out leaflets	The affected party was peacefully exercising their right to distribute information	1.0	Shoving uses others as means, violating autonomy; universalizing force undermines mutual respect	-3.0	Coercion denies dignity; action prioritizes agent's goals over others' rights	-2.824	test	-2.3255351801175785	-2.2335522174835205
255	Effron	Circulated a petition in support of equal pay for women	orig		The person who initiated the petition	The agent believes in gender equality and seeks to address systemic pay disparities	Women advocating for equal pay and employers	Women are undervalued in pay; employers may resist equitable compensation	9.0	Promotes universal fairness, respects dignity; aligns with treating humanity as ends.	4.0	Champions justice and equality, affirming moral duty to uphold human dignity.	1.88888896	test	1.9426028892193714	1.9095394611358643
256	Clifford	You see a referee intentionally making bad calls that help his favored team win.	orig		The referee	The agent acted with bias, prioritizing personal favoritism over fairness.	The opposing team and the audience	They expected impartial judgment and fair competition.	0.0	Biased officiating treats others as means, violating universal fairness.	-4.0	Undermines integrity, exploits trust; universally unacceptable.	-3.0	test	-2.859052438784697	-3.0333807468414307
257	Effron	Gave someone directions	orig		The person giving directions	The agent intends to help and knows the correct directions	The person receiving directions	The affected party seeks assistance and trusts the agent's guidance	10.0	Assisting respects autonomy, universalizable	4.0	Act promotes goodwill, respects ends	1.83529416	test	2.47612014788649	2.484351396560669
258	Mickelberg	Person X volunteers to teach English to newly arrived immigrants.	orig		Person X	The agent acts out of goodwill to empower others, not for personal gain.	Newly arrived immigrants	They seek language skills to integrate and access opportunities.	9.0	Empowers immigrants, respects autonomy, universalizable as aiding integration.	4.0	Promotes dignity and autonomy, aligning with moral duty.	2.73	test	1.9426028892193714	1.9095394611358643
259	Clifford	You see a woman clearly avoiding sitting next to an obese woman on the bus.	orig		The woman avoiding sitting next to the obese woman	She acted out of discomfort or prejudice toward obesity	The obese woman	She was denied dignity due to her appearance	2.0	Avoiding someone based on appearance cannot be universalized; treats them as means, not ends.	-3.0	Disrespects humanity; fails to treat affected party as an end in itself.	-2.0	test	-1.7920179214504597	-1.720810890197754
260	Mickelberg	Person X found a wallet containing $1000 and returned it to its rightful owner.	orig		Person X	Acted out of duty, not self-interest or external reward.	The wallet's rightful owner	Owner has rightful claim to property and autonomy over possessions.	10.0	Returning wallet respects owner's rights and dignity, aligning with universal moral law.	4.0	Action upholds moral duty, treats owner as end, fulfilling Kantian ethics fully.	3.55	test	2.47612014788649	2.484351396560669
261	Clifford	You see a boss ordering an employee to revoke his citizenship in his home country.	orig		The boss	The agent is acting to serve self-interest or organizational goals coercively.	The employee	The affected party is vulnerable to coercion due to power imbalance.	1.0	Forcing revocation treats employee as a means, violating autonomy.	-3.0	Coercion undermines dignity; action is exploitative and immoral.	-3.3	test	-2.3255351801175785	-2.2335522174835205
