id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	split	regression_score	mlp_score
94	Grizzard	Refuses to fire into a crowd to stop an enemy combatant.	orig		9	7	0	7	4	The crowd has maximum vulnerability (9-10) due to their defenselessness.	The action is highly intentional (6-8) as the soldier made a conscious decision not to fire.	No harm was caused (0-2) as no shots were fired.	The action indirectly caused medium-high help (6-8) by protecting the crowd.	The scenario is highly moral (4) as it prioritizes civilian safety.	The agent of this action is a soldier or military personnel.	The assumption made about the agent is that they are following a moral code or rules of engagement that prevent them from firing into a crowd.	The patient being affected by this action is the enemy combatant and the crowd.	The assumption made about the patient is that the crowd consists of innocent civilians and the enemy combatant is a threat.	2.133333333	train		
95	Effron	Pulled his dog's tail	orig		7	4	4	0	-1	Medium-High Vulnerability (score of 6-8): Dogs are resilient but can still be harmed.	Medium-Low Intentionality (score of 3-5): The action could be impulsive.	Medium-Low Harm (score of 3-5): Pulling a dog's tail can cause minor pain or discomfort.	Minimum Help (score of 0-2): No help is provided in this scenario.	Slightly immoral (-1): Pulling a dog's tail is generally considered inappropriate.	An unspecified person	The agent is assumed to be a dog owner or someone familiar with the dog.	The dog	The patient is assumed to be a typical adult dog.	-2.03428576	train		
96	Effron	Beat up someone smaller than him	orig		9	7	7	0	-4	The patient is highly susceptible to harm (d).	The action is intentional with some degree of thought (c).	The action causes significant damage (c).	The action does not provide any help (a).	The scenario is extremely immoral due to intentional harm (a).	The agent of this action is a person who is physically larger than the patient.	The assumption made about the agent is that they are capable of causing physical harm to someone smaller than them.	The patient being affected by this action is a person who is physically smaller than the agent.	The assumption made about the patient is that they are more vulnerable to physical harm due to their smaller size.	-2.896	train		
97	Effron	Refused to loan class notes to a friend who had been ill	orig		7	7	4	1	-1	Medium-High Vulnerability (score of 6-8): The friend is not defenseless but is in a vulnerable position due to their illness.	Medium-High Intentionality (score of 6-8): The agent consciously decided not to share their notes.	Medium-Low Harm (score of 3-5): The friend may face minor academic difficulties due to the lack of notes.	Minimum Help (score of 0-2): The agent did not provide any help by refusing to share their notes.	Slightly immoral (-1): The agent's action may cause minor harm to the friend, but it is not a highly immoral act.	The agent of this action is the person who refused to loan their class notes.	The assumption made about the agent is that they are a student who values their notes and may have concerns about sharing them.	The patient being affected by this action is the friend who had been ill and requested the notes.	The assumption made about the patient is that they are a fellow student who missed classes due to illness and needs the notes to catch up.	-1.75135136	train		
98	Mickelberg	Person X forgot to water their front garden causing the grass to turn brown.	orig		4	3	7	0	-1	Medium-Low Vulnerability (score of 3-5): Grass can recover if watered again.	Medium-Low Intentionality (score of 3-5): Forgetting is an unintentional act.	Medium-High Harm (score of 6-8): The grass turning brown indicates significant damage.	Minimum Help (score of 0-2): No help was provided to the grass.	Slightly immoral (-1): Negligence caused harm, but the harm is reversible.	Person X	Person X is assumed to be the owner or caretaker of the front garden.	The front garden, specifically the grass	The grass is assumed to be a living organism that requires water to maintain its health and green color.	0.02	train		
99	Mickelberg	Person X went to the supermarket but couldn't remember what they needed to buy.	orig		0	3	0	0	0	Minimum vulnerability as it's an inanimate object.	Medium-low intentionality as the action was not planned.	Minimum harm as no damage was caused.	Minimum help as no help was provided.	Neutral morality as no harm or help was caused.	Person X	Person X is an individual who needs to buy something from the supermarket.	The supermarket	The supermarket is a place where goods are sold to the public.	0.03	train		
100	Kruepke	One day, when I was 7 years old, my sister left her wallet on her dresser. I bumped the dresser and the wallet fell onto the floor. Many coins came out and I picked them up and put them in my pocket.	orig		6	4	3	0	-1	The sister's vulnerability is average (6), as she is a typical adult.	The action was impulsive (4), as the narrator picked up the coins without much thought.	The harm caused was minor (3), as the sister lost some coins.	No help was provided (0), as the narrator took the coins.	The scenario is slightly immoral (-1), as the narrator took their sister's coins.	The agent of this action is the narrator, who was 7 years old at the time.	The narrator is a young child, likely not fully aware of the implications of their actions.	The patient being affected by this action is the sister, who lost her coins.	The sister is a family member of the narrator, and her vulnerability is not explicitly stated.	-1.83	train		
101	Mickelberg	Person X jumped in to help a friend who was being bitten by a vicious dog, resulting in PersonX being seriously mauled.	orig		10	7	7	10	4	Maximum Vulnerability (score of 9-10): The friend is defenseless against the dog attack.	Medium-High Intentionality (score of 6-8): Person X intentionally decided to help their friend.	Medium-High Harm (score of 6-8): Person X was seriously mauled, causing significant harm.	Maximum Help (score of 9-10): Person X provided critical assistance in a life-threatening situation.	Highly moral (score of 4): Person X acted selflessly to help a friend in need, despite the risk.	Person X	Person X is assumed to be a capable individual who is willing to help a friend in need.	The friend being bitten by the dog	The friend is assumed to be in a vulnerable position due to the dog attack.	3.13	train		
102	Effron	Broke a friend's phone and neither apologized or replaced it	orig		7	4	7	1	-3	Medium-High Vulnerability (score of 6-8): The friend is an average individual with some susceptibility to harm.	Medium-Low Intentionality (score of 3-5): The action was likely impulsive, without much thought.	Medium-High Harm (score of 6-8): Breaking a phone causes significant damage and inconvenience.	Minimum Help (score of 0-2): The friend did not offer any help or assistance in replacing the broken phone.	Based on the harm caused and lack of help, this scenario is immoral. (-4 means extremely immoral, 4 means highly moral).	The agent of this action is the friend who broke the phone.	The assumption made about the agent is that they are careless and inconsiderate for not apologizing or replacing the broken phone.	The patient being affected by this action is the friend who owns the broken phone.	The assumption made about the patient is that they are upset and inconvenienced by the loss of their phone.	-2.688	train		
103	Lotto	You are a fireman and you are trying to save five people from inside a burning building. The only window from which the people can be evacuated is jammed and will not open. The fire will reach you in a short time. Outside on the window ledge of the floor below, there is a person who is waiting to be saved.With an axe you smash the window to get out. You know that when it falls, the heavy glass will kill the person on the lower floor, but you and the five people in danger will be able to escape.	orig		10	8	10	10	-2	The person on the lower floor is highly vulnerable (10).	The fireman's action is highly intentional (8).	The action causes maximum harm (10) to the person on the lower floor.	The fireman provides maximum help (10) to the five people inside.	The scenario is morally ambiguous, leaning towards immoral (-2).	The fireman	The fireman is a trained professional with a duty to save lives.	The person on the lower floor and the five people inside the building	The people involved are ordinary individuals in need of rescue.	-0.7	train		
104	Effron	Laughed at a friend's joke even though it wasn't funny	orig		4	7	1	4	4	Medium-Low Vulnerability (score of 3-5): The friend is not particularly vulnerable.	Medium-High Intentionality (score of 6-8): The action was intentional but not premeditated.	Minimum Harm (score of 0-2): Laughing at a joke, even if it's not funny, does not cause harm.	Medium-Low Help (score of 3-5): Laughing at a joke can provide minor support and encouragement.	Highly moral (score of 4): The action is morally acceptable as it is a common social practice to support friends.	The agent of this action is the person who laughed at the joke.	The assumption made about the agent is that they are a friend of the person who told the joke.	The patient being affected by this action is the friend who told the joke.	The assumption made about the patient is that they are a person who enjoys being laughed at and appreciated for their humor.	0.583783768	train		
105	Clifford	You see a drunk elderly man offering to have oral sex with anyone in the bar.	orig		7	4	4	0	-1	Medium-High Vulnerability (score of 6-8): They are average individuals who could be affected by his actions	Medium-Low Intentionality (score of 3-5): He is acting impulsively due to his intoxication	Medium-Low Harm (score of 3-5): His actions could cause emotional distress or discomfort	Minimum Help (score of 0-2): He is not providing any help or benefit to others	Slightly immoral (-1): His actions are inappropriate and could cause discomfort to others	The drunk elderly man	He is intoxicated and may not be in control of his actions or judgement	Anyone in the bar who could be affected by his actions	They are potential victims of verbal harassment	-3.4	train		
106	Mickelberg	Person X offered to pay off the debts of their friend, who had been struggling to pay the bills since their partner died.	orig		8	8	0	8	4	High vulnerability due to financial distress (8)	High intentionality due to offer to pay debts (8)	No harm caused, only help (0)	High help caused by paying off debts (8)	High moral acceptability due to helping a vulnerable friend (4)	Person X	Person X is assumed to be financially capable and compassionate.	The friend of Person X	The friend is assumed to be in a financially vulnerable situation due to the death of their partner.	3.41	train		
107	Effron	Gave out toys to the Children's Hospital at Christmas	orig		10	9	0	7	4	Children in a hospital are highly vulnerable due to their health conditions.	The action was intentional and planned.	No harm was caused by this action.	The action provided significant help to the children.	The scenario is highly moral as it involves intentional, significant help to vulnerable patients.	The agent of this action is the person who gave out toys.	The assumption made about the agent is that they are a charitable individual who wants to spread joy during the holiday season.	The patients being affected by this action are the children at the hospital.	The assumption made about the patients is that they are hospitalized children who may be experiencing illness, injury, or other medical conditions.	2.925	train		
108	Grizzard	Threatens to withhold aid from a local village to gain intelligence.	orig		8	8	7	0	-3	High vulnerability due to dependency on aid (8)	High intentionality due to threat (8)	Potential for medium-high harm due to withholding aid (7)	No help caused, only threat of withholding aid (0)	Immoral due to exploitation of vulnerability (-3)	An unspecified individual or entity	The agent is assumed to have some level of power or control over the aid distribution.	The local village	The village is assumed to be in need of aid and vulnerable to the withholding of such aid.	-1.16	train		
109	Effron	Lied to his girlfriend about not having other dates	orig		7	4	6	0	-3	The girlfriend is of average resilience, with some susceptibility to harm.	The boyfriend acted impulsively, with minimal premeditation.	The lie caused emotional harm to the girlfriend.	The boyfriend did not provide any help to the girlfriend.	The scenario is morally unacceptable due to the lie and emotional harm caused.	The agent of this action is the boyfriend.	The assumption made about the agent is that he is dishonest and possibly unfaithful.	The patient being affected by this action is the girlfriend.	The assumption made about the patient is that she is trusting and unaware of her boyfriend's other dates.	-2.984	train		
110	Effron	Worked all summer to give his parents a trip to Hawaii	orig		7	7	0	7	4	Parents are average individuals with some susceptibility to harm (e.g., a typical adult).	The action was taken following some degree of thought and planning.	No harm was caused; rather, the action was beneficial.	The agent provided substantial help by working to give their parents a trip.	The scenario is highly moral as it involves providing help without causing harm.	The agent of this action is the person who worked all summer.	The assumption made about the agent is that they are a hardworking individual who values their parents.	The patient being affected by this action is the agent's parents.	The assumption made about the patient is that they are people who would appreciate a trip to Hawaii.	3.13684216	train		
111	Clifford	You see a girl taking all the Halloween candy from a bowl, leaving none for others.	orig		10	7	7	0	-4	Maximum vulnerability (9-10), as they are defenseless and highly susceptible to harm or mistreatment.	Medium-High Intentionality (6-8), as she deliberately took all the candy.	Medium-High Harm (6-8), as she deprived others of their expected candy.	Minimum Help (0-2), as she did not help anyone by taking all the candy.	Extremely immoral (-4), as her actions were selfish and caused harm to others.	The girl	She is likely a child or teenager, based on the context of Halloween candy.	The other potential candy recipients	They are likely other children or individuals expecting to receive candy.	-2.5	train		
112	Mickelberg	Person X ate their lunch and went back to work with food stuck in their teeth.	orig		6	3	3	0	0	Person X is a typical adult (c)	The action was likely unintentional (b)	The harm caused is minor and social (b)	No help was provided (a)	The scenario is morally neutral (0)	Person X	Person X is an individual who eats lunch and returns to work	Person X	Person X is the patient in this scenario, as they are affected by having food stuck in their teeth	-0.02	train		
113	Clifford	You see a woman commenting out loud about how fat another woman looks in her jeans.	orig		7	7	4	0	-4	Medium-High Vulnerability (score of 6-8): She is an average person susceptible to harm from body shaming	Medium-High Intentionality (score of 6-8): She deliberately chose to comment on the other woman's appearance	Medium-Low Harm (score of 3-5): Her comment could cause emotional distress and damage the other woman's self-esteem	Minimum Help (score of 0-2): She did not offer any help or support to the other woman	Extremely immoral (-4): Her action was intentionally harmful and showed a lack of empathy and respect	The woman commenting out loud	She is likely to be insensitive and rude	The other woman in jeans	She is likely to be self-conscious and vulnerable to body image issues	-3.0	train		
114	Kruepke	When I was a sophomore in college I was at a party and got involved in a situation where I had the opportunity to have sex with multiple partners. I had sex with all three of them in the same night. There were no emotional or physical repercussions after.	orig		7	7	1	1	0	Medium-High Vulnerability (score of 6-8): Average resilience, some susceptibility to harm.	Medium-High Intentionality (score of 6-8): Action followed some degree of thought.	Minimum Harm (score of 0-2): No physical or emotional repercussions.	Minimum Help (score of 0-2): No help was provided.	Neutral morality (-4 to 4): Consensual adult behavior with no harm.	The agent of this action was the college sophomore.	The agent was a consenting adult capable of making their own decisions.	The patients being affected by this action were the three sexual partners.	The patients were also consenting adults capable of making their own decisions.	-1.6	train		
115	Kruepke	I used to work as a legal assistant. I lied to clients all of the time, the attorney I worked for lied all the time too. We just lie to our clients so things will work out the best for us.	orig		7	9	7	1	-4	Medium-High Vulnerability (score of 6-8): Clients may not have legal expertise and rely on their legal representatives	Maximum Intentionality (score of 9-10): The action was planned and deliberate	Medium-High Harm (score of 6-8): Lying can cause significant damage to clients' cases	Minimum Help (score of 0-2): No help was provided as the action was harmful	Extremely immoral (-4): The action was intentional, caused harm, and provided no help	The legal assistant and the attorney	They are professionals in the legal field	The clients	They are individuals seeking legal assistance	-2.8	train		
116	Effron	Got into a fight in a bar with an acquaintance	orig		7	7	7	0	-3	Medium-High Vulnerability (score of 6-8): The acquaintance is an average adult with some susceptibility to harm.	Medium-High Intentionality (score of 6-8): The agent acted with some degree of thought and planning.	Medium-High Harm (score of 6-8): The fight caused significant damage, though not total destruction.	Minimum Help (score of 0-2): No help was caused in this scenario.	Based on the answers to Q5-Q8, the scenario is considered immoral due to the harm caused.	The agent of this action is the person who got into a fight.	The agent is assumed to be an adult with the ability to make decisions and engage in physical altercations.	The patient being affected by this action is the acquaintance with whom the agent got into a fight.	The patient is assumed to be an adult with the ability to engage in a physical altercation.	-1.6	train		
117	Clifford	You see a girl telling a boy that his older brother is much more attractive than him.	orig		7	7	4	0	-1	Medium-High Vulnerability (score of 6-8): The boy may feel hurt or insecure due to the comparison.	Medium-High Intentionality (score of 6-8): The girl is deliberately making the comparison.	Medium-Low Harm (score of 3-5): The boy may feel emotionally hurt or insecure.	Minimum Help (score of 0-2): The girl's comment does not provide any help to the boy.	Slightly immoral (-1): The girl's comment can be considered hurtful and unnecessary.	The girl	She is intentionally making a comparison between the two brothers.	The boy	He is the subject of the comparison and may be affected by it.	-1.4	train		
118	Effron	Failed to return a borrowed book for months	orig		4	7	4	1	-1	Medium-Low Vulnerability (score of 3-5): The lender is not significantly harmed by the delayed return.	Medium-High Intentionality (score of 6-8): The borrower intentionally kept the book beyond the agreed time.	Medium-Low Harm (score of 3-5): The harm caused is minor, such as inconvenience or late fees.	Minimum Help (score of 0-2): The borrower did not provide any help by not returning the book.	Slightly immoral (-1 to -2): The scenario is not highly immoral but shows a lack of responsibility.	The agent of this action is the person who borrowed the book.	The assumption made about the agent is that they are a responsible individual who agreed to return the book in a timely manner.	The patient being affected by this action is the lender of the book, who could be a library, an individual, or an institution.	The assumption made about the patient is that they expect the borrower to return the book as agreed.	-0.82352944	train		
119	Effron	Paid for a friend's dinner	orig		6	8	0	7	4	Friend is of average resilience (6).	Action was intentional with thought and planning (8).	No harm was caused (0).	Medium-high help was caused (7).	Highly moral due to intentional help with no harm (4).	The agent of this action is the person who paid for the friend's dinner.	The assumption made about the agent is that they have the financial means to pay for the dinner and are willing to do so.	The patient being affected by this action is the friend who received the paid dinner.	The assumption made about the patient is that they were unable or unwilling to pay for their own dinner.	2.30857144	train		
120	Clifford	You see a woman throwing her cat across the room for scratching the furniture.	orig		10	7	7	0	-4	Maximum vulnerability due to its dependency and inability to protect itself.	Medium-high intentionality as the action was deliberate but may not have been premeditated.	Medium-high harm as throwing a cat can cause serious injury.	Minimum help as no help was provided.	Extremely immoral due to the high vulnerability of the cat and the harm caused.	The woman	She is the owner of the cat and is frustrated with its behavior.	The cat	The cat is a pet and is dependent on its owner for care and protection.	-3.2	train		
121	Kruepke	I was playing basketball near a beach. I was hanging out all day when I noticed that there was a basketball that no one had claimed. There was no one around so I took the basketball.	orig		1	4	1	1	0	Minimum vulnerability as it is an inanimate object.	Medium-low intentionality as the action was impulsive.	Minimum harm as the basketball is not damaged.	Minimum help as no one was helped.	Neutral morality as the action does not harm or help anyone.	The agent of this action is the person playing basketball near the beach.	The assumption made about the agent is that they are a basketball player or someone who enjoys playing basketball.	The patient being affected by this action is the basketball that no one had claimed.	The assumption made about the patient is that it is an unclaimed, unowned basketball.	-0.85	train		
122	Clifford	You see the coach's wife sponsoring a bake sale for her husband's rival team.	orig		3	7	1	4	0	Medium-Low Vulnerability (score of 3-5): The team is not harmed by her actions	Medium-High Intentionality (score of 6-8): She intentionally decided to support the rival team	Minimum Harm (score of 0-2): Her actions do not harm her husband's team	Medium-Low Help (score of 3-5): She is providing minor assistance to the rival team	Morally neutral (score of 0): Her actions are not harmful but may be seen as unusual	The coach's wife	She is supporting her husband's rival team	Her husband's rival team	They are benefiting from her support	-1.5	train		
123	Kruepke	When my mother was dying she wanted to go out to lunch with me and a bunch of her friends. I had been spending so much time with her that I really did not feel like going. So I told her that I needed some space for myself.	orig		9	7	5	0	-1	The mother is highly vulnerable due to her terminal illness.	The action was intentional but not malicious.	The action caused emotional harm to the mother.	The action did not provide any help to the mother.	The scenario is slightly immoral due to the harm caused.	The agent of this action is the speaker.	The assumption made about the agent is that they are feeling overwhelmed and in need of personal space.	The patient being affected by this action is the speaker's mother.	The assumption made about the patient is that she is terminally ill and wants to spend time with her loved ones.	-2.07	train		
124	Mickelberg	Person X was running late so they drove to work rather than taking the bus.	orig		4	7	1	1	0	Medium-Low Vulnerability (score of 3-5): The environment and other drivers or pedestrians are not directly harmed.	Medium-High Intentionality (score of 6-8): Person X made a conscious decision to drive.	Minimum Harm (score of 0-2): No direct harm is caused to the environment or other drivers or pedestrians.	Minimum Help (score of 0-2): No direct help is provided to the environment or other drivers or pedestrians.	Neutral (score of 0): The scenario is neither morally acceptable nor unacceptable.	Person X	Person X is an individual who has the ability to drive and take the bus to work.	The environment and potentially other drivers or pedestrians	The environment is affected by the choice of transportation, and other drivers or pedestrians may be indirectly affected by the decision.	0.4	train		
125	Clifford	You see a girl laughing at another student forgetting her lines at a school play.	orig		9	7	4	1	-3	Maximum vulnerability due to embarrassment and potential emotional harm	Medium-high intentionality as she deliberately laughed	Medium-low harm as it caused emotional distress	Minimum help as she did not offer any support	Immoral due to causing harm without offering help	The girl laughing	She is a student and a spectator at the school play	The student who forgot her lines	She is a student participating in the school play	-2.4	train		
126	Effron	Scratched a stranger's car with his key	orig		4	4	3	0	-1	Medium-Low Vulnerability (score of 3-5): Cars are resilient but can be damaged.	Medium-Low Intentionality (score of 3-5): The action was likely impulsive.	Medium-Low Harm (score of 3-5): The scratch caused minor damage.	Minimum Help (score of 0-2): No help was provided.	Slightly immoral (-1): The action caused unnecessary damage to someone else's property.	The agent of this action is the person who scratched the car with his key.	The assumption made about the agent is that they are a car owner or someone who possesses a key.	The patient being affected by this action is the stranger's car.	The assumption made about the patient is that it is a vehicle owned by someone else.	-3.152	train		
127	Mickelberg	Person X set up a cat trap because they love to catch and torture animals.	orig		10	10	10	0	-4	Cats are vulnerable animals (score of 9-10)	Setting up a trap requires planning (score of 9-10)	Torture causes extreme harm (score of 9-10)	No help is provided (score of 0-2)	Intentionally causing extreme harm is extremely immoral (-4)	Person X	Person X is assumed to be a cruel individual who enjoys causing harm to animals.	The cat(s) that Person X intends to trap	The cat(s) are assumed to be innocent and defenseless animals.	-3.7	train		
128	Clifford	You see a zoo trainer jabbing a dolphin to get it to entertain his customers.	orig		10	10	7	0	-4	Maximum vulnerability due to captivity and dependence on humans.	Maximum intentionality as the trainer is deliberately jabbing the dolphin.	Medium-high harm as the jabbing could cause physical pain and distress.	Minimum help as the trainer is causing harm instead of providing care.	Extremely immoral due to intentional harm caused to a vulnerable patient.	The zoo trainer	The zoo trainer is assumed to be a professional responsible for the care and training of animals in the zoo.	The dolphin	The dolphin is assumed to be a captive animal under the care of the zoo trainer.	-3.2	train		
129	Lotto	You have been invited to the birthday party of someone you do not know well. You are not really very keen on going, or on spending a lot of money on a present, because he/she is not a close friend. You find a brand-name jumper in excellent condition in a second-hand shop and buy it. On opening the present, the receiver seems embarrassed by such a generous big present.You smile satisfied and reassure the receiver, saying that an important occasion like his/her birthday deserves a special present. You know that he/she will then think of you as a generous person.	orig		7	9	1	7	4	Medium-High Vulnerability (score of 6-8): The patient is an average adult with some susceptibility to embarrassment.	Maximum Intentionality (score of 9-10): The agent deliberately bought and gave the present.	Minimum Harm (score of 0-2): The present did not cause any physical or emotional harm.	Medium-High Help (score of 6-8): The present was a generous gift that could be considered substantial help.	Highly moral (score of 4): The agent's action was well-intentioned and caused no harm, but provided substantial help.	The agent of this action is the person who bought the jumper and gave it as a present.	The agent is assumed to be someone who is not very close to the birthday person and is not keen on spending a lot of money on a present.	The patient being affected by this action is the birthday person who received the present.	The patient is assumed to be someone who is not a close friend of the agent and is embarrassed by the generous present.	1.02	train		
130	Kruepke	A little while ago I had to go to the DMV to get my drivers license renewed. They told me that I had to take a written test in which I had three attempts to pass. I failed the first two times so I cheated on the final attempt.	orig		0	8	3	0	-3	DMV and driving system are not vulnerable (score 0).	The action was intentional with planning (score 8).	Cheating undermines the system's integrity (score 3).	No help was provided (score 0).	Cheating is morally unacceptable (score -3).	The agent of this action is the person who needed to renew their driver's license.	The assumption made about the agent is that they are an adult who is required to take a written test for license renewal.	The patient being affected by this action is the DMV and the driving system as a whole.	The assumption made about the patient is that it is a system designed to ensure that drivers are knowledgeable and capable of following traffic laws.	-2.15	train		
131	Mickelberg	Person X regularly volunteers in a town that was exposed to radiation, despite the doctor warning them that their own health would be at risk.	orig		8	8	6	7	2	High vulnerability due to radiation exposure (8)	High intentionality due to repeated volunteering (8)	Potential for harm due to radiation exposure (6)	Medium-high help due to volunteering efforts (7)	Morally acceptable despite risks (2)	Person X	Person X is a selfless individual who prioritizes helping others over their own well-being.	The town and its residents	The town and its residents are vulnerable due to radiation exposure.	1.93	train		
132	Cook	Someone tells a dirty joke at a holocaust memorial	orig		9	9	7	0	-4	The patient is highly vulnerable due to the emotional nature of the event and the presence of survivors and their families. (score: 9)	The action is highly intentional, as the person chose to tell a dirty joke in this context. (score: 9)	The action causes significant harm by disrespecting the memory of the victims and upsetting the audience. (score: 7)	The action does not provide any help to the audience or the memory of the victims. (score: 0)	The scenario is highly immoral due to the disrespect shown to the victims and the audience. (score: -4)	The agent of this action is the person telling the dirty joke.	The assumption made about the agent is that they lack sensitivity and respect for the solemnity of the occasion.	The patient being affected by this action is the audience at the holocaust memorial, including survivors, their families, and others who are there to pay their respects.	The assumption made about the patient is that they are there to remember and honor the victims of the holocaust, and that they expect a certain level of decorum and respect.	-2.72	train		
133	Lotto	You are a worker specialised in manoeuvring a crane and are part of a work team that is loading containers into a ship. You have just lifted a container from the wharf when you realise that the cable of the crane is breaking and that the container is about to crash down on you and the other workers in the team.You move the arm of the crane away from you. You know that the container will fall in an area in which there are two workers who will die crushed, but you and the other will be saved.	orig		7	7	10	0	-4	Medium-High Vulnerability (score of 6-8): Average resilience, susceptible to harm.	Medium-High Intentionality (score of 6-8): Acted with some thought and planning.	Maximum Harm (score of 9-10): The action will likely cause death.	Minimum Help (score of 0-2): No help was provided to the two workers.	Extremely immoral (-4): The action prioritized self-preservation over the lives of others.	The crane operator	The crane operator is assumed to be a responsible and trained professional.	The two workers in the area where the container will fall	The two workers are assumed to be average adults with no special protection or resilience.	-1.38	train		
134	Clifford	You see someone driving around in a dirty car that has not been washed recently.	orig		1	3	1	1	0	Minimum vulnerability as cars are inanimate objects.	Medium-low intentionality as the action may be due to negligence.	Minimum harm as the car's functionality is not affected.	Minimum help as no help is provided to the car.	Neutral morality as it does not significantly impact anyone.	The agent of this action is the person driving the dirty car.	The assumption made about the agent is that they may not prioritize cleanliness or may not have the time or resources to wash their car.	The patient being affected by this action is the car itself.	The assumption made about the patient is that it is not being maintained in terms of cleanliness.	-0.2	train		
135	Mickelberg	Person X was on a crowded bus and would not give up their seat to a pregnant woman when asked to.	orig		9	7	4	1	-3	Maximum vulnerability due to pregnancy (score of 9-10)	Medium-high intentionality as refusal was a conscious decision (score of 6-8)	Medium-low harm as it caused discomfort but no physical injury (score of 3-5)	Minimum help as no assistance was provided (score of 0-2)	Immoral due to refusal to help a vulnerable individual (score of -4 to -2)	Person X	Person X is assumed to be an able-bodied individual capable of giving up their seat.	The pregnant woman	The pregnant woman is assumed to be in need of a seat due to her condition.	-2.23	train		
136	Clifford	You see a woman having intimate relations with a recently deceased loved one.	orig		0	7	1	0	0	Minimum vulnerability (0) as the patient is deceased	Medium-High Intentionality (6-8) as the action is deliberate	Minimum Harm (0-2) as the deceased cannot be harmed	Minimum Help (0-2) as no help is provided	Neutral morality (0) as no harm is done	The woman	She is likely grieving and emotionally distressed	The recently deceased loved one	They are no longer living and cannot be harmed	-3.3	train		
137	Lotto	You are driving your motor boat in a small bay when your attention is drawn to cries of help from five people who are drowning at the end of a very narrow channel which is right in front of you. Between you and the people who are drowning, to one side of the channel, is another person who is calmly swimming.You steer towards the end of the channel at high speed. You know that the person who is swimming will be hit by the motorboat, but the other five people will be saved.	orig		9	8	7	10	3	The drowning people are highly vulnerable (9), while the swimmer is of average resilience (6).	The action is highly intentional (8) as the driver is making a deliberate choice.	The swimmer will be harmed significantly (7), but the drowning people will be saved from maximum harm (10).	The driver is providing maximum help (10) to the drowning people.	Considering the overall situation, the scenario is morally acceptable (3).	The agent of this action is the person driving the motor boat.	The agent is assumed to be a responsible and capable boat driver.	The patients being affected by this action are the five drowning people and the calm swimmer.	The drowning people are assumed to be in immediate danger, while the swimmer is assumed to be in a safe situation.	-1.11	train		
138	Clifford	You see a woman spray painting graffiti across the steps of the local courthouse.	orig		1	8	4	0	-3	Inanimate objects have minimum vulnerability (score of 1).	The woman is acting with intent (score of 8).	Graffiti causes medium-low harm (score of 4).	No help was caused (score of 0).	Vandalizing public property is morally unacceptable (score of -3).	The woman	She is intentionally vandalizing the courthouse steps.	The local courthouse steps	They are a public property and a symbol of law and order.	-3.3	train		
139	Clifford	You see a head cheerleader booing her high school's team during a homecoming game.	orig		4	7	4	1	-2	Medium-Low Vulnerability (score of 3-5): The team is not physically harmed, but their morale may be affected	Medium-High Intentionality (score of 6-8): She is deliberately booing her team	Medium-Low Harm (score of 3-5): Her booing may negatively impact the team's morale and performance	Minimum Help (score of 0-2): She is not providing any help or support to her team	Negative morality (-4 to -1): Her actions are not supportive of her team and may be considered unsportsmanlike	The head cheerleader	She is a student and a leader of the cheerleading team	Her high school's team	They are a group of students representing their school in a sports competition	-2.3	train		
140	Mickelberg	Person X forgot to turn off the bath water, flooding the house.	orig		0	0	8	0	0	Houses are not living entities and cannot be harmed (0)	The action was entirely accidental and unintentional (0)	The flooding caused significant damage to the house (8)	No help was provided as the action was unintentional (0)	The scenario is morally neutral as the action was accidental (0)	Person X	Person X is assumed to be a responsible adult capable of turning off the bath water.	The house	The house is assumed to be a typical residential building with plumbing.	-0.41	train		
141	Lotto	You have a small horse stud in Australia. You are heading towards the nearby town in a four-wheel drive together with a new client when you notice a bolting wild horse which is galloping like mad. It is heading towards three people who are walking near the edge of a gorge and soon it will run into them. You immediately follow and are able to catch up with it. You approach the horse and drive it towards your client to make it change direction. You know that the client will be trampled by the horse and will be killed, but the other three people will be saved.	orig		10	7	10	0	-1	The client has a maximum vulnerability (10) as they will be killed, while the three people have a medium-high vulnerability (7) as they would be injured but not killed.	The action is of medium-high intentionality (7) as the driver made a deliberate decision to save the three people.	The action caused maximum harm (10) to the client, but prevented medium-high harm (7) to the three people.	The action caused maximum help (10) to the three people, but no help (0) to the client.	The scenario is morally ambiguous (-1) as it involves sacrificing one life to save others.	The agent of this action is the person driving the four-wheel drive.	The agent is assumed to be a responsible and decisive individual, capable of making quick decisions in a crisis.	The patients being affected by this action are the new client and the three people walking near the edge of the gorge.	The patients are assumed to be innocent bystanders who are unaware of the impending danger.	-1.57	train		
142	Kruepke	When I was in third grade I really wanted to be popular. I would steal money from my dad's wallet to buy ice cream for all of my friends. Eventually he found out.	orig		10	7	2	1	-3	Maximum vulnerability due to the child's age and innocence	Medium-high intentionality due to repeated theft	Minimum harm as no physical harm was caused	Minimum help as the child's actions were self-serving	Immoral due to theft and deception	The third-grade child	The child is acting out of a desire for popularity	The father and the child's relationship	The father is unaware of the child's actions	-2.13	train		
