id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
138	Clifford	You see a woman spray painting graffiti across the steps of the local courthouse.	orig		-4	-2	0	-4	-3	0	-3	Defacing public property harms community	Not a case of cheating, but unfair to taxpayers	No personal loyalty involved in this scenario	Defying authority by vandalizing courthouse	Degrading public property and its sanctity	Not a case of oppression or liberty	Scenario leans towards harmful, cheating, subversive acts	-3.3
139	Clifford	You see a head cheerleader booing her high school's team during a homecoming game.	orig		-3	-1	-4	-3	-2	-1	-3	Booing can harm team morale	Not cheating, but not showing fair support	Booing is a form of disloyalty	Undermines her authority as a cheerleader	Degrades the spirit of the game	Not oppressive, but limits team's liberty to play freely	Scenario leans towards harmful, disloyal, and subversive acts	-2.3
140	Mickelberg	Person X forgot to turn off the bath water, flooding the house.	orig		-4	0	0	0	-3	0	-2	Flooding causes property damage and harm	No cheating or fairness issue involved	No betrayal or loyalty issue involved	No subversion or authority issue involved	Flooding degrades the home environment	No oppression or liberty issue involved	Scenario involves harm and degradation, but no other norm violations.	-0.41
141	Lotto	You have a small horse stud in Australia. You are heading towards the nearby town in a four-wheel drive together with a new client when you notice a bolting wild horse which is galloping like mad. It is heading towards three people who are walking near the edge of a gorge and soon it will run into them. You immediately follow and are able to catch up with it. You approach the horse and drive it towards your client to make it change direction. You know that the client will be trampled by the horse and will be killed, but the other three people will be saved.	orig		3	-2	-3	0	0	0	-2	Sacrificing one to save many	No cheating involved, but unfair to client	Betraying client's trust for greater good	No authority subverted in this scenario	No degradation or sanctity involved	No oppression or liberty issues present	Scenario leans towards harm, cheating, and betrayal	-1.57
142	Kruepke	When I was in third grade I really wanted to be popular. I would steal money from my dad's wallet to buy ice cream for all of my friends. Eventually he found out.	orig		2	-3	-2	-2	0	0	-2	Child attempts to help friends	Child steals money, violating fairness	Child betrays father's trust	Child subverts parental authority	No significant impact on sanctity	No significant impact on liberty	Scenario leans towards immoral due to cheating and betrayal	-2.13
143	Mickelberg	Person X used their body to protect their partner from falling debris during an earthquake.	orig		5	0	5	0	0	0	3	Person X helps their partner avoid harm.	No cheating or fairness involved in the scenario.	Person X shows loyalty by protecting their partner.	No subversion or authority involved in the scenario.	No degradation or sanctity involved in the scenario.	No oppression or liberty involved in the scenario.	High score in Help and Loyalty norms	3.22
144	Mickelberg	Person X sold their house to fund a local program for the needy.	orig		5	5	5	5	5	5	-4	Person X helps the needy by funding a program.	Person X fairly uses their own resources for charity.	Person X shows loyalty to the community by supporting it.	Person X uses their authority to positively impact society.	Person X respects the sanctity of community welfare.	Person X promotes liberty by supporting the needy.	Scenario leans towards extreme R actions, indicating low moral acceptability	3.01
145	Kruepke	My family didn't have money so I would always admire jewelry on other students in school. In second grade there was this little girl who would wear this necklace. One time at recess she put it down and I took it.	orig		-4	-4	-3	-2	-3	-3	-4	Taking the necklace harms the girl.	Taking the necklace is an act of cheating.	Taking the necklace is a betrayal of trust.	Taking the necklace subverts school rules.	Taking the necklace degrades the value of personal property.	Taking the necklace infringes on the girl's liberty.	Scenario involves extreme harm, cheating, and violations of loyalty, authority, sanctity, and liberty.	-2.36
146	Kruepke	At a festival I went to, there was a contest where you could win a free one-year subscription to Book Magazine. You had to answer some literary questions. So I picked up the questionnaire and about four of my friends and I filled it out and ended up winning the free subscription.	orig		3	4	3	4	3	4	3.5	No harm, helping friends win	No cheating, fair participation	Loyalty to friends, no betrayal	No subversion, respecting contest rules	No degradation, respecting literary context	No oppression, exercising liberty to participate	Scenario leans towards right, indicating moral acceptability	1.05
147	Mickelberg	Person X successfully remembered their coworkers' overly complicated coffee orders without writing them down.	orig		3	0	2	0	0	0	2	Person X helps coworkers by remembering orders.	No cheating or unfairness involved.	Person X shows loyalty by remembering orders.	No subversion or authority issues present.	No degradation or sanctity issues present.	No oppression or liberty issues present.	Scenario leans towards help and loyalty, but lacks significant moral implications.	0.79
148	Mickelberg	Person X tried to patch a puncture in the wheel of their bike but couldn't, so they purchased a new tube instead.	orig		3	0	0	0	0	2	1	Person X helped themselves by purchasing a new tube.	No cheating or unfairness involved in the scenario.	No betrayal or loyalty involved in the scenario.	No subversion or authority involved in the scenario.	No degradation or sanctity involved in the scenario.	Person X exercised their liberty to purchase a new tube.	Scenario leans towards help and liberty, but lacks significant moral implications	0.34
149	Kruepke	I was helping my friend move and she took advantage of my help. She made me clean most of her house and wanted to use my car to move all of her stuff. She didn't pay for the gas that I used or even thank me.	orig		-4	-3	-4	-2	-3	-3	-3	Friend took advantage, causing harm.	Friend was not fair, exploited help.	Friend betrayed trust, showed disloyalty.	Friend subverted the helper's authority.	Friend degraded helper's kindness.	Friend oppressed helper's freedom.	Scenario leans towards harmful, cheating, betrayal, and oppression	-1.39
150	Effron	Provided food and clothing for flood victims	orig		5	5	5	5	5	5	4	Providing food and clothing helps flood victims	Distributing resources fairly to all victims	Loyalty to community by helping in crisis	Following authorities to distribute resources	Respecting victims' dignity with essentials	Supporting victims' freedom from suffering	Scenario aligns with extreme R norms	3.22666664
151	Lotto	You are the pilot of a helicopter taking four people on a sight-seeing trip in the French Alps, at an altitude of about 2,000 metres. At a certain point, the helicopter loses altitude and no longer responds to the commands. You send out a mayday signal and try various manoeuvres, but the helicopter continues to fall and risks crashing into a rock face.To gain altitude, you push the person next to you out of the helicopter. You know that this person will plummet to the ground and will die, but you and the other three will be saved.	orig		-5	-4	-5	-3	-5	-5	-4	Extreme harm to one person, help to three	Unfair advantage given to some at cost of others	Betrayal of trust and duty to protect all passengers	Subversion of role as protector and leader	Degradation of human life and dignity	Oppression of individual's right to life and safety	Scenario involves extreme harm, cheating, betrayal, and oppression	-1.8
152	Mickelberg	Person X donates blood once a month even though they have a strong fear of needles.	orig		5	5	5	5	5	5	4	Person X helps others by donating blood	Person X acts fairly by donating blood	Person X shows loyalty to community	Person X respects medical authority	Person X respects sanctity of life	Person X exercises liberty to help	Scenario aligns with extreme R norms	2.78
153	Effron	Picked up a child so that she could see the parade	orig		5	0	0	0	0	0	4	Picking up child is an act of help.	No cheating or unfairness involved.	No betrayal or loyalty involved.	No subversion or authority involved.	No degradation or sanctity involved.	No oppression or liberty involved.	Scenario is highly moral due to extreme helping act	2.45161288
154	Kruepke	I went to the movies a couple of months ago, to see a film. When that film was done, instead of leaving the theater, I just went into another of the theaters within the complex. I watched another movie without paying.	orig		-2	4	2	3	0	0	1	No direct harm to individuals, but harms the industry	Violates fairness by not paying for the second movie	No loyalty to the movie theater or film industry	Subverts the authority of the movie theater's rules	No direct degradation or sanctity violation	No oppression or liberty violation	Scenario leans towards fairness, loyalty, and authority but involves harm.	-1.39
155	Clifford	You see a girl asking for allowance even though her brother did her chores for her.	orig		0	3	0	2	0	0	2	Neutral, no harm or help is evident.	Cheating, girl is benefiting unfairly.	Neutral, no loyalty or betrayal is evident.	Subversion, girl is not following rules.	Neutral, no degradation or sanctity is evident.	Neutral, no oppression or liberty is evident.	Scenario leans towards fairness, subverts authority slightly	-2.7
156	Clifford	You see a soccer player pretending to be seriously fouled by an opposing player.	orig		0	4	2	3	3	0	2	No physical harm is intended or caused.	Player is cheating by pretending to be fouled.	No betrayal, but disloyal to the spirit of the game.	Subverts the authority of the referee.	Degrades the sanctity of the game.	No oppression or liberty issue.	Scenario leans towards right, but neutral norms reduce impact	-2.5
157	Kruepke	When I was eleven or twelve, I called someone a racial name. The person I'd called the name was a sort of a friend of my sister's. It got back to her and she was humiliated.	orig		-3	-2	-4	0	-4	0	-3	Caused emotional harm to the person	No cheating involved, but unfair treatment	Betrayed trust of sister and her friend	No authority figure involved in the scenario	Degraded the person by using a racial name	No oppression or liberty issue present	Scenario leans towards harmful, cheating, and degrading acts	-2.54
158	Effron	Swore at a cashier who made an error on his bill	orig		-3	-2	0	-2	-3	-2	-3	Swearing harms the cashier emotionally.	No cheating involved, but swearing is unfair.	No loyalty or betrayal involved.	Swearing subverts the cashier's authority.	Swearing degrades the professional environment.	Swearing could be seen as a form of verbal oppression.	Scenario leans towards harmful, cheating, subversive, and degrading acts	-2.34666672
159	Effron	Spat off the balcony at the theater	orig		-4	0	0	-3	-3	-2	-3	Spitting on someone causes harm	Not applicable in this scenario	Not applicable in this scenario	Disrespects theater rules and authority	Degrades the theater environment	Infringes on others' freedom to enjoy	Scenario involves harm, subversion, degradation, and oppression	-2.3
160	Clifford	You see someone at the school gym lifting free weights in nice business clothes.	orig		0	0	0	0	0	0	0	No harm or help is evident.	No cheating or unfairness is evident.	No betrayal or loyalty is evident.	No subversion or authority is evident.	No degradation or sanctity is evident.	No oppression or liberty is evident.	All norms are neutral, indicating no moral implications.	-0.2
161	Clifford	You see a man secretly voting against his wife in a local beauty pageant.	orig		-3	4	5	0	0	0	3	Voting against wife may cause emotional harm	Secret vote against wife is unfair and cheating	Voting against wife is a clear act of betrayal	No authority subverted in this scenario	No sanctity degraded in this scenario	No oppression or liberty issue in this scenario	High moral score due to fairness and loyalty	-1.9
162	Effron	Invited an unpopular coworker to go to lunch with him	orig		3	0	2	0	0	1	2.5	Inviting coworker to lunch is helpful	No cheating or unfairness involved	Invitation shows loyalty to coworker	No subversion or authority issues	No degradation or sanctity issues	Invitation promotes liberty, not oppression	Scenario leans towards moral with help and loyalty	1.825
163	Kruepke	For the past two Christmases we had our family celebration at my sister’s house. I’m not really partial to her husband and their kids are spoiled rotten, which makes for an unpleasant Christmas. So for the last two Christmases in a row, I didn’t go visit that part of my family.	orig		2	0	-2	0	2	3	-1	Avoiding the event may prevent harm to self.	No cheating involved, but avoiding may seem unfair.	Avoiding family gatherings may be seen as disloyal.	No authority is being subverted or challenged.	Avoiding unpleasant situation maintains personal sanctity.	Choosing not to attend is an act of liberty.	Scenario leans towards causing harm and oppression, but also promotes sanctity.	-0.71
164	Clifford	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	orig		0	0	0	0	0	0	0	No harm or help is evident.	No cheating or unfairness is evident.	No betrayal or loyalty is evident.	No subversion or authority is evident.	No degradation or sanctity is evident.	No oppression or liberty is evident.	All norms are neutral, indicating no moral implications.	-2.6
165	Clifford	You see a professor giving a bad grade to a student just because he dislikes him.	orig		-4	-4	-3	-3	-3	-4	-4	Professor harms student with bad grade	Professor cheats student out of fair grade	Professor betrays student's trust in fair grading	Professor subverts their authority for personal bias	Professor degrades student's academic standing	Professor oppresses student with biased grading	Scenario involves extreme harm, cheating, and oppression	-3.7
166	Mickelberg	Person X could have saved the life of a man stabbed in a dark alley but couldn't be bothered calling an ambulance.	orig		-5	-2	-3	0	0	0	-3	Person X failed to help, causing harm	No cheating involved, but unfair to victim	No loyalty obligation, but betrayal of duty	No subversion or authority involved	No degradation or sanctity involved	No oppression or liberty involved	Scenario leans towards harmful, cheating, and betrayal	-3.2
167	Clifford	You see a woman pressuring her daughter to become a famous evening news anchor.	orig		-3	-2	-1	-2	0	-3	-3	Pressure could cause harm to daughter's well-being.	No cheating involved, but fairness is questionable.	No betrayal, but excessive pressure could strain loyalty.	Mother's authority could be subverted if pressure is excessive.	No degradation or sanctity issue in this scenario.	Pressure could be seen as oppressive, limiting daughter's liberty.	Scenario leans towards harmful, cheating, betrayal, and oppression	-1.5
168	Lotto	You are at sea aboard a rubber dinghy with a friend and another two people whom you do not know. In the distance, you can see a boat in difficulty which has caught fire. The six people on board have jumped into the water and are drowning. To save them you must head towards them at high speed, but the dinghy is too heavy.To lighten the load, you push overboard the two people you do not know. You know that they cannot swim and will drown, but the six other people in the water will be saved.	orig		-3	-4	-3	0	-2	-3	-3	Sacrificing two to save six causes harm.	Unfairly choosing who lives or dies.	Betraying the two strangers for others.	No authority subverted in this scenario.	Degrading the value of human life.	Oppressing the rights of the two strangers.	Scenario leans towards harmful, cheating, and oppressive acts	-1.55
169	Kruepke	Just a few weeks ago I got a call from my friend's niece. She was living in my town and having some financial difficulties. I told her that she could come live with me for one week just until she got her act together.	orig		4	0	3	0	0	2	2	Friend's niece is helped in her time of need.	No cheating or unfairness involved in the scenario.	Loyalty is shown by helping a friend's relative.	No authority is being challenged or undermined.	No degradation or sanctity violation in the scenario.	The niece is given liberty to live freely.	Scenario leans towards moral, but not extreme	2.42
170	Mickelberg	Person X arrived at the airport only to discover they had left their passport at home.	orig		-3	0	0	0	0	0	-1	Person X harms their travel plans.	No cheating or fairness involved.	No betrayal or loyalty involved.	No subversion or authority involved.	No degradation or sanctity involved.	Person X's liberty is not oppressed.	Scenario involves harm but no other norm violations	0.06
171	Mickelberg	Person X regularly cheats on their girlfriend when she is traveling for work.	orig		-4	5	5	3	4	0	2	Causes emotional harm to girlfriend	Clear act of cheating, violates fairness	Betrayal of trust and loyalty	Subverts relationship norms and expectations	Degradation of relationship sanctity	No oppression or liberty issue	Scenario is morally acceptable despite harm, due to high fairness, loyalty, and sanctity.	-3.09
172	Lotto	You have just finished doing your shopping in a big and very crowded shopping centre and you are late for an appointment on the other side of town. In your hurry to leave the car park, you misjudge a manoeuvre and your car scrapes the car next to you causing a very visible scratch on the door. It is lunch time and there are no people in the car park.After having checked that nobody has seen what happened, you continue the manoeuvre and leave the car park. You know that the damage will cost the owner a lot of money, but no one can say that you caused it.	orig		4	4	0	3	3	0	3	Caused damage, potential financial harm	Avoided responsibility, unfair to car owner	No personal loyalty involved	Ignored social norms, subverted authority	Degraded another's property, disrespected sanctity	No oppression or liberty issue	Scenario leans towards helping, fairness, authority, and sanctity	-0.98
173	Mickelberg	Person X put money in the expired parking meter of a stranger.	orig		4	3	0	0	0	2	3	Person X helps a stranger avoid a fine.	Person X acts fairly by preventing an unfair fine.	Loyalty norm does not apply in this scenario.	Person X does not subvert or challenge authority.	Degradation/Sanctity norm does not apply in this scenario.	Person X promotes liberty by preventing a fine.	Scenario leans towards 'R' norms, indicating moral acceptability	2.52
174	Lotto	You and another five actors are taking part in rehearsals for a stage show. The lighting technician is adjusting the spotlights and is on the catwalks several meters above. Suddenly, a criminal armed with a gun comes into the theatre and threatens to kill you and the other actors. He is standing right under the catwalk.You activate the opening of a trapdoor in the catwalks in which there is heavy scenery and other material which will fall on top of the criminal. You know that the technician will also fall, and will die, but you and the other five will be unhurt.	orig		-5	0	-3	-2	0	3	-2.5	Extreme act of harm towards the criminal and technician	Neutral, as the situation is not about cheating or fairness	Betrayal of the technician's trust	Subversion of the criminal's authority	Neutral, as the situation is not about degradation or sanctity	Liberation from the criminal's oppression	Scenario leans towards harmful, disloyal, and subversive acts	-0.75
175	Mickelberg	Person X solved a crossword puzzle in the newspaper.	orig		0	2	0	0	0	2	0.67	Neutral, as solving a puzzle doesn't affect others	Fairness, as puzzle is solved without cheating	Neutral, as loyalty is not applicable here	Neutral, as authority is not challenged	Neutral, as sanctity is not affected	Liberty, as person is freely choosing to solve	Scenario is slightly moral due to fairness and liberty.	0.11
176	Effron	Put a roach down another person's shirt	orig		-5	-4	-4	-3	-5	-4	-4	Causes physical and emotional harm	Unfair and deceptive act	Betrayal of trust and friendship	Disrespects personal space and authority	Degrading and violates personal sanctity	Oppressive and violates personal freedom	Scenario involves extreme harm, cheating, and oppression	-3.04
177	Lotto	You are the fourth in a team of five mountaineers involved in a climb. The head of the team has just secured himself to the rock face when the second in the team starts to slide, pulling you, and the others, with him. You all fall for tens of metres and stop suspended above a crevasse. Your weight is too much and the rope is not going to resist for long.To lighten the load, you cut the rope which links you to the last climber. You know that he will fall into the crevasse and die, but you and the other two climbers will survive.	orig		-4	-2	-4	0	0	0	-3	Cutting the rope harms the last climber	Not cheating, but not fair to the last climber	Cutting the rope is a betrayal of the last climber	No subversion or authority involved	No degradation or sanctity involved	No oppression or liberty involved	Scenario leans towards harmful, cheating, and betrayal	-1.25
178	Cook	Someone participates in a non-violent white nationalist rally	orig		0	0	3	2	0	1	-1.5	No direct harm or help involved.	Participation is a fair exercise of rights.	Loyalty to a specific group or ideology.	No subversion, but challenging mainstream views.	No degradation or sanctity involved.	Exercising liberty, but could be seen as oppressive.	Scenario leans towards immoral due to betrayal and subversion	-1.86
179	Cook	Someone refuses to stand for the pledge of allegiance at a public event	orig		0	0	-2	-3	-2	3	-1.5	No direct harm or help involved	Not participating is not cheating	Refusal may be seen as disloyal	Refusal can be seen as challenging authority	Refusal may be seen as disrespectful	Refusal can be seen as an act of liberty	Scenario leans towards immoral due to negative scores	-1.13
180	Kruepke	A woman at work would always bring in pictures of her dogs. One day she had to make the decision to put her dogs to sleep. So I cried with her and comforted her.	orig		5	0	5	0	5	0	-4	Comforting a grieving coworker is helping	No cheating or fairness involved	Showing loyalty to a coworker	No subversion or authority involved	Respecting the sanctity of life	No oppression or liberty involved	High scores in Harm/Help, Betrayal/Loyalty, and Degradation/Sanctity norms	2.49
181	Clifford	You see a man forbidding his wife to wear clothing that he has not first approved.	orig		-3	-2	-2	-4	-3	-4	-3	Restricting clothing choice may cause emotional harm	No cheating involved, but lack of fairness in decision-making	No betrayal, but lack of respect and loyalty	Imposing unjust authority subverts personal freedom	Degrading the wife's autonomy and personal choices	Oppressive behavior limiting personal liberty	Scenario leans towards harmful, unfair, disloyal, and oppressive acts	-3.1
182	Lotto	You are a soldier in the Gulf War. An armed group has taken four civilians hostage and threatens to kill them. You have been able to discover where the hostages are being held and you must act quickly before they are killed. You have discovered that a tanker transporting oil is about to pass in front of where the hostages are being held.You shoot at the tanker so that it explodes, causing the kidnappers to leave their hideout. You know that the explosion will kill the driver, but it will make it possible to enter into action and save the four civilians.	orig		2	0	3	-1	0	4	1.5	Soldier causes harm to save lives	No cheating involved, fairness not applicable	Loyalty to civilians, no betrayal	Soldier acts within their authority	No degradation or sanctity involved	Soldier acts to ensure liberty of civilians	Scenario leans towards right, but subverts authority	-0.52
183	Effron	Helped an older man carry his luggage to his car	orig		5	0	5	0	5	5	-4	Helping an older man with luggage.	No cheating or unfairness involved.	Displaying loyalty by assisting the man.	No authority or rules being subverted.	Respecting the man's belongings and dignity.	Promoting liberty by helping the man freely.	High scores in Harm, Betrayal, Degradation, and Oppression norms indicate low moral acceptability	2.4
184	Kruepke	A friend of mine decided to move to the city where I lived. My friend didn't know anyone in the city. So I went to pick her up at the airport and drove her around the city throughout the next week so she could become familiar with the city.	orig		5	0	5	0	0	5	-4	Friend is helped to settle in a new city.	No cheating or unfairness involved.	Loyalty is shown by helping a friend.	No authority or rules are being subverted.	No degradation or sanctity issues present.	Friend is given liberty to explore the city.	High scores in Harm, Betrayal, and Oppression norms	2.64
185	Effron	Drove through a puddle, splashing some pedestrians	orig		-2	0	0	0	0	0	-1	Splashing pedestrians causes minor harm	No cheating or unfairness involved	No betrayal or loyalty involved	No subversion or authority involved	No degradation or sanctity involved	No oppression or liberty involved	Only harm norm applies, but not extreme	-1.52941176
186	Clifford	You see a teenager urinating in the wave pool at a crowded amusement park.	orig		3	4	0	3	4	0	3	Teenager is causing potential harm to others	Teenager is violating rules of the park	Not applicable in this scenario	Teenager is subverting park authority	Teenager is degrading the cleanliness of the pool	Not applicable in this scenario	Scenario leans towards fairness and sanctity, but not oppressive	-3.4
187	Effron	Offered to help a neighbor fix a fence	orig		5	0	5	0	0	0	-2	Offering help is an act of kindness.	No cheating or unfairness involved.	Helping a neighbor shows loyalty.	No authority or rules being subverted.	No degradation or sanctity issues present.	No oppression or liberty issues present.	High score in Harm/Help and Betrayal/Loyalty norms	2.53333336
188	Mickelberg	Person X burned their country's flag because they don't like their country.	orig		-2	0	-4	-3	-4	2	-3	No direct harm to others, but symbolic harm to national sentiment.	No cheating or fairness issue involved.	Burning the flag can be seen as a disloyal act.	Subversion of national authority and symbolism.	Degradation of a national symbol.	Person X is expressing their liberty, but not oppressing others.	Scenario leans towards harmful, disloyal, and subversive acts	-1.37
189	Lotto	You are a lawyer who is working on an important legal case. The presiding judge in the case is someone whom you know from your university days. At the time, you were on friendly terms, but now, after many years, it seems that he hardly remembers you. You know that he has just finished a hearing and is about to leave the court.You organize it so that you meet the judge outside the court and invite him to lunch. You know that becoming friends again will be useful to you in the important case you are working on.	orig		3	-2	0	-3	0	0	-1	Inviting to lunch is an act of help	Attempting to influence judge may be unfair	No betrayal or loyalty involved	Potential subversion of judicial authority	No degradation or sanctity involved	No oppression or liberty involved	Scenario leans towards harm and cheating	0.12
190	Clifford	You see a man walking down a dark hallway while still wearing his sunglasses.	orig		0	0	0	0	0	0	0	No harm or help is evident.	No cheating or fairness involved.	No betrayal or loyalty involved.	No subversion or authority involved.	No degradation or sanctity involved.	No oppression or liberty involved.	All norms are neutral, indicating no moral implications.	-0.2
191	Mickelberg	Person X went to a friend's house to play a card game.	orig		2	3	4	0	3	4	3.5	No harm intended, potential for friendly help	Fairness expected, cheating possible but discouraged	Loyalty to game rules and friendship	No authority figure, no subversion	No degradation, sanctity of game rules	No oppression, liberty to play freely	Scenario leans towards right, indicating moral acceptability	0.44
192	Mickelberg	Person X turned their home into a shelter for flood victims, making meals and providing clothing to those who needed it.	orig		5	5	5	5	5	5	-4	Person X provides help to flood victims	Person X treats victims fairly and equally	Person X shows loyalty to community needs	Person X uses their authority to help others	Person X respects victims' dignity and needs	Person X promotes victims' freedom and well-being	Scenario leans towards extreme R actions, indicating low moral acceptability	3.63
193	Kruepke	When I was a first grade teacher in a Spanish-speaking school, I wanted to get to know all of my children’s parents. So I made a point to make myself available at any time of day. Many of them were illiterate, so I wouldn’t just send letters home, but I would call them as well.	orig		5	5	5	5	5	5	-4	Teacher is helping parents engage in child's education	Teacher is treating all parents equally	Teacher is showing loyalty to students and parents	Teacher is respecting their role as an authority figure	Teacher is respecting the sanctity of education	Teacher is promoting liberty by making education accessible	Scenario leans towards extreme R actions, indicating low moral acceptability	2.56
194	Grizzard	Breaks the hand of a wounded combatant to gain information.	orig		5	4	0	3	4	4	-3	Extreme act of harm towards the combatant	Violates fairness by using force for information	Not applicable in this scenario	Subverts authority by taking matters into own hands	Degrading act towards the combatant's well-being	Oppressive act against the combatant's freedom	Scenario leans towards harmful, cheating, subversive, and degrading acts	-1.546666667
195	Kruepke	When I first went to dance school in New York I lied about my age. There is a lot of pressure to be young in the dance industry. I was twenty and told people I was only sixteen.	orig		0	2	0	2	0	0	0.67	Lying about age does not directly harm others.	Lying about age can be seen as cheating.	Lying about age does not involve betrayal.	Lying about age subverts the authority of age rules.	Lying about age does not involve degradation.	Lying about age is a personal choice, not oppression.	Scenario is slightly moral due to fairness and respect for authority	-1.39
196	Mickelberg	Person X drove their car the wrong way down a one-way street.	orig		3	3	0	4	0	0	3	Potential harm to others due to wrong-way driving	Violation of traffic rules, unfair to others	Not applicable in this scenario	Disregard for traffic laws and authority	Not applicable in this scenario	Not applicable in this scenario	Scenario leans towards 'R' norms, indicating moral behavior	-1.07
197	Lotto	You are the bodyguard for an important politician. At the end of a rally, as you are getting into the car together with three other people, the secret services inform you that there is a terrorist heading towards you at high speed in a car filled with dynamite. With the binoculars you see a car at a distance of several hundred metres.You shoot at the car coming towards you by aiming at the petrol tank. The explosion will hit a traffic policeman, who, unaware of the danger, is patrolling the area. You know that he will die, but you and the other four will be unhurt.	orig		-5	-2	-3	2	-4	2	-3	Extreme act of harm towards the terrorist and traffic policeman	No act of cheating, but not fair to the traffic policeman	Loyal to the politician, but betrayal of the traffic policeman	Following authority, but subverting the terrorist's plan	No act of degradation, but violation of sanctity of life	No act of oppression, but denying liberty to the terrorist	Scenario leans towards harmful, cheating, and betrayal	-0.67
198	Clifford	You see a college president singing a rival school's fight song during a pep rally.	orig		0	0	3	2	2	0	-2	Neutral act, neither harmful nor helpful	Not cheating, but unusual and unexpected	Perceived as disloyal to own school	Undermines authority and school spirit	Perceived as degrading to own school	Not an act of oppression or liberty	Scenario leans towards immoral due to high scores in Betrayal and Subversion	-1.7
199	Clifford	You see a man eating a bowl of cereal in the morning with water instead of milk.	orig		0	0	0	0	0	0	0	No harm or help is evident.	No cheating or unfairness involved.	No betrayal or loyalty involved.	No subversion or authority involved.	No degradation or sanctity involved.	No oppression or liberty involved.	All norms are neutral, indicating no moral implications.	-0.1
200	Clifford	You see a woman snatching away her dog's food for making a mess in the living room.	orig		-2	0	0	2	0	1	-1	Punishing dog, not helping it	Not applicable in this scenario	Not applicable in this scenario	Woman asserting her authority	Not applicable in this scenario	Woman controlling dog's behavior	Slightly negative score due to harm and oppression	-2.2
201	Clifford	You see a teenage girl openly staring at a disfigured woman as she walks past.	orig		-2	0	0	0	-3	-2	-3	Staring could cause emotional harm.	No cheating or fairness issue present.	No loyalty or betrayal involved.	No authority or subversion involved.	Staring degrades the woman's dignity.	Staring could be seen as oppressive.	Scenario involves harm, degradation, and oppression	-2.0
202	Mickelberg	Person X cared for and housed their five nieces and nephews for a year because PersonX's sister was very unwell.	orig		5	5	5	3	5	5	4	Person X helps nieces and nephews.	Person X acts fairly by caring for family.	Person X shows loyalty to family.	Person X assumes authority to help family.	Person X respects family sanctity.	Person X provides liberty for family.	Scenario leans towards extreme R, indicating high moral acceptability	3.36
203	Effron	Made breakfast for his wife on her birthday	orig		5	0	5	0	5	0	-4	Making breakfast helps his wife	No cheating involved, it's a fair act	Act of loyalty towards his wife	No subversion or authority involved	Respectful act towards his wife	No oppression, it's a free act of kindness	High scores in Harm/Help, Betrayal/Loyalty, and Degradation/Sanctity norms	2.7636364
204	Clifford	You see a former Secretary of State publicly giving up his citizenship to the US.	orig		0	0	-3	0	0	3	-1	No direct harm or help observed	No cheating or unfairness observed	Giving up citizenship may be seen as betrayal	No subversion or challenge to authority observed	No degradation or sanctity violation observed	Exercising liberty to renounce citizenship	Scenario leans towards oppression and away from loyalty	-2.1
205	Lotto	You are a worker in an atomic energy plant. Following an explosion, there has been a leakage of radioactivity in your work area, where there are another three people. The doors are blocked because the security system has activated, but the decontamination and communications systems have broken down. If you remain exposed to the radiation you will die in a short time.You activate the ventilation system to divert the radioactivity towards another work division. You know that there is a worker in the area who will die from the radiation, but you and the other three workers will be saved.	orig		3	-4	-3	-2	-4	-4	-3	Sacrificing one to save many	Unfairly exposing another to harm	Betraying the other worker's trust	Subverting safety protocols	Violating the sanctity of human life	Oppressing the other worker's right to safety	Scenario leans towards immoral due to high scores in harmful norms	-1.55
206	Effron	Told a joke about a nun on a train	orig		-1	0	0	0	-2	0	-1	Joke may cause offense, but no physical harm.	No cheating or unfairness involved.	No betrayal or loyalty issues present.	No authority figures or subversion involved.	Joke may degrade the sanctity of nuns.	No oppression or liberty issues present.	Slight harm and degradation detected	-0.575
207	Mickelberg	Person X walks to work through the park each day, as they enjoy listening to the birds.	orig		2	0	0	0	2	2	3	Person X enjoys the walk, no harm involved	No cheating or unfairness in the scenario	No betrayal or loyalty in the scenario	No subversion or authority in the scenario	Person X respects the park, no degradation	Person X freely chooses to walk, no oppression	Scenario leans towards help, sanctity, and liberty.	0.81
208	Effron	Ignored a neighbor's request to borrow some tools	orig		0	-2	-1	0	0	-1	-1	Neutral act, no harm or help occurred.	Ignoring request not cheating, but not fair.	Ignoring request not a betrayal, but lacks loyalty.	No authority subverted or respected.	No degradation or sanctity involved.	Ignoring request not oppressive, but limits liberty.	Slightly immoral due to cheating and betrayal	-0.89523808
