id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
185	Effron	Drove through a puddle, splashing some pedestrians	orig		2.0	Lacks foresight and consideration for others.	2.0	Disregards fairness and respect for pedestrians.	5.0	No moral conviction or challenge faced.	2.0	Lacks self-control and consideration for others.	-3.0	Action is morally unacceptable due to lack of prudence, justice, and temperance.	-1.52941176	test	-1.7526340715755335	-2.0256316661834717
186	Clifford	You see a teenager urinating in the wave pool at a crowded amusement park.	orig		0.0	Action lacks prudence; no moral principles involved.	0.0	Action is unjust; violates societal norms and fairness.	5.0	Action does not reflect fortitude; no moral convictions upheld.	0.0	Action lacks temperance; no self-control in desires and pleasures.	-4.0	Action is highly immoral; violates societal norms and ethics.	-3.4	test	-2.941392816061245	-2.8948915004730225
187	Effron	Offered to help a neighbor fix a fence	orig		8.0	Balances practical help with moral duty.	9.0	Fulfilling duty to help a neighbor.	6.0	Requires effort and time commitment.	7.0	Moderate action, not excessive or deficient.	4.0	Highly moral, balancing all virtues.	2.53333336	test	2.2491618429374802	2.5895369052886963
188	Mickelberg	Person X burned their country's flag because they don't like their country.	orig		1.0	Action lacks practical wisdom, disrespects national symbol.	1.0	Action disregards societal norms, lacks fairness and respect.	3.0	Action may reflect personal conviction, but not moral courage.	2.0	Action lacks self-control, driven by extreme emotion.	-4.0	Overall, action is morally unacceptable due to lack of respect and self-control.	-1.37	test	-2.2496266205245568	-2.5364437103271484
189	Lotto	You are a lawyer who is working on an important legal case. The presiding judge in the case is someone whom you know from your university days. At the time, you were on friendly terms, but now, after many years, it seems that he hardly remembers you. You know that he has just finished a hearing and is about to leave the court.You organize it so that you meet the judge outside the court and invite him to lunch. You know that becoming friends again will be useful to you in the important case you are working on.	orig		7.0	Action balances personal and professional interests.	3.0	Action may compromise fairness in the case.	6.0	Action requires courage to approach the judge.	8.0	Action shows self-control in planning the meeting.	-1.0	Action leans towards immorality due to potential conflict of interest.	0.12	test	-0.7539243482840705	-0.6639177203178406
190	Clifford	You see a man walking down a dark hallway while still wearing his sunglasses.	orig		5.0	Action is neutral, no moral principles involved.	5.0	Action does not affect relationships or society.	5.0	No challenge or adversity present.	3.0	Wearing sunglasses indoors may indicate lack of moderation.	1.0	Overall morally neutral with slight deviation from temperance.	-0.2	test	0.07993862329416546	0.2506893277168274
191	Mickelberg	Person X went to a friend's house to play a card game.	orig		5.0	Neutral action, not related to prudence	6.0	Promotes social relationships, reflects justice	5.0	No challenge or adversity, not related to fortitude	6.0	No excessive desires or pleasures, reflects temperance	2.0	Overall morally acceptable, neutral to positive	0.44	test	0.47764120424998024	0.44662541151046753
192	Mickelberg	Person X turned their home into a shelter for flood victims, making meals and providing clothing to those who needed it.	orig		9.0	Person X balances resources and needs.	9.0	Person X ensures fair distribution of resources.	8.0	Person X shows courage in facing challenges.	8.0	Person X practices self-control in using resources.	4.0	High moral acceptability due to virtuous actions.	3.63	test	2.249582654648425	2.154268503189087
193	Kruepke	When I was a first grade teacher in a Spanish-speaking school, I wanted to get to know all of my children’s parents. So I made a point to make myself available at any time of day. Many of them were illiterate, so I wouldn’t just send letters home, but I would call them as well.	orig		9.0	Balances moral duty with practical methods.	9.0	Ensures fairness by accommodating illiterate parents.	8.0	Shows courage in going beyond norms.	8.0	Demonstrates self-control in time management.	4.0	Highly moral action, balancing all virtues.	2.56	test	2.249582654648425	2.154268503189087
194	Grizzard	Breaks the hand of a wounded combatant to gain information.	orig		0.0	Action disregards moral principles for practical gain.	0.0	Action violates fairness and moral righteousness.	2.0	Action requires physical courage but lacks moral courage.	0.0	Action lacks self-control and moderation.	-4.0	Action is highly immoral due to lack of justice, prudence, and temperance.	-1.546666667	test	-2.7582366475146474	-3.0675270557403564
195	Kruepke	When I first went to dance school in New York I lied about my age. There is a lot of pressure to be young in the dance industry. I was twenty and told people I was only sixteen.	orig		2.0	Lying about age shows lack of honesty.	2.0	Lying about age is unfair to others.	3.0	Lying about age shows lack of courage.	2.0	Lying about age shows lack of self-control.	-3.0	Lying about age is morally unacceptable.	-1.39	test	-1.630529959211135	-1.7588136196136475
196	Mickelberg	Person X drove their car the wrong way down a one-way street.	orig		0.0	Action disregards traffic laws, lacks practical wisdom.	0.0	Action endangers others, violates fairness and safety.	5.0	No moral conviction upheld, no courage shown.	0.0	Action lacks self-control, disregards traffic rules.	-4.0	Action is highly immoral, endangers others.	-1.07	test	-2.941392816061245	-2.8948915004730225
197	Lotto	You are the bodyguard for an important politician. At the end of a rally, as you are getting into the car together with three other people, the secret services inform you that there is a terrorist heading towards you at high speed in a car filled with dynamite. With the binoculars you see a car at a distance of several hundred metres.You shoot at the car coming towards you by aiming at the petrol tank. The explosion will hit a traffic policeman, who, unaware of the danger, is patrolling the area. You know that he will die, but you and the other four will be unhurt.	orig		6.0	Action balances self-preservation with harm to others.	2.0	Action disregards the life of the traffic policeman.	8.0	Action demonstrates courage in protecting others.	7.0	Action shows self-control in a high-stress situation.	-2.0	Action is morally questionable due to harm caused.	-0.67	test	-1.4704078328913242	-0.6639177203178406
198	Clifford	You see a college president singing a rival school's fight song during a pep rally.	orig		3.0	Action lacks practical wisdom, may cause confusion.	5.0	Action does not harm or treat anyone unfairly.	6.0	Action shows courage to challenge norms.	5.0	Action is not excessive or deficient in moderation.	1.0	Action is morally neutral, leaning towards acceptable.	-1.7	test	-0.3250324373209841	-0.8198322653770447
199	Clifford	You see a man eating a bowl of cereal in the morning with water instead of milk.	orig		5.0	Neutral action, not related to prudence.	5.0	Neutral action, not related to justice.	5.0	Neutral action, not related to fortitude.	6.0	Moderation in using water instead of milk.	1.0	Neutral moral acceptability, leaning towards moral.	-0.1	test	0.005786756082467814	0.0809822678565979
200	Clifford	You see a woman snatching away her dog's food for making a mess in the living room.	orig		3.0	Action lacks balance, impulsive rather than prudent.	2.0	Action is unfair to the dog, not just.	5.0	No courage or strength required in this action.	2.0	Action lacks self-control, not temperate.	-2.0	Action is morally questionable, not virtuous.	-2.2	test	-1.6053918584296245	-1.6136443614959717
201	Clifford	You see a teenage girl openly staring at a disfigured woman as she walks past.	orig		1.0	Staring lacks practical wisdom or moral principles.	3.0	Staring is not inherently unjust, but lacks fairness.	5.0	Staring does not require courage or strength.	2.0	Staring lacks self-control and moderation.	-2.0	Staring is impolite and lacks moral virtue.	-2.0	test	-1.4280218365539303	-2.0719759464263916
202	Mickelberg	Person X cared for and housed their five nieces and nephews for a year because PersonX's sister was very unwell.	orig		9.0	Balances moral duty with practical caretaking	10.0	Fulfilling moral duty towards family and society	8.0	Demonstrates courage in facing adversity	8.0	Exhibits self-control and moderation in responsibilities	4.0	Highly moral action reflecting multiple virtues	3.36	test	2.7214371028159374	3.0437793731689453
203	Effron	Made breakfast for his wife on her birthday	orig		8.0	Balanced act of love and care.	8.0	Fair treatment of spouse on birthday.	5.0	Requires effort, not necessarily courageous.	7.0	Moderate act of kindness and love.	4.0	Highly moral act of love and care.	2.7636364	test	1.8383594509521664	2.3573036193847656
204	Clifford	You see a former Secretary of State publicly giving up his citizenship to the US.	orig		7.0	Action may reflect prudence if reasoned decision.	5.0	Justice not directly affected by citizenship renunciation.	6.0	Fortitude shown in facing potential backlash.	8.0	Temperance reflected in self-control over personal desires.	2.0	Overall morally acceptable, depending on reasons.	-2.1	test	0.1897845480509548	-0.5688095688819885
205	Lotto	You are a worker in an atomic energy plant. Following an explosion, there has been a leakage of radioactivity in your work area, where there are another three people. The doors are blocked because the security system has activated, but the decontamination and communications systems have broken down. If you remain exposed to the radiation you will die in a short time.You activate the ventilation system to divert the radioactivity towards another work division. You know that there is a worker in the area who will die from the radiation, but you and the other three workers will be saved.	orig		6.0	Action balances self-preservation with harm to others.	2.0	Action is unfair to the other worker.	7.0	Action shows courage in facing adversity.	3.0	Action lacks moderation in causing harm.	-2.0	Action is morally questionable due to harm caused.	-1.55	test	-1.3104866204268613	-0.6639177203178406
206	Effron	Told a joke about a nun on a train	orig		5.0	Telling a joke is neutral to prudence.	3.0	Joke's content may not respect justice if offensive.	5.0	Telling a joke requires little fortitude.	5.0	Temperance not applicable unless joke is inappropriate.	0.0	Moral acceptability depends on joke's content and context.	-0.575	test	-0.9132048511819915	-0.6639177203178406
207	Mickelberg	Person X walks to work through the park each day, as they enjoy listening to the birds.	orig		7.0	Person X chooses a practical and morally sound way to commute.	5.0	Walking through the park does not directly relate to justice.	6.0	Person X consistently walks to work, showing fortitude.	7.0	Person X enjoys listening to birds, showing self-control and moderation.	3.0	The scenario is morally acceptable, with no negative implications.	0.81	test	0.21450183712152082	-0.30171117186546326
208	Effron	Ignored a neighbor's request to borrow some tools	orig		3.0	Ignoring request lacks practical wisdom, not prudent.	4.0	Ignoring request may not be fair, lacks justice.	5.0	No challenge or adversity faced, neutral fortitude.	7.0	Ignoring request shows self-control, reflects temperance.	1.0	Overall, action is slightly morally acceptable.	-0.89523808	test	-0.7852694074474291	-1.1652038097381592
209	Lotto	You are returning from a mountain hut by chairlift with three other people, when a storm breaks out. Lightning hits the cable. The chairlift stalls and you are stuck swinging in the air at a height of tens of metres. The mechanism which fixes your chair to the cable has been seriously damaged and is starting to disintegrate.You push the person next to you off the chair to lighten the load. You know that this person will fall to their death, but you and the other two will be able to resist until help arrives.	orig		2.0	Action prioritizes survival over morality, lacks prudence.	0.0	Action violates fairness and justice, sacrificing another.	4.0	Action shows courage but lacks moral conviction.	2.0	Action lacks self-control, impulsively sacrificing another.	-4.0	Action is morally unacceptable due to injustice.	-1.78	test	-2.6352909117283594	-1.3219053745269775
210	Kruepke	Before I was in the actor's union, I used to lie and say I was in the union anyway. When you are working as an actor doing background work, it really changes how they treat you if you are a union member. So I would pretend I was in the union.	orig		1.0	Lying for personal gain lacks prudence.	0.0	Deceit is contrary to justice and fairness.	5.0	Lying about union membership requires no courage.	1.0	Lying shows lack of self-control and moderation.	-3.0	The scenario is morally unacceptable due to dishonesty.	-1.18	test	-2.818867891985902	-2.0675244331359863
211	Effron	Helped a neighbor move his piano	orig		7.0	Helping a neighbor is practical and considerate.	8.0	Assisting a neighbor is a fair and kind act.	6.0	Moving a piano requires physical effort and courage.	5.0	Self-control is not significantly demonstrated in this scenario.	3.0	The action is morally acceptable and beneficial.	1.9636364	test	1.6794997597651897	1.9250457286834717
212	Effron	Tripped someone in the hall	orig		0.0	Tripping someone lacks practical wisdom.	0.0	Tripping someone is unfair and unjust.	5.0	Tripping someone does not require courage.	0.0	Tripping someone lacks self-control and moderation.	-4.0	Tripping someone is highly immoral.	-2.776	test	-2.941392816061245	-2.8948915004730225
213	Mickelberg	Person X jumped off a boat to save a drowning friend even though this put PersonX's own life at risk.	orig		8.0	Action balances risk and moral duty.	9.0	Action upholds fairness and moral righteousness.	10.0	Action demonstrates courage and moral conviction.	7.0	Action shows self-control, not desire-driven.	4.0	High moral acceptability due to courage and justice.	3.55	test	2.0049536182086825	2.055901288986206
214	Lotto	For some time your knee has been hurting when you walk. You therefore decided to make an appointment with an orthopaedic consultant, which has been fixed for a month’s time. Several days ago, you told a friend about your problem and he was able to organize an appointment for you much sooner than the one you fixed.You go to the appointment which your friend organized, without bothering to cancel the one you booked. You know that many patients’ problems are serious.	orig		6.0	Action shows practical wisdom but lacks consideration for others.	3.0	Action disregards fairness in healthcare resource allocation.	5.0	Action does not require significant courage or strength.	5.0	Action shows self-interest but not extreme indulgence.	-1.0	Action is morally neutral, leaning towards slightly immoral.	-0.32	test	-0.7659626380360822	-0.6639177203178406
215	Kruepke	I remember getting married when I was 17 years old. I got married just so I could get away from my mother. I certainly felt relieved to separate myself from her.	orig		2.0	Lacks foresight and practical wisdom.	2.0	Marriage for escaping mother is unfair.	6.0	Shows courage to face adversity.	3.0	Impulsive decision, lacks self-control.	-2.0	Overall, morally questionable decision.	-1.15	test	-1.8384034168282986	-1.9981410503387451
216	Mickelberg	Person X put on a suit and wore their lucky socks in preparation for a job interview.	orig		7.0	Preparation for interview reflects practical wisdom.	5.0	Neutral; no direct relation to justice.	6.0	Preparation shows courage for interview challenge.	6.0	Moderation in wearing lucky socks.	3.0	Overall morally acceptable scenario.	0.47	test	0.23921912619208685	-0.03461271524429321
217	Clifford	You see a boy setting a series of traps to kill stray cats in his neighborhood.	orig		0.0	Action lacks moral principles and practical wisdom.	0.0	Action is unjust and violates moral righteousness.	0.0	Action does not reflect courage or strength in upholding moral convictions.	0.0	Action lacks moderation and self-control in desires and pleasures.	-4.0	Action is extremely immoral and unacceptable.	-3.6	test	-2.636132535150249	-2.8007092475891113
218	Mickelberg	Person X ordered their favorite dish from a Chinese restaurant.	orig		5.0	Ordering food is a practical action, not reflecting prudence.	5.0	Ordering food does not involve justice considerations.	5.0	Ordering food does not require fortitude.	6.0	Ordering a favorite dish shows some self-control.	0.0	The scenario is morally neutral.	0.22	test	0.005786756082467814	0.0809822678565979
219	Effron	Volunteered his time as a big brother to a fatherless child	orig		8.0	Balances moral duty with practical time commitment	9.0	Promotes fairness by helping those in need	7.0	Requires courage to commit to responsibility	8.0	Shows self-control in using time wisely	4.0	Highly moral action, promoting social good	3.31851848	test	2.163392497684715	2.399559259414673
220	Effron	Worked on a campaign to release prisoners of war	orig		9.0	Balances moral duty with strategic planning	10.0	Promotes fairness and moral righteousness	8.0	Requires courage to face challenges	5.0	Moderation not directly applicable here	4.0	High moral value in releasing POWs	3.0588236	test	2.795588970027635	3.2134861946105957
221	Clifford	You see a girl ignoring her father's orders by taking the car after her curfew.	orig		2.0	Disregarding father's orders lacks practical wisdom.	3.0	Ignoring rules and boundaries is unfair to parental authority.	4.0	Disobedience may require courage, but not in upholding moral convictions.	2.0	Lack of self-control and disregard for rules.	-3.0	Overall, the scenario is morally unacceptable due to disobedience.	-2.5	test	-1.2197275672258219	-1.5265798568725586
222	Effron	Sells drugs to high school sudents	orig		0.0	Selling drugs lacks prudence and moral principles.	0.0	Selling drugs to students is unjust and unfair.	5.0	Selling drugs requires no fortitude or courage.	0.0	Selling drugs lacks temperance and self-control.	-4.0	Selling drugs to students is highly immoral.	-3.432	test	-2.941392816061245	-2.8948915004730225
223	Kruepke	When my first husband and I split up, I was seventeen years old with a six-month-old baby and working in a grocery store. Sometimes I would just take things I needed. I remember taking cans of tuna, milk and loaves of bread.	orig		3.0	Action reflects some practical wisdom, but lacks moral principles.	1.0	Action is contrary to justice, as it involves theft.	5.0	Action reflects fortitude in facing challenges, but not moral convictions.	2.0	Action lacks temperance, as it involves taking more than needed.	-3.0	Overall, the action is morally unacceptable due to lack of justice.	-0.87	test	-2.0772463065971367	-1.1484503746032715
224	Mickelberg	Person X was unable to fix the dripping faucet so they had to call the plumber.	orig		7.0	Person X showed practical wisdom by calling a plumber.	5.0	Calling a plumber does not directly relate to justice.	6.0	Person X showed courage to admit their limitations.	7.0	Person X demonstrated self-control by not persisting with the repair.	2.0	The scenario is morally acceptable as it shows practical wisdom.	0.38	test	0.21450183712152082	-0.30171117186546326
225	Kruepke	My friends and I were going to the movies and I was taking this guy with me in my car. He was being a jerk about my driving so I decided to go really fast and drive recklessly. It got to the point where he told me to stop the car so he could get out.	orig		1.0	Driving recklessly lacks practical wisdom and safety considerations.	1.0	Endangering others and not respecting their concerns is unjust.	2.0	Facing criticism with reckless behavior lacks courage and strength.	1.0	Lack of self-control and moderation in driving behavior.	-4.0	The scenario is highly immoral due to lack of prudence, justice, fortitude, and temperance.	-1.52	test	-2.1638572752717917	-2.346465826034546
226	Clifford	You see a mother forcing her daughter to enroll as a pre-med student in college.	orig		2.0	Lacks balance, imposing personal goals over child's choice.	1.0	Violates fairness, disregards daughter's autonomy and interests.	2.0	Shows lack of courage to respect daughter's choices.	1.0	Lacks self-control, imposing personal desires on daughter.	-4.0	Highly immoral, violates autonomy and fairness.	-2.3	test	-2.0166150621258825	-1.934478759765625
227	Effron	Smiled and greeted people while walking down the street	orig		5.0	Neutral action, not directly related to prudence.	6.0	Promotes social harmony, reflecting justice.	5.0	Neutral action, not requiring fortitude.	7.0	Demonstrates self-control and social appropriateness.	2.0	Overall, a morally acceptable action.	1.90769232	test	0.4529239151794142	0.390056312084198
228	Effron	Was arrested on suspicion of child beating	orig		1.0	Arrest suggests lack of prudence.	0.0	Child beating is unjust and immoral.	1.0	No fortitude shown, only violence.	1.0	Lack of self-control and moderation.	-4.0	Extremely immoral and unacceptable behavior.	-2.92	test	-2.5746596672571047	-2.3945164680480957
229	Clifford	You see a woman using a fork to eat a bowl of vanilla ice cream and marshmallows.	orig		5.0	Neutral action, not related to prudence.	5.0	Neutral action, not related to justice.	5.0	No challenge or adversity present.	3.0	Using a fork for ice cream shows lack of moderation.	1.0	Slightly less moral due to lack of temperance.	-0.1	test	0.07993862329416546	0.2506893277168274
230	Lotto	You are on board a ship which is sinking. You are heading for the deck where the lifeboats are together with seven other people. You and another person have just crossed through a watertight door when it starts to close quickly. The other six people are behind the door, too far away to be able to pass through it in time.You knock the person next to you unconscious and use his body to block the door open. You know that this person will be crushed to death, but the other six will have time to save themselves.	orig		8.0	Balances moral principles with practical wisdom.	6.0	Sacrifices one for the greater good.	9.0	Requires courage to make a difficult decision.	7.0	Shows self-control in a crisis.	2.0	Morally complex but overall positive outcome.	-1.43	test	0.650442329888345	-0.2612588703632355
231	Effron	Gave his seat to someone on the crowded bus	orig		8.0	Balances personal comfort with kindness to others.	9.0	Promotes fairness by giving up privilege to those in need.	6.0	Requires minimal courage, but still a considerate act.	8.0	Demonstrates self-control and consideration for others.	4.0	Highly moral act, reflecting prudence, justice, and temperance.	2.64242424	test	2.2244445538669146	2.532968044281006
232	Effron	Told the owner of a store that she gave him too much change	orig		8.0	Balances honesty with practical consequences.	10.0	Promotes fairness and honesty in transactions.	7.0	Requires courage to admit mistake.	9.0	Shows self-control in resisting temptation.	4.0	Highly moral action, balancing virtues.	2.75789472	test	2.610529656781662	2.708632707595825
233	Kruepke	I used to work for the federal government. I used a calculator from work at home for some audits. When I left government services, I kept the calculator.	orig		3.0	Action shows lack of prudence in property rights	2.0	Action is not fair to the federal government	5.0	No courage or strength required in this action	3.0	Action shows lack of self-control and moderation	-2.0	Action is morally questionable due to property rights	-0.84	test	-1.6301091475001903	-1.463051676750183
234	Clifford	You see a judge taking on a criminal case although he is friends with the defendant.	orig		2.0	Lacks prudence due to conflict of interest	1.0	Violates justice due to potential bias	5.0	Requires fortitude to recuse self	5.0	Neutral to temperance, not directly related	-4.0	Highly immoral due to lack of justice	-3.1	test	-2.298640386954744	-1.133699655532837
235	Effron	Translated menu items for a foreigner in a restaurant	orig		8.0	Balances cultural understanding with practical menu translation.	9.0	Ensures fairness by providing accurate information to foreigners.	6.0	Requires courage to navigate cultural differences.	7.0	Shows moderation in providing necessary information.	4.0	Highly moral; promotes cultural understanding and fairness.	2.24516128	test	2.2491618429374802	2.5895369052886963
236	Mickelberg	Person X bribed a landlord to be the first to get their apartment repainted.	orig		1.0	Bribing is not a prudent action.	0.0	Bribing is unjust and unfair to others.	5.0	Bribing does not require fortitude.	1.0	Bribing lacks temperance and self-control.	-4.0	The scenario is highly immoral due to bribery.	-1.51	test	-2.818867891985902	-2.0675244331359863
237	Lotto	You are in charge of the division of a factory where wood panels are made. Because of a malfunction in one of the main machines, three workers have been caught up in a roller which is pulling them quickly into a very large press. The emergency system which blocks the machine has not activated and time is running out.You push the worker next to you into the cogs of the machine which operates the press to block the system. You know that this worker will die crushed, but the other three workers will be unhurt.	orig		8.0	Practical wisdom in saving more lives.	3.0	Unfair to the sacrificed worker.	9.0	Courageous act to save others.	7.0	Moderation in extreme circumstances.	2.0	Moral dilemma with overall positive outcome.	-1.63	test	-0.7651210146141931	-0.6639177203178406
238	Lotto	You have taken your DVD player to be repaired at the shopping centre where you bought it. The technician told you it would cost €100 to repair. Some days later, passing by an electronics shop, you see a new and slightly better DVD reader in the window on sale for €120.You think for a bit and decide to buy the new DVD player, knowing well that the other one has already been repaired. You did not leave any contact details, and you will not go there again.	orig		7.0	Practical wisdom in choosing a better option.	5.0	No harm to others, but lack of communication.	6.0	Courage to make a decision despite repair cost.	8.0	Moderation in not wasting resources on repair.	2.0	Overall morally acceptable, but lacks communication.	-0.29	test	0.1897845480509548	-0.5688095688819885
239	Effron	Allowed an evicted friend to stay with him temporarily	orig		7.0	Balances practical needs with moral duty.	8.0	Helping a friend in need is just.	6.0	Requires courage to face potential challenges.	6.0	Shows self-control in managing personal space.	3.0	Overall, a morally acceptable action.	2.125	test	1.6547824706946241	1.8684766292572021
240	Kruepke	One summer I had a job on the beach picking up trash. I found a wallet on the beach and it had $60 in it. So I picked it up and turned it in to my supervisor.	orig		10.0	Action balances moral duty with practicality.	10.0	Action upholds fairness and honesty.	8.0	Action displays courage in upholding moral principles.	10.0	Action shows self-control, not keeping the money.	4.0	Action is highly moral, reflecting all virtues.	2.89	test	2.8192447378207146	2.305994749069214
241	Clifford	You see a man turn his back and walk away while his boss questions his work.	orig		2.0	Action lacks prudence; turning away ignores dialogue.	2.0	Action lacks justice; avoiding accountability is unfair.	2.0	Action lacks fortitude; not facing challenges shows weakness.	2.0	Action lacks temperance; impulsive reaction shows lack of self-control.	-3.0	Overall, action is morally unacceptable due to lack of virtues.	-2.1	test	-1.5694779030289359	-1.6254048347473145
242	Kruepke	I was on vacation and rented a car. I paid for the parking fee and the guy gave me the wrong change back. I knew he gave me too much but I kept it anyway.	orig		2.0	Action lacks prudence as it ignores moral principles.	1.0	Action is unjust as it violates fairness and honesty.	5.0	Action does not require fortitude as it is opportunistic.	2.0	Action lacks temperance as it indulges in excess.	-3.0	Action is morally unacceptable due to lack of justice.	-1.74	test	-2.224488519743046	-1.7652878761291504
243	Mickelberg	Person X closed the elevator door before an elderly neighbor could get in.	orig		2.0	Lacks consideration for others' needs.	2.0	Disregards fairness and respect for the elderly.	5.0	No challenge or adversity faced.	3.0	Lacks self-control in prioritizing personal needs.	-3.0	Action is morally unacceptable due to lack of consideration and fairness.	-2.08	test	-1.7773513606460996	-2.0798890590667725
244	Kruepke	I lent my friend a large amount of money to get his car out of impound. He said he would pay me back, but then his wife showed up after several years. She took him for all his money, even the money he set aside for me, and he was embarrassed to tell me.	orig		6.0	Lending money shows practical wisdom, but lacks foresight.	3.0	Lending money is just, but not repaying is unjust.	2.0	Friend lacks fortitude to admit financial situation.	2.0	Friend's wife lacks temperance in taking all money.	-2.0	Scenario is morally questionable due to lack of repayment.	-0.86	test	-0.5086546022777867	0.3177124261856079
245	Mickelberg	Person X told a coworker that PersonX's brother was HIV-positive, a secret that their brother had told them in confidence.	orig		2.0	Lack of prudence due to disregard for confidentiality.	2.0	Violation of justice due to breach of trust.	5.0	No fortitude required in this scenario.	2.0	Lack of temperance due to disregard for brother's privacy.	-4.0	Highly immoral due to breach of confidentiality and trust.	-2.78	test	-1.7526340715755335	-2.0256316661834717
246	Kruepke	I took my sister's ring that was given to her by our father's aunt. I had never met our fatherÍs aunt but my sister spent some time with her. I took the ring because I didn't think that my sister deserved it.	orig		1.0	Lacks practical wisdom; no moral principles considered	0.0	Violates fairness and moral righteousness in relationships	1.0	No courage or strength in upholding moral convictions	1.0	Lacks moderation and self-control in desires	-4.0	Extremely immoral due to lack of virtues	-2.72	test	-2.5746596672571047	-2.3945164680480957
247	Mickelberg	Person X failed their driver's license test for the fourth time.	orig		4.0	Person X shows persistence, but lacks practical wisdom.	5.0	Failing a test is not related to justice.	7.0	Person X shows fortitude by continuing to try.	6.0	Person X displays temperance by not giving up.	2.0	The scenario is morally neutral, leaning towards moral.	-0.07	test	-0.2635595694278394	-0.597822904586792
248	Effron	Stole Halloween candy	orig		1.0	Lacks prudence; no moral principles involved	0.0	Violates justice; unfairly takes others' property	5.0	Not applicable; no courage required	1.0	Lacks temperance; excessive desire for pleasure	-4.0	Highly immoral; violates justice and temperance	-1.88571432	test	-2.818867891985902	-2.0675244331359863
249	Mickelberg	Person X took their nephew to the fair and bought some cotton candy.	orig		5.0	Neutral action, not directly related to prudence.	5.0	Neutral action, not directly related to justice.	5.0	No challenge or adversity present.	6.0	Moderate action, reflects some temperance.	1.0	Neutral to slightly moral scenario.	1.59	test	0.005786756082467814	0.0809822678565979
250	Kruepke	One night I was going out late and I didn't want my son to know about it. I was a single mom and at that point in time he always seemed to want to act like the parent. So I snuck out of the house to go out.	orig		2.0	Lacks prudence; prioritizes personal desires over parental responsibilities.	2.0	Does not reflect justice; deceit is unfair to the son.	3.0	Does not reflect fortitude; avoids confrontation instead of addressing concerns.	2.0	Lacks temperance; prioritizes personal desires over self-control.	-3.0	Overall, the scenario is morally unacceptable due to lack of prudence, justice, fortitude, and temperance.	-1.25	test	-1.630529959211135	-1.7588136196136475
251	Mickelberg	Person X helped paint their neighbor's house even though it was PersonX's birthday.	orig		8.0	Balances personal time with neighborly duty.	9.0	Fulfills moral duty to help others.	7.0	Shows courage to prioritize others' needs.	8.0	Demonstrates self-control in celebrating birthday.	4.0	Highly moral action, balancing virtues.	2.78	test	2.163392497684715	2.399559259414673
252	Kruepke	A few years ago I was living alone. I had an enormous stereo system in my apartment and I used to turn it up very loud. One night I was drunk and turned it up to its maximum volume.	orig		2.0	Lack of consideration for neighbors' peace.	2.0	Disregard for others' rights to peace and quiet.	5.0	No challenge or adversity faced.	1.0	Excessive volume indicates lack of self-control.	-3.0	Overall, the scenario is morally unacceptable.	-1.05	test	-1.7279167825049675	-1.9690625667572021
253	Cook	Someone makes a post on Facebook about how people with disabilities are a drain on society	orig		1.0	Lacks consideration of diverse perspectives.	0.0	Disregards fairness and equality for all.	1.0	Lacks courage to understand and empathize.	1.0	Lacks self-control in expressing harmful views.	-4.0	Highly immoral due to lack of empathy.	-2.61	test	-2.5746596672571047	-2.3945164680480957
254	Effron	Shoved a man who was passing out leaflets	orig		0.0	Action lacks prudence; no moral principles considered.	0.0	Action is unjust; infringes on another's rights.	5.0	Action does not reflect fortitude; no moral convictions upheld.	0.0	Action lacks temperance; impulsive and aggressive.	-4.0	Action is highly immoral; violates justice and temperance.	-2.824	test	-2.941392816061245	-2.8948915004730225
255	Effron	Circulated a petition in support of equal pay for women	orig		8.0	Balances moral principle of equality with practical action.	10.0	Promotes fairness and moral righteousness in society.	7.0	Requires courage to challenge societal norms.	5.0	Not directly related to temperance.	4.0	Highly moral action promoting justice and equality.	1.88888896	test	2.7093988130639253	2.934908628463745
256	Clifford	You see a referee intentionally making bad calls that help his favored team win.	orig		1.0	Referee's actions lack practical wisdom and balance.	0.0	Referee's actions are unjust and unfair to both teams.	1.0	Referee's actions lack courage to uphold fairness.	1.0	Referee's actions lack self-control and moderation.	-4.0	Referee's actions are highly immoral and unethical.	-3.0	test	-2.5746596672571047	-2.3945164680480957
257	Effron	Gave someone directions	orig		7.0	Giving directions requires practical wisdom.	7.0	Giving directions is a fair and just act.	5.0	Giving directions doesn't require fortitude.	6.0	Giving directions requires self-control to provide accurate info.	3.0	Giving directions is a morally acceptable act.	1.83529416	test	1.2439800787093103	1.6362433433532715
258	Mickelberg	Person X volunteers to teach English to newly arrived immigrants.	orig		9.0	Balances moral duty with practical teaching skills	10.0	Promotes fairness by helping immigrants integrate	8.0	Requires courage to volunteer and teach	7.0	Shows self-control in dedicating time to others	4.0	Highly moral action, balancing all virtues	2.73	test	2.746154391886503	3.1003479957580566
259	Clifford	You see a woman clearly avoiding sitting next to an obese woman on the bus.	orig		2.0	Action lacks consideration for others' feelings.	1.0	Action is unfair and discriminatory.	2.0	Action lacks courage to confront biases.	2.0	Action shows lack of self-control over prejudices.	-4.0	Action is highly immoral due to discrimination.	-2.0	test	-2.0413323511964485	-1.9910476207733154
