id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
130	Kruepke	A little while ago I had to go to the DMV to get my drivers license renewed. They told me that I had to take a written test in which I had three attempts to pass. I failed the first two times so I cheated on the final attempt.	orig		3	9	7	0	-3	Medium-Low Vulnerability (score of 3-5): The DMV and driving system are resilient and not easily harmed.	Maximum Intentionality (score of 9-10): The agent intentionally cheated on the test.	Medium-High Harm (score of 6-8): Cheating on the test undermines the integrity of the driving system and could potentially lead to unsafe drivers.	Minimum Help (score of 0-2): The agent did not provide any help to the DMV or driving system.	High intent, harm, and low help	The agent of this action is the person who had to renew their driver's license.	The assumption made about the agent is that they are an adult who is required to renew their driver's license and take a written test.	The patient being affected by this action is the DMV and the driving system as a whole.	The assumption made about the patient is that it is a system designed to ensure that drivers are knowledgeable and capable of following traffic laws.	-2.15
131	Mickelberg	Person X regularly volunteers in a town that was exposed to radiation, despite the doctor warning them that their own health would be at risk.	orig		7	9	1	7	-1	Medium-High Vulnerability (score of 6-8): The town and its residents are susceptible to harm due to radiation exposure.	Maximum Intentionality (score of 9-10): Person X continues to volunteer despite the risks.	Minimum Harm (score of 0-2): Person X's actions do not directly cause harm to the town or its residents.	Medium-High Help (score of 6-8): Person X provides substantial help by volunteering in the town.	High intent, low harm, but high vulnerability	Person X	Person X is a selfless individual who prioritizes helping others over their own well-being.	The town and its residents	The town and its residents are vulnerable due to the exposure to radiation.	1.93
132	Cook	Someone tells a dirty joke at a holocaust memorial	orig		9	9	7	0	-3	The patient is highly vulnerable due to the emotional nature of the event and the potential for retraumatization (score of 9-10).	The action was intentional, as the person chose to tell the joke in that setting (score of 8-10).	The harm caused is significant, as it disrespects the memory of the victims and can cause emotional distress to the audience (score of 6-8).	No help was caused, as the action was inappropriate and disrespectful (score of 0-2).	High vulnerability, intent, and harm; no help.	The agent of this action is the person who told the dirty joke.	The assumption made about the agent is that they lack sensitivity and respect for the solemnity of the occasion.	The patient being affected by this action is the audience at the holocaust memorial, including survivors, their families, and others who are there to pay their respects.	The assumption made about the patient is that they are there to remember and honor the victims of the holocaust, and that they expect a certain level of decorum and respect.	-2.72
133	Lotto	You are a worker specialised in manoeuvring a crane and are part of a work team that is loading containers into a ship. You have just lifted a container from the wharf when you realise that the cable of the crane is breaking and that the container is about to crash down on you and the other workers in the team.You move the arm of the crane away from you. You know that the container will fall in an area in which there are two workers who will die crushed, but you and the other will be saved.	orig		10	7	10	1	-3	Maximum vulnerability due to defenselessness and high susceptibility to harm	Medium-high intentionality due to quick decision-making under pressure	Maximum harm due to the potential for loss of life	Minimum help as the action does not directly benefit the two workers in danger	High vulnerability, intent, and harm; minimal help.	The crane operator	The crane operator is assumed to be a responsible and skilled worker who prioritizes safety	The two workers in the area where the container will fall	The two workers are assumed to be unaware of the impending danger and unable to move out of the way in time	-1.38
134	Clifford	You see someone driving around in a dirty car that has not been washed recently.	orig		1	3	1	0	-1	Minimum vulnerability as it is an inanimate object.	Medium-low intentionality as the action may be due to negligence.	Minimum harm as the car is not damaged, just dirty.	Minimum help as no help is provided to the car.	Low vulnerability, intent, and harm; no help.	The agent of this action is the person driving the dirty car.	The assumption made about the agent is that they may not prioritize cleanliness or may not have the time or resources to wash their car.	The patient being affected by this action is the car itself.	The assumption made about the patient is that it has not been washed recently.	-0.2
135	Mickelberg	Person X was on a crowded bus and would not give up their seat to a pregnant woman when asked to.	orig		9	8	5	0	-3	Pregnant women are considered highly vulnerable due to their condition.	Person X was asked to give up their seat and refused.	The pregnant woman was denied a seat, causing potential discomfort or harm.	Person X did not offer any help by giving up their seat.	High vulnerability, intent, and harm; no help.	Person X	Person X is assumed to be an adult and able-bodied, as they are capable of standing on a crowded bus.	The pregnant woman	The pregnant woman is assumed to be in a vulnerable state due to her pregnancy.	-2.23
136	Clifford	You see a woman having intimate relations with a recently deceased loved one.	orig		0	8	0	0	-1	The patient is a deceased person, thus having no vulnerability.	The woman's actions are intentional, as she is making a conscious decision.	No harm is caused, as the loved one is already deceased.	No help is provided, as the loved one is deceased.	Low vulnerability, high intent but no harm or help.	The woman	She is a living person capable of making decisions and taking actions.	The recently deceased loved one	The loved one is a deceased person who cannot be harmed or affected by the woman's actions.	-3.3
137	Lotto	You are driving your motor boat in a small bay when your attention is drawn to cries of help from five people who are drowning at the end of a very narrow channel which is right in front of you. Between you and the people who are drowning, to one side of the channel, is another person who is calmly swimming.You steer towards the end of the channel at high speed. You know that the person who is swimming will be hit by the motorboat, but the other five people will be saved.	orig		7	7	7	10	0.5	Medium-High Vulnerability (score of 6-8): The swimmer is an average person with some susceptibility to harm.	Medium-High Intentionality (score of 6-8): The action was taken following some degree of thought and planning.	Medium-High Harm (score of 6-8): The swimmer could be significantly harmed, though not fatally.	Maximum Help (score of 9-10): The five people drowning are being provided critical assistance in a life-threatening situation.	High intent, harm, and vulnerability offset by high help	The agent of this action is the person driving the motor boat.	The agent is assumed to be a responsible and capable boat driver.	The patient being affected by this action is the person swimming and the five people drowning.	The patient is assumed to be an average swimmer and the five people drowning are assumed to be in a life-threatening situation.	-1.11
138	Clifford	You see a woman spray painting graffiti across the steps of the local courthouse.	orig		1	7	4	0	-2	Inanimate objects have minimum vulnerability (score of 0-2)	She is acting with intent and planning (score of 6-8)	Graffiti causes minor damage (score of 3-5)	No help was caused in this scenario (score of 0-2)	High intent, moderate harm, low vulnerability, no help	The woman spray painting graffiti	She is intentionally vandalizing the courthouse steps	The local courthouse steps	They are a public property and a symbol of law and order	-3.3
139	Clifford	You see a head cheerleader booing her high school's team during a homecoming game.	orig		4	7	4	0	-2	Medium-Low Vulnerability (score of 3-5): The team is not defenseless, but they could be affected by the cheerleader's actions	Medium-High Intentionality (score of 6-8): The cheerleader is actively booing, which suggests intent	Medium-Low Harm (score of 3-5): Booing could demoralize the team, but it's not physically harmful	Minimum Help (score of 0-2): The cheerleader is not providing any help or support	High intent, moderate harm and vulnerability, no help	The head cheerleader	She is a student and a leader of the cheerleading team	Her high school's team	They are a group of students representing their school in a sport	-2.3
140	Mickelberg	Person X forgot to turn off the bath water, flooding the house.	orig		1	1	7	0	-3	Houses are not living entities and cannot be harmed (0-2)	The action was entirely accidental and unintentional (0-2)	The flooding caused significant damage to the house (6-8)	No help was provided in this scenario (0-2)	High harm, low help, low vulnerability, low intent	Person X	Person X is assumed to be a responsible adult capable of turning off the bath water.	The house	The house is assumed to be a typical residential building with plumbing and a bathroom.	-0.41
141	Lotto	You have a small horse stud in Australia. You are heading towards the nearby town in a four-wheel drive together with a new client when you notice a bolting wild horse which is galloping like mad. It is heading towards three people who are walking near the edge of a gorge and soon it will run into them. You immediately follow and are able to catch up with it. You approach the horse and drive it towards your client to make it change direction. You know that the client will be trampled by the horse and will be killed, but the other three people will be saved.	orig		7	7	10	10	-1	Medium-High Vulnerability (score of 6-8): The client is an average adult with no special protections.	Medium-High Intentionality (score of 6-8): The action was taken following some degree of thought and planning.	Maximum Harm (score of 9-10): The action will result in the client's death.	Maximum Help (score of 9-10): The action will save the lives of the three people.	High harm and help, high intent, and vulnerability	The agent of this action is the person driving the four-wheel drive.	The assumption made about the agent is that they are capable of driving and making quick decisions.	The patient being affected by this action is the new client.	The assumption made about the patient is that they are an average adult with no special vulnerabilities.	-1.57
142	Kruepke	When I was in third grade I really wanted to be popular. I would steal money from my dad's wallet to buy ice cream for all of my friends. Eventually he found out.	orig		6	8	5	0	-3	The father is an average adult (c), but his trust was violated	The child repeatedly stole with the intention of buying popularity	The father's trust was betrayed, causing emotional harm	The child's actions did not provide help to the father	High intent, harm, and vulnerability; no help.	The third-grade child	The child wanted to be popular and was willing to steal to achieve that	The child's father	The father was unaware of the child's actions and was being deceived	-2.13
143	Mickelberg	Person X used their body to protect their partner from falling debris during an earthquake.	orig		6	8	1	10	2.5	Average vulnerability due to unpredictable natural disaster (score 6)	High intentionality as action was deliberate (score 8)	Minimal harm as partner was protected (score 1)	Maximum help as life-threatening situation was prevented (score 10)	High help, low harm, but high intent	Person X	Person X is assumed to be an adult with the physical ability to protect another person from falling debris.	Person X's partner	Person X's partner is assumed to be an average adult who is vulnerable during an earthquake.	3.22
144	Mickelberg	Person X sold their house to fund a local program for the needy.	orig		7	9	1	7	1.5	Medium-High Vulnerability (score of 6-8): The program's beneficiaries are likely to be vulnerable individuals in need of support.	Maximum Intentionality (score of 9-10): Selling a house to fund a program requires extensive planning and deliberate thought.	Minimum Harm (score of 0-2): Selling a house to fund a program does not cause harm.	Medium-High Help (score of 6-8): Selling a house to fund a program provides substantial assistance to the needy.	High intent, low harm, but high vulnerability.	Person X	Person X is assumed to be a homeowner with the financial means to sell their house and fund a local program.	The local program for the needy and its beneficiaries	The local program is assumed to be a non-profit organization that supports disadvantaged individuals in the community.	3.01
145	Kruepke	My family didn't have money so I would always admire jewelry on other students in school. In second grade there was this little girl who would wear this necklace. One time at recess she put it down and I took it.	orig		9	8	6	0	-3	The patient is a child, highly susceptible to harm or mistreatment.	The action was intentional, as the narrator took the necklace deliberately.	The harm caused is emotional distress and loss of property.	No help was caused, as the action was harmful.	High vulnerability, intent, and harm; no help.	The agent of this action is the narrator.	The narrator is a child who admires jewelry but lacks the financial means to own it.	The patient being affected by this action is the little girl who owns the necklace.	The little girl is a fellow student who wears a necklace that the narrator admires.	-2.36
146	Kruepke	At a festival I went to, there was a contest where you could win a free one-year subscription to Book Magazine. You had to answer some literary questions. So I picked up the questionnaire and about four of my friends and I filled it out and ended up winning the free subscription.	orig		0	7	0	7	3	Minimum vulnerability, as the magazine is an inanimate object.	Medium-High Intentionality, as the group filled out the questionnaire with thought and planning.	Minimum Harm, as the magazine is not harmed by the group winning the subscription.	Medium-High Help, as the group receives a significant benefit from the subscription.	Low vulnerability, high intent, no harm, high help	The agent of this action was the group of friends, including the narrator.	The assumption made about the agent is that they are literary enthusiasts who enjoy participating in contests.	The patient being affected by this action is the Book Magazine.	The assumption made about the patient is that it is a literary publication that offers a one-year subscription as a prize.	1.05
147	Mickelberg	Person X successfully remembered their coworkers' overly complicated coffee orders without writing them down.	orig		1	9	1	7	1.5	Minimum vulnerability (score of 0-2): The coworkers are not harmed or victimized.	Maximum Intentionality (score of 9-10): Person X deliberately memorized the orders.	Minimum Harm (score of 0-2): No harm was caused to the coworkers.	Medium-High Help (score of 6-8): Person X provided substantial help by remembering the orders.	Low vulnerability and harm, but high intent	Person X	Person X is assumed to have a good memory and attentiveness to detail.	The coworkers	The coworkers are assumed to have overly complicated coffee orders.	0.79
148	Mickelberg	Person X tried to patch a puncture in the wheel of their bike but couldn't, so they purchased a new tube instead.	orig		0	9	0	0	-1	Inanimate object, cannot be harmed (a)	Intentional action to fix the puncture (d)	No harm caused to the wheel (a)	No help caused to the wheel (a)	Low vulnerability, high intent but no harm or help.	Person X	Person X is assumed to be a bike owner and a cyclist.	The bike wheel	The bike wheel is assumed to be a part of Person X's bike.	0.34
149	Kruepke	I was helping my friend move and she took advantage of my help. She made me clean most of her house and wanted to use my car to move all of her stuff. She didn't pay for the gas that I used or even thank me.	orig		7	7	6	6	-1	The patient is of average resilience, with some susceptibility to harm (e.g., a typical adult).	The friend acted with some degree of thought and planning.	The friend caused significant inconvenience and stress, but not total destruction.	The narrator provided substantial help, but not critical assistance.	High vulnerability, intent, and harm lower score; help raises it slightly.	The agent of this action is the friend who took advantage of the help.	The assumption made about the agent is that she is inconsiderate and exploitative.	The patient being affected by this action is the narrator who helped her friend move.	The assumption made about the patient is that they are kind and helpful, but also somewhat passive and easily taken advantage of.	-1.39
150	Effron	Provided food and clothing for flood victims	orig		9	8	0	7	2	Flood victims are highly vulnerable due to loss of home and resources.	Providing aid is a deliberate and planned action.	No harm is caused by providing aid.	Providing food and clothing is substantial help for flood victims.	High vulnerability and intent, but no harm and significant help.	The agent of this action is the person or organization providing food and clothing.	The assumption made about the agent is that they are a charitable individual or organization with the resources to provide aid.	The patient being affected by this action is the flood victims.	The assumption made about the patient is that they are in a vulnerable state due to the flood and in need of basic necessities.	3.22666664
151	Lotto	You are the pilot of a helicopter taking four people on a sight-seeing trip in the French Alps, at an altitude of about 2,000 metres. At a certain point, the helicopter loses altitude and no longer responds to the commands. You send out a mayday signal and try various manoeuvres, but the helicopter continues to fall and risks crashing into a rock face.To gain altitude, you push the person next to you out of the helicopter. You know that this person will plummet to the ground and will die, but you and the other three will be saved.	orig		10	7	10	10	0	Maximum vulnerability due to defenselessness and high susceptibility to harm	Medium-high intentionality due to deliberate action to save others	Maximum harm due to causing death	Maximum help due to saving three lives	High vulnerability, intent, harm, and help; mixed morality	The pilot of the helicopter	The pilot is assumed to be a trained professional responsible for the safety of the passengers	The person pushed out of the helicopter	The person is assumed to be a regular passenger with no special training or equipment to survive a fall from such altitude	-1.8
152	Mickelberg	Person X donates blood once a month even though they have a strong fear of needles.	orig		7	7	1	7	3	Blood recipients are of average resilience (6-8).	Donating blood is a planned and intentional act (6-8).	Donating blood causes no harm to the recipient (0-2).	Donating blood provides substantial help to recipients (6-8).	High intent, help, and vulnerability outweigh low harm	Person X	Person X is a human being with a strong fear of needles.	Blood recipients	Blood recipients are individuals in need of blood transfusions.	2.78
153	Effron	Picked up a child so that she could see the parade	orig		9	8	0	7	2	Children are highly vulnerable due to their age and dependence on adults.	The action was intentional, as the agent deliberately picked up the child.	No harm was caused, as the action was beneficial to the child.	The action provided significant help to the child, allowing them to see the parade.	High vulnerability and intent, but no harm and significant help.	The agent of this action is the person who picked up the child.	The assumption made about the agent is that they are a responsible adult, possibly a parent or guardian.	The patient being affected by this action is the child.	The assumption made about the patient is that they are a young child who is unable to see the parade without assistance.	2.45161288
154	Kruepke	I went to the movies a couple of months ago, to see a film. When that film was done, instead of leaving the theater, I just went into another of the theaters within the complex. I watched another movie without paying.	orig		4	7	4	0	-2	Medium-Low Vulnerability (score of 3-5): The movie theater complex and the film industry are resilient entities, but they can still be affected by revenue loss.	Medium-High Intentionality (score of 6-8): The agent made a conscious decision to watch a second movie without paying.	Medium-Low Harm (score of 3-5): The harm caused is the loss of revenue from one movie ticket.	Minimum Help (score of 0-2): The agent did not provide any help or benefit to the movie theater complex or the film industry.	High intent, moderate harm and vulnerability, no help	The agent of this action is the person who went to the movies.	The assumption made about the agent is that they are a moviegoer who decided to watch a second movie without paying.	The patient being affected by this action is the movie theater complex and the film industry.	The assumption made about the patient is that they are a commercial establishment and an industry that rely on ticket sales for revenue.	-1.39
155	Clifford	You see a girl asking for allowance even though her brother did her chores for her.	orig		6	8	4	0	-3	The girl is not defenseless, but she is taking advantage of her brother's kindness (score: 6)	The girl intentionally asks for allowance knowing her brother did her chores (score: 8)	The girl's action may cause emotional harm to her brother (score: 4)	The girl's action does not provide any help to her brother (score: 0)	High intent, harm, and vulnerability; no help.	The girl asking for allowance	She is expected to do her chores but is asking for allowance without doing them	Her brother who did her chores for her	He is expected to have done the chores in good faith	-2.7
156	Clifford	You see a soccer player pretending to be seriously fouled by an opposing player.	orig		3	8	0	0	-1	The opposing player is a professional athlete (score of 3)	The soccer player is intentionally pretending to be fouled (score of 8)	No actual harm is caused (score of 0)	No help is provided (score of 0)	Low vulnerability, high intent but no harm.	The soccer player	The soccer player is pretending to be fouled	The opposing player	The opposing player is being falsely accused	-2.5
157	Kruepke	When I was eleven or twelve, I called someone a racial name. The person I'd called the name was a sort of a friend of my sister's. It got back to her and she was humiliated.	orig		7	4	4	0	-1	Medium-High Vulnerability (score of 6-8): The patient was a typical adult with some susceptibility to harm.	Medium-Low Intentionality (score of 3-5): The action was likely impulsive, with minimal premeditation.	Medium-Low Harm (score of 3-5): The action caused minor damage or harm, such as insulting someone.	Minimum Help (score of 0-2): No help was provided in this scenario.	High vulnerability, moderate intent, harm outweighs help	The agent of this action was the person who was eleven or twelve years old at the time.	The assumption made about the agent is that they were a child who may not have fully understood the implications of their actions.	The patient being affected by this action was the sister's friend.	The assumption made about the patient is that they were a person of a different race who was offended by the racial name.	-2.54
158	Effron	Swore at a cashier who made an error on his bill	orig		7	7	4	1	-2	Medium-High Vulnerability (score of 6-8): The cashier is an average individual with some susceptibility to harm.	Medium-High Intentionality (score of 6-8): The customer acted impulsively but deliberately swore at the cashier.	Medium-Low Harm (score of 3-5): The customer caused emotional distress to the cashier by swearing at them.	Minimum Help (score of 0-2): The customer did not provide any help or support to the cashier.	High vulnerability, intent, and harm outweigh help.	The agent of this action is the customer who swore at the cashier.	The assumption made about the agent is that they are an adult with the ability to communicate and express frustration.	The patient being affected by this action is the cashier who made an error on the bill.	The assumption made about the patient is that they are a retail employee performing their job duties.	-2.34666672
159	Effron	Spat off the balcony at the theater	orig		1	4	1	1	0.5	Minimum vulnerability as the balcony is an inanimate object.	Medium-low intentionality as the action is impulsive.	Minimum harm as the action does not cause damage.	Minimum help as no help is provided.	Low vulnerability, intent, harm, and help	An unspecified person at the theater	The agent is assumed to be a person due to the action of spitting, which is a human action.	The balcony at the theater	The balcony is assumed to be an inanimate object that is part of the theater structure.	-2.3
160	Clifford	You see someone at the school gym lifting free weights in nice business clothes.	orig		4	7	1	1	-1	Medium-Low Vulnerability (score of 3-5): The person is an average adult with no apparent vulnerabilities.	Medium-High Intentionality (score of 6-8): The person intentionally decided to work out in their business clothes.	Minimum Harm (score of 0-2): There is no apparent harm caused to the person or the weights.	Minimum Help (score of 0-2): There is no apparent help caused to others in this scenario.	Low harm, moderate intent, minimal help	The agent of this action is the person lifting free weights in business clothes.	The assumption made about the agent is that they are a student or staff member at the school who decided to work out in their business attire.	The patient being affected by this action is the person lifting free weights, as they are the one performing the action.	The assumption made about the patient is that they are a person who decided to work out in their business clothes, possibly due to time constraints or other personal reasons.	-0.2
161	Clifford	You see a man secretly voting against his wife in a local beauty pageant.	orig		7	7	4	1	-2	Medium-High Vulnerability (score of 6-8): She is an average individual with some susceptibility to harm.	Medium-High Intentionality (score of 6-8): He is acting with some degree of thought and planning.	Medium-Low Harm (score of 3-5): He is causing minor harm to his wife's chances of winning.	Minimum Help (score of 0-2): He is not providing any help to his wife.	High vulnerability, intent, and harm outweigh help	The man	He is secretly voting against his wife, which implies he is capable of deception.	The wife	She is a participant in a beauty pageant and is vulnerable to her husband's secret vote.	-1.9
162	Effron	Invited an unpopular coworker to go to lunch with him	orig		7	7	1	4	-1	Medium-High Vulnerability (score of 6-8): The unpopular coworker may feel socially vulnerable.	Medium-High Intentionality (score of 6-8): The coworker intentionally invited the unpopular coworker.	Minimum Harm (score of 0-2): No harm is caused by inviting someone to lunch.	Medium-Low Help (score of 3-5): The invitation could provide minor social support.	High vulnerability and intent, low harm, moderate help	The agent of this action is the coworker who invited the unpopular coworker to lunch.	The agent is assumed to be a well-meaning individual who is open to socializing with all coworkers.	The patient being affected by this action is the unpopular coworker.	The patient is assumed to be someone who is not well-liked or popular among their coworkers.	1.825
163	Kruepke	For the past two Christmases we had our family celebration at my sister’s house. I’m not really partial to her husband and their kids are spoiled rotten, which makes for an unpleasant Christmas. So for the last two Christmases in a row, I didn’t go visit that part of my family.	orig		7	9	4	1	-2	Medium-High Vulnerability (score of 6-8): The family is not defenseless, but the children may be emotionally affected by the speaker's absence.	Maximum Intentionality (score of 9-10): The speaker has deliberately chosen not to attend the family celebrations for two consecutive years.	Medium-Low Harm (score of 3-5): The speaker's absence may cause minor emotional harm to the family, but it is not a significant or lasting impact.	Minimum Help (score of 0-2): The speaker's absence does not provide any help or support to the family during the celebrations.	High vulnerability, intent, and harm; minimal help.	The agent of this action is the speaker.	The speaker is an adult family member who has the ability to make decisions about attending family gatherings.	The patient being affected by this action is the speaker's sister, her husband, and their children.	The patient is a family unit with children who may be affected by the speaker's absence during the family celebrations.	-0.71
164	Clifford	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	orig		7	7	4	3	-2	The patient has average resilience, with some susceptibility to harm (e.g., a typical adult).	The agent is acting with some degree of thought and planning.	The harm caused is subjective and depends on the context, but it is assumed to be minor.	The help caused is also subjective and depends on the context, but it is assumed to be minor.	High vulnerability, intent, and harm outweigh help	The agent of this action is the homosexual individual in the gay bar.	The assumption made about the agent is that they are offering sex in exchange for a drink.	The patient being affected by this action is the person who buys the drink for the agent.	The assumption made about the patient is that they are a potential sexual partner for the agent.	-2.6
165	Clifford	You see a professor giving a bad grade to a student just because he dislikes him.	orig		7	9	6	0	-3	Student is vulnerable to unfair grading (score of 7)	Professor intentionally gave a bad grade (score of 9)	Bad grade can harm student's academic progress (score of 6)	No help was provided to the student (score of 0)	High intentional harm to vulnerable patient	The professor	The professor is assumed to be biased and unfair in grading	The student	The student is assumed to be innocent and deserving of a fair grade	-3.7
166	Mickelberg	Person X could have saved the life of a man stabbed in a dark alley but couldn't be bothered calling an ambulance.	orig		8	7	10	0	-3	Medium-High Vulnerability due to life-threatening injuries	Medium-High Intentionality due to conscious decision not to act	Maximum Harm due to potential loss of life	Minimum Help due to inaction	High vulnerability, intent, and harm; no help.	Person X	Person X is assumed to be an adult with the ability to call for help and make decisions.	The man who was stabbed	The man is assumed to be an average adult who was injured and in need of medical attention.	-3.2
167	Clifford	You see a woman pressuring her daughter to become a famous evening news anchor.	orig		9	8	6	4	-2	The daughter is a child, highly susceptible to harm or mistreatment.	The mother is intentionally pressuring her daughter to pursue a specific career.	The harm caused is emotional pressure, which can be significant but not physically damaging.	The mother may believe she is helping her daughter by pushing her towards a successful career.	High vulnerability, intent, and harm outweigh help	The agent of this action is the woman, the mother.	The assumption made about the agent is that she values fame and success, and believes that her daughter can achieve it.	The patient being affected by this action is the daughter.	The assumption made about the patient is that she may not necessarily want to become a famous evening news anchor, and may be feeling pressured by her mother's expectations.	-1.5
168	Lotto	You are at sea aboard a rubber dinghy with a friend and another two people whom you do not know. In the distance, you can see a boat in difficulty which has caught fire. The six people on board have jumped into the water and are drowning. To save them you must head towards them at high speed, but the dinghy is too heavy.To lighten the load, you push overboard the two people you do not know. You know that they cannot swim and will drown, but the six other people in the water will be saved.	orig		10	7	10	10	0	Maximum vulnerability (9-10) for the two unknown individuals as they cannot swim and will drown.	Medium-High Intentionality (6-8) as the action was taken following some degree of thought and planning.	Maximum Harm (9-10) as the action results in the death of the two unknown individuals.	Maximum Help (9-10) as the action results in the rescue of the six people in the water who were in immediate danger of drowning.	High vulnerability, intent, harm balanced by help	The agent of this action is the person who pushes the two unknown individuals overboard.	The assumption made about the agent is that they are capable of making a decision and taking action in a crisis situation.	The patients being affected by this action are the two unknown individuals who are pushed overboard and the six people in the water who are drowning.	The assumption made about the patients is that the two unknown individuals cannot swim and will drown, while the six people in the water are in immediate danger of drowning.	-1.55
169	Kruepke	Just a few weeks ago I got a call from my friend's niece. She was living in my town and having some financial difficulties. I told her that she could come live with me for one week just until she got her act together.	orig		7	7	1	7	2	Medium-High Vulnerability (score of 6-8): She is an average individual facing financial hardship.	Medium-High Intentionality (score of 6-8): The narrator made a conscious decision to help.	Minimum Harm (score of 0-2): No harm was caused by the narrator's action.	Medium-High Help (score of 6-8): The narrator provided substantial help by offering temporary housing.	High vulnerability and intent, but minimal harm and significant help.	The agent of this action is the narrator.	The narrator is assumed to be a responsible and caring individual.	The patient being affected by this action is the friend's niece.	The friend's niece is assumed to be in a vulnerable state due to her financial difficulties.	2.42
170	Mickelberg	Person X arrived at the airport only to discover they had left their passport at home.	orig		7	1	7	0	-3	Person X is of average resilience (c).	Leaving the passport was unintentional (a).	Leaving the passport caused significant travel disruption (c).	No help was provided in this scenario (a).	High vulnerability, harm, low intent, no help	Person X	Person X is assumed to be an adult and capable of traveling alone.	Person X	Person X is affected by their own action of leaving the passport at home.	0.06
171	Mickelberg	Person X regularly cheats on their girlfriend when she is traveling for work.	orig		7	9	7	0	-3	Medium-High Vulnerability (score of 6-8): The girlfriend is emotionally vulnerable due to the betrayal.	Maximum Intentionality (score of 9-10): Person X repeatedly cheats, indicating premeditation.	Medium-High Harm (score of 6-8): Cheating causes significant emotional harm and damages trust.	Minimum Help (score of 0-2): No help is provided as the action is harmful.	High vulnerability, intent, and harm; no help.	Person X	Person X is assumed to be an adult with the capacity to make decisions and engage in relationships.	The girlfriend	The girlfriend is assumed to be an adult in a committed relationship with Person X.	-3.09
172	Lotto	You have just finished doing your shopping in a big and very crowded shopping centre and you are late for an appointment on the other side of town. In your hurry to leave the car park, you misjudge a manoeuvre and your car scrapes the car next to you causing a very visible scratch on the door. It is lunch time and there are no people in the car park.After having checked that nobody has seen what happened, you continue the manoeuvre and leave the car park. You know that the damage will cost the owner a lot of money, but no one can say that you caused it.	orig		2	4	7	0	-2	The car is an inanimate object, but the owner is affected (score of 2)	The action was accidental but the driver chose to leave (score of 4)	The damage caused is visible and costly (score of 7)	No help was provided to the car owner (score of 0)	High harm, intent, and low help lower score	The agent of this action is the person who was driving the car.	The assumption made about the agent is that they are in a hurry and accidentally caused damage to another car.	The patient being affected by this action is the owner of the car that was scraped.	The assumption made about the patient is that they are unaware of the damage caused to their car.	-0.98
173	Mickelberg	Person X put money in the expired parking meter of a stranger.	orig		6	7	0	4	1.5	Medium-High Vulnerability (score of 6-8): The stranger could have received a parking ticket.	Medium-High Intentionality (score of 6-8): Person X deliberately put money in the meter.	Minimum Harm (score of 0-2): No harm was caused.	Medium-Low Help (score of 3-5): Person X provided minor assistance by preventing a potential parking ticket.	Moderate intent, some help, but low harm	Person X	Person X is assumed to be a kind individual who is willing to help strangers.	The stranger whose parking meter was expired.	The stranger is assumed to be an average individual who may not have noticed the expired meter.	2.52
174	Lotto	You and another five actors are taking part in rehearsals for a stage show. The lighting technician is adjusting the spotlights and is on the catwalks several meters above. Suddenly, a criminal armed with a gun comes into the theatre and threatens to kill you and the other actors. He is standing right under the catwalk.You activate the opening of a trapdoor in the catwalks in which there is heavy scenery and other material which will fall on top of the criminal. You know that the technician will also fall, and will die, but you and the other five will be unhurt.	orig		7	10	10	7	-3	Medium-High Vulnerability (score of 6-8): Both individuals are susceptible to harm from the falling objects.	Maximum Intentionality (score of 9-10): The agent deliberately activated the trapdoor.	Maximum Harm (score of 9-10): The falling scenery and materials will likely cause death.	Medium-High Help (score of 6-8): The agent is saving the lives of the other actors, but causing harm to the technician.	High intentional harm to vulnerable patient	The agent of this action is the person who activated the trapdoor.	The assumption made about the agent is that they are one of the actors or someone else present in the theatre who has access to the trapdoor mechanism.	The patient being affected by this action is the criminal and the lighting technician.	The assumption made about the patient is that they are both in the vicinity of the trapdoor and will be affected by the falling scenery and materials.	-0.75
175	Mickelberg	Person X solved a crossword puzzle in the newspaper.	orig		0	7	0	0	-1	Inanimate object, no vulnerability (0-2)	Intentional action with planning (6-8)	No harm caused to the puzzle (0-2)	No help caused, as puzzle is not a living entity (0-2)	Low intent, no harm or help.	Person X	Person X is assumed to be a human capable of solving a crossword puzzle.	The crossword puzzle	The crossword puzzle is assumed to be a standard newspaper puzzle.	0.11
176	Effron	Put a roach down another person's shirt	orig		7	9	4	0	-3	Medium-High Vulnerability (score of 6-8): The patient is susceptible to emotional distress.	Maximum Intentionality (score of 9-10): The action is deliberate and planned.	Medium-Low Harm (score of 3-5): The action causes emotional distress but no physical harm.	Minimum Help (score of 0-2): The action does not provide any help.	High vulnerability, intent, and harm; no help.	The agent of this action is the person who put the roach down another person's shirt.	The assumption made about the agent is that they are capable of handling a roach and intentionally causing distress to another person.	The patient being affected by this action is the person who has the roach put down their shirt.	The assumption made about the patient is that they have a fear or discomfort towards roaches.	-3.04
