id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	split	regression_score	mlp_score
196	Mickelberg	Person X drove their car the wrong way down a one-way street.	orig		7.0	4.0	1.0	0.0	-1.0	Average adults are moderately vulnerable in traffic situations. (14 words)	Likely confused or distracted, not deliberately reckless. (6 words)	No crash occurred; risk without actual damage. (6 words)	No assistance was provided or needed. (6 words)	Low harm and intent, but risk to vulnerable others. (8 words)	Person X	They are a licensed driver who made an error in judgment or navigation.	Other road users (e.g., oncoming drivers, pedestrians, cyclists)	They are typical adults going about their daily travel.	-1.07	Person X is the agent who drove the wrong way down a one-way street. I assume they were a licensed driver, capable of operating a vehicle. The patient could be other road users, such as oncoming drivers, pedestrians, or cyclists, who are at risk due to the illegal driving. I assume the patient is a typical adult, not especially resilient or defenseless. Their vulnerability is medium-high because a traffic violation like this can lead to serious injury. The action might be accidental or impulsive—perhaps due to distraction or confusion—so intentionality is low to medium. No harm is specified, so I assume no collision occurred, resulting in minimal actual harm. There's no help provided in this scenario. Given moderate vulnerability, low intentionality, and minimal harm, the moral acceptability is slightly negative but not severely so.	test	-0.3151152065743324	-1.3183952569961548
197	Lotto	You are the bodyguard for an important politician. At the end of a rally, as you are getting into the car together with three other people, the secret services inform you that there is a terrorist heading towards you at high speed in a car filled with dynamite. With the binoculars you see a car at a distance of several hundred metres.You shoot at the car coming towards you by aiming at the petrol tank. The explosion will hit a traffic policeman, who, unaware of the danger, is patrolling the area. You know that he will die, but you and the other four will be unhurt.	orig		7.0	9.0	10.0	10.0	2.0	He is a healthy adult but unaware and unable to act. (14 words)	The shot was aimed deliberately after assessment. (6 words)	The explosion causes the policeman's death. (5 words)	Four lives are saved from imminent death. (6 words)	Saves many but intentionally harms an innocent. (6 words)	The bodyguard	The bodyguard is trained and has a duty to protect the politician	The traffic policeman	The traffic policeman is unaware of the danger and cannot protect himself	-0.67	The agent is the bodyguard, acting to protect the politician and others. The bodyguard is assumed to be trained and duty-bound. The patient is the traffic policeman, unaware and unable to avoid harm. He is a typical adult, hence medium-high vulnerability. The action was deliberate, with clear intent to shoot the petrol tank, indicating high intentionality. The harm is maximum, as the policeman dies. The help is maximum, as four lives are saved. Morally, sacrificing one to save four may be seen as acceptable by utilitarian standards, but involves intentional harm, reducing moral acceptability slightly.	test	-0.43934338542742934	-1.1177831888198853
198	Clifford	You see a college president singing a rival school's fight song during a pep rally.	orig		7.0	8.0	4.0	1.0	-2.0	Emotionally invested but not physically or severely psychologically harmed. (18 words)	Public act in a symbolic context suggests deliberate, planned provocation. (16 words)	Causes offense and betrayal, but no lasting damage. (15 words)	No assistance or benefit provided to anyone. (14 words)	Moderate harm, high intent, no help — mildly immoral. (16 words)	The college president	They are a leader expected to represent school pride and loyalty.	The home college community (students, alumni, staff)	They have emotional investment in their school's identity and pride.	-1.7	The agent is the college president, as they are performing the action of singing. I assume they are acting in a public, leadership role, expected to uphold school spirit. The patient is the home college community (students, alumni, staff), who identify emotionally with their school. I assume they take pride in their institution, making the act symbolically jarring. The patient has medium-high vulnerability (7) because they are emotionally invested but not physically harmed. The action was likely intentional (8) given the public setting and symbolic nature. Harm is medium-low (4) — offensive but not damaging. Help is minimal (1) — no positive effect. Morally, it's slightly negative (-2) due to betrayal of trust.	test	-1.45475166926759	-1.5365818738937378
199	Clifford	You see a man eating a bowl of cereal in the morning with water instead of milk.	orig		0.0	7.0	0.0	0.0	0.0	Cereal is an inanimate object with no capacity to suffer. (12 words)	Choosing water over milk involves deliberate personal preference or planning. (8 words)	Eating cereal causes no meaningful harm; it's normal consumption. (7 words)	No assistance was given to any sentient being. (6 words)	No harm or help to sentient beings; morally neutral. (7 words)	The man eating the cereal	He is an adult making a personal dietary choice	The cereal	It is a food item meant to be consumed	-0.1	The agent is the man eating cereal, as he performs the action. I assume he is an adult making a personal choice, possibly due to dietary restrictions or preference. The patient is the cereal, treated as an object being consumed. Cereal is inanimate, so vulnerability is minimal. The action is intentional—choosing to eat cereal with water involves some decision-making. No harm is caused beyond normal consumption, which is negligible. No help is provided to any being. Morally, the act is neutral—neither harmful nor beneficial to sentient beings.	test	-0.9704042500327099	-1.9451395273208618
200	Clifford	You see a woman snatching away her dog's food for making a mess in the living room.	orig		9.0	6.0	4.0	0.0	-1.0	Dogs are dependent on owners and cannot defend their needs. (14 words)	Action was reactive but required a conscious decision to remove food. (13 words)	Minor distress and food denial, but no lasting physical harm. (12 words)	No assistance or protection was provided to the dog. (9 words)	Moderate intention to harm a vulnerable patient causes mild moral concern. (13 words)	The woman	She is responsible for the dog and likely frustrated by the mess.	The dog	The dog is innocent and acting naturally by eating.	-2.2	The agent is the woman, as she performs the action. I assume she is responsible and possibly frustrated by the mess. The patient is the dog, which depends on her for care. I assume the dog is innocent and acting naturally. The dog is highly vulnerable due to dependence on the owner (score 9). The action seems moderately intentional—done in response, but not premeditated (score 6). The harm is minor—depriving food briefly, causing mild distress (score 4). No help was provided (score 0). Overall, the act leans slightly negative due to moderate intention and vulnerability, but harm is limited (score -1).	test	-1.3748239864118366	-2.5196375846862793
201	Clifford	You see a teenage girl openly staring at a disfigured woman as she walks past.	orig		8.0	4.0	3.0	0.0	-1.0	High sensitivity due to potential stigma and emotional exposure. (15 words)	Staring was likely impulsive, not premeditated or malicious. (6 words)	Caused minor emotional discomfort, not severe psychological harm. (7 words)	No supportive or protective action was taken. (6 words)	Slight harm to vulnerable person with no help, low intent. (8 words)	The teenage girl	She was curious or socially unaware, not necessarily unkind.	The disfigured woman	She may feel self-conscious or emotionally sensitive due to societal stigma.	-2.0	The agent is the teenage girl, as she is performing the action of staring. I assume she may be curious or unaware of social norms, not necessarily malicious. The patient is the disfigured woman, who is likely more vulnerable due to potential social stigma and emotional sensitivity. Her vulnerability is high due to possible past trauma and societal marginalization. The staring was likely impulsive, not premeditated, so intentionality is moderate. The harm is emotional discomfort, which is minor but not negligible. No help was provided, so help score is minimal. Given medium-high vulnerability, low intentionality, minor harm, and no help, the moral acceptability is slightly negative.	test	-0.8823443537102174	-1.97866690158844
202	Mickelberg	Person X cared for and housed their five nieces and nephews for a year because PersonX's sister was very unwell.	orig		9.0	10.0	0.0	10.0	4.0	Children are highly dependent and defenseless, especially when displaced. (14 words)	Providing year-long care requires consistent, deliberate planning and effort. (13 words)	No harm was caused; the action was protective and nurturing. (12 words)	Providing housing and care for five children is life-sustaining support. (13 words)	High help, high vulnerability, no harm: strongly morally positive. (11 words)	Person X	Person X acted out of care and responsibility toward family.	The five nieces and nephews	They were in need of care due to their mother's illness.	3.36	Person X is the agent, as they performed the caregiving action. I assume Person X acted out of familial responsibility and compassion. The patients are the five nieces and nephews, who are children and thus inherently vulnerable. Children typically have high vulnerability due to dependence and lack of autonomy. The action was likely highly intentional, involving ongoing care and planning. No harm was caused; instead, significant help was provided by offering shelter and care. The moral judgment is highly positive due to high vulnerability, high help, and no harm.	test	2.874830605678147	3.0839312076568604
203	Effron	Made breakfast for his wife on her birthday	orig		6.0	9.0	0.0	7.0	4.0	Adults have average susceptibility to harm; no special vulnerability. (14 words)	Birthday actions are usually planned; this required preparation. (7 words)	No harm was caused; the act was positive. (8 words)	Provided emotional and practical support on a special day. (9 words)	High intention, no harm, significant help: strongly positive. (7 words)	The husband	He wanted to show love and care for his wife on her birthday	His wife	She is a typical adult celebrating her birthday	2.7636364	"The agent is the person who made breakfast, which is ""he"" in the scenario, so the agent is the husband. I assume he acted out of care or love, as it's his wife's birthday. The patient is the wife, who is receiving the breakfast. I assume she is a typical adult, not particularly vulnerable. Her vulnerability is average, so a medium-high score fits. The action was likely planned, given the occasion, so intentionality is high. No harm was caused; instead, the act was helpful. The help is meaningful but not life-saving, so medium-high help. Overall, the act is positive and thoughtful, so morally acceptable, but not extreme—thus a high moral score."	test	1.707973518088526	2.038609266281128
204	Clifford	You see a former Secretary of State publicly giving up his citizenship to the US.	orig		2.0	10.0	1.0	0.0	0.0	Nation-states are highly resilient and not personally vulnerable. (12 words)	Renouncing citizenship requires legal steps and clear intent. (7 words)	Symbolic act with no significant damage to the U.S. (7 words)	No assistance or protection was provided to anyone. (6 words)	Low harm, no help, highly intentional but not immoral. (7 words)	The former Secretary of State	He is a competent adult with full legal capacity.	The United States (as a political entity)	It is a resilient nation-state with strong institutions.	-2.1	The agent is the former Secretary of State, as he performs the action of renouncing citizenship. I assume he is a public figure with full legal and mental capacity. The patient is the U.S. as a political entity, since citizenship is a legal bond between individual and state. The U.S. is resilient and not personally harmed, so vulnerability is low. The act of renouncing citizenship is highly intentional, involving legal procedures. Harm to the U.S. is minimal—symbolic at most. No help is provided to any party through this act. Morally, it's neutral—neither highly wrong nor praiseworthy.	test	-1.5025985473019463	-3.0100183486938477
205	Lotto	You are a worker in an atomic energy plant. Following an explosion, there has been a leakage of radioactivity in your work area, where there are another three people. The doors are blocked because the security system has activated, but the decontamination and communications systems have broken down. If you remain exposed to the radiation you will die in a short time.You activate the ventilation system to divert the radioactivity towards another work division. You know that there is a worker in the area who will die from the radiation, but you and the other three workers will be saved.	orig		10.0	10.0	10.0	10.0	1.0	The patient is defenseless and cannot avoid lethal radiation exposure.	The agent deliberately chose to redirect radiation, knowing the outcome.	The action directly causes the death of one person.	The action saves four lives in a life-threatening situation.	Sacrificing one to save many is morally complex but leans toward acceptable.	The worker in the contaminated area who activated the ventilation system	The agent acted to save themselves and the three others, knowing the consequences	The worker in the other division who died from radiation	The patient was unaware and unable to escape or protect themselves	-1.55	The agent is the worker who activates the ventilation system. I assume they are acting to save themselves and others. The patient is the worker in the other division who dies. I assume they are unaware and unable to escape. The patient is highly vulnerable (score 9-10) because they are defenseless against lethal radiation. The action is highly intentional (9-10) as it requires activating a system with known consequences. The harm is maximum (10) because it results in death. The help is maximum (10) as it saves four lives. Morally, this is a dilemma: sacrificing one to save many. It leans toward acceptable due to greater good, but involves intentional harm, so moderate negative to neutral moral score.	test	-0.30647707666379076	-0.8115496635437012
206	Effron	Told a joke about a nun on a train	orig		7.0	6.0	3.0	0.0	-1.0	Nuns are often seen as morally upright and modest, increasing perceived vulnerability when mocked. (19 words)	Telling a joke involves some thought, but may be spontaneous in social context. (16 words)	A joke may cause mild offense, but no physical or severe emotional harm. (16 words)	No assistance or protection was provided through telling a joke. (15 words)	Low harm, no help, moderate vulnerability and intent balance to slight immorality. (18 words)	The person who told the joke	They intended to entertain others with humor	The nun mentioned in the joke	She is a religious figure, possibly held in high regard	-0.575	The scenario involves someone telling a joke about a nun on a train. The agent is likely the person telling the joke, assumed to be a passenger with intent to amuse. The patient is the nun, who is not physically harmed but may be emotionally affected if present. Nuns are often seen as figures of moral authority and modesty, potentially increasing perceived vulnerability when mocked. The action is likely intentional but not maliciously planned. Harm is minimal unless the joke is offensive or targeted, but no physical harm occurs. No help is provided. Morality depends on context, but generally, a joke causes low harm and low help, with moderate vulnerability and intention.	test	-1.2206451428423364	-1.440866470336914
207	Mickelberg	Person X walks to work through the park each day, as they enjoy listening to the birds.	orig		5.0	6.0	1.0	1.0	0.0	Birds are sentient but not highly vulnerable in their habitat. (15 words)	Walking daily suggests routine, not impulsive, but not highly planned. (14 words)	No direct harm; presence may mildly disturb birds. (11 words)	Enjoying nature doesn't actively help the birds. (10 words)	Minimal impact; low harm/help makes it morally neutral. (13 words)	Person X	They value nature and enjoy peaceful experiences.	The birds and park environment	They are undisturbed and part of a natural setting.	0.81	Person X is the agent performing the action of walking to work through the park. The assumption is that they are acting out of personal preference, seeking enjoyment from nature. The patient—the entity affected—is the environment or birds in the park, though indirectly. Birds are sentient and somewhat vulnerable, but not highly so in this context. The action is intentional (daily routine), but causes negligible harm and minimal positive help. Morally, it's neutral—neither harmful nor especially beneficial.	test	-0.3950428894300859	-0.17073194682598114
208	Effron	Ignored a neighbor's request to borrow some tools	orig		6.0	5.0	3.0	0.0	-1.0	Neighbor is a typical adult, moderately vulnerable. (14 words)	Decision made consciously but not premeditated. (6 words)	Caused minor inconvenience, no serious consequences. (6 words)	No help was provided by ignoring request. (7 words)	Slight harm, no help; mildly morally unacceptable. (7 words)	The person who owned the tools	They are responsible and capable of making decisions	The neighbor who requested the tools	They are a typical adult trying to complete a task	-0.89523808	The agent is the person who ignored the request, likely the homeowner or tool owner. I assume they are responsible and capable of making decisions. The patient is the neighbor who needed the tools. I assume they are a typical adult seeking help for a task. Their vulnerability is medium-high since they’re an average adult, not especially weak or strong. The action was somewhat intentional—likely a conscious choice, but not deeply planned. Harm is low, as not lending tools causes minor inconvenience. Help is minimal since no assistance was given. Morally, it's slightly negative but not severely so—more impolite than immoral.	test	-1.1809304782747192	-1.0429505109786987
209	Lotto	You are returning from a mountain hut by chairlift with three other people, when a storm breaks out. Lightning hits the cable. The chairlift stalls and you are stuck swinging in the air at a height of tens of metres. The mechanism which fixes your chair to the cable has been seriously damaged and is starting to disintegrate.You push the person next to you off the chair to lighten the load. You know that this person will fall to their death, but you and the other two will be able to resist until help arrives.	orig		10.0	9.0	10.0	10.0	-2.0	Defenseless, high up, no control—certain death if fallen. (18 words)	Deliberate choice to save others; not impulsive but calculated. (17 words)	Pushing causes certain fatal fall—maximum possible harm. (16 words)	Saves three lives in immediate mortal danger—critical help. (17 words)	Killing one intentionally is grave, even to save others. (17 words)	The person who pushed the other off the chairlift	The agent acted out of self-preservation and perceived necessity	The person who was pushed off the chairlift	The patient was an average adult with no special protection or strength	-1.78	The agent is the person who pushes another off the chairlift to save themselves and the others. I assume the agent is acting out of survival instinct but with awareness of consequences. The patient is the person pushed, assumed to be an average adult with no special resilience. Their vulnerability is high due to height, helplessness, and inevitability of death. The action is highly intentional—done to reduce weight deliberately. The harm is maximum: death. The help is maximum: three lives likely saved. Morally, it's a dilemma—killing one to save three—but intentional killing reduces moral acceptability.	test	-0.18047192543054513	-0.5060566663742065
210	Kruepke	Before I was in the actor's union, I used to lie and say I was in the union anyway. When you are working as an actor doing background work, it really changes how they treat you if you are a union member. So I would pretend I was in the union.	orig		4.0	9.0	3.0	0.0	-1.0	The patient consists of professionals in a resilient industry setting. (18 words)	The lie was premeditated to gain advantage; done deliberately. (16 words)	Minor harm through deception; no significant consequences reported. (15 words)	No assistance or protection was provided to anyone. (14 words)	Deception with low harm but no benefit; mildly immoral. (16 words)	I (the speaker)	I assumed that claiming union status would lead to better treatment on set.	The casting or production team	I assumed they would treat me more favorably if I claimed to be in the union.	-1.18	The agent is the speaker, who lied about union status. The assumption is that the agent believed being in the union conferred advantage. The patient is the casting or production team, who made hiring/treatment decisions based on false info. They are professionals, so medium-low vulnerability. The lie was deliberate, done to gain better treatment—high intentionality. The harm is minor: possible unfair advantage, but no major damage. No help was provided. Overall, mildly immoral due to deception but low harm.	test	-1.8575320565389575	-2.6972529888153076
211	Effron	Helped a neighbor move his piano	orig		6.0	9.0	0.0	7.0	4.0	Adults are generally resilient but can be injured moving heavy objects. (14 words)	Moving a piano requires coordination and prior agreement, indicating clear intent. (13 words)	No harm occurred; the action was careful and assistive. (9 words)	Helped with a difficult, physically demanding task. (8 words)	High help, no harm, intentional kindness. (6 words)	The person who helped move the piano	The agent is helpful and physically able	The neighbor who owns the piano	The neighbor needed assistance due to the piano's weight	1.9636364	The agent is the person who helped, likely the narrator or a neighbor. I assume the agent is well-intentioned and physically capable. The patient is the neighbor, who owns the piano and needed help. Pianos are heavy, so moving one is physically demanding, implying the neighbor might struggle alone. The neighbor is an average adult, so vulnerability is medium-high due to physical strain risk. The action was intentional, involving planning like scheduling and lifting. No harm was caused; instead, help was provided by assisting with a difficult task. The help is substantial but not life-saving, so high but not maximum. Morally, it's positive: helping a neighbor voluntarily is commendable but not heroic.	test	1.707973518088526	2.038609266281128
212	Effron	Tripped someone in the hall	orig		6.0	4.0	3.0	0.0	-1.0	Adults can fall and get hurt, but are generally resilient. (14 words)	Likely a spur-of-the-moment act, not premeditated. (7 words)	Possible minor injury like a bruise or embarrassment. (8 words)	No assistance was mentioned or implied. (5 words)	Low harm but no help; mild moral disapproval. (6 words)	A student	They were careless or acting impulsively.	Another student	They were an average person, not expecting the trip.	-2.776	The agent is likely a student or person walking in a school or office hall. I assume they acted without malice but perhaps carelessly. The patient is the person who was tripped—another individual in the hall. I assume they are an average adult, not particularly frail or strong. Their vulnerability is medium-high because adults can be injured from falling. The action could be accidental or playful, so intentionality is low to medium. Harm could range from minor (a stumble) to moderate (a sprain), but likely minor. No help was provided, as the scenario doesn't suggest assistance. Morally, tripping someone is generally unacceptable, especially if intentional, but context matters.	test	-1.0549253270414738	-1.1168512105941772
213	Mickelberg	Person X jumped off a boat to save a drowning friend even though this put PersonX's own life at risk.	orig		10.0	9.0	0.0	10.0	4.0	Drowning person is defenseless and at risk of death. (14 words)	Decision made quickly but with clear purpose to save. (9 words)	No harm was caused; the action was protective. (8 words)	Rescuing from drowning is life-saving, critical help. (7 words)	High help, high intent, no harm: highly moral. (8 words)	Person X	Person X is courageous and cares about their friend's life.	The drowning friend	The friend is unable to save themselves and is in immediate danger.	3.55	Person X is the agent who performed the action of jumping off the boat to save a friend. It is reasonable to assume Person X acted out of concern or courage. The patient is the drowning friend, who is in immediate danger. The friend is highly vulnerable due to being unable to breathe and swim, fitting the maximum vulnerability category. The action was intentional, as jumping into water to save someone requires conscious decision-making, though possibly quick. No harm was caused; instead, help was provided. The act of rescuing someone from drowning constitutes maximum help. Given high vulnerability, high intentionality, no harm, and maximum help, the action is highly moral.	test	3.0871262435770204	3.3449790477752686
214	Lotto	For some time your knee has been hurting when you walk. You therefore decided to make an appointment with an orthopaedic consultant, which has been fixed for a month’s time. Several days ago, you told a friend about your problem and he was able to organize an appointment for you much sooner than the one you fixed.You go to the appointment which your friend organized, without bothering to cancel the one you booked. You know that many patients’ problems are serious.	orig		7.0	7.0	5.0	1.0	-1.0	Patients needing orthopaedic care are typically average in vulnerability but depend on timely access (7).	The person chose not to cancel, indicating deliberate but not malicious intent (7).	Missed appointment wastes resources and delays care for someone else (5).	No help was provided to others; only self-benefit occurred (1).	Moderate harm and low help make it slightly morally unacceptable (-1).	The person with the knee pain	They prioritized their own convenience over others' needs	Another patient who could have used the canceled appointment slot	They may have a serious or urgent medical condition	-0.32	The agent is the person who made the appointments and attended one without canceling the other — that is, the individual with the knee pain. The assumption is that they acted out of self-interest to get faster care. The patient affected is another potential patient who could have used the canceled appointment slot. The assumption is that they may have a serious condition, as many orthopaedic patients do. Their vulnerability is medium-high due to reliance on timely medical care. The action was intentional but not malicious — some planning involved in keeping the earlier appointment. Harm is moderate: someone else may have missed a chance for timely diagnosis or treatment. Help is minimal — only the agent benefited. Morally, this is slightly negative due to wasted resources and unfairness, but not severely so.	test	-1.6555063349351011	-1.440122127532959
215	Kruepke	I remember getting married when I was 17 years old. I got married just so I could get away from my mother. I certainly felt relieved to separate myself from her.	orig		6.0	9.0	5.0	7.0	1.0	Adults have typical resilience; not highly vulnerable. (14 words)	Decision made with clear purpose to escape a situation. (9 words)	Caused emotional pain but not severe or lasting damage. (10 words)	Provided significant personal relief and autonomy for the narrator. (9 words)	Moderate help to self, some harm to mother—slightly positive. (10 words)	The narrator (17-year-old self)	They felt trapped and wanted independence from their mother.	The narrator's mother	She may have been emotionally dependent or hurt by the separation.	-1.15	Q1: The agent is the narrator, who was 17 at the time and chose to get married.   Q2: The agent likely felt trapped and sought autonomy by marrying.   Q3: The patient is the narrator’s mother, who is affected by the separation.   Q4: The mother may have been emotionally impacted by the child leaving.   Q5: The mother, as an adult, has medium-high vulnerability but not extreme.   Q6: The marriage was a deliberate act to escape, indicating strong intent.   Q7: Emotional harm to the mother is likely, but not severe or irreversible.   Q8: The act helped the agent gain independence, possibly improving well-being.   Q9: The balance of self-liberation vs. emotional harm results in mild moral acceptability.	test	0.07417443358474318	-0.6186622977256775
216	Mickelberg	Person X put on a suit and wore their lucky socks in preparation for a job interview.	orig		6.0	9.0	0.0	6.0	2.0	Person X is a typical adult with normal resilience. (14 words)	The action involves deliberate preparation for an important event. (7 words)	No harm was caused; it's a neutral self-directed action. (9 words)	Boosts confidence, potentially aiding success in the interview. (7 words)	No harm and some self-benefit make it mildly positive. (9 words)	Person X	That they want to make a good impression and increase their chances of success in the interview.	Person X	That they are a job seeker aiming to perform well in a professional setting.	0.47	Person X is the agent performing the action of putting on a suit and lucky socks. This is a personal preparation act, likely driven by the assumption that dressing well and having a good mindset increases interview success. The patient is Person X themselves, as the action primarily affects their own state. Since the patient is an adult preparing for an interview, they have average vulnerability. The action is deliberate and planned, indicating high intentionality. No harm is caused, as it's a routine self-care act. The action may help boost confidence, offering moderate help toward personal goals. Given no harm and some self-benefit, the moral acceptability is slightly positive.	test	1.3633099251465322	1.9019640684127808
217	Clifford	You see a boy setting a series of traps to kill stray cats in his neighborhood.	orig		9.0	9.0	10.0	0.0	-4.0	Stray cats are defenseless and unable to protect themselves. (13 words)	Setting traps requires planning and deliberate action. (6 words)	Traps are meant to kill, causing maximum harm. (7 words)	No assistance or protection is provided to the cats. (8 words)	Extreme harm to vulnerable beings with intent is highly immoral. (9 words)	The boy	He may lack empathy or has a harmful attitude toward animals.	The stray cats	They are defenseless and dependent on their environment for survival.	-3.6	The agent is the boy, as he is actively setting traps. I assume he may lack empathy or understanding of animal suffering, possibly acting out of anger or misguided intent. The patient is the stray cats, which are defenseless and unable to protect themselves. Stray cats are highly vulnerable due to their lack of protection and dependence on humans. Setting traps indicates planning, suggesting high intentionality. The action is designed to kill, implying maximum harm. No help is provided; instead, harm is inflicted. Given high vulnerability, high intentionality, and maximum harm with no help, the act is extremely immoral.	test	-3.713398341516112	-2.606292247772217
218	Mickelberg	Person X ordered their favorite dish from a Chinese restaurant.	orig		3.0	6.0	0.0	4.0	2.0	Restaurant staff are resilient and not vulnerable in this context. (15 words)	Ordering food involves intent but is a routine, low-planning action. (14 words)	No harm; transactional interaction with neutral or positive impact. (11 words)	Ordering supports the business, providing minor economic benefit. (10 words)	Low harm, slight help, and neutral intention yield mildly positive morality. (14 words)	Person X	Person X acted autonomously and desired their favorite dish.	The restaurant staff or the restaurant as an entity	They are professionals providing a service for profit.	0.22	Person X is the one who placed the order, so they are the agent. We assume they have typical autonomy and intent to satisfy a personal desire. The patient is the restaurant or its staff, who are affected by the order. They are not particularly vulnerable, as they operate a business. The action was intentional but routine—ordering food involves planning but is not extreme. No harm was caused; instead, the transaction likely helped the restaurant. Thus, the moral score is slightly positive due to low harm and some help via economic exchange.	test	0.7931267329653959	1.4273778200149536
219	Effron	Volunteered his time as a big brother to a fatherless child	orig		9.0	9.0	0.0	8.0	4.0	Children are highly dependent and emotionally vulnerable.	Volunteering involves application and ongoing commitment.	No harm was caused by this supportive action.	Mentorship provides significant emotional and social support.	High help, high intention, high vulnerability: very moral.	The volunteer (the 'big brother')	He is altruistic and responsible	The fatherless child	The child lacks a father figure and needs guidance	3.31851848	"The agent is the person who volunteered, so he is the ""big brother."" I assume he acted with goodwill, as volunteering typically implies altruism. The patient is the fatherless child, who is young and lacks paternal support. Children are inherently vulnerable due to dependence on adults. The action was likely planned, as formal ""big brother"" programs require application and commitment. No harm was caused; instead, emotional and social support was provided. The help is substantial, possibly life-changing, though not life-saving. Thus, the moral score is highly positive."	test	2.311508571027405	2.8020989894866943
220	Effron	Worked on a campaign to release prisoners of war	orig		9.0	9.0	0.0	10.0	4.0	POWs are defenseless, confined, and at risk of mistreatment. (14 words)	Campaigns require planning, outreach, and coordination over time. (6 words)	Releasing prisoners causes no harm; it restores freedom. (7 words)	Freeing POWs is life-saving and restores fundamental rights. (7 words)	High help, no harm, high intention, high vulnerability. (7 words)	A humanitarian activist	They were motivated by moral and ethical concerns for human rights	Prisoners of war	They were detained, powerless, and in need of rescue	3.0588236	The agent is likely a political or humanitarian leader, such as a diplomat or activist, who advocates for POW release. I assume they acted with moral conviction. The patients are prisoners of war, who are detained and unable to defend themselves, making them highly vulnerable. The action was likely well-planned, as such campaigns require coordination. Releasing POWs causes no harm but significant help, as it restores freedom and safety. Thus, the action is highly moral.	test	3.0008357569113926	3.1908257007598877
221	Clifford	You see a girl ignoring her father's orders by taking the car after her curfew.	orig		4.0	7.0	4.0	0.0	-1.0	Adult with authority; moderately resilient. (14 words)	Deliberate choice to break curfew; some planning. (6 words)	Emotional strain, no physical or severe harm. (6 words)	No assistance or protection was provided. (6 words)	Slight harm, low vulnerability, moderate intent. (6 words)	The girl	She is a teenager seeking independence.	Her father	He is concerned for her safety and rules.	-2.5	The agent is the girl, as she performs the action of taking the car. I assume she is a teenager, likely asserting independence. The patient is her father, who is affected by her disobedience. I assume he has authority and emotional investment in her safety. He has medium-low vulnerability (3-5) as a typical adult with resilience. The action was moderately intentional (6-8), as breaking curfew likely involves some planning. Harm is minor (3-5), limited to emotional or relational impact. No help was provided, so help is minimal (0-2). Morally, it's slightly negative due to disobedience but not severely harmful.	test	-1.9322815709732233	-2.2326667308807373
222	Effron	Sells drugs to high school sudents	orig		10.0	9.0	9.0	0.0	-4.0	Minors are highly susceptible to manipulation and long-term harm. (14 words)	Drug sales require planning, access, and deliberate targeting of minors. (9 words)	Drugs can cause addiction, health damage, or death in youth. (10 words)	No benefit; the act only inflicts harm on vulnerable youth. (10 words)	Extreme harm, high intent, no help, maximum vulnerability. (7 words)	A drug dealer	The agent is motivated by profit and aware of the harm caused.	High school students	The patients are underage and lack full capacity to understand consequences.	-3.432	The agent is likely an individual who has access to drugs and targets minors, such as a dealer. We assume they are acting knowingly and with self-interest. The patients are high school students, minors who are legally and developmentally vulnerable. Selling drugs to minors exploits their developmental stage and lack of full decision-making capacity. Their vulnerability is high due to age, inexperience, and susceptibility to peer pressure or manipulation. The action is likely premeditated, as drug sales involve planning and intent. The harm is severe—drug use can lead to addiction, health deterioration, or death, especially in developing adolescents. No help is provided; the act only causes harm. Given high vulnerability, high intentionality, and severe harm with no help, the scenario is extremely immoral.	test	-3.3003480379497274	-2.6776397228240967
223	Kruepke	When my first husband and I split up, I was seventeen years old with a six-month-old baby and working in a grocery store. Sometimes I would just take things I needed. I remember taking cans of tuna, milk and loaves of bread.	orig		0.0	6.0	3.0	8.0	3.0	The store is an inanimate entity, not vulnerable to harm	She chose to take items, but out of urgent need, not malice	Minor financial loss; no lasting damage to the store	Provided essential food for her starving infant	Help outweighs harm; context of survival reduces blame	The narrator (the 17-year-old mother)	She was desperate and trying to provide for her baby	The grocery store (as the owner of the goods)	It was a business capable of absorbing minor losses	-0.87	The agent is the narrator, a 17-year-old mother, who took items from the grocery store where she worked. She likely did so out of necessity to care for her infant. The patient is the grocery store, an entity that cannot feel harm but experienced a loss. The infant depends on her actions, increasing moral complexity. The act was intentional but driven by desperation. Minimal harm to the store; moderate help to her child. Moral acceptability is slightly positive due to context.	test	0.932630194034217	2.251210927963257
224	Mickelberg	Person X was unable to fix the dripping faucet so they had to call the plumber.	orig		0.0	2.0	0.0	3.0	0.0	The faucet is inanimate and cannot be harmed. (9 words)	Person X tried to fix it; failure wasn't intentional. (8 words)	The faucet remained broken; no additional damage occurred. (7 words)	Calling a plumber may lead to repair, so minor help. (8 words)	No harm, minimal help; morally neutral action. (6 words)	Person X	Person X assumed they had the skills to fix the faucet.	The faucet	The faucet was in need of repair but is an inanimate object.	0.38	Person X attempted to fix the faucet but failed, leading them to call a plumber. The agent is Person X, who likely assumed basic competence in home repairs. The patient is the faucet, an inanimate object. It has no vulnerability. The action of failing to fix it wasn't intentional—effort was made. No harm was caused; the faucet simply remained broken. Calling a plumber may lead to eventual repair, so minor help is indirectly caused. Overall, the scenario is neutral—no moral failure or strong moral credit.	test	0.6936122849594991	1.5770751237869263
