id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
173	Mickelberg	Person X put money in the expired parking meter of a stranger.	orig		5.0	Action is unrelated to family values.	6.0	Action shows community spirit but not strong group loyalty.	7.0	Action is a favor without expectation of return.	5.0	Action does not involve bravery or skill.	6.0	Action shows humility and respect for others.	5.0	Action is unrelated to fairness in disputes.	7.0	Action respects the stranger's prior possession of the parking spot.	3.0	Action is generally kind and moral.	2.52	test	0.8480912672053535	1.8336262702941895
174	Lotto	You and another five actors are taking part in rehearsals for a stage show. The lighting technician is adjusting the spotlights and is on the catwalks several meters above. Suddenly, a criminal armed with a gun comes into the theatre and threatens to kill you and the other actors. He is standing right under the catwalk.You activate the opening of a trapdoor in the catwalks in which there is heavy scenery and other material which will fall on top of the criminal. You know that the technician will also fall, and will die, but you and the other five will be unhurt.	orig		5.0	Action is unrelated to family values.	7.0	Sacrifices one group member to save others.	5.0	Action is unrelated to reciprocity.	6.0	Shows wit but lacks bravery and fortitude.	2.0	Disregards obedience and respect for technician.	2.0	Unfair to the technician.	5.0	Action is unrelated to prior possession.	-2.0	Morally complex, leans towards immoral.	-0.75	test	-0.38962290067651884	-1.0658619403839111
175	Mickelberg	Person X solved a crossword puzzle in the newspaper.	orig		5.0	Solving a crossword is unrelated to family values.	5.0	Solving a crossword is a solitary activity, not related to group loyalty.	5.0	Solving a crossword does not involve reciprocity.	6.0	Solving a crossword requires skill and wit.	5.0	Solving a crossword is neutral to monkish virtues.	5.0	Solving a crossword does not involve fairness.	5.0	Solving a crossword does not involve prior possession.	0.0	The action is morally neutral.	0.11	test	0.305027158395772	0.3368261754512787
176	Effron	Put a roach down another person's shirt	orig		0.0	Contrary to family values; causes distress.	0.0	Undermines group loyalty; creates distrust.	0.0	Contrary to reciprocity; harmful prank.	0.0	Lacks bravery or skill; just mean.	0.0	Disrespectful and inconsiderate action.	0.0	Unfair; causes unnecessary harm.	0.0	Ignores personal boundaries.	-4.0	Highly immoral; causes harm and distress.	-3.04	test	-2.8893369698971205	-2.5634703636169434
177	Lotto	You are the fourth in a team of five mountaineers involved in a climb. The head of the team has just secured himself to the rock face when the second in the team starts to slide, pulling you, and the others, with him. You all fall for tens of metres and stop suspended above a crevasse. Your weight is too much and the rope is not going to resist for long.To lighten the load, you cut the rope which links you to the last climber. You know that he will fall into the crevasse and die, but you and the other two climbers will survive.	orig		5.0	Action is not related to family values.	0.0	Action is contrary to group loyalty.	0.0	Action is contrary to reciprocity.	3.0	Action shows fortitude but lacks heroism.	0.0	Action is contrary to humility and respect.	0.0	Action is contrary to fairness.	5.0	Action is not related to prior possession.	-4.0	Action is highly immoral.	-1.25	test	-2.6078108312327695	-2.0985453128814697
178	Cook	Someone participates in a non-violent white nationalist rally	orig		5.0	Not related to family values.	8.0	Reflects group loyalty to a specific ideology.	5.0	Not related to reciprocity.	6.0	Could be seen as bravery by participants.	5.0	Not related to monkish virtues.	2.0	Contrary to fairness and equality.	5.0	Not related to prior possession.	-3.0	Morally questionable due to exclusionary ideology.	-1.86	test	0.5493042616973671	-0.9694123268127441
179	Cook	Someone refuses to stand for the pledge of allegiance at a public event	orig		5.0	Not related to family values.	0.0	Contrary to group loyalty norms.	5.0	Not related to reciprocity.	7.0	Could be seen as brave.	0.0	Contrary to obedience and respect.	5.0	Not related to fairness.	5.0	Not related to prior possession.	0.0	Mixed moral implications.	-1.13	test	-1.4492966360205208	-2.6005871295928955
180	Kruepke	A woman at work would always bring in pictures of her dogs. One day she had to make the decision to put her dogs to sleep. So I cried with her and comforted her.	orig		5.0	Not related to family values.	8.0	Reflects group loyalty by comforting a colleague.	7.0	Shows empathy and support, reflecting reciprocity.	5.0	Not related to heroic virtues.	7.0	Shows humility and respect for colleague's feelings.	5.0	Not related to fairness.	5.0	Not related to prior possession.	3.0	Highly moral due to empathy and support.	2.49	test	1.3317113390544377	2.4396519660949707
181	Clifford	You see a man forbidding his wife to wear clothing that he has not first approved.	orig		5.0	Action does not directly relate to family values.	4.0	Action may reflect group norms but not loyalty.	5.0	Action does not involve reciprocity.	5.0	Action does not reflect heroic virtues.	3.0	Action may reflect obedience but not humility.	5.0	Action is not related to fairness.	5.0	Action does not involve prior possession.	-3.0	Action is controlling, thus morally questionable.	-3.1	test	-0.4474351007453832	-0.13050520420074463
182	Lotto	You are a soldier in the Gulf War. An armed group has taken four civilians hostage and threatens to kill them. You have been able to discover where the hostages are being held and you must act quickly before they are killed. You have discovered that a tanker transporting oil is about to pass in front of where the hostages are being held.You shoot at the tanker so that it explodes, causing the kidnappers to leave their hideout. You know that the explosion will kill the driver, but it will make it possible to enter into action and save the four civilians.	orig		5.0	Not related to family values.	8.0	Reflects group loyalty by saving civilians.	5.0	Not related to reciprocity.	9.0	Shows bravery and wit in saving lives.	2.0	Contrary to humility and obedience.	2.0	Unfair to the tanker driver.	0.0	Does not defer to prior possession.	-2.0	Morally complex, but leans towards immoral.	-0.52	test	0.05747951144093921	-1.838306188583374
183	Effron	Helped an older man carry his luggage to his car	orig		5.0	Action is neutral to family values.	7.0	Reflects group loyalty by helping a community member.	6.0	Shows reciprocity by helping someone in need.	5.0	Does not involve bravery or skill.	8.0	Shows respect and humility towards an elder.	5.0	Action is neutral to fairness.	5.0	Action is neutral to prior possession.	3.0	Overall, a morally positive action.	2.4	test	1.381065281528413	2.2027339935302734
184	Kruepke	A friend of mine decided to move to the city where I lived. My friend didn't know anyone in the city. So I went to pick her up at the airport and drove her around the city throughout the next week so she could become familiar with the city.	orig		5.0	Not related to family values.	8.0	Reflects forming friendships and helping others.	7.0	Shows trust and reciprocating favors.	5.0	Not related to heroic virtues.	6.0	Shows humility and respect.	5.0	Not related to fairness in resources.	5.0	Not related to prior possession.	3.0	Highly moral, reflects kindness.	2.64	test	1.0474588917193577	1.8528127670288086
185	Effron	Drove through a puddle, splashing some pedestrians	orig		5.0	Action unrelated to family values.	0.0	Action shows disregard for group loyalty.	0.0	Action is contrary to reciprocity.	5.0	Action does not reflect heroic virtues.	0.0	Action shows lack of respect.	0.0	Action is unfair to pedestrians.	0.0	Action disregards pedestrians' space.	-4.0	Action is highly immoral.	-1.52941176	test	-2.3446657835863087	-1.9282268285751343
186	Clifford	You see a teenager urinating in the wave pool at a crowded amusement park.	orig		5.0	Action is unrelated to family values.	0.0	Action disrupts group harmony and public decency.	0.0	Action shows disregard for others' well-being.	0.0	Action lacks bravery or skill.	0.0	Action shows disrespect and lack of humility.	0.0	Action is unfair to other pool users.	0.0	Action disregards shared public space.	-4.0	Highly immoral due to public health risk.	-3.4	test	-2.8336035040980487	-2.522913694381714
187	Effron	Offered to help a neighbor fix a fence	orig		5.0	Helping a neighbor is not directly related to family values.	8.0	Helping a neighbor reflects group loyalty and community spirit.	7.0	Helping a neighbor can foster reciprocity and mutual aid.	5.0	Fixing a fence does not particularly reflect heroic virtues.	7.0	Helping a neighbor shows humility and respect.	5.0	The action is neutral regarding fairness in dividing resources.	6.0	Recognizes and respects the neighbor's property.	3.0	Overall, the action is morally positive.	2.53333336	test	1.3181973471660844	2.475490093231201
188	Mickelberg	Person X burned their country's flag because they don't like their country.	orig		5.0	Burning a flag is unrelated to family values.	0.0	Burning a flag shows disloyalty to the group.	5.0	Action is not related to reciprocity.	5.0	Could be seen as brave or reckless.	0.0	Shows disrespect and disobedience.	5.0	Action is not related to fairness.	0.0	Disregards national symbols and prior possession.	-3.0	Overall, the action is seen as immoral.	-1.37	test	-1.5773017647834526	-2.538808584213257
189	Lotto	You are a lawyer who is working on an important legal case. The presiding judge in the case is someone whom you know from your university days. At the time, you were on friendly terms, but now, after many years, it seems that he hardly remembers you. You know that he has just finished a hearing and is about to leave the court.You organize it so that you meet the judge outside the court and invite him to lunch. You know that becoming friends again will be useful to you in the important case you are working on.	orig		5.0	Not related to family values.	7.0	Reflects forming friendships.	6.0	Reflects seeking favors.	5.0	Not related to heroic virtues.	5.0	Not related to monkish virtues.	5.0	Not related to fairness.	5.0	Not related to prior possession.	1.0	Mildly manipulative but not immoral.	0.12	test	0.5283079395231765	0.7672735452651978
190	Clifford	You see a man walking down a dark hallway while still wearing his sunglasses.	orig		5.0	Walking in a hallway with sunglasses is unrelated to family values.	5.0	This action does not reflect group loyalty or collaboration.	5.0	Wearing sunglasses in a hallway is neutral to reciprocity.	5.0	This action does not demonstrate bravery, fortitude, skill, or wit.	5.0	Wearing sunglasses indoors is neutral to humility and respect.	5.0	This action does not involve fairness or resource division.	5.0	This action is unrelated to prior possession.	0.0	The action is morally neutral, neither good nor bad.	-0.2	test	0.20723961429342408	0.22948381304740906
191	Mickelberg	Person X went to a friend's house to play a card game.	orig		5.0	Playing cards with friends is neutral to family values.	7.0	Participating in a social activity reflects group loyalty.	6.0	Engaging in a friendly game can reflect reciprocity.	5.0	Playing a card game is neutral to heroic virtues.	5.0	Playing cards is neutral to monkish virtues.	6.0	Fairness in the game can reflect fairness in general.	5.0	Playing a game is neutral to prior possession.	3.0	Overall, the scenario is morally acceptable.	0.44	test	0.5330520587912941	0.5276501178741455
192	Mickelberg	Person X turned their home into a shelter for flood victims, making meals and providing clothing to those who needed it.	orig		5.0	Action is not directly related to family values.	10.0	Action highly reflects group loyalty by helping community members.	8.0	Action reflects reciprocity by providing aid to those in need.	7.0	Action shows bravery and fortitude in a crisis.	8.0	Action reflects humility and respect for others' needs.	5.0	Action is neutral regarding fairness in dividing resources.	5.0	Action is neutral regarding prior possession.	4.0	Overall, the action is highly moral.	3.63	test	2.132607199823964	3.3352479934692383
193	Kruepke	When I was a first grade teacher in a Spanish-speaking school, I wanted to get to know all of my children’s parents. So I made a point to make myself available at any time of day. Many of them were illiterate, so I wouldn’t just send letters home, but I would call them as well.	orig		8.0	Action supports family involvement in education.	9.0	Action fosters community and parent-teacher relationships.	7.0	Action builds trust and reciprocates parental involvement.	5.0	Action shows dedication but not heroic virtues.	8.0	Action shows respect and humility towards parents.	5.0	Action is neutral regarding fairness in resources.	5.0	Action is neutral regarding prior possession.	4.0	Action is highly moral, fostering community and respect.	2.56	test	1.735573686237608	1.1155478954315186
194	Grizzard	Breaks the hand of a wounded combatant to gain information.	orig		5.0	Action is unrelated to family values.	3.0	Action may reflect group loyalty in extreme situations.	0.0	Action is contrary to principles of reciprocity.	0.0	Action does not reflect heroic virtues.	0.0	Action is contrary to monkish virtues.	0.0	Action is contrary to fairness principles.	5.0	Action is unrelated to prior possession.	-4.0	Action is highly immoral due to violence.	-1.546666667	test	-2.642664002433865	-2.9752135276794434
195	Kruepke	When I first went to dance school in New York I lied about my age. There is a lot of pressure to be young in the dance industry. I was twenty and told people I was only sixteen.	orig		5.0	The action is unrelated to family values.	5.0	Lying about age does not reflect group loyalty.	5.0	The action is neutral regarding reciprocity.	4.0	Lying shows wit but lacks bravery and fortitude.	2.0	Lying is contrary to humility and respect.	2.0	Lying about age is unfair in competitive contexts.	5.0	The action does not recognize prior possession.	-2.0	Lying is generally considered immoral.	-1.39	test	-0.7575376296185135	-0.9692609310150146
196	Mickelberg	Person X drove their car the wrong way down a one-way street.	orig		5.0	Driving wrong way unrelated to family values.	0.0	Contrary to group loyalty; endangers others.	5.0	Unrelated to reciprocity; no trust or favors involved.	0.0	Not heroic; reckless and dangerous.	0.0	Disobeys traffic laws; lacks respect.	5.0	Unrelated to fairness; no resource division.	0.0	Disregards established traffic rules.	-4.0	Reckless and dangerous; highly immoral.	-1.07	test	-2.066239485295193	-3.5791783332824707
197	Lotto	You are the bodyguard for an important politician. At the end of a rally, as you are getting into the car together with three other people, the secret services inform you that there is a terrorist heading towards you at high speed in a car filled with dynamite. With the binoculars you see a car at a distance of several hundred metres.You shoot at the car coming towards you by aiming at the petrol tank. The explosion will hit a traffic policeman, who, unaware of the danger, is patrolling the area. You know that he will die, but you and the other four will be unhurt.	orig		5.0	Action is unrelated to family values.	8.0	Protecting the politician shows group loyalty.	5.0	Action is unrelated to reciprocity.	7.0	Demonstrates bravery and quick decision-making.	5.0	Action is unrelated to monkish virtues.	2.0	Sacrificing one to save many is unfair.	5.0	Action is unrelated to prior possession.	-2.0	Morally complex, leaning towards immoral.	-0.67	test	0.6470918057997155	-0.5020753145217896
198	Clifford	You see a college president singing a rival school's fight song during a pep rally.	orig		5.0	Not related to family values.	0.0	Contrary to group loyalty.	5.0	Not related to reciprocity.	5.0	Not related to heroic virtues.	7.0	Shows humility and respect.	5.0	Not related to fairness.	5.0	Not related to prior possession.	-1.0	Mixed values, slightly negative.	-1.7	test	0.34489540712033495	-0.6190358400344849
199	Clifford	You see a man eating a bowl of cereal in the morning with water instead of milk.	orig		5.0	Eating cereal with water is unrelated to family values.	5.0	This action does not reflect group loyalty.	5.0	This action is neutral regarding reciprocity.	5.0	Eating cereal with water does not reflect heroic virtues.	5.0	This action is neutral regarding monkish virtues.	5.0	This action does not involve fairness in resource division.	5.0	This action is unrelated to prior possession.	0.0	The action is morally neutral.	-0.1	test	0.20723961429342408	0.22948381304740906
200	Clifford	You see a woman snatching away her dog's food for making a mess in the living room.	orig		5.0	Action is neutral to family values; not directly related.	5.0	Action is neutral to group loyalty; not directly related.	2.0	Action is contrary to reciprocity; punishing the dog.	5.0	Action is neutral to heroic virtues; not directly related.	5.0	Action is neutral to monkish virtues; not directly related.	2.0	Action is contrary to fairness; dog is punished without clear reason.	2.0	Action is contrary to prior possession; dog’s food taken away.	-2.0	Action is slightly immoral; unfair punishment.	-2.2	test	-0.21263682132323103	-2.127815008163452
201	Clifford	You see a teenage girl openly staring at a disfigured woman as she walks past.	orig		5.0	Not related to family values.	2.0	Contrary to group loyalty; staring is rude.	5.0	Not related to reciprocity.	5.0	Not related to heroic virtues.	2.0	Contrary to respect and humility.	5.0	Not related to fairness.	5.0	Not related to prior possession.	-2.0	Rude behavior, slightly immoral.	-2.0	test	-0.9040271888177605	-1.0332841873168945
202	Mickelberg	Person X cared for and housed their five nieces and nephews for a year because PersonX's sister was very unwell.	orig		10.0	Reflects strong family values by caring for relatives.	8.0	Shows loyalty to family group by helping sister.	7.0	Reciprocates familial support and trust.	6.0	Demonstrates fortitude and responsibility.	7.0	Shows humility and respect for sister's situation.	5.0	Not directly related to fairness in resources.	5.0	Not related to prior possession.	4.0	Highly moral due to strong family support.	3.36	test	1.4852323489558565	1.2029452323913574
203	Effron	Made breakfast for his wife on her birthday	orig		8.0	Reflects caring for family members.	5.0	Not directly related to group loyalty.	7.0	Shows gratitude and reciprocation.	5.0	Not related to heroic virtues.	6.0	Shows respect and deference.	5.0	Not related to fairness in resources.	5.0	Not related to prior possession.	3.0	Caring and respectful action.	2.7636364	test	0.8223895100928527	2.2656266689300537
204	Clifford	You see a former Secretary of State publicly giving up his citizenship to the US.	orig		5.0	Action is unrelated to family values.	0.0	Renouncing citizenship is contrary to group loyalty.	5.0	Action does not reflect reciprocity.	6.0	Could be seen as brave or controversial.	0.0	Action is contrary to deference and obedience.	5.0	Action is unrelated to fairness.	5.0	Action does not reflect prior possession.	-2.0	Action is controversial and seen as disloyal.	-2.1	test	-1.547084180122869	-2.5247201919555664
205	Lotto	You are a worker in an atomic energy plant. Following an explosion, there has been a leakage of radioactivity in your work area, where there are another three people. The doors are blocked because the security system has activated, but the decontamination and communications systems have broken down. If you remain exposed to the radiation you will die in a short time.You activate the ventilation system to divert the radioactivity towards another work division. You know that there is a worker in the area who will die from the radiation, but you and the other three workers will be saved.	orig		5.0	Action is neutral to family values.	8.0	Action saves more group members.	5.0	Action does not reflect reciprocity.	7.0	Action shows bravery and quick thinking.	5.0	Action is neutral to monkish virtues.	2.0	Action is unfair to the worker in other area.	5.0	Action does not consider prior possession.	1.0	Action is morally complex but leans towards saving more lives.	-1.55	test	0.6470918057997155	-0.5020753145217896
206	Effron	Told a joke about a nun on a train	orig		5.0	Telling a joke is unrelated to family values.	5.0	Jokes can foster group bonding but are neutral here.	5.0	Jokes do not directly involve reciprocity.	5.0	Telling a joke may show wit but is generally neutral.	3.0	Jokes about nuns may lack respect.	5.0	Jokes do not involve fairness in resource division.	5.0	Jokes do not involve prior possession.	1.0	Generally neutral but slightly disrespectful.	-0.575	test	-0.3612652803767338	-0.6657420992851257
207	Mickelberg	Person X walks to work through the park each day, as they enjoy listening to the birds.	orig		5.0	Walking to work is unrelated to family values.	5.0	Walking alone does not reflect group loyalty.	5.0	Walking to work does not involve reciprocity.	5.0	Walking to work does not reflect heroic virtues.	5.0	Walking to work is neutral to monkish virtues.	5.0	Walking to work does not involve fairness.	5.0	Walking to work does not involve prior possession.	0.0	The action is morally neutral.	0.81	test	0.20723961429342408	0.22948381304740906
208	Effron	Ignored a neighbor's request to borrow some tools	orig		5.0	Not related to family values.	2.0	Contrary to group loyalty.	2.0	Contrary to reciprocity.	5.0	Not related to heroic virtues.	5.0	Not related to monkish virtues.	5.0	Not related to fairness.	7.0	Reflects recognition of prior possession.	-2.0	Slightly immoral due to lack of reciprocity and group loyalty.	-0.89523808	test	-0.5244838840665906	-0.6890674829483032
209	Lotto	You are returning from a mountain hut by chairlift with three other people, when a storm breaks out. Lightning hits the cable. The chairlift stalls and you are stuck swinging in the air at a height of tens of metres. The mechanism which fixes your chair to the cable has been seriously damaged and is starting to disintegrate.You push the person next to you off the chair to lighten the load. You know that this person will fall to their death, but you and the other two will be able to resist until help arrives.	orig		5.0	Action is unrelated to family values.	0.0	Action is contrary to group loyalty.	0.0	Action is contrary to reciprocity.	0.0	Action lacks bravery and fortitude.	0.0	Action is contrary to humility and respect.	0.0	Action is highly unfair.	0.0	Action disregards prior possession.	-4.0	Action is extremely immoral.	-1.78	test	-2.8336035040980487	-2.522913694381714
210	Kruepke	Before I was in the actor's union, I used to lie and say I was in the union anyway. When you are working as an actor doing background work, it really changes how they treat you if you are a union member. So I would pretend I was in the union.	orig		5.0	Not related to family values.	2.0	Pretending to be in the union shows disloyalty.	2.0	Deceit undermines trust and reciprocity.	4.0	Shows some wit but lacks bravery.	1.0	Dishonesty is contrary to humility and respect.	2.0	Unfair advantage over non-union members.	1.0	Does not respect union membership rules.	-3.0	Overall, the action is deceitful and unfair.	-1.18	test	-1.6924296239834895	-0.8507481813430786
211	Effron	Helped a neighbor move his piano	orig		5.0	Not directly related to family values.	8.0	Reflects group loyalty by helping a neighbor.	7.0	Reflects reciprocity; likely to be reciprocated.	6.0	Requires physical effort and skill.	7.0	Shows humility and willingness to help.	5.0	Not directly related to fairness.	5.0	Not related to prior possession.	3.0	Overall positive action, helping others.	1.9636364	test	1.4294988831567852	2.906987428665161
212	Effron	Tripped someone in the hall	orig		5.0	Tripping someone does not relate to family values.	0.0	Tripping someone is contrary to group loyalty.	0.0	Tripping someone is contrary to reciprocity.	0.0	Tripping someone does not reflect heroic virtues.	0.0	Tripping someone is contrary to monkish virtues.	0.0	Tripping someone is contrary to fairness.	5.0	Tripping someone does not relate to prior possession.	-4.0	Tripping someone is generally immoral.	-2.776	test	-2.901173463539813	-2.1122469902038574
213	Mickelberg	Person X jumped off a boat to save a drowning friend even though this put PersonX's own life at risk.	orig		5.0	Action is neutral to family values.	10.0	Reflects strong group loyalty by risking life for a friend.	10.0	Reflects high reciprocity by helping a friend in need.	10.0	Highly reflects bravery and fortitude.	5.0	Action is neutral to monkish virtues.	5.0	Action is neutral to fairness.	5.0	Action is neutral to prior possession.	4.0	Highly moral due to bravery and loyalty.	3.55	test	1.8706698591106794	4.290792465209961
214	Lotto	For some time your knee has been hurting when you walk. You therefore decided to make an appointment with an orthopaedic consultant, which has been fixed for a month’s time. Several days ago, you told a friend about your problem and he was able to organize an appointment for you much sooner than the one you fixed.You go to the appointment which your friend organized, without bothering to cancel the one you booked. You know that many patients’ problems are serious.	orig		5.0	Not related to family values.	7.0	Friendship and group loyalty are shown.	8.0	Reciprocating a favor from a friend.	5.0	Not related to heroic virtues.	3.0	Disrespectful to not cancel the appointment.	2.0	Unfair to other patients needing appointments.	2.0	Does not respect prior appointment slots.	-1.0	Mixed actions, slightly immoral overall.	-0.32	test	0.2835700316986314	1.5496056079864502
215	Kruepke	I remember getting married when I was 17 years old. I got married just so I could get away from my mother. I certainly felt relieved to separate myself from her.	orig		2.0	Marriage to escape mother, not family values.	3.0	Action is personal, not group loyalty.	2.0	No reciprocity involved in the action.	6.0	Shows fortitude to escape a bad situation.	1.0	Action is contrary to obedience and respect.	5.0	No fairness or resource division involved.	5.0	No prior possession issues involved.	0.0	Morally neutral, personal decision.	-1.15	test	-1.4839484046386455	-1.9821345806121826
216	Mickelberg	Person X put on a suit and wore their lucky socks in preparation for a job interview.	orig		5.0	Not related to family values.	5.0	Not related to group loyalty.	5.0	Not related to reciprocity.	6.0	Reflects preparation and confidence.	5.0	Not related to monkish virtues.	5.0	Not related to fairness.	5.0	Not related to prior possession.	0.0	Morally neutral action.	0.47	test	0.305027158395772	0.3368261754512787
217	Clifford	You see a boy setting a series of traps to kill stray cats in his neighborhood.	orig		5.0	Action is unrelated to family values.	0.0	Action is contrary to group loyalty.	0.0	Action is contrary to reciprocity.	0.0	Action does not reflect heroic virtues.	0.0	Action is contrary to monkish virtues.	0.0	Action is contrary to fairness.	5.0	Action is unrelated to prior possession.	-4.0	Action is extremely immoral.	-3.6	test	-2.901173463539813	-2.1122469902038574
218	Mickelberg	Person X ordered their favorite dish from a Chinese restaurant.	orig		5.0	Ordering food is neutral to family values.	5.0	Action is neutral to group loyalty.	5.0	Action is neutral to reciprocity.	5.0	Ordering food does not reflect heroic virtues.	5.0	Action is neutral to monkish virtues.	5.0	Action is neutral to fairness.	5.0	Action is neutral to prior possession.	0.0	Action is morally neutral.	0.22	test	0.20723961429342408	0.22948381304740906
219	Effron	Volunteered his time as a big brother to a fatherless child	orig		8.0	Supports a child, reflecting family values.	9.0	Shows group loyalty by helping community.	7.0	Reciprocates societal trust and support.	6.0	Demonstrates bravery and fortitude.	8.0	Reflects humility and respect.	5.0	Fairness not directly involved.	5.0	Prior possession not relevant.	4.0	Highly moral action, supports community.	3.31851848	test	1.8333612303399565	1.5828828811645508
220	Effron	Worked on a campaign to release prisoners of war	orig		5.0	Not directly related to family values.	8.0	Reflects group loyalty by supporting comrades.	7.0	Shows reciprocity by aiding those who served.	9.0	Demonstrates bravery and fortitude.	5.0	Not directly related to monkish virtues.	7.0	Promotes fairness in treatment of prisoners.	5.0	Not directly related to prior possession.	3.0	Highly moral due to loyalty and bravery.	3.0588236	test	1.1638448593299073	2.146700382232666
221	Clifford	You see a girl ignoring her father's orders by taking the car after her curfew.	orig		0.0	Disobeying a parent undermines family values.	5.0	Action does not reflect group loyalty.	5.0	Action does not involve reciprocity.	4.0	Action may show bravery but lacks context.	0.0	Disobeying orders is contrary to monkish virtues.	5.0	Action does not involve fairness.	0.0	Ignoring prior possession of the car.	-3.0	Disobedience and lack of respect make it immoral.	-2.5	test	-1.2999736728416253	-2.460599660873413
222	Effron	Sells drugs to high school sudents	orig		0.0	Selling drugs harms youth, contrary to family values.	0.0	Undermines group loyalty by endangering community.	0.0	Exploits trust for personal gain, contrary to reciprocity.	0.0	No bravery or skill in harming others.	0.0	Disrespectful and disobedient to societal norms.	0.0	Unfairly exploits vulnerable individuals.	0.0	Does not respect prior possession or rights.	-4.0	Highly immoral due to harm and exploitation.	-3.432	test	-2.8893369698971205	-2.5634703636169434
223	Kruepke	When my first husband and I split up, I was seventeen years old with a six-month-old baby and working in a grocery store. Sometimes I would just take things I needed. I remember taking cans of tuna, milk and loaves of bread.	orig		8.0	Action reflects caring for offspring.	2.0	Action is contrary to group loyalty.	2.0	Action is contrary to reciprocity.	6.0	Action shows fortitude in hardship.	2.0	Action is contrary to obedience.	2.0	Action is contrary to fairness.	1.0	Action is contrary to prior possession.	-2.0	Mixed values; more negative.	-0.87	test	-1.1791620089642718	-0.2652938663959503
224	Mickelberg	Person X was unable to fix the dripping faucet so they had to call the plumber.	orig		5.0	Not related to family values.	5.0	Neutral regarding group loyalty.	5.0	Neutral regarding reciprocity.	5.0	Does not reflect heroic virtues.	7.0	Reflects humility and deference.	5.0	Neutral regarding fairness.	5.0	Neutral regarding prior possession.	0.0	Morally neutral action.	0.38	test	0.7757445089635819	0.7195152044296265
225	Kruepke	My friends and I were going to the movies and I was taking this guy with me in my car. He was being a jerk about my driving so I decided to go really fast and drive recklessly. It got to the point where he told me to stop the car so he could get out.	orig		5.0	Driving recklessly is unrelated to family values.	0.0	Reckless driving endangers friends, contrary to group loyalty.	5.0	Reckless driving is not related to reciprocity.	0.0	Reckless driving is not brave or skillful, it's dangerous.	0.0	Reckless driving shows a lack of respect and humility.	5.0	Reckless driving is not related to fairness.	5.0	Reckless driving is not related to prior possession.	-4.0	Reckless driving is highly immoral due to endangerment.	-1.52	test	-2.1338094447369573	-2.2671773433685303
226	Clifford	You see a mother forcing her daughter to enroll as a pre-med student in college.	orig		6.0	Reflects caring but may ignore child's autonomy.	5.0	Not directly related to group loyalty.	5.0	Does not involve reciprocity.	5.0	Does not reflect heroic virtues.	6.0	Reflects obedience but not humility or respect.	3.0	Ignores fairness in child's choice.	3.0	Does not recognize child's prior interests.	1.0	Somewhat moral but limits child's autonomy.	-2.3	test	0.5201785000287877	0.7148303985595703
227	Effron	Smiled and greeted people while walking down the street	orig		5.0	Not related to family values.	7.0	Promotes friendliness and social cohesion.	6.0	Encourages positive social interactions.	5.0	Not related to heroic virtues.	6.0	Shows respect and humility.	5.0	Not related to fairness.	5.0	Not related to prior possession.	3.0	Generally positive social behavior.	1.90769232	test	0.8125603868582552	1.4953513145446777
228	Effron	Was arrested on suspicion of child beating	orig		0.0	Child beating is contrary to caring for offspring.	0.0	Child beating undermines group loyalty and trust.	0.0	Child beating is contrary to trust and reciprocity.	0.0	Child beating does not reflect bravery or skill.	0.0	Child beating shows lack of humility and respect.	0.0	Child beating is unfair and abusive.	0.0	Child beating disregards any notion of prior possession.	-4.0	Child beating is extremely immoral.	-2.92	test	-2.8893369698971205	-2.5634703636169434
229	Clifford	You see a woman using a fork to eat a bowl of vanilla ice cream and marshmallows.	orig		5.0	Eating ice cream is neutral to family values.	5.0	Action is neutral to group loyalty.	5.0	Action is neutral to reciprocity.	5.0	Eating ice cream does not reflect heroic virtues.	5.0	Action is neutral to monkish virtues.	5.0	Action is neutral to fairness.	5.0	Action is neutral to prior possession.	0.0	Action is morally neutral.	-0.1	test	0.20723961429342408	0.22948381304740906
230	Lotto	You are on board a ship which is sinking. You are heading for the deck where the lifeboats are together with seven other people. You and another person have just crossed through a watertight door when it starts to close quickly. The other six people are behind the door, too far away to be able to pass through it in time.You knock the person next to you unconscious and use his body to block the door open. You know that this person will be crushed to death, but the other six will have time to save themselves.	orig		5.0	Action is not related to family values.	8.0	Sacrificing one for the group shows group loyalty.	0.0	Action is contrary to reciprocity.	3.0	Action involves bravery but also cruelty.	0.0	Action is contrary to humility and respect.	0.0	Action is unfair to the individual sacrificed.	5.0	Action does not involve prior possession.	-3.0	Action is highly immoral due to sacrifice.	-1.43	test	-1.9184522682835738	-4.483890533447266
231	Effron	Gave his seat to someone on the crowded bus	orig		5.0	Not directly related to family values.	7.0	Shows consideration for others in a group setting.	6.0	Reflects a general sense of goodwill and reciprocity.	5.0	Not related to bravery or heroic virtues.	8.0	Demonstrates humility and respect for others.	5.0	Not directly related to fairness in resource division.	5.0	Not related to prior possession.	3.0	A kind and respectful action.	2.64242424	test	1.381065281528413	2.2027339935302734
