id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	split	regression_score	mlp_score
193	Kruepke	When I was a first grade teacher in a Spanish-speaking school, I wanted to get to know all of my children’s parents. So I made a point to make myself available at any time of day. Many of them were illiterate, so I wouldn’t just send letters home, but I would call them as well.	orig		7.0	9.0	0.0	8.0	4.0	Parents are somewhat vulnerable due to illiteracy	The teacher's actions are highly intentional	No harm is caused	The teacher provides significant help	Highly moral due to significant help and no harm	The first grade teacher	The teacher is proactive and caring	The children’s parents	The parents are likely to be illiterate and need support	2.56	1. Identify the agent: The first grade teacher. 2. Assumption about the agent: The teacher is proactive and caring. 3. Identify the patient: The children’s parents. 4. Assumption about the patient: The parents are likely to be illiterate and need support. 5. Assess vulnerability: The parents are somewhat vulnerable due to illiteracy. 6. Assess intentionality: The teacher's actions are highly intentional, aiming to support the parents. 7. Assess harm: No harm is caused by the teacher's actions. 8. Assess help: The teacher provides significant help by making herself available and communicating directly. 9. Assess moral acceptability: The actions are highly moral due to the significant help provided and lack of harm.	test	2.0284553010740316	2.3028697967529297
194	Grizzard	Breaks the hand of a wounded combatant to gain information.	orig		9.0	9.0	7.0	3.0	-3.0	The patient is already wounded, making them highly vulnerable.	The action is deliberate to gain information.	Breaking a hand causes significant physical harm.	The action might provide critical information but does not directly help the patient.	High harm and intentionality outweigh potential help.	A soldier or interrogator	The agent is likely in a position of authority or power.	A wounded combatant	The patient is likely an enemy combatant, already injured.	-1.546666667	1. Identify the agent: The person who breaks the hand. 2. Assumption about the agent: Likely a soldier or interrogator. 3. Identify the patient: The wounded combatant. 4. Assumption about the patient: Likely an enemy combatant, already injured. 5. Assess vulnerability: The patient is already wounded, making them highly vulnerable. 6. Assess intentionality: The action is deliberate to gain information. 7. Assess harm: Breaking a hand causes significant physical harm. 8. Assess help: The action might provide critical information but does not directly help the patient. 9. Assess moral acceptability: Weighing high harm and high intentionality against potential help.	test	-1.7171470152265451	-1.7108311653137207
195	Kruepke	When I first went to dance school in New York I lied about my age. There is a lot of pressure to be young in the dance industry. I was twenty and told people I was only sixteen.	orig		4.0	8.0	4.0	2.0	-2.0	The dance school is not highly vulnerable	The lie was deliberate and planned	The harm is minor, involving deception	The help is minimal, benefiting the agent	Minor harm and minimal help make it slightly immoral	The person who went to dance school	The agent is a young adult aspiring dancer	The dance school and its members	The patient expects honesty and integrity	-1.39	1. Identify the agent: The person who went to dance school and lied about their age. 2. Assumption about the agent: The agent is likely a young adult aspiring to succeed in the dance industry. 3. Identify the patient: The dance school and its members who were misled. 4. Assumption about the patient: The dance school and its members are institutions and individuals who expect honesty. 5. Assess the vulnerability of the patient: The dance school and its members are not highly vulnerable but are susceptible to deception. 6. Assess the intentionality of the action: The action of lying about age was deliberate and planned. 7. Assess the harm caused: The harm is minor as it involves deception but not physical or severe emotional damage. 8. Assess the help caused: The help is minimal as the lie primarily benefits the agent. 9. Assess the moral acceptability: Weighing the minor harm and minimal help, the action leans towards being slightly immoral.	test	-1.557807561960757	-1.2864301204681396
196	Mickelberg	Person X drove their car the wrong way down a one-way street.	orig		7.0	5.0	7.0	0.0	-3.0	Typical adults have medium-high vulnerability.	Could be impulsive or slightly planned.	Potential for significant harm due to traffic violations.	No help provided in this scenario.	Significant harm and medium-high vulnerability make it immoral.	Person X	Person X is a typical adult.	Other road users or pedestrians	They are typical adults.	-1.07	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is a typical adult. 3. Identify the patient: Other road users or pedestrians. 4. Assumption about the patient: They are typical adults. 5. Assess vulnerability: Typical adults have medium-high vulnerability. 6. Assess intentionality: Driving the wrong way could be impulsive or slightly planned. 7. Assess harm: Potential for significant harm due to traffic violations. 8. Assess help: No help provided in this scenario. 9. Assess moral acceptability: Weighing harm, vulnerability, and intentionality.	test	-2.39427219757695	-1.4333157539367676
197	Lotto	You are the bodyguard for an important politician. At the end of a rally, as you are getting into the car together with three other people, the secret services inform you that there is a terrorist heading towards you at high speed in a car filled with dynamite. With the binoculars you see a car at a distance of several hundred metres.You shoot at the car coming towards you by aiming at the petrol tank. The explosion will hit a traffic policeman, who, unaware of the danger, is patrolling the area. You know that he will die, but you and the other four will be unhurt.	orig		9.0	9.0	10.0	10.0	1.0	The traffic policeman is unaware and highly susceptible to harm.	The bodyguard's action is deliberate and planned.	The traffic policeman will die.	The action will save the lives of the politician and others.	Necessary action to save multiple lives.	The bodyguard	The bodyguard is acting to protect the politician and others.	The traffic policeman	The traffic policeman is unaware of the danger and is vulnerable.	-0.67	1. Identify the agent: The bodyguard is the person taking the action. 2. Assumption about the agent: The bodyguard is acting to protect the politician and others. 3. Identify the patient: The traffic policeman is the one who will be affected by the explosion. 4. Assumption about the patient: The traffic policeman is unaware of the danger and is vulnerable. 5. Assess the vulnerability of the patient: The traffic policeman is an average adult, but unaware of the danger, making him highly vulnerable. 6. Assess the intentionality of the action: The bodyguard's action is deliberate and planned to prevent a greater harm. 7. Assess the harm caused: The traffic policeman will die, which is maximum harm. 8. Assess the help caused: The action will save the lives of the politician and others, which is critical assistance. 9. Assess the moral acceptability: Balancing the harm to the policeman and the lives saved, the action is morally complex but leans towards being necessary.	test	-0.35068713468883017	-0.49580734968185425
198	Clifford	You see a college president singing a rival school's fight song during a pep rally.	orig		6.0	7.0	4.0	3.0	-1.0	The college community is of average resilience but can be emotionally affected.	The action seems deliberate, possibly planned for humor or a specific message.	The action may cause minor emotional harm or confusion.	The action might foster a sense of humor or camaraderie, but not substantial help.	Weighing minor harm and potential humor, the action is slightly negative but not severely immoral.	The college president	The college president is a respected figure and leader of the college.	The college community	The college community has school pride and may feel betrayed or confused.	-1.7	1. Identify the agent: The college president. 2. Assumption about the agent: The college president is a respected figure and leader of the college. 3. Identify the patient: The college community (students, staff, and alumni). 4. Assumption about the patient: The college community has school pride and may feel betrayed or confused. 5. Assess vulnerability: The college community is of average resilience but can be emotionally affected. 6. Assess intentionality: The action seems deliberate, possibly planned for humor or a specific message. 7. Assess harm: The action may cause minor emotional harm or confusion. 8. Assess help: The action might foster a sense of humor or camaraderie, but not substantial help. 9. Assess moral acceptability: Weighing minor harm and potential humor, the action is slightly negative but not severely immoral.	test	-0.8146084576401013	-0.708807110786438
199	Clifford	You see a man eating a bowl of cereal in the morning with water instead of milk.	orig		6.0	7.0	1.0	1.0	0.0	The man is of average resilience.	The man likely chose water intentionally.	Eating cereal with water causes minimal harm.	Eating cereal with water provides minimal help.	Minimal harm and help, neutral morality.	The man	He is a typical adult	The man	He is a typical adult	-0.1	1. Identify the agent: The man eating cereal. 2. Assumption about the agent: He is a typical adult. 3. Identify the patient: The man himself. 4. Assumption about the patient: He is a typical adult. 5. Assess vulnerability: The man is of average resilience. 6. Assess intentionality: The man likely chose water intentionally. 7. Assess harm: Eating cereal with water causes minimal harm. 8. Assess help: Eating cereal with water provides minimal help. 9. Assess moral acceptability: Minimal harm and help, neutral morality.	test	-0.4954393739222772	-0.6044948697090149
200	Clifford	You see a woman snatching away her dog's food for making a mess in the living room.	orig		9.0	7.0	4.0	3.0	-2.0	The dog is relatively defenseless	The woman acted with some thought	Minor harm, food taken temporarily	Might teach the dog not to make a mess	Slightly negative due to harm and vulnerability	The woman	She is the dog's owner or caretaker	The dog	The dog is a pet, dependent on the woman	-2.2	1. Identify the agent: The woman is the person performing the action. 2. Assumption about the agent: The woman is assumed to be the dog's owner or caretaker. 3. Identify the patient: The dog is the one affected by the action. 4. Assumption about the patient: The dog is assumed to be a pet, dependent on the woman for care. 5. Assess the dog's vulnerability: The dog is a living being and relatively defenseless in this context. 6. Assess the intentionality of the action: The woman likely acted with some degree of thought, intending to discipline the dog. 7. Assess the harm caused: The harm is minor, as it involves taking away food temporarily. 8. Assess the help caused: The action might have a minor positive effect if it teaches the dog not to make a mess. 9. Evaluate moral acceptability: Considering the vulnerability, intentionality, harm, and help, the action seems slightly negative but not extremely immoral.	test	-0.42759614273751895	-0.7415913939476013
201	Clifford	You see a teenage girl openly staring at a disfigured woman as she walks past.	orig		8.0	4.0	4.0	0.0	-2.0	Disfigured woman may feel vulnerable due to social stigma	Staring is likely impulsive and not premeditated	Staring could cause emotional discomfort or distress	Staring does not provide any help or assistance	Action is likely seen as morally negative	The teenage girl	She might be curious or unaccustomed to seeing disfigurement	The disfigured woman	She might feel uncomfortable or self-conscious	-2.0	1. Identify the agent: The teenage girl is the one performing the action of staring. 2. Assumption about the agent: The teenage girl might be curious or unaccustomed to seeing disfigurement. 3. Identify the patient: The disfigured woman is the one being stared at. 4. Assumption about the patient: The disfigured woman might feel uncomfortable or self-conscious due to the staring. 5. Assess vulnerability: The disfigured woman may feel vulnerable due to her condition and the social stigma associated with it. 6. Assess intentionality: The teenage girl’s action of staring is likely impulsive and not premeditated. 7. Assess harm: The staring could cause emotional discomfort or distress to the disfigured woman. 8. Assess help: The action of staring does not provide any help or assistance. 9. Assess moral acceptability: Considering the vulnerability, intentionality, harm, and lack of help, the action is likely to be seen as morally negative.	test	-1.1237823216548897	-1.464481234550476
202	Mickelberg	Person X cared for and housed their five nieces and nephews for a year because PersonX's sister was very unwell.	orig		9.0	9.0	0.0	10.0	4.0	Children are highly susceptible to harm.	Caring for children for a year requires planning and commitment.	No harm was caused; the action was protective.	Providing housing and care for a year is critical assistance.	High vulnerability, high intentionality, no harm, and maximum help.	Person X	Person X is responsible and caring.	The five nieces and nephews	They are children and thus vulnerable.	3.36	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is responsible and caring. 3. Identify the patient: The five nieces and nephews. 4. Assumption about the patient: They are children and thus vulnerable. 5. Assess vulnerability: Children are highly susceptible to harm. 6. Assess intentionality: Caring for children for a year requires planning and commitment. 7. Assess harm: No harm was caused; the action was protective. 8. Assess help: Providing housing and care for a year is critical assistance. 9. Assess moral acceptability: High vulnerability, high intentionality, no harm, and maximum help indicate a highly moral action.	test	2.960715096711302	3.1811180114746094
203	Effron	Made breakfast for his wife on her birthday	orig		6.0	8.0	0.0	6.0	4.0	The wife is an adult with average resilience	Making breakfast for a special occasion involves planning	No harm is caused by making breakfast	Making breakfast is a kind and helpful gesture	The action is kind and thoughtful	The husband	Assumed based on the context of making breakfast for his wife	The wife	Assumed based on the context of the scenario	2.7636364	1. Identify the agent: The person who made breakfast. 2. Assumption about the agent: Likely the husband, given the context. 3. Identify the patient: The person for whom the breakfast was made. 4. Assumption about the patient: Likely the wife, given the context. 5. Assess the vulnerability of the patient: The wife is an adult with average resilience. 6. Assess the intentionality of the action: Making breakfast for a special occasion involves planning. 7. Assess the harm caused: No harm is caused by making breakfast. 8. Assess the help caused: Making breakfast for someone is a kind and helpful gesture. 9. Assess the moral acceptability: The action is kind and thoughtful, thus highly moral.	test	1.373264711938782	1.6857988834381104
204	Clifford	You see a former Secretary of State publicly giving up his citizenship to the US.	orig		3.0	9.0	4.0	0.0	-1.0	The United States is resilient and not easily harmed.	Renouncing citizenship is a deliberate and planned action.	Minor reputational damage but not significant harm.	The action does not provide any help.	Largely neutral with minor negative implications.	The former Secretary of State	The agent is a high-profile individual with significant political experience.	The United States	The patient is a sovereign nation, represented by its government and citizens.	-2.1	1. Identify the agent: The former Secretary of State. 2. Assumption about the agent: The agent is a high-profile individual with significant political experience. 3. Identify the patient: The United States. 4. Assumption about the patient: The patient is a sovereign nation, represented by its government and citizens. 5. Assess vulnerability: The United States is a resilient entity, not easily harmed by a single individual's actions. 6. Assess intentionality: Renouncing citizenship is a deliberate and planned action. 7. Assess harm: The action may cause minor reputational damage but not significant harm to the nation. 8. Assess help: The action does not provide any help to the United States. 9. Assess moral acceptability: The action is largely neutral, with minor negative implications.	test	-2.5091283541649934	-2.320202350616455
205	Lotto	You are a worker in an atomic energy plant. Following an explosion, there has been a leakage of radioactivity in your work area, where there are another three people. The doors are blocked because the security system has activated, but the decontamination and communications systems have broken down. If you remain exposed to the radiation you will die in a short time.You activate the ventilation system to divert the radioactivity towards another work division. You know that there is a worker in the area who will die from the radiation, but you and the other three workers will be saved.	orig		10.0	8.0	10.0	10.0	2.0	The patient will die from the radiation	The action was intentional to save four lives	The harm results in the death of the patient	The action saves four lives	Saving four lives outweighs the harm to one	The worker who activated the ventilation system	The agent acted to save themselves and three others	The worker in the other division	The patient is unaware and unable to escape the radiation	-1.55	1. Identify the agent of the action: The worker who activated the ventilation system. 2. Assumption about the agent: The agent acted to save themselves and three others. 3. Identify the patient affected by the action: The worker in the other division. 4. Assumption about the patient: The patient is unaware and unable to escape the radiation. 5. Assess the vulnerability of the patient: The patient is highly vulnerable as they will die from the radiation. 6. Assess the intentionality of the action: The action was intentional to save four lives, including the agent's. 7. Assess the harm caused: The harm is maximum as it results in the death of the patient. 8. Assess the help caused: The help is maximum as it saves four lives. 9. Determine the moral acceptability: Weighing the harm to one against saving four lives, the action is morally complex but leans towards moral acceptability.	test	-0.07361792818680934	0.006441578269004822
206	Effron	Told a joke about a nun on a train	orig		7.0	6.0	4.0	3.0	0.0	A nun is a human with average resilience but could be more sensitive.	Telling a joke usually involves some degree of planning.	The harm is likely minor, as it is a joke, but could be offensive.	The joke might provide minor entertainment to others.	Minor harm and minor help balance out.	The person who told the joke	Someone trying to entertain or make others laugh	The nun	A nun, who might be sensitive to certain types of humor	-0.575	1. Identify the agent: The person who told the joke. 2. Assumption about the agent: Likely someone trying to entertain or make others laugh. 3. Identify the patient: The nun who is the subject of the joke. 4. Assumption about the patient: A nun, who might be sensitive to certain types of humor. 5. Assess vulnerability: A nun is a human with average resilience but could be more sensitive due to religious context. 6. Assess intentionality: Telling a joke usually involves some degree of planning. 7. Assess harm: The harm is likely minor, as it is a joke, but could be offensive. 8. Assess help: The joke might provide minor entertainment to others. 9. Assess moral acceptability: Weighing the minor harm against the minor help.	test	-0.5375392511380803	-0.5649733543395996
207	Mickelberg	Person X walks to work through the park each day, as they enjoy listening to the birds.	orig		1.0	8.0	0.0	3.0	3.0	The park is an inanimate object.	Person X intentionally walks through the park.	Walking through the park causes no harm.	Enjoying the park and listening to birds provides minor personal benefit.	No harm is caused, and minor personal benefit is gained.	Person X	Person X is a typical adult.	The park	The park is an inanimate entity.	0.81	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is a typical adult. 3. Identify the patient: The park or the environment. 4. Assumption about the patient: The park is an inanimate entity. 5. Evaluate the vulnerability of the patient: The park is an inanimate object. 6. Evaluate the intentionality of the action: Person X intentionally walks through the park. 7. Evaluate the harm caused: Walking through the park causes no harm. 8. Evaluate the help caused: Enjoying the park and listening to birds provides minor personal benefit. 9. Assess the moral acceptability: No harm is caused, and minor personal benefit is gained.	test	-0.28313319145217863	-0.6753005385398865
208	Effron	Ignored a neighbor's request to borrow some tools	orig		7.0	6.0	4.0	1.0	-2.0	The neighbor is an average adult.	Ignoring involves some thought.	Causes minor harm.	No help was provided.	Minor harm and no help.	The person who ignored the request	Likely a typical adult with tools	The neighbor who made the request	Likely a typical adult needing tools	-0.89523808	1. Identify the agent: The person who ignored the request. 2. Assumption about the agent: Likely a typical adult with tools. 3. Identify the patient: The neighbor who made the request. 4. Assumption about the patient: Likely a typical adult needing tools. 5. Assess vulnerability: The neighbor is an average adult, so medium-high vulnerability. 6. Assess intentionality: Ignoring a request involves some thought, so medium-high intentionality. 7. Assess harm: Ignoring a request causes minor harm, so medium-low harm. 8. Assess help: No help was provided, so minimum help. 9. Assess moral acceptability: Minor harm and no help make it slightly immoral.	test	-1.2117908368402959	-1.440432071685791
209	Lotto	You are returning from a mountain hut by chairlift with three other people, when a storm breaks out. Lightning hits the cable. The chairlift stalls and you are stuck swinging in the air at a height of tens of metres. The mechanism which fixes your chair to the cable has been seriously damaged and is starting to disintegrate.You push the person next to you off the chair to lighten the load. You know that this person will fall to their death, but you and the other two will be able to resist until help arrives.	orig		7.0	10.0	10.0	9.0	-3.0	The patient is a typical adult, so medium-high vulnerability	The action was deliberate to save the others	The patient fell to their death	The action potentially saved three lives	Balancing harm and help, still highly immoral	The person who pushed the other off the chair	The agent acted to save themselves and the other two	The person who was pushed off the chair	The patient was a typical adult	-1.78	1. Identify the agent: The person who pushed the other off the chair. 2. Assumption about the agent: The agent acted to save themselves and the other two. 3. Identify the patient: The person who was pushed off the chair. 4. Assumption about the patient: The patient was a typical adult. 5. Assess the vulnerability of the patient: The patient is a typical adult, so medium-high vulnerability. 6. Assess the intentionality of the action: The action was deliberate to save the others, so maximum intentionality. 7. Assess the harm caused: The patient fell to their death, so maximum harm. 8. Assess the help caused: The action potentially saved three lives, so maximum help. 9. Assess the moral acceptability: Balancing the maximum harm and maximum help, the action is still highly immoral due to the intentional killing of an innocent person.	test	-1.0938862390094863	-1.5142704248428345
210	Kruepke	Before I was in the actor's union, I used to lie and say I was in the union anyway. When you are working as an actor doing background work, it really changes how they treat you if you are a union member. So I would pretend I was in the union.	orig		3.0	8.0	4.0	2.0	-2.0	The production company or union is not highly vulnerable	The action was intentional and planned	The harm caused is likely minor	The help provided is minimal	Minor harm and minimal help, slightly immoral	The person who lied about being in the actor's union	The agent is likely an aspiring actor	The production company or the union	The patient is likely the production company or the union	-1.18	1. Identify the agent: The person who lied about being in the actor's union. 2. Assumption about the agent: The agent is likely an aspiring actor. 3. Identify the patient: The entity affected by the lie, which could be the production company or the union. 4. Assumption about the patient: The patient is likely the production company or the union. 5. Assess vulnerability: The production company or union is not highly vulnerable. 6. Assess intentionality: The action was intentional and planned. 7. Assess harm: The harm caused is likely minor, as it involves deception but not physical or severe emotional harm. 8. Assess help: The help provided is minimal, as it primarily benefits the agent. 9. Assess moral acceptability: Weighing the minor harm and minimal help, the action is slightly immoral.	test	-1.6868116669282847	-1.658441185951233
211	Effron	Helped a neighbor move his piano	orig		1.0	8.0	1.0	7.0	4.0	The piano is an inanimate object.	Moving a piano involves planning and deliberate action.	Moving a piano typically does not cause harm.	Moving a piano is a significant help.	Minimal harm and significant help make it highly moral.	The person who helped move the piano	Likely a neighbor or friend	The piano	An inanimate object	1.9636364	1. Identify the agent: The person who helped move the piano. 2. Assumption about the agent: Likely a neighbor or friend. 3. Identify the patient: The piano being moved. 4. Assumption about the patient: An inanimate object, specifically a piano. 5. Assess the vulnerability of the patient: The piano is an inanimate object, so it has minimal vulnerability. 6. Assess the intentionality of the action: Helping someone move a piano usually involves planning and deliberate action. 7. Assess the harm caused: Moving a piano typically does not cause harm; it is a helpful action. 8. Assess the help caused: Moving a piano is a significant help, especially if the neighbor couldn't do it alone. 9. Determine the moral acceptability: Given the minimal harm and significant help, the action is highly moral.	test	0.7342297568122395	-0.5020288228988647
212	Effron	Tripped someone in the hall	orig		7.0	6.0	4.0	1.0	-3.0	Typical adult or student, some susceptibility	Action likely had some thought	Minor physical harm likely	No assistance provided	Medium-high vulnerability, medium-high intentionality, minor harm, no help	A student	Present in the hall, possibly a peer	Another student	Present in the hall, possibly a peer	-2.776	1. Identify the agent: The person who tripped someone. 2. Assumption about the agent: Likely a student or someone present in the hall. 3. Identify the patient: The person who was tripped. 4. Assumption about the patient: Likely another student or person in the hall. 5. Assess the vulnerability of the patient: Likely a typical adult or student, medium-high vulnerability. 6. Assess the intentionality of the action: Could range from accidental to deliberate, assume medium-high intentionality. 7. Assess the harm caused: Likely minor physical harm, medium-low harm. 8. Assess the help caused: Likely no help provided, minimum help. 9. Assess the moral acceptability: Based on vulnerability, intentionality, harm, and help, likely negative moral acceptability.	test	-1.2117908368402959	-1.440432071685791
213	Mickelberg	Person X jumped off a boat to save a drowning friend even though this put PersonX's own life at risk.	orig		10.0	9.0	0.0	10.0	4.0	The friend is in a life-threatening situation.	Person X deliberately chose to jump off the boat.	The action did not cause harm; it aimed to prevent harm.	The action provided critical assistance in a life-threatening situation.	High help, no harm, life-saving intent.	Person X	Person X is capable of swimming and willing to take risks for others.	The drowning friend	The friend is unable to swim and in immediate danger.	3.55	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is capable of swimming and willing to take risks for others. 3. Identify the patient: The drowning friend. 4. Assumption about the patient: The friend is unable to swim and in immediate danger. 5. Assess the vulnerability of the patient: The friend is in a life-threatening situation, making them highly vulnerable. 6. Assess the intentionality of the action: Person X deliberately chose to jump off the boat to save the friend. 7. Assess the harm caused: The action itself did not cause harm; it was intended to prevent harm. 8. Assess the help caused: The action provided critical assistance in a life-threatening situation. 9. Assess the moral acceptability: The action is highly moral due to the high level of help and the life-saving intent.	test	3.0897192016788297	3.2296395301818848
214	Lotto	For some time your knee has been hurting when you walk. You therefore decided to make an appointment with an orthopaedic consultant, which has been fixed for a month’s time. Several days ago, you told a friend about your problem and he was able to organize an appointment for you much sooner than the one you fixed.You go to the appointment which your friend organized, without bothering to cancel the one you booked. You know that many patients’ problems are serious.	orig		7.0	8.0	5.0	6.0	1.0	Other patients could have serious health issues	The agent intentionally did not cancel the appointment	Potential delay in care for another patient	The agent received earlier medical attention	Benefit to agent vs. potential harm to others	The person with the knee pain	The agent prioritizes their own health	Other patients needing the appointment	The patient might have serious health issues	-0.32	1. Identify the agent: The person who decided to go to the earlier appointment. 2. Assumption about the agent: The agent is someone who prioritizes their own health. 3. Identify the patient: The healthcare system or other patients who might need the appointment. 4. Assumption about the patient: The patient is someone who might have serious health issues. 5. Assess the vulnerability of the patient: Other patients are likely to have varying degrees of health issues. 6. Assess the intentionality of the action: The agent intentionally chose not to cancel the original appointment. 7. Assess the harm caused: The harm is potential, as it might delay care for another patient. 8. Assess the help caused: The agent received earlier medical attention, which is beneficial. 9. Assess the moral acceptability: Weigh the harm to other patients against the benefit to the agent.	test	-0.15343229879375697	0.21878550946712494
215	Kruepke	I remember getting married when I was 17 years old. I got married just so I could get away from my mother. I certainly felt relieved to separate myself from her.	orig		8.0	7.0	3.0	7.0	1.0	A 17-year-old in a stressful family situation is quite vulnerable	Getting married to escape involves significant planning	The action itself may not cause direct harm	Provided significant relief and independence	Balancing relief against potential risks and societal norms	The person who got married at 17	The agent is a young individual seeking independence	The person who got married at 17	The patient is the same individual as the agent, feeling vulnerable	-1.15	1. Identify the agent: The person who got married at 17. 2. Assumption about the agent: The agent is likely a young individual seeking independence. 3. Identify the patient: The person who got married at 17. 4. Assumption about the patient: The patient is the same individual as the agent, feeling vulnerable due to their situation. 5. Assess vulnerability: A 17-year-old is relatively vulnerable, especially in a stressful family situation. 6. Assess intentionality: The action of getting married to escape a situation involves significant planning. 7. Assess harm: The action itself may not cause direct harm, but the underlying situation might. 8. Assess help: The action provided significant relief and independence from a stressful situation. 9. Assess moral acceptability: Balancing the relief gained against the potential risks and societal norms.	test	1.1230431468393984	1.2401591539382935
216	Mickelberg	Person X put on a suit and wore their lucky socks in preparation for a job interview.	orig		7.0	8.0	0.0	4.0	2.0	Person X is an adult with average resilience.	The action is deliberate and planned.	No harm is caused by the action.	The action helps Person X feel confident.	The action is morally neutral to positive.	Person X	Person X is an adult preparing for a job interview.	Person X	Person X is an adult with average resilience.	0.47	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is preparing for a job interview, indicating they are likely an adult seeking employment. 3. Identify the patient: The patient is Person X themselves, as they are the one being affected by the action. 4. Assumption about the patient: Person X is an adult with average resilience. 5. Assess vulnerability: Person X is an adult with average resilience, so medium-high vulnerability. 6. Assess intentionality: The action of putting on a suit and wearing lucky socks is deliberate and planned. 7. Assess harm: No harm is caused by putting on a suit and wearing lucky socks. 8. Assess help: The action is intended to help Person X feel confident and prepared for the interview. 9. Assess moral acceptability: The action is morally neutral to positive, as it involves self-preparation without affecting others.	test	0.8280172312040935	1.0271835327148438
217	Clifford	You see a boy setting a series of traps to kill stray cats in his neighborhood.	orig		10.0	10.0	10.0	0.0	-4.0	Stray cats are defenseless and highly susceptible to harm.	The boy is deliberately setting traps with the intent to kill.	The traps are intended to kill, causing maximum harm.	The action provides no help or protection.	High vulnerability, high intentionality, and maximum harm lead to extreme immorality.	The boy	The boy is aware of his actions and their consequences.	The stray cats	The stray cats are living beings capable of feeling pain and suffering.	-3.6	1. Identify the agent: The boy setting traps. 2. Assumption about the agent: The boy is aware of his actions and their consequences. 3. Identify the patient: The stray cats. 4. Assumption about the patient: The stray cats are living beings capable of feeling pain and suffering. 5. Assess vulnerability: Stray cats are defenseless and highly susceptible to harm. 6. Assess intentionality: The boy is deliberately setting traps with the intent to kill. 7. Assess harm: The traps are intended to kill, causing maximum harm. 8. Assess help: The action provides no help or protection. 9. Assess moral acceptability: High vulnerability, high intentionality, and maximum harm lead to extreme immorality.	test	-3.741006059766874	-2.7940735816955566
218	Mickelberg	Person X ordered their favorite dish from a Chinese restaurant.	orig		0.0	8.0	0.0	5.0	3.0	The dish is inanimate and cannot be harmed.	Ordering food is a deliberate action.	Ordering food does not cause harm.	Supports the restaurant and satisfies hunger.	Morally neutral to positive action.	Person X	Person X is a typical adult.	The favorite dish	The dish is an inanimate object.	0.22	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is a typical adult. 3. Identify the patient: The favorite dish. 4. Assumption about the patient: The dish is an inanimate object. 5. Evaluate the vulnerability of the patient: The dish is inanimate and cannot be harmed. 6. Evaluate the intentionality of the action: Ordering food is a deliberate action. 7. Evaluate the harm caused: Ordering food does not cause harm. 8. Evaluate the help caused: Ordering food supports the restaurant and satisfies hunger. 9. Assess the moral acceptability: The action is morally neutral to positive.	test	0.26211428928250957	-0.8803038597106934
219	Effron	Volunteered his time as a big brother to a fatherless child	orig		9.0	9.0	0.0	8.0	4.0	Children are highly vulnerable.	Volunteering is a deliberate action.	No harm caused.	Significant help provided.	High moral value due to significant help and no harm.	The person who volunteered	Likely a compassionate individual	The fatherless child	Likely a vulnerable child	3.31851848	1. Identify the agent: The person who volunteered. 2. Assumption about the agent: Likely a compassionate individual. 3. Identify the patient: The fatherless child. 4. Assumption about the patient: Likely a vulnerable child. 5. Assess vulnerability: Children are highly vulnerable. 6. Assess intentionality: Volunteering is a deliberate action. 7. Assess harm: No harm caused. 8. Assess help: Significant help provided. 9. Assess moral acceptability: High moral value due to significant help and no harm.	test	2.2864635110090865	2.4739813804626465
220	Effron	Worked on a campaign to release prisoners of war	orig		9.0	9.0	0.0	10.0	4.0	Prisoners of war are highly susceptible to harm.	Campaigns are usually well-planned and deliberate.	The action does not cause harm.	Provides critical assistance to prisoners of war.	High vulnerability, high intentionality, no harm, maximum help.	A humanitarian activist	The agent is dedicated to human rights and justice.	Prisoners of war	The patients are detained and in vulnerable conditions.	3.0588236	1. Identify the agent: The person working on the campaign. 2. Assumption about the agent: Likely someone with a humanitarian or activist background. 3. Identify the patient: Prisoners of war. 4. Assumption about the patient: Individuals who are detained and likely in vulnerable conditions. 5. Assess vulnerability: Prisoners of war are highly vulnerable due to their captivity and potential mistreatment. 6. Assess intentionality: Campaigns to release prisoners of war are usually well-planned and deliberate. 7. Assess harm: The action of working on a campaign to release prisoners of war does not cause harm. 8. Assess help: The action provides critical assistance to prisoners of war. 9. Assess moral acceptability: High vulnerability, high intentionality, no harm, and maximum help suggest a highly moral action.	test	2.960715096711302	3.1811180114746094
