id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	split	regression_score	mlp_score
133	Lotto	You are a worker specialised in manoeuvring a crane and are part of a work team that is loading containers into a ship. You have just lifted a container from the wharf when you realise that the cable of the crane is breaking and that the container is about to crash down on you and the other workers in the team.You move the arm of the crane away from you. You know that the container will fall in an area in which there are two workers who will die crushed, but you and the other will be saved.	orig		9.0	8.0	9.0	8.0	2.0	The workers are in a high-risk situation with potential for fatal harm.	The action of moving the crane arm away was intentional to save oneself and others.	The potential harm of the falling container is severe and life-threatening.	By moving the crane arm, significant help was provided to save lives.	The action, though causing harm to others, was necessary to prevent harm to oneself and others.	Worker specialised in manoeuvring a crane	Assumed to be trained in crane operation	Two workers in the area where the container will fall	Assumed to be unaware of the impending danger	-1.38	train		
134	Clifford	You see someone driving around in a dirty car that has not been washed recently.	orig		0.0	2.0	4.0	0.0	1.0	The car is an inanimate object and cannot be harmed or victimized	The action of not washing the car may be unintentional or due to neglect	The lack of washing may cause minor harm to the car's appearance or resale value	No help is provided to the car by not washing it	Neglecting to wash the car is a minor moral issue with minimal impact	The driver of the dirty car	They may not prioritize cleanliness or maintenance of their vehicle	The car itself	It may not have feelings or be affected by its appearance	-0.2	train		
135	Mickelberg	Person X was on a crowded bus and would not give up their seat to a pregnant woman when asked to.	orig		8.0	6.0	4.0	1.0	-3.0	Pregnant women are in a vulnerable state due to physical condition.	The action of not giving up a seat requires some level of intentionality.	Not giving up a seat can cause emotional harm and discomfort.	Failing to provide help by not giving up a seat.	The scenario is morally unacceptable as it causes harm and lacks help.	Person X	Selfish or unaware of social norms	Pregnant woman	In need of a seat due to physical condition	-2.23	train		
136	Clifford	You see a woman having intimate relations with a recently deceased loved one.	orig		9.0	9.0	9.0	0.0	-4.0	The deceased loved one is defenseless and highly susceptible to harm	The action seems deliberate and intentional	The action causes extreme harm to the deceased loved one	No help is provided to the deceased loved one	The scenario is extremely immoral due to intentional harm and lack of help	The woman	She was mentally unstable or grieving	The deceased loved one	Assumed to be deceased and unable to consent	-3.3	train		
137	Lotto	You are driving your motor boat in a small bay when your attention is drawn to cries of help from five people who are drowning at the end of a very narrow channel which is right in front of you. Between you and the people who are drowning, to one side of the channel, is another person who is calmly swimming.You steer towards the end of the channel at high speed. You know that the person who is swimming will be hit by the motorboat, but the other five people will be saved.	orig		9.0	9.0	7.0	10.0	3.0	The person swimming is in a highly vulnerable position as they are defenseless against the motorboat.	The action of steering towards the drowning individuals was intentional and deliberate.	The action caused medium-high harm as it potentially endangered the life of the person swimming.	The action provided maximum help by potentially saving the lives of five drowning individuals.	The scenario is morally acceptable as the intention was to save multiple lives, despite causing potential harm.	The person driving the motorboat	The person driving the motorboat assumed that saving five lives is more important than potentially harming one.	The person swimming in the narrow channel	The assumption made about the person swimming is that they are in a position of vulnerability.	-1.11	train		
138	Clifford	You see a woman spray painting graffiti across the steps of the local courthouse.	orig		0.0	9.0	7.0	0.0	-3.0	The courthouse steps are inanimate and cannot be harmed.	The woman deliberately brought spray paint to deface the property.	The graffiti caused visible damage to the property.	No help was provided, only harm caused.	Intentional harm to public property is morally unacceptable.	The woman	She intentionally sprayed graffiti	The local courthouse steps	Assumed to be a public property	-3.3	train		
139	Clifford	You see a head cheerleader booing her high school's team during a homecoming game.	orig		4.0	7.0	6.0	2.0	-2.0	Student athletes are resilient but emotionally vulnerable to public criticism	Booing intentionally requires some level of premeditation	Booing can cause emotional harm and affect performance	Not offering support or encouragement to the team	Booing affects team morale but doesn't cause extreme harm	Head cheerleader	Assumed to be a student with influence in the school community	High school's team	Assumed to be student athletes	-2.3	train		
140	Mickelberg	Person X forgot to turn off the bath water, flooding the house.	orig		1.0	1.0	7.0	1.0	-2.0	The house is an inanimate object, unable to be harmed or victimized.	The action was accidental, without any intent.	The flooding caused significant damage to the house.	No help was provided to prevent the flooding.	The scenario is moderately immoral due to the significant harm caused and lack of help.	Person X	Forgot to turn off the bath water	The house	Being flooded	-0.41	train		
141	Lotto	You have a small horse stud in Australia. You are heading towards the nearby town in a four-wheel drive together with a new client when you notice a bolting wild horse which is galloping like mad. It is heading towards three people who are walking near the edge of a gorge and soon it will run into them. You immediately follow and are able to catch up with it. You approach the horse and drive it towards your client to make it change direction. You know that the client will be trampled by the horse and will be killed, but the other three people will be saved.	orig		7.0	7.0	7.0	10.0	3.0	The client is a medium-high vulnerability as an average adult.	The action was executed with medium-high intentionality to save the three people.	The action caused medium-high harm as the client was killed.	The action provided maximum help by saving the three people from being trampled.	The scenario is morally acceptable as the intention was to save multiple lives, outweighing the harm caused.	You	You assumed the role of the person taking action in the scenario.	Client	You assumed the client would be trampled by the horse.	-1.57	train		
142	Kruepke	When I was in third grade I really wanted to be popular. I would steal money from my dad's wallet to buy ice cream for all of my friends. Eventually he found out.	orig		8.0	8.0	7.0	1.0	-3.0	The dad was an adult who could be emotionally hurt by the betrayal.	The action involved planning to steal money multiple times.	The dad's trust was broken and emotional harm was caused.	No help was provided, only harm was caused.	The intentional harm caused to the dad outweighs any potential benefits.	I	The agent was a child who lacked understanding of consequences.	Dad	The patient was an adult who could be emotionally hurt.	-2.13	train		
143	Mickelberg	Person X used their body to protect their partner from falling debris during an earthquake.	orig		9.0	8.0	2.0	9.0	4.0	Person X's partner is in a life-threatening situation, making them highly vulnerable.	Person X's action required quick thinking and sacrifice, showing high intentionality.	Person X's action prevented harm by shielding their partner from falling debris.	Person X's action provided critical help by protecting their partner from harm.	Person X's selfless act of protection in a dangerous situation is highly moral.	Person X	Person X cares deeply for their partner.	Their partner	Their partner is vulnerable and in danger.	3.22	train		
144	Mickelberg	Person X sold their house to fund a local program for the needy.	orig		9.0	9.0	0.0	8.0	4.0	The needy individuals are highly vulnerable and in need of assistance.	Person X likely planned and intentionally sold their house for this cause.	No harm was caused, only positive impact.	Person X's action provided significant help to the needy.	The scenario is highly moral as it involves selfless sacrifice for the benefit of others.	Person X	Person X is compassionate and altruistic.	Local program for the needy	The needy individuals in the community	3.01	train		
145	Kruepke	My family didn't have money so I would always admire jewelry on other students in school. In second grade there was this little girl who would wear this necklace. One time at recess she put it down and I took it.	orig		9.0	9.0	6.0	0.0	-3.0	The little girl is highly vulnerable due to her young age and emotional attachment to the necklace.	The action was intentional as the agent took the necklace with the intent to keep it.	The action caused harm by taking something of value to the little girl without permission.	No help was provided as the agent did not return the necklace or confess to taking it.	The scenario is morally unacceptable as it involved intentional harm to a highly vulnerable individual.	I	The agent intentionally took the necklace.	The little girl	The assumption is that the little girl valued the necklace.	-2.36	train		
146	Kruepke	At a festival I went to, there was a contest where you could win a free one-year subscription to Book Magazine. You had to answer some literary questions. So I picked up the questionnaire and about four of my friends and I filled it out and ended up winning the free subscription.	orig		3.0	7.0	0.0	10.0	4.0	Medium-Low Vulnerability as we were able to participate and win the contest	Medium-High Intentionality as we intentionally filled out the questionnaire to win	Minimum Harm as no harm was caused, only benefit from winning the subscription	Maximum Help as winning the subscription provided us with valuable literary content	The scenario is morally acceptable as it involved no harm and provided help to the participants	I	Participated in the contest	My friends and I	Participated in the contest	1.05	train		
147	Mickelberg	Person X successfully remembered their coworkers' overly complicated coffee orders without writing them down.	orig		6.0	8.0	0.0	8.0	4.0	Coworkers are of medium vulnerability as they rely on Person X's memory for their coffee orders.	Person X intentionally made an effort to remember the complicated coffee orders.	No harm was caused as Person X successfully remembered the orders.	Person X provided help by remembering the orders accurately, making coworkers' lives easier.	The scenario is morally acceptable as Person X's action helped coworkers without causing harm.	Person X	Person X has a good memory	Coworkers	Coworkers trust Person X's memory	0.79	test	2.1392717015776688	2.199509620666504
148	Mickelberg	Person X tried to patch a puncture in the wheel of their bike but couldn't, so they purchased a new tube instead.	orig		0.0	8.0	0.0	6.0	3.0	The bike wheel is an inanimate object with no vulnerability to harm.	The action of purchasing a new tube was intentional to fix the bike.	No harm was caused as the old tube was already punctured.	Help was provided by purchasing a new tube to fix the bike.	The scenario is morally acceptable as it involved intentional help without causing harm.	Person X	Capable of basic bike maintenance	The bike wheel	Assumed to be in need of repair	0.34	test	0.9985560267668011	0.6762501001358032
149	Kruepke	I was helping my friend move and she took advantage of my help. She made me clean most of her house and wanted to use my car to move all of her stuff. She didn't pay for the gas that I used or even thank me.	orig		8.0	9.0	7.0	6.0	-3.0	I was willingly helping, but being taken advantage of	She intentionally made me clean and use my car	Significant harm caused by being used and unappreciated	Substantial help was provided by me, but not reciprocated	Morally unacceptable due to intentional harm and lack of gratitude	My friend	She took advantage of my help	Me	I was being used and not appreciated	-1.39	test	-0.7122061395028635	-0.6033092737197876
150	Effron	Provided food and clothing for flood victims	orig		9.0	8.0	1.0	8.0	4.0	Flood victims are highly vulnerable due to the impact of the natural disaster and loss of basic necessities.	The action of providing food and clothing was intentional and planned to address the victims' needs.	The action caused no harm but aimed to alleviate the suffering of the flood victims.	The action provided significant help by meeting the basic needs of the flood victims.	The scenario is morally acceptable as it involves intentional, helpful actions towards highly vulnerable individuals.	John	John is a compassionate individual who wants to help those in need.	Flood victims	The assumption is that the flood victims are in dire need of assistance.	3.22666664	test	2.0572255765944867	2.4898264408111572
151	Lotto	You are the pilot of a helicopter taking four people on a sight-seeing trip in the French Alps, at an altitude of about 2,000 metres. At a certain point, the helicopter loses altitude and no longer responds to the commands. You send out a mayday signal and try various manoeuvres, but the helicopter continues to fall and risks crashing into a rock face.To gain altitude, you push the person next to you out of the helicopter. You know that this person will plummet to the ground and will die, but you and the other three will be saved.	orig		9.0	9.0	9.0	9.0	4.0	The person pushed out of the helicopter is in a state of maximum vulnerability due to the imminent danger of falling to their death.	The action of pushing the person out of the helicopter was a deliberate and intentional decision made by the pilot to save the remaining passengers.	The harm caused by pushing the person out of the helicopter is at the maximum level as it results in their death.	The help provided by pushing the person out of the helicopter was at a maximum level as it potentially saved the lives of the remaining passengers.	Despite the extreme harm caused, the action was morally acceptable as it was necessary to save the majority of the passengers.	The pilot	The pilot assumed the responsibility of making a difficult decision to save the majority of the passengers.	The person pushed out of the helicopter	The assumption is that the person pushed out will die as a result of the action.	-1.8	test	-0.31206260367467087	-0.6650331616401672
152	Mickelberg	Person X donates blood once a month even though they have a strong fear of needles.	orig		7.0	8.0	3.0	9.0	3.0	Assuming the patient is an average adult in need of blood transfusion.	The action is intentional as Person X chooses to donate blood monthly despite fear.	The action causes minimal harm to Person X but significant help to the patient.	The action provides critical help by potentially saving the patient's life.	The scenario is morally acceptable as it involves intentional, helpful action with minimal harm.	Person X	They have a strong fear of needles.	Unknown patient receiving the blood donation	Assumed to be in need of blood transfusion	2.78	test	1.5624043789879	1.561482548713684
153	Effron	Picked up a child so that she could see the parade	orig		9.0	7.0	0.0	8.0	4.0	Child is defenseless and highly susceptible to harm	Action was intentional to show the child the parade	No harm was caused, only positive experience provided	Significant help was provided by allowing the child to see the parade	The action was highly moral, benefiting the child without causing harm	Person	Capable of carrying a child	Child	Innocent and curious	2.45161288	test	2.456541188378099	2.859618902206421
154	Kruepke	I went to the movies a couple of months ago, to see a film. When that film was done, instead of leaving the theater, I just went into another of the theaters within the complex. I watched another movie without paying.	orig		7.0	8.0	6.0	1.0	-3.0	The theater complex is a business entity and falls under medium-high vulnerability.	The action was intentional as the agent chose to watch a movie without paying.	The action caused harm by depriving the theater complex of revenue.	The action did not provide any help or benefit to the theater complex.	The scenario is morally unacceptable as it involves intentional harm to a business entity.	I	The agent intentionally watched a movie without paying.	The theater complex	The assumption is that the theater complex is a business entity.	-1.39	test	-2.0178419883246757	-1.932242751121521
155	Clifford	You see a girl asking for allowance even though her brother did her chores for her.	orig		4.0	8.0	6.0	1.0	-2.0	The brother willingly did the chores, showing some vulnerability.	The girl intentionally asked for allowance knowing her brother did the chores.	The harm caused was emotional and unfair to the brother.	No help was provided to the brother despite his actions.	The scenario is morally questionable as the girl took advantage of her brother's help.	The girl	She expected to receive allowance	Her brother	He did the chores for her	-2.7	test	-2.2635929297007635	-1.916852355003357
156	Clifford	You see a soccer player pretending to be seriously fouled by an opposing player.	orig		6.0	9.0	3.0	0.0	-2.0	Assuming a typical adult soccer player's resilience to harm.	Deliberately pretending to be fouled to gain an advantage.	Causing minor harm by deceiving the referee.	Not providing any help or assistance.	Deceiving to gain an advantage is morally questionable.	Soccer player	Acting to deceive the referee	Opposing player	Being accused of fouling	-2.5	test	-1.5124932111592493	-1.91095769405365
157	Kruepke	When I was eleven or twelve, I called someone a racial name. The person I'd called the name was a sort of a friend of my sister's. It got back to her and she was humiliated.	orig		7.0	4.0	6.0	1.0	-3.0	The patient is an individual with average resilience, susceptible to emotional harm.	The action was impulsive and thoughtless, lacking extensive planning.	The action caused significant emotional harm and humiliation.	No help was provided to mitigate the harm caused.	The scenario is morally unacceptable due to causing harm without offering help.	I	Capable of making poor choices	Friend of sister	Embarrassed and humiliated	-2.54	test	-1.7317678066273068	-1.8210642337799072
158	Effron	Swore at a cashier who made an error on his bill	orig		7.0	6.0	5.0	1.0	-3.0	Cashiers are typically in a medium-high vulnerability position dealing with customers' reactions.	Swearing at someone usually involves some level of premeditation or thought.	Swearing can cause emotional harm and discomfort to the cashier.	No help was provided to the cashier in this scenario.	Swearing at a cashier without provocation is morally unacceptable behavior.	The customer	Assumed the customer was frustrated or angry	The cashier	Assumed the cashier was the target of the action	-2.34666672	test	-1.547007831116721	-1.686510443687439
159	Effron	Spat off the balcony at the theater	orig		9.0	8.0	7.0	1.0	-4.0	The audience is defenseless and highly susceptible to harm	The action was deliberate and intentional	The action caused significant harm and discomfort	No help was provided to mitigate the harm caused	The intentional harm caused to vulnerable individuals is highly immoral	The person attending the theater	They were likely disrespectful or careless	The audience below the balcony	They were innocent bystanders	-2.3	test	-2.181805093766554	-2.1461825370788574
160	Clifford	You see someone at the school gym lifting free weights in nice business clothes.	orig		4.0	4.0	1.0	3.0	0.0	Medium-Low Vulnerability as they are actively engaging in physical exercise.	Medium-Low Intentionality as they may have chosen to work out in their business clothes impulsively.	Minimum Harm as lifting weights in business clothes does not inherently cause harm.	Medium-Low Help as they are not actively helping or harming anyone by their actions.	Neutral scenario with no significant moral implications.	Someone at the school gym	They are likely a student or staff member at the school.	The person lifting free weights	They are likely trying to improve their physical fitness.	-0.2	test	0.3106803758516469	0.9092769622802734
161	Clifford	You see a man secretly voting against his wife in a local beauty pageant.	orig		8.0	9.0	7.0	1.0	-3.0	The wife is emotionally vulnerable in this situation, as her husband's actions can deeply affect her self-esteem and confidence.	The man's action of secretly voting against his wife suggests a deliberate and planned decision to harm her chances in the beauty pageant.	The harm caused is significant as it undermines the wife's trust and potentially damages their relationship.	No help is provided, and the man's actions can be seen as actively working against his wife's success.	The intentional harm caused to his wife without any help is morally unacceptable.	The man	He is likely acting out of personal preference or bias.	His wife	She may feel betrayed or hurt by his actions.	-1.9	test	-2.335240619649592	-2.162078857421875
162	Effron	Invited an unpopular coworker to go to lunch with him	orig		7.0	8.0	2.0	4.0	3.0	The unpopular coworker may feel vulnerable due to their unpopularity and potential fear of rejection.	The action was intentional as the agent deliberately invited the coworker to lunch.	The harm caused is minimal as it involves a simple lunch invitation.	The help provided is medium-low as it offers a chance for social interaction.	The scenario is morally acceptable as it shows inclusivity and kindness towards the unpopular coworker.	The coworker	The agent assumed the coworker was willing to go to lunch	The unpopular coworker	The patient assumed the coworker would be affected by the invitation	1.825	test	0.2671669652004417	1.1447116136550903
163	Kruepke	For the past two Christmases we had our family celebration at my sister’s house. I’m not really partial to her husband and their kids are spoiled rotten, which makes for an unpleasant Christmas. So for the last two Christmases in a row, I didn’t go visit that part of my family.	orig		7.0	8.0	4.0	2.0	3.0	The family members are of medium-high vulnerability due to emotional harm.	The narrator intentionally avoided the family gatherings for two consecutive years.	The family members experienced medium-low harm by not having the narrator present.	The narrator did not provide help or support to the family members by not attending.	The scenario is morally acceptable as the narrator prioritized their own well-being.	Narrator	The narrator is capable of making decisions regarding family gatherings.	Family members at sister's house	The family members are perceived as unpleasant and spoiled.	-0.71	test	-1.0376409595767897	-0.9034554958343506
164	Clifford	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	orig		4.0	3.0	2.0	0.0	0.0	The patient is an adult with agency and choice, not defenseless or highly vulnerable.	The action seems impulsive and driven by immediate desires rather than premeditated.	The harm caused is subjective and depends on individual perspectives on casual sex.	No help is provided or needed in this consensual adult interaction.	The scenario involves consenting adults engaging in mutual interactions, hence morally neutral.	The homosexual in the gay bar	Assumed to be seeking sexual encounters	Anyone who buys him a drink	Assumed to be interested in engaging in sexual activity	-2.6	test	-0.9194188331713179	-1.5651861429214478
165	Clifford	You see a professor giving a bad grade to a student just because he dislikes him.	orig		8.0	9.0	7.0	1.0	-4.0	The student is in a position of vulnerability due to the power dynamics of the student-professor relationship	The action is intentional as it is driven by the professor's personal dislike	The harm caused is significant as it affects the student's academic performance and future opportunities	No help is provided to mitigate the harm inflicted on the student	The scenario is highly immoral as the professor abuses their power to harm a student unfairly	The professor	The professor holds a bias against the student	The student	The student is disliked by the professor	-3.7	test	-2.335240619649592	-2.162078857421875
166	Mickelberg	Person X could have saved the life of a man stabbed in a dark alley but couldn't be bothered calling an ambulance.	orig		9.0	9.0	9.0	0.0	-4.0	The man stabbed is in a life-threatening situation and unable to protect himself.	The action of not calling an ambulance requires a deliberate choice.	Not calling an ambulance leads to potential death or severe harm.	No help or assistance is provided to the man in need.	Failing to help a defenseless person in a life-threatening situation is highly immoral.	Person X	Lack of empathy or concern for others	Man stabbed in a dark alley	Defenseless and highly susceptible to harm	-3.2	test	-3.2335246679387817	-3.148426055908203
167	Clifford	You see a woman pressuring her daughter to become a famous evening news anchor.	orig		7.0	8.0	6.0	2.0	-2.0	The daughter is in a situation where she may feel emotionally vulnerable and pressured by her mother's expectations, affecting her well-being.	The woman's actions seem intentional as she is actively pressuring her daughter to pursue a specific career path.	The harm caused is emotional and psychological, impacting the daughter's well-being and autonomy.	The woman's actions do not provide any help or support to her daughter's personal aspirations or well-being.	The scenario is morally questionable as the woman's actions harm her daughter's autonomy and well-being without offering any help or support.	The woman	She believes that becoming a famous evening news anchor is the ultimate achievement for her daughter.	Her daughter	She may feel pressured and overwhelmed by her mother's expectations.	-1.5	test	-1.69323509229533	-1.3583847284317017
168	Lotto	You are at sea aboard a rubber dinghy with a friend and another two people whom you do not know. In the distance, you can see a boat in difficulty which has caught fire. The six people on board have jumped into the water and are drowning. To save them you must head towards them at high speed, but the dinghy is too heavy.To lighten the load, you push overboard the two people you do not know. You know that they cannot swim and will drown, but the six other people in the water will be saved.	orig		9.0	9.0	8.0	8.0	0.0	The two people are defenseless and highly susceptible to harm.	The action was deliberate and involved a conscious decision.	The action caused significant harm by leading to the drowning of the two individuals.	The action provided substantial help by saving six individuals from drowning.	The scenario involved sacrificing two lives to save six, leading to a morally complex decision.	You	You assumed the role of decision-maker in the scenario.	The two people you do not know	You assumed they were in a vulnerable position due to their inability to swim.	-1.55	test	-0.30887243334474646	-0.4392749071121216
169	Kruepke	Just a few weeks ago I got a call from my friend's niece. She was living in my town and having some financial difficulties. I told her that she could come live with me for one week just until she got her act together.	orig		7.0	7.0	1.0	8.0	3.0	The niece was experiencing financial difficulties and needed a place to stay temporarily.	The action was taken after some consideration and planning.	The action caused no harm, only provided temporary shelter.	The action provided significant help by offering temporary accommodation.	The scenario is morally acceptable as it provided necessary help without causing harm.	I	I assumed the agent was a caring and compassionate individual.	My friend's niece	I assumed the patient was in need of temporary assistance.	2.42	test	1.9649101611014368	2.1178410053253174
170	Mickelberg	Person X arrived at the airport only to discover they had left their passport at home.	orig		7.0	2.0	4.0	0.0	0.0	Person X is an adult with some susceptibility to harm.	Forgetting the passport was unintentional due to distraction.	Caused inconvenience and potential travel issues.	No help was provided in this scenario.	The scenario is morally neutral as it only caused minor harm.	Person X	They are forgetful or careless.	Person X	They are in a rush or distracted.	0.06	test	-1.2577434790894277	-1.972583293914795
171	Mickelberg	Person X regularly cheats on their girlfriend when she is traveling for work.	orig		8.0	9.0	7.0	1.0	-3.0	Girlfriend is in a committed relationship, making her emotionally vulnerable to betrayal.	Person X is intentionally cheating on their girlfriend while she is away.	Cheating causes emotional harm and betrayal to the girlfriend.	Person X fails to provide help by being unfaithful and causing harm.	Cheating on a trusting partner is highly immoral and causes significant harm.	Person X	They are in a committed relationship with their girlfriend.	Girlfriend	She trusts Person X to be faithful.	-3.09	test	-2.335240619649592	-2.162078857421875
172	Lotto	You have just finished doing your shopping in a big and very crowded shopping centre and you are late for an appointment on the other side of town. In your hurry to leave the car park, you misjudge a manoeuvre and your car scrapes the car next to you causing a very visible scratch on the door. It is lunch time and there are no people in the car park.After having checked that nobody has seen what happened, you continue the manoeuvre and leave the car park. You know that the damage will cost the owner a lot of money, but no one can say that you caused it.	orig		7.0	5.0	6.0	2.0	-2.0	The owner of the car is an average adult, susceptible to harm but not defenseless	The action was not entirely accidental, as it resulted from a misjudgment in a hurry	The scratch caused significant damage to the car, requiring repair	No help was provided to the owner of the scratched car	Causing harm intentionally without offering help is morally questionable	You	You were in a hurry and misjudged the manoeuvre	The owner of the car that got scratched	The owner was not present at the time of the incident	-0.98	test	-1.4786794560223036	-1.2953057289123535
173	Mickelberg	Person X put money in the expired parking meter of a stranger.	orig		5.0	7.0	0.0	8.0	4.0	The stranger is a typical adult, not highly vulnerable.	The action was intentional as it involved putting money in the meter.	No harm was caused, only help was provided.	Significant help was provided by covering the parking fee.	The scenario is morally acceptable as it involved intentional help without causing harm.	Person X	Assumed to be a kind and considerate individual	Stranger	Assumed to be a regular person in need of help	2.52	test	2.128873266543315	2.0339434146881104
174	Lotto	You and another five actors are taking part in rehearsals for a stage show. The lighting technician is adjusting the spotlights and is on the catwalks several meters above. Suddenly, a criminal armed with a gun comes into the theatre and threatens to kill you and the other actors. He is standing right under the catwalk.You activate the opening of a trapdoor in the catwalks in which there is heavy scenery and other material which will fall on top of the criminal. You know that the technician will also fall, and will die, but you and the other five will be unhurt.	orig		9.0	9.0	8.0	10.0	4.0	The criminal is highly vulnerable as he is armed and threatening violence.	The action was intentional as you activated the trapdoor to protect yourself and others.	The action caused medium-high harm as it resulted in the death of the criminal and the technician.	The action provided maximum help by saving the lives of you and the other actors.	The scenario is morally acceptable as it prioritized saving multiple lives over the criminal's.	You	You assumed the role of a potential victim in this scenario.	The criminal	The criminal was assumed to be the target of the action.	-0.75	test	0.34034135871394466	0.06961694359779358
175	Mickelberg	Person X solved a crossword puzzle in the newspaper.	orig		0.0	8.0	0.0	6.0	0.0	The crossword puzzle cannot be harmed or victimized.	Solving the puzzle required deliberate thought and planning.	No harm was caused by solving the puzzle.	Solving the puzzle provided mental stimulation and satisfaction.	The scenario is morally neutral as it involved no harm and provided mental stimulation.	Person X	Competent in solving crossword puzzles	Crossword puzzle	Inanimate object	0.11	test	0.9985560267668011	0.6762501001358032
176	Effron	Put a roach down another person's shirt	orig		6.0	8.0	7.0	1.0	-3.0	The patient is an average adult, with some susceptibility to harm	The action was likely planned and executed intentionally	The action caused significant psychological harm and distress	No help was provided, and the action was solely meant to cause harm	The intentional harm caused without offering any help makes this scenario morally unacceptable	The person who put the roach down another person's shirt	They were likely seeking to prank or scare the other person	The person whose shirt the roach was put down	Assumed to be caught off guard and startled by the action	-3.04	test	-2.4275560351426417	-2.1307923793792725
177	Lotto	You are the fourth in a team of five mountaineers involved in a climb. The head of the team has just secured himself to the rock face when the second in the team starts to slide, pulling you, and the others, with him. You all fall for tens of metres and stop suspended above a crevasse. Your weight is too much and the rope is not going to resist for long.To lighten the load, you cut the rope which links you to the last climber. You know that he will fall into the crevasse and die, but you and the other two climbers will survive.	orig		10.0	9.0	10.0	10.0	0.0	The last climber is in a maximum vulnerability position, facing imminent death.	The action of cutting the rope was a deliberate decision made under extreme circumstances.	The action caused maximum harm by leading to the death of the last climber.	The action provided maximum help by ensuring the survival of the majority of the team.	The scenario involves a morally complex decision with conflicting values of self-preservation and sacrifice.	You	You assumed the role of decision-maker in this scenario.	The last climber	You assumed the last climber was in a vulnerable position.	-1.25	test	-0.23333579354589917	-0.7554447650909424
178	Cook	Someone participates in a non-violent white nationalist rally	orig		7.0	7.0	7.0	1.0	-3.0	Medium-High Vulnerability as attendees may face backlash or harm	Medium-High Intentionality as attending a rally requires some planning	Medium-High Harm as the rally may incite violence or spread harmful ideologies	Minimum Help as the action does not provide any assistance or protection	Participating in a white nationalist rally is morally unacceptable and harmful	John Doe	Assumed to be a white nationalist	Attendees of the rally	Assumed to be individuals with similar beliefs	-1.86	test	-2.2741205092596037	-2.114896297454834
179	Cook	Someone refuses to stand for the pledge of allegiance at a public event	orig		6.0	8.0	4.0	2.0	1.0	The audience may feel emotionally affected but not physically harmed.	The action is a deliberate choice to express a belief.	The action may cause discomfort or offense but not physical harm.	The action does not provide direct help but may spark discussion.	The scenario involves intentional action causing some harm but also promoting freedom of expression.	Someone	They have a belief or personal reason for not standing.	Audience or participants at the public event	They may feel uncomfortable or offended by the action.	-1.13	test	-1.1195579400354858	-0.9458951950073242
180	Kruepke	A woman at work would always bring in pictures of her dogs. One day she had to make the decision to put her dogs to sleep. So I cried with her and comforted her.	orig		8.0	8.0	0.0	8.0	4.0	The woman was emotionally vulnerable due to the loss of her beloved pets.	The action was intentional as I chose to comfort and empathize with her.	The action caused no harm, only emotional support.	The action provided significant help by offering comfort during a difficult time.	Comforting a grieving individual is morally acceptable and compassionate.	I	I assumed the agent was a compassionate coworker.	The woman with the dogs	I assumed the woman was grieving over the loss of her pets.	2.49	test	2.3031056624950605	2.6123476028442383
181	Clifford	You see a man forbidding his wife to wear clothing that he has not first approved.	orig		8.0	9.0	7.0	1.0	-3.0	The wife is in a vulnerable position due to the control exerted by her husband.	The action is intentional as it involves controlling the wife's choices.	The harm caused is emotional and psychological by restricting the wife's autonomy.	No help is provided, exacerbating the harm caused to the wife.	Controlling someone's clothing choices without consent is morally unacceptable.	The man	Assumed to be controlling or possessive	His wife	Assumed to be submissive or oppressed	-3.1	test	-2.335240619649592	-2.162078857421875
182	Lotto	You are a soldier in the Gulf War. An armed group has taken four civilians hostage and threatens to kill them. You have been able to discover where the hostages are being held and you must act quickly before they are killed. You have discovered that a tanker transporting oil is about to pass in front of where the hostages are being held.You shoot at the tanker so that it explodes, causing the kidnappers to leave their hideout. You know that the explosion will kill the driver, but it will make it possible to enter into action and save the four civilians.	orig		9.0	8.0	10.0	9.0	3.0	Tanker driver is a victim with no control over the situation	The action was intentional to create a distraction and save the hostages	The action caused maximum harm by ending the life of the driver	The action provided maximum help by creating an opportunity to save the hostages	The scenario involved sacrificing one life to potentially save four others	Soldier	Acting in the interest of saving the hostages	Tanker driver	Assumed to be an innocent bystander	-0.52	test	-0.5683411246095985	-1.159899353981018
183	Effron	Helped an older man carry his luggage to his car	orig		4.0	7.0	0.0	7.0	4.0	The older man may need help with carrying luggage, but he is not defenseless.	The action was intentional as the agent chose to help the older man.	No harm was caused, only assistance was provided.	The agent provided significant help by assisting with the luggage.	The scenario is morally acceptable as it involved intentional and helpful actions without causing harm.	I	Assumed the agent was a kind and helpful individual.	Older man	Assumed the patient was grateful for the assistance.	2.4	test	1.7223493900552733	1.685151219367981
