id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	mlp_score
198	Clifford	You see a college president singing a rival school's fight song during a pep rally.	orig		5.0	8.0	4.0	0.0	-2.0	Typical adults emotionally invested in school identity; medium vulnerability to symbolic betrayal.	Public, deliberate performance with full awareness of symbolic impact.	Harm to morale, trust, and school spirit; no physical or material damage.	No assistance or benefit provided; action was antagonistic, not helpful.	Deliberate disrespect from a leader undermines trust and unity; mildly immoral.	The college president	They knowingly performed a provocative act to mock or challenge school loyalty	The college community (students, alumni, fans)	They value school pride and expect leadership to uphold traditions	-1.7	The agent is the college president. They are deliberately performing an act that is symbolic and likely provocative during a public event. The patient is the college community — students, alumni, and fans who identify with the school and its traditions. These are typical adults with medium vulnerability; the harm is not physical but emotional or symbolic, involving betrayal of loyalty and disrespect to school spirit. The action is highly intentional — done publicly and likely with awareness of the reaction it would provoke. The harm is moderate: it undermines morale and trust in a leader, but no tangible damage occurs. No help is provided to anyone; the act may amuse some at the rival school, but that’s incidental. The act is disrespectful and unprofessional for a leader, but not severely harmful; mildly immoral.	-2.2063283920288086
199	Clifford	You see a man eating a bowl of cereal in the morning with water instead of milk.	orig		0.0	5.0	0.0	0.0	0.0	No patient is affected; vulnerability is irrelevant.	Deliberate personal choice, but trivial and not morally significant.	No harm caused to anyone; action is physically and socially neutral.	No assistance was needed or provided; no impact on others.	No meaningful harm or help; action is morally neutral.	The man eating cereal	He chose to use water instead of milk, possibly due to preference or necessity	No one is directly affected	There is no patient meaningfully impacted by this action	-0.1	The agent is the man eating cereal with water. He likely made a practical or personal choice—perhaps out of preference, dietary restriction, or lack of milk. The patient is not clearly defined, as no one else is directly affected by this action. The act is intentional but trivial—choosing water over milk is a conscious decision, but not one with moral weight. No harm is caused to anyone; it's a neutral personal habit. No help is provided to others, but none is needed. The scenario involves no meaningful moral stakes—just an unusual breakfast choice. Thus, it's morally neutral.	-0.5221004486083984
200	Clifford	You see a woman snatching away her dog's food for making a mess in the living room.	orig		9.0	6.0	3.0	0.0	-2.0	Domesticated dog is defenseless and highly dependent on owner for basic needs.	Deliberate action taken in response to the mess; not impulsive but not premeditated.	Causes distress and food deprivation, but no physical injury or lasting harm.	No assistance or care provided; action was punitive, not protective.	Punishing a vulnerable animal by withholding food is disproportionate and mildly immoral.	The woman	She was frustrated by the mess and acted to discipline the dog	The dog	The dog is a pet that depends on its owner for food and care	-2.2	The agent is the woman who snatched the dog's food. She acted in response to the dog making a mess, indicating frustration or a disciplinary motive. The patient is the dog, a domesticated animal dependent on its owner and unable to defend its interests, making it highly vulnerable. The action was deliberate — a direct response to the mess, not accidental. The harm is minor: the dog is deprived of food temporarily, causing mild distress but no physical injury. No help is provided to the dog; the action is punitive rather than constructive. While pet discipline is common, punishing by removing food is inconsiderate and mildly harmful to a defenseless animal. Slightly immoral due to disproportionate response.	-1.7338420152664185
201	Clifford	You see a teenage girl openly staring at a disfigured woman as she walks past.	orig		7.0	6.0	4.0	0.0	-2.0	A person with visible disfigurement faces heightened social vulnerability and stigma.	Open staring is a deliberate act, not accidental; shows conscious attention.	Causes emotional discomfort, embarrassment, or dehumanization; no physical harm.	No supportive or protective action was taken; purely passive disrespect.	Deliberate inconsiderate behavior toward a socially vulnerable person; mildly immoral.	The teenage girl	She was curious or shocked by the woman's appearance and stared openly	The disfigured woman	She was self-conscious or sensitive about her appearance and wanted dignity	-2.0	"The agent is the teenage girl who is staring. I assume she is doing so out of curiosity or shock, not necessarily with malicious intent, but her gaze is public and prolonged. The patient is the disfigured woman, who is likely more vulnerable due to societal stigma around appearance and potential emotional sensitivity to being stared at. The action is intentional — ""openly staring"" implies awareness and choice, though not necessarily premeditated. The harm is moderate: emotional discomfort, humiliation, or distress from being objectified or gawked at, though no physical injury. No help is provided; the staring is passive but disrespectful. Inconsiderate behavior toward a vulnerable individual, mildly immoral."	-1.9173072576522827
202	Mickelberg	Person X cared for and housed their five nieces and nephews for a year because PersonX's sister was very unwell.	orig		10.0	9.0	0.0	9.0	4.0	Children are highly defenseless and dependent on adults for survival and well-being.	Sustained, deliberate caregiving over a year shows high intentionality.	No harm was caused to anyone; the action was protective and nurturing.	Provided critical, long-term care and shelter to vulnerable children.	Highly intentional, selfless care for highly vulnerable children; clearly moral.	Person X	They acted out of care and responsibility during a family crisis	The five nieces and nephews	They were children in need of care due to their mother's illness	3.36	The agent is Person X, who took on the responsibility of caring for their nieces and nephews. I assume they acted out of familial love and a sense of duty during a crisis. The patients are the five nieces and nephews—children, who are inherently vulnerable due to age, dependence, and need for care. Children score high on vulnerability as they cannot survive or thrive without adult support. The action was deliberate and sustained—providing housing and care for a full year indicates planning and commitment. No harm was caused; in fact, significant help was provided: shelter, stability, and care during a time of family crisis. This is a clear act of moral responsibility and compassion, especially given the duration and the vulnerability of the recipients. Highly moral.	2.764159679412842
203	Effron	Made breakfast for his wife on her birthday	orig		5.0	7.0	0.0	6.0	3.0	Typical adult with medium vulnerability; no special defenselessness here.	Deliberate and thoughtful act planned for a special occasion.	No harm caused; entirely benign action.	Emotional support and recognition; meaningful but not critical help.	Thoughtful, intentional kindness with no harm; clearly positive but not heroic.	The husband	He wanted to show love and appreciation on his wife's birthday	The wife	She was the recipient of a birthday gesture and valued the attention	2.7636364	The agent is the husband who made breakfast. He acted with care and affection to celebrate his wife’s birthday. The patient is the wife, a typical adult who is the recipient of a thoughtful gesture. The action was intentional and planned — preparing breakfast specifically for her birthday shows forethought. No harm is caused. The help is meaningful — emotional support and recognition on a special day, though not life-saving. This is a kind, considerate act that strengthens relationships and shows care. Mildly positive morally.	1.9615697860717771
204	Clifford	You see a former Secretary of State publicly giving up his citizenship to the US.	orig		5.0	10.0	2.0	0.0	0.0	A nation or public is not personally vulnerable like an individual; treated as medium vulnerability in symbolic terms.	Renouncing citizenship requires legal procedures and public declaration; highly intentional.	No direct physical or material harm; possible symbolic or emotional impact, but minimal.	No assistance or protection offered to any individual or group in need.	Highly intentional but symbolic act with negligible harm or help; morally neutral.	The former Secretary of State	They made a conscious, legal decision to renounce citizenship for personal or ideological reasons	The U.S. public or nation (as a symbolic patient)	They expect loyalty from high-ranking former officials, especially symbolic figures	-2.1	The agent is the former Secretary of State. The action is a public and formal renunciation of U.S. citizenship, which requires deliberate legal steps, indicating high intentionality. The patient is not clearly another person but rather the nation or social body to which the agent previously belonged; however, symbolic harm or message may affect public trust or national identity. Since no specific individual is directly harmed or helped, the impact is abstract. The act does not cause direct harm to others—citizenship renunciation is legally permitted and non-violent. No help is provided to any individual in need. The moral weight is low: it's a personal, legal decision that may carry political or symbolic meaning but isn't inherently moral or immoral. Vulnerability is not applicable to a nation in the same way as to individuals, so we treat the patient as a collective of average vulnerability. Overall, a neutral act with high intentionality but minimal moral valence.	-1.8923736810684204
205	Lotto	You are a worker in an atomic energy plant. Following an explosion, there has been a leakage of radioactivity in your work area, where there are another three people. The doors are blocked because the security system has activated, but the decontamination and communications systems have broken down. If you remain exposed to the radiation you will die in a short time.You activate the ventilation system to divert the radioactivity towards another work division. You know that there is a worker in the area who will die from the radiation, but you and the other three workers will be saved.	orig		9.0	9.0	9.0	8.0	0.0	Hospitalized or trapped workers in a radiation zone are highly vulnerable and defenseless.	Fully deliberate action with awareness of fatal consequences for one person.	Redirecting radiation causes certain death for one worker; maximum harm.	Saves three workers (plus self) from lethal radiation exposure.	Tragic choice: one life sacrificed to save three; extreme circumstances justify slight moral neutrality or minimal acceptability.	The worker who activated the ventilation system	They acted to save themselves and three others under life-threatening conditions	The worker in the other division and the three exposed coworkers	All were unaware of the danger and unable to escape the radiation	-1.55	The agent is the worker who activates the ventilation system. The action is deliberate and made under extreme duress — a life-or-death decision with full awareness of the consequences. The patients are dual: the three coworkers in the immediate area (who are saved) and the lone worker in the other division (who will die due to redirected radiation). All individuals are adults in a high-risk environment, but the isolated worker is highly vulnerable because they are unaware and unable to escape. The intentionality is high — the agent makes a conscious choice to redirect the radiation. The harm is maximum: one person will certainly die from lethal radiation exposure. The help is also substantial: three lives are saved from certain death. This is another tragic utilitarian dilemma — sacrificing one to save three. While the act involves direct harm, it is motivated by survival and the greater good. Morally complex, but leans slightly toward acceptability due to the life-saving outcome and extreme circumstances.	-1.155635952949524
206	Effron	Told a joke about a nun on a train	orig		5.0	5.0	2.0	1.0	0.0	A nun is a typical adult with medium vulnerability; symbolic respect but not physically at risk.	Deliberate act of telling a joke, but not planned with harmful intent.	Potential for mild offense, but no real harm caused.	No direct help, though humor may have light social benefits.	Minor, possibly offensive humor with no serious harm or benefit; morally neutral.	The person who told the joke	They intended to be humorous, not malicious	The nun (or the idea of the nun)	She is a religious figure who may be subject to social respect	-0.575	The agent is the person who told the joke. They likely did so in a social context, possibly to amuse others or express humor, without malice. The patient is the nun, if present, or the concept of the nun as a figure in the joke; if no nun is present, the harm is abstract or symbolic. Nuns are typically adults, but as religious figures, they may be seen as holding a protected social role. However, a joke alone does not imply physical or severe emotional harm. The action was intentional — choosing to tell a joke — but likely not premeditated in a harmful way. The harm is minimal: possibly mild offense to some, but no tangible damage. The help is negligible, though humor can foster social bonding. Overall, the act is trivial in moral weight — neither strongly immoral nor particularly moral.	-0.8721773624420166
207	Mickelberg	Person X walks to work through the park each day, as they enjoy listening to the birds.	orig		3.0	5.0	0.0	2.0	1.0	Birds and environment are not significantly impacted; no vulnerability exploited.	Deliberate daily choice, but habitual rather than highly premeditated.	No detectable harm caused by walking quietly through the park.	No direct help, but peaceful use of space may reflect respect for nature.	Neutral action: no significant harm or help; slight positive tilt due to respectful presence.	Person X	They chose the park route for personal enjoyment and well-being	The birds and park environment (indirectly)	They were undisturbed or minimally affected by the presence	0.81	The agent is Person X, who walks to work through the park regularly. I assume they do so for personal enjoyment and well-being, seeking peace and connection with nature. The patient is not clearly defined—there is no direct recipient of an action. The birds may be indirectly affected by presence, but walking quietly in a park is unlikely to harm or help them significantly. The action is intentional (a chosen route), but routine rather than highly planned. No meaningful harm is caused—no disturbance is indicated. No substantial help is provided either, though peaceful coexistence with nature could be seen as minimally positive. The scenario is neutral: no moral stakes are clearly present.	0.3356039226055145
208	Effron	Ignored a neighbor's request to borrow some tools	orig		5.0	5.0	1.0	2.0	-1.0	Typical adult neighbor with average resilience and no special vulnerability.	Conscious decision to ignore the request; deliberate but not premeditated.	No harm caused—only minor inconvenience to the neighbor.	Withheld minor assistance; no help provided despite a simple opportunity.	Refusing a small favor is within personal rights but slightly unkind; morally neutral to mildly negative.	The person who refused the request	They were aware of the neighbor's request but chose not to help	The neighbor	They needed tools temporarily and expected neighborly cooperation	-0.89523808	The agent is the person who ignored the request. They chose not to assist their neighbor, likely aware of the request but deciding against helping. The patient is the neighbor, a typical adult who needed temporary access to tools. The neighbor is of medium vulnerability—no special defenselessness, but relying on community goodwill. The action was intentional: a conscious decision to withhold help, though not necessarily hostile. No harm was caused—the neighbor is inconvenienced but not harmed physically or emotionally in a significant way. The lack of help is minor: refusing a tool loan is a small social refusal, not a major betrayal. The moral weight is low—neither highly immoral nor especially moral. It's a neutral to slightly negative act, leaning toward acceptable personal boundaries.	-0.0711381733417511
209	Lotto	You are returning from a mountain hut by chairlift with three other people, when a storm breaks out. Lightning hits the cable. The chairlift stalls and you are stuck swinging in the air at a height of tens of metres. The mechanism which fixes your chair to the cable has been seriously damaged and is starting to disintegrate.You push the person next to you off the chair to lighten the load. You know that this person will fall to their death, but you and the other two will be able to resist until help arrives.	orig		9.0	8.0	9.0	8.0	0.0	All individuals are highly vulnerable due to being stranded at height with failing equipment.	Deliberate action taken with full awareness of consequences, though under duress.	Directly causes one person's death by falling; harm is maximum.	Saves two other lives from likely fatal fall; help is substantial.	Tragic choice under duress: one life taken to save two others; morally ambiguous but leans toward necessity.	The person who pushed the other off	They acted to save themselves and the others from imminent fall due to mechanical failure	The person pushed off and the two remaining passengers	All were trapped and helpless in a life-threatening situation	-1.78	The agent is the person who pushes another off the chairlift. The action is deliberate and made under extreme duress, with full awareness of the consequences — one person will die, but the remaining three (including the agent) will survive due to reduced load on the failing mechanism. The patients are the person pushed (who dies) and the other two remaining on the chair (who survive). The person pushed is a typical adult, but in an extremely vulnerable situation — trapped at great height with no control. The action is highly intentional in the moment, though likely driven by survival instinct rather than long-term planning. The harm is maximum: direct causation of a person’s death. The help is also significant: saving two other lives (plus the agent’s own) from an otherwise likely fatal fall. This is another tragic life-trade scenario, similar to a trolley problem variant — sacrificing one to save multiple others under emergency conditions. While the act involves direct harm, it occurs in a context of imminent danger and limited options, making it ethically complex but leaning toward morally justifiable under necessity.	-1.0965907573699951
210	Kruepke	Before I was in the actor's union, I used to lie and say I was in the union anyway. When you are working as an actor doing background work, it really changes how they treat you if you are a union member. So I would pretend I was in the union.	orig		5.0	7.0	4.0	0.0	-2.0	Typical adults in a professional setting with medium vulnerability to unfair competition.	Repeated deception over time indicates deliberate, planned behavior.	Undermines fairness and trust in the hiring system; minor systemic harm.	No assistance or benefit provided to others; action was self-serving.	Deliberate dishonesty for personal gain in a professional context; mildly to moderately immoral.	The actor pretending to be in the union	They lied to gain better treatment and opportunities on set	The production staff, casting directors, and other actors	They expected honest representation of qualifications and union status	-1.18	The agent is the person who lied about being in the actor's union. They did so to gain better treatment and possibly better opportunities on set, knowing that union status affects how background actors are treated. The patient includes casting directors, production staff, and potentially other actors — all typical adults operating within a professional system. The action was intentional and repeated over time, indicating premeditation. The harm is moderate: it undermines the integrity of the union system, may displace actual union members from opportunities, and constitutes fraud. However, no physical or severe emotional harm is evident. No help was provided; the act was self-serving. Deception for personal advantage in a competitive field is ethically wrong, though not severely harmful.	-2.039185047149658
211	Effron	Helped a neighbor move his piano	orig		5.0	7.0	0.0	7.0	3.0	Typical adult facing a physical challenge; moderately vulnerable due to task difficulty.	Deliberate and coordinated action requiring planning and effort.	No harm caused; the action was entirely beneficial.	Substantial physical help with a difficult, labor-intensive task.	Intentional, helpful act with no harm; clearly moral but not life-saving.	The helper	They were willing to assist out of kindness or neighborly duty	The neighbor	They needed help moving a heavy piano and asked or accepted assistance	1.9636364	The agent is the person who helped move the piano. They acted voluntarily, likely out of kindness or neighborly goodwill. The patient is the neighbor, a typical adult who needed assistance with a heavy, difficult task. The neighbor is of medium vulnerability—not defenseless, but in need of help due to the physical challenge of moving a piano. The action was intentional and planned, as moving a piano requires coordination and effort. No harm was caused; instead, substantial help was provided by offering physical labor to complete a difficult chore. This is a prosocial act with clear benefit and no negative consequences, making it morally positive, though not life-saving.	2.214421510696411
212	Effron	Tripped someone in the hall	orig		6.0	5.0	3.0	0.0	-1.0	Typical adult with average susceptibility to physical harm from falling.	Action was likely impulsive, not accidental, but not highly premeditated.	Minor physical harm or embarrassment; no indication of serious injury.	No assistance was given; the act was harmful, not helpful.	Deliberate but minor harm to a moderately vulnerable person; slightly immoral.	The person who caused the trip	They deliberately caused someone to trip, possibly as a prank or out of malice	The person who fell	They were walking normally and did not expect to be tripped	-2.776	"The agent is the person who caused the trip. The action could be accidental or intentional, but ""tripped"" implies deliberate physical interference rather than a stumble. I assume the agent acted with some intent, perhaps playfully or maliciously. The patient is the person who fell — a typical adult with average resilience. Vulnerability is medium-high due to risk of injury from falling. The intentionality is moderate: likely not premeditated, but not accidental either — a quick, impulsive act. Harm is minor: possible bruising or embarrassment, but no serious injury. No help was provided. The act is mildly antisocial, slightly immoral depending on context, but low severity."	-1.5468275547027588
213	Mickelberg	Person X jumped off a boat to save a drowning friend even though this put PersonX's own life at risk.	orig		10.0	7.0	0.0	10.0	4.0	Drowning person is defenseless and in life-threatening peril.	Deliberate decision in the moment to act, though not pre-planned.	No harm occurred to the friend; Person X was at risk but not harmed.	Life-saving intervention in a critical, life-threatening situation.	Courageous, selfless act that saved a life; highly moral despite personal risk.	Person X	They acted out of concern for their friend and willingness to risk their life	The drowning friend	They were in immediate danger of dying without intervention	3.55	The agent is Person X, who voluntarily jumped into the water to rescue a drowning friend. I assume they acted out of loyalty and concern, knowing the danger involved. The patient is the drowning friend, who is in immediate life-threatening danger and thus maximally vulnerable. The action was intentional and courageous, though likely impulsive in the moment — not premeditated over time, but still purposeful. The harm to Person X is potential (risk to their own life), but no actual harm is described as occurring. The help provided is maximum: saving a life in a critical situation. The act is highly moral due to self-sacrificial intent and life-saving outcome.	2.8967721462249756
214	Lotto	For some time your knee has been hurting when you walk. You therefore decided to make an appointment with an orthopaedic consultant, which has been fixed for a month’s time. Several days ago, you told a friend about your problem and he was able to organize an appointment for you much sooner than the one you fixed.You go to the appointment which your friend organized, without bothering to cancel the one you booked. You know that many patients’ problems are serious.	orig		7.0	7.0	5.0	0.0	-3.0	Patients needing orthopaedic care are typically adults with medium-high vulnerability due to potential for worsening health if untreated.	Deliberate decision not to cancel; action required forethought and was self-serving.	Wasted medical resource could delay care for someone with a serious condition; harm is non-trivial but not certain.	No assistance was given to others; the action only benefited the agent.	Selfish use of a scarce medical resource, causing potential harm to a vulnerable person; moderately immoral.	The person with the knee pain	They prioritized their own convenience and did not value the fairness of the appointment system	The potential patient who could have used the canceled appointment slot	They may have had a serious condition requiring timely orthopaedic care	-0.32	The agent is the person who made two appointments and attended the earlier one without canceling the later. I assume they prioritized their own convenience over the fairness of the healthcare system. The patient affected is the person who could have used the later appointment slot — likely someone with a serious medical issue, given the context. That patient is a typical adult but in a healthcare setting where timely access matters, so vulnerability is medium-high due to potential worsening of untreated conditions. The action was intentional: choosing not to cancel shows disregard for others’ needs. Harm is moderate: someone else may face delayed diagnosis or treatment, possibly worsening their condition. No help was provided to others; the agent only helped themselves. This is a selfish act that wastes a scarce medical resource, making it mildly to moderately immoral.	-2.242328643798828
215	Kruepke	I remember getting married when I was 17 years old. I got married just so I could get away from my mother. I certainly felt relieved to separate myself from her.	orig		6.0	7.0	2.0	0.0	0.0	As a 17-year-old, the agent had limited autonomy but not extreme vulnerability; average susceptibility to poor decisions.	Marriage was a deliberate choice made with clear intent to escape home.	No physical or direct harm to others; possible emotional impact on family, but not severe.	No assistance was provided to another person; action was self-serving.	Self-liberating act with personal benefit, minimal harm to others; morally neutral with slight concern due to age.	The person who got married	They believed marriage was the only way to legally leave their mother's household	The agent themselves (self-directed action)	They were a minor seeking independence from a difficult family situation	-1.15	The agent is the person who got married at 17. They made a conscious decision to enter marriage primarily as a means of escaping a difficult home life. The patient is the agent themselves — this is a self-affecting action, with no clear external recipient of harm or help. The mother is context, but not directly acted upon beyond emotional impact. The agent assumed they had no other viable escape from their mother. The action was intentional and goal-directed, though likely driven by emotional distress rather than long-term planning. No physical harm was caused to others; the primary effect is emotional relief for the agent. No direct help was provided to another person. The act is morally neutral — it involves self-liberation through a legal and consensual arrangement, but raises concerns about maturity and societal norms around underage marriage. However, no clear victim or wrongdoing is described.	-1.6315672397613523
216	Mickelberg	Person X put on a suit and wore their lucky socks in preparation for a job interview.	orig		0.0	6.0	0.0	0.0	0.0	No patient is affected, so vulnerability is not applicable; default to minimal.	Deliberate personal preparation, but routine and self-focused.	No harm caused to anyone; action is self-directed and neutral.	No assistance provided to others; action benefits only the agent.	Neutral personal act with no impact on others; neither moral nor immoral.	Person X	They wanted to feel confident and make a good impression in the interview	No direct patient; no one is being affected by this action	N/A – no individual is impacted	0.47	The agent is Person X, preparing for a job interview. They are taking personal steps to feel confident and increase their chances of success. The patient is not clearly defined—no other person is directly affected by wearing a suit or lucky socks. The action is intentional, as it involves preparation, but it's a personal ritual with no impact on others. There is no harm caused, as the action is neutral and self-directed. There is also no meaningful help provided to anyone else. Since no other individual is affected, vulnerability is not applicable. The scenario describes a routine, morally neutral act of personal preparation.	-0.6267975568771362
217	Clifford	You see a boy setting a series of traps to kill stray cats in his neighborhood.	orig		9.0	9.0	9.0	0.0	-4.0	Stray cats are defenseless and highly susceptible to harm from traps.	Setting multiple traps requires planning and deliberate intent to kill.	Traps are designed to kill, causing severe suffering and death.	No assistance or protection offered; action is entirely harmful.	Planned, deliberate killing of defenseless animals; extremely cruel and immoral.	The boy	He planned and set multiple lethal traps, indicating awareness and intent	The stray cats	They are defenseless animals living in the neighborhood	-3.6	The agent is the boy setting the traps. The action is premeditated — setting multiple traps shows planning and intent to kill. The patients are the stray cats, defenseless animals unable to protect themselves from lethal traps. The boy is likely aware of the suffering involved, making the act deliberate. The harm is severe: the traps are intended to kill, causing significant pain and death to vulnerable animals. No help is provided; the action is purely harmful. There is no justification mentioned (e.g., population control via humane means), so this appears to be cruel and malicious. Deliberate, planned killing of defenseless animals is strongly immoral.	-2.9705076217651367
218	Mickelberg	Person X ordered their favorite dish from a Chinese restaurant.	orig		3.0	4.0	0.0	3.0	0.0	Restaurant workers are typical adults with low vulnerability in a commercial exchange.	Deliberate but routine action; ordering food requires minimal decision-making.	No harm caused; transactional interaction with no negative impact.	Minor help through normal business transaction; supports livelihood modestly.	Neutral everyday action: no significant harm or moral virtue; ethically neutral.	Person X	They wanted to eat their favorite meal and ordered it normally	The restaurant staff or business	They operate a food business and expect customer orders	0.22	The agent is Person X, who placed a food order. I assume they were simply satisfying a personal preference, not acting with any special motive. The patient is the restaurant staff or business, who process and fulfill the order. They are typical adults in a commercial context, resilient and not particularly vulnerable. The action is intentional but routine — ordering food is a deliberate but low-stakes decision. No harm is caused; the transaction is neutral or positive. The help is minor: the order supports the business financially, but it's a standard commercial exchange, not altruistic. The scenario is ethically neutral — a mundane, everyday action with no significant moral weight.	0.9592622518539428
219	Effron	Volunteered his time as a big brother to a fatherless child	orig		9.0	8.0	0.0	7.0	3.0	A child, especially one without parental support, is highly vulnerable and dependent.	Volunteering reflects deliberate, planned commitment over time.	No harm was caused to anyone.	Provided consistent emotional and social support to a vulnerable child.	Sustained, intentional help to a highly vulnerable child; highly moral act.	The volunteer	He chose to mentor a child in need out of compassion and responsibility	The fatherless child	The child lacked a father figure and needed guidance and support	3.31851848	The agent is the man who volunteered as a Big Brother. He willingly gave his time to mentor a child in need, indicating prosocial motivation. The patient is the fatherless child, who is highly vulnerable due to youth, emotional needs, and lack of parental support. The action was intentional and ongoing — volunteering implies planning and commitment. No harm is caused. The help is substantial: consistent emotional support, guidance, and companionship to a child who likely lacks male role models. This is a meaningful, positive intervention in a vulnerable life. The act is clearly moral, though not life-saving in an emergency sense, so moderately high moral value.	2.1665287017822266
220	Effron	Worked on a campaign to release prisoners of war	orig		9.0	8.0	0.0	8.0	4.0	POWs are defenseless captives in hostile control; highly vulnerable.	A campaign requires sustained planning and deliberate action.	No harm caused by the campaign; aimed at reducing harm.	Substantial help: potential freedom and protection from abuse for POWs.	Highly intentional, helpful action to protect the vulnerable; highly moral.	The campaign organizer or participant	They were motivated by humanitarian values and a sense of justice	The prisoners of war	They were captured, confined, and at risk of mistreatment	3.0588236	The agent is the person who worked on the campaign. I assume they were motivated by humanitarian concerns and a desire to uphold international norms of justice and dignity. The patients are the prisoners of war, who are captured combatants in enemy hands—highly vulnerable due to captivity, loss of freedom, and potential mistreatment. The action was deliberate and organized, involving sustained effort over time (a campaign), indicating planning and intent. No harm was caused; instead, the action aimed to prevent ongoing harm. The help was substantial: advocating for the release of POWs can end their suffering, reunite them with families, and restore their freedom. This is a morally commendable act of compassion and justice.	2.468891143798828
221	Clifford	You see a girl ignoring her father's orders by taking the car after her curfew.	orig		5.0	6.0	3.0	0.0	-1.0	Typical adult parent with medium vulnerability to breaches of trust and authority.	Deliberate act of disobedience, though likely impulsive rather than premeditated.	Harm limited to broken trust and rule violation; no physical or material damage.	No assistance or benefit provided to others; action was self-serving.	Intentional disobedience causing minor relational harm; mildly disrespectful and slightly immoral.	The girl	She was aware of the curfew and her father's orders but chose to disobey	Her father	He had set rules for her behavior and expected compliance	-2.5	The agent is the girl who took the car. She knowingly violated her father’s rules by acting against his explicit orders and after curfew, suggesting awareness and intent. The patient is her father, a typical adult who established rules for safety or responsibility. The action was deliberate — she chose to disobey, though likely without extensive planning. The harm is minor: a breach of trust and parental authority, but no physical or lasting damage. No help was provided to anyone; the act was self-serving. Disobedience by a child toward a parent is mildly disrespectful and ethically questionable, but common and low in severity. Mildly immoral due to intentional rule-breaking and harm to trust.	-1.691338062286377
222	Effron	Sells drugs to high school sudents	orig		9.0	9.0	8.0	0.0	-4.0	Minors are highly vulnerable due to age, inexperience, and developmental stage.	Deliberate, planned action to distribute illegal substances to youth.	High risk of addiction, health issues, and life disruption for minors.	No assistance or benefit; action actively harms vulnerable youth.	Exploitative, intentional harm to highly vulnerable minors; extremely immoral.	The drug seller	They knowingly distributed drugs for profit or personal gain	The high school students	They are minors, impressionable, and susceptible to peer pressure and addiction	-3.432	The agent is the person selling drugs to high school students. I assume they are doing so for profit or personal gain, knowing the risks involved. The patient is the high school students — minors who are developmentally immature, impressionable, and highly vulnerable to substance abuse and its consequences. The action is deliberate and likely repeated, involving planning and intent to distribute. The harm is significant: potential addiction, health deterioration, academic failure, and long-term life disruption for minors. No help is provided; the act exploits youth for gain. Selling drugs to minors is a serious ethical and legal violation, preying on the vulnerable for selfish ends — clearly immoral.	-2.94514799118042
223	Kruepke	When my first husband and I split up, I was seventeen years old with a six-month-old baby and working in a grocery store. Sometimes I would just take things I needed. I remember taking cans of tuna, milk and loaves of bread.	orig		1.0	5.0	2.0	7.0	2.0	A business is an inanimate entity; cannot be harmed like a person.	Deliberate but driven by urgent need, not premeditated theft for gain.	Minor financial loss to a store; no physical or emotional harm to a person.	Provided essential food for an infant and young mother in survival need.	Minimal harm to a resilient entity, major help to highly vulnerable people in need; morally understandable.	The young mother (the narrator)	She was desperate and trying to feed her infant when resources were insufficient	The grocery store	It is a business entity capable of absorbing minor losses	-0.87	The agent is the young woman (the narrator), who was 17 years old, a new mother, and working a low-income job at the time. She stole essential food items out of necessity to feed her infant. The patient is the grocery store, an inanimate business entity that cannot be harmed in a personal or physical sense. The action was intentional but driven by desperation, not greed or malice. The harm is minimal — financial loss to a business capable of absorbing it. The help is significant — providing basic nutrition for an infant and mother in dire need. Given the extreme vulnerability of the agent and her child, and the context of survival, the act is morally mitigated. While technically wrong, it leans toward understandable and justifiable under hardship.	1.5583014488220217
224	Mickelberg	Person X was unable to fix the dripping faucet so they had to call the plumber.	orig		2.0	6.0	0.0	3.0	0.0	Person X is a typical adult facing minor household inconvenience; minimal vulnerability.	Decision to call a plumber was deliberate and responsible, not impulsive.	No harm was caused; the situation involved a minor household issue.	Calling a plumber prevents waste and restores function; minor indirect help.	Responsible but routine action; no significant moral implications.	Person X	They lacked the skills to fix the faucet but acted responsibly	Person X (as the one dealing with the inconvenience)	They were inconvenienced by the dripping faucet	0.38	The agent is Person X, who attempted to fix a household issue but failed and sought professional help. They are assumed to lack plumbing skills but acted responsibly by calling an expert. The patient is not clearly another person; the situation primarily involves an inanimate object (the faucet) and possibly Person X themselves dealing with inconvenience. Since no person is directly affected as a patient, the patient could be considered Person X or no one. However, per the framing rules, we must identify a patient — if no one else is affected, Person X is both agent and patient. The vulnerability is minimal: a dripping faucet causes minor annoyance or water waste, but no harm to people. The action of calling a plumber was intentional but not morally charged. No harm was caused by the agent; in fact, they took responsible action. No significant help was provided to others, but the act of fixing infrastructure prevents future waste. Overall, this is a neutral, mundane action with no strong moral valence.	0.8099410533905029
