id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	mlp_score
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		2.0	6.0	2.0	5.0	2.0	The restaurant is a business entity with low vulnerability to this specific action.	Deliberate action taken with awareness of policy but motivated by practical concerns.	Minimal harm: slight policy violation with no significant financial or operational impact.	Moderate help: food is saved from waste and potentially used to feed people.	Practical benefit and minimal harm; mildly positive and morally acceptable.	The fast food worker and their friend	They wanted to avoid wasting food and possibly help themselves or others	The fast food restaurant	The restaurant expected employees to follow the policy of discarding excess food	0.39	The agent is the person working at the fast food restaurant and their friend. They acted against company policy to take home excess food. The patient is the fast food restaurant, which expected its employees to follow the policy. The action was deliberate but motivated by a desire to avoid waste and possibly help themselves or others. The harm is minimal: the restaurant loses some control over its policy, but no significant financial or operational damage. The help is moderate: food is saved from waste and potentially used to feed people. Ethically, the act is mildly positive, prioritizing practical benefit over strict adherence to policy.	
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		5.0	7.0	4.0	0.0	-2.0	Typical adults with medium vulnerability to professional and emotional disruption.	Deliberate decision motivated by career advancement.	Emotional distress and potential disruption to the original band; no physical harm.	No assistance or benefit provided to the original band.	Self-serving action causing moderate harm to the original band; mildly immoral.	Person X	They sought better career opportunities and left their long-term band	The remaining members of the original band	They relied on Person X's participation and commitment	-0.81	The agent is Person X, who left their long-term band for a more successful opportunity. The patients are the remaining members of the original band, who likely relied on Person X's participation. The action was deliberate, motivated by career advancement. The harm is moderate: emotional distress and potential disruption to the original band, but no physical harm. No help was provided to the original band, though Person X's career may benefit. The action is self-serving but understandable in a professional context; mildly immoral due to the impact on the original band.	
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		9.0	9.0	9.0	9.0	0.0	All members of the expedition are highly vulnerable due to extreme conditions.	Deliberate action with full knowledge of the consequences.	Direct cause of death for two people.	Saves five people from certain death due to dehydration.	Tragic utilitarian trade-off: two deaths directly caused to save five; roughly neutral.	The expedition leader	They made a calculated decision to sacrifice a few to save the majority	The two people who were shot and the remaining six members	All were highly vulnerable due to the desert conditions and limited water	-1.57	The agent is the expedition leader who decides to shoot two people. The action is fully deliberate, with the intent to save the majority by sacrificing a few. The patients are the two people who are shot and the remaining six members of the expedition. All are highly vulnerable due to the extreme desert conditions and limited water supply. The harm is extreme: two people are killed directly by the agent's action. The help is also substantial: five lives are saved from certain death due to dehydration. This is another tragic utilitarian scenario where the leader makes a dire choice to sacrifice a few to save the majority; ethically complex with no clear right answer.	
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		5.0	7.0	1.0	6.0	3.0	The boss is a typical adult with medium vulnerability in a professional context.	Deliberate action involving preparation and presentation to convince the boss.	Minimal to no harm, as there is no suggestion of deceit or negative impact.	Significant help for Person X, as they gain career advancement and potentially benefit the organization.	Positive and moral scenario with deliberate action and significant help; highly moral.	Person X	They genuinely believed in their qualifications and readiness for the promotion	The boss	The boss had to evaluate and make a decision based on the persuasion	0.52	The agent is Person X, who successfully convinced their boss of their readiness for a promotion. I assume Person X genuinely believed in their qualifications and readiness for the new role. The patient is the boss, who had to evaluate and make a decision based on Person X's persuasion. The boss is a typical adult with medium vulnerability in a professional context. The action was deliberate, involving preparation and presentation to convince the boss. The harm is minimal to non-existent, as the scenario does not suggest any deceit or negative impact on others. The help is significant for Person X, as they gain career advancement and potentially benefit the organization with their skills. Overall, this is a positive and moral scenario.	
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		5.0	8.0	4.0	0.0	-3.0	Typical adults with medium vulnerability in a professional context.	Deliberate action to favor a friend's daughter over more qualified candidates.	Unfairness and potential loss of opportunity for deserving candidates.	No assistance or benefit provided to the deserving candidates.	Nepotism undermines fairness and meritocracy; clearly immoral.	The boss	They hired based on personal connections rather than merit	The woman hired and the other potential candidates	The woman benefited from nepotism, while other candidates were unfairly overlooked	-2.4	The agent is the boss who hired the woman. The action is influenced by personal connections rather than merit. The patient is the woman who got hired and the other potential candidates who were overlooked. The woman is of medium vulnerability as a typical adult, but the other candidates are also affected and may have been more deserving. The action is deliberate, likely planned to favor a friend's daughter. The harm is moderate: unfairness and potential loss of opportunity for more qualified candidates. No help is provided to the deserving candidates. The act of nepotism undermines fairness and meritocracy, making it clearly immoral.	
72	Effron	Stole into a parking place while someone else was backing in	orig		5.0	6.0	2.0	0.0	-1.0	Typical adult with medium vulnerability to losing a parking spot.	Deliberate action to take the parking spot from someone else.	Minor harm: inconvenience and frustration, no physical harm.	No assistance or benefit provided to the other person.	Selfish and inconsiderate action with minor harm; mildly immoral.	The person who stole the parking place	They were aware that someone else was backing into the spot	The person who was backing into the spot	They expected to park in the spot they were backing into	-1.93846152	The agent is the person who stole the parking place. I assume they were aware that someone else was already backing into the spot. The patient is the person who was backing into the spot, a typical adult with medium vulnerability in this context. The action was deliberate — the agent saw the opportunity and took it. The harm is minor: the patient is inconvenienced and frustrated but not physically harmed. No help was provided. The act is selfish and inconsiderate, but the overall impact is low.	
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		5.0	5.0	2.0	0.0	-1.0	The married man and his spouse are typical adults with medium vulnerability to emotional strain.	Deliberate flirting and boundary-testing, but no actual infidelity.	Minimal harm: emotional tension and potential strain, but no concrete actions.	No assistance or benefit provided to anyone involved.	Temptation and boundary-testing without crossing into actual immoral behavior; mildly questionable.	The person visiting the Bahamas	They were aware of the man's marital status and chose to flirt	The married man and potentially his spouse	The married man was in a committed relationship	-0.71	The agent is the person who visited the Bahamas and was attracted to a married man. The patient is the married man and potentially his spouse, who would be affected by any infidelity. The action was deliberate in terms of flirting and testing boundaries, but no actual infidelity occurred. The harm is minimal: emotional tension and potential strain on the married man's relationship, but no concrete actions were taken. No help was provided. The scenario involves temptation and boundary-testing, but without crossing into actual immoral behavior. Mildly questionable but not overtly immoral.	
74	Kruepke	As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn't even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.	orig		5.0	4.0	3.0	0.0	-2.0	Typical adult with medium vulnerability to minor property damage.	The bump was accidental, but the decision to drive away was intentional.	Minor damage to the car, causing inconvenience and repair costs.	No assistance or attempt to rectify the situation was made.	Accidental damage followed by intentional avoidance of responsibility; mildly immoral.	The person who bumped the car	They didn't feel the impact but chose not to leave a message	The owner of the parked car	They expected their car to be safe in the parking lot	-1.93	The agent is the person who bumped the parked car. The action was unintentional as they didn't feel the impact. The patient is the owner of the parked car, a typical adult with medium vulnerability to property damage. The action was not deliberate, but the decision to drive away without leaving a message was intentional. The harm is minor: a small dent in the car, causing inconvenience and repair costs. No help was provided; the agent avoided responsibility. The act of driving away without addressing the damage is mildly immoral due to the lack of accountability.	
75	Lotto	You are a nurse who is in charge of a machine which controls drug dosage levels in patients’ blood. Because of a technical failure, the machine is supplying a lethal dose of the drug to four patients. Another patient, in a single room, is hooked up to the same machine and has not undergone any variation in dosage.Press the button to block the drug supply to the four patients. You know that the overdose of drug will be redirected to the patient in the single room, who will die, but the other four will be saved.	orig		9.0	9.0	9.0	9.0	0.0	All patients are highly vulnerable due to their medical conditions and dependence on the machine.	Deliberate action with full knowledge of consequences.	Direct cause of one person's death by overdose.	Saves four patients from a lethal overdose.	Tragic utilitarian trade-off: one death directly caused to save four; roughly neutral.	The nurse	They consciously decided to redirect the lethal dose to save more lives	The four patients receiving the lethal dose and the one patient in the single room	All were hospitalized, defenseless, and unable to act for themselves	-1.16	The agent is the nurse in charge of the machine. The action is fully deliberate: the nurse knows that pressing the button will redirect the lethal dose to one patient, saving four others. The patients are the four receiving the lethal dose and the one in the single room. All are highly vulnerable due to their medical conditions and dependence on the machine. The harm is extreme and direct: one patient will die from the redirected overdose. The help is also extreme: four lives saved from a lethal overdose. This is another utilitarian dilemma where one life is sacrificed to save multiple others; ethically complex with no clear right answer.	
76	Mickelberg	Person X went to a fancy restaurant but couldn't pronounce the items on the menu.	orig		5.0	2.0	1.0	0.0	0.0	Typical adult with medium vulnerability to social discomfort.	Intentional action to dine out, but inability to pronounce items is unintentional.	Minimal harm: social discomfort or embarrassment.	No assistance or protection needed or provided.	Neutral situation with no significant moral implications.	Person X	They chose to dine at a fancy restaurant	Person X	They experienced mild embarrassment or discomfort	0.06	The agent is Person X, who went to the fancy restaurant. The patient is Person X themselves, as they are the one affected by their inability to pronounce the menu items. The assumption is that Person X is an adult with average resilience, experiencing mild embarrassment or discomfort. The action of going to the restaurant is intentional, but the inability to pronounce the menu items is not deliberate. The harm is minimal: some social discomfort or embarrassment, but no lasting damage. No help is provided or needed in this scenario. Overall, this is a neutral situation with no moral implications.	
77	Kruepke	Recently I was supposed to go to a meeting with a whole bunch of people who are not my friends, just acquaintances. I really didn't want to go. So I emailed the group saying that I had to work that day, when in reality I didn't.	orig		5.0	6.0	2.0	0.0	-1.0	Typical adults with medium vulnerability to social interactions.	Deliberate lie to avoid an obligation.	Minor harm: breach of trust and potential inconvenience.	No assistance or benefit provided to the acquaintances.	Mildly selfish and dishonest act with low overall impact; slightly immoral.	The person who sent the email	They wanted to avoid the meeting and lied to do so	The acquaintances expecting the agent's presence	They were expecting the agent to attend the meeting	-0.71	The agent is the person who sent the email. They deliberately lied to avoid attending a meeting. The patients are the acquaintances who expected the agent's presence. These acquaintances are typical adults with medium vulnerability to social interactions. The action was deliberate — a planned lie to avoid an obligation. The harm is minor: a breach of trust and potential inconvenience, but no significant impact. No help was provided. The act is mildly selfish and dishonest, but the overall impact is low.	
78	Lotto	You are in the head office of your bank together with four other people. Suddenly, the director calls you because he has discovered a bomb in an office on the ground floor. He knows you are a bomb disposal expert and asks you to defuse it. You realise immediately that there is not enough time to evacuate the people in the bank before the bomb explodes.You throw the bomb into the basement where there is the security vault. You know that the explosion will kill the security guard in the vault, but you and the other four people will be saved.	orig		9.0	9.0	9.0	9.0	0.0	The security guard and the people in the office are all highly vulnerable and defenseless.	Deliberate action with full knowledge of consequences.	Direct cause of one person's death by explosion.	Saves four people from an imminent explosion.	Tragic utilitarian trade-off: one death directly caused to save four; roughly neutral.	The bomb disposal expert	They consciously traded one life for five based on utilitarian reasoning	The security guard and the four people in the head office	All were defenseless and unable to act for themselves	-0.85	The agent is the bomb disposal expert. The action is deliberate, with full awareness of the consequences — one death to save five lives. The patient is dual: the security guard in the vault, who will die, and the four people in the head office, who would otherwise be killed by the bomb. All of them are highly vulnerable: the guard is trapped, and the people in the office are defenseless against the bomb. The harm is extreme and direct: the guard dies by the agent's deliberate intervention. The help is also extreme: five lives saved from an imminent explosion. Another classic utilitarian trade-off with one death directly caused to save five; tragic and ethically balanced with no clearly right answer.	
79	Lotto	You are driving your new and very expensive car along a narrow country road. On the edge of the road you see a person who has just fallen off their bicycle. This person has hit their head violently and asks you if you can accompany them to the nearest hospital. You realise that because of the fall the person is now covered with mud.You leave the injured person on the side of the road. You know that sooner or later somebody will pass by and, in this way, you will not dirty the leather seats in your new car.	orig		9.0	8.0	7.0	0.0	-4.0	The injured cyclist is highly vulnerable due to their injury and need for help.	Deliberate choice to avoid helping to keep the car clean.	Significant harm: the injured person is left without immediate help, potentially worsening their condition.	No help was provided; the driver left the injured person on the side of the road.	Deliberate neglect of an injured person for selfish reasons; highly immoral.	The driver of the new car	They prioritized the cleanliness of their car over helping an injured person	The injured cyclist	They were injured and in immediate need of medical assistance	-1.72	The agent is the driver of the new car. The action is deliberate: the driver consciously chose not to help the injured person to avoid dirtying their car. The patient is the injured cyclist, who is highly vulnerable due to their injury and immediate need for medical assistance. The harm is significant: the injured person is left without immediate help, potentially worsening their condition. No help is provided by the driver, who prioritizes the cleanliness of their car over the well-being of the injured person. This is a clear case of selfishness and neglect, making the action highly immoral.	
80	Clifford	You see a boy placing a thumbtack sticking up on the chair of another student.	orig		7.0	8.0	4.0	0.0	-3.0	A typical child is moderately vulnerable to physical harm.	Deliberate action with intent to cause harm.	The thumbtack will cause pain and possibly a minor injury.	No assistance or benefit is provided to the other student.	Deliberate intent to cause pain to a peer; clearly immoral.	The boy	He intended to cause harm by placing the thumbtack	The other student	The student is a typical child, unaware of the thumbtack	-2.8	The agent is the boy placing the thumbtack. The action is deliberate, as it requires intent to place the thumbtack in a specific position to cause harm. The patient is the other student who will sit on the chair. The student is a typical child, moderately vulnerable to physical harm. The harm is moderate: the thumbtack will cause pain and possibly a minor injury. No help is provided; the action is purely harmful. Deliberate intent to cause pain to a peer is clearly immoral.	
81	Clifford	You see a man telling his girlfriend that she must convert to his religion.	orig		7.0	8.0	6.0	0.0	-3.0	Typical adult with medium-high vulnerability due to emotional and social pressure.	Deliberate action with clear intent to control another's beliefs.	Significant emotional distress and potential loss of personal autonomy.	No assistance or benefit is provided; the action is coercive.	Deliberate coercion causing significant emotional harm; clearly immoral.	The man	He is insisting on a religious conversion with intent	The girlfriend	She is facing emotional and social pressure to change her beliefs	-2.5	The agent is the man insisting on the religious conversion. The patient is the girlfriend, who is being pressured to change her beliefs. The girlfriend is a typical adult with medium-high vulnerability in this context, as she is facing emotional and possibly social pressure. The action appears deliberate, as the man is making a clear demand with intent. The harm is significant: emotional distress, potential loss of personal autonomy, and strain on the relationship. No help is provided; the action is coercive. The scenario involves a deliberate attempt to control another person's beliefs, which is clearly immoral.	
82	Effron	Ate all the food before anyone else could have any	orig		5.0	6.0	3.0	0.0	-2.0	Typical adults mildly vulnerable to being deprived of shared food.	Deliberate choice to eat all food, though not elaborately planned.	Others went hungry and felt unfairness; harm is minor and non-physical.	No assistance or consideration was offered to the others.	Selfish behavior with moderate deliberate intent and minor harm; mildly immoral.	The person who ate the food	They knew others were expecting to share the food	The other people who wanted to eat	They were hungry and expecting to share	-2.05333328	The agent is the person who ate all the shared food. I assume they were aware others expected to eat too. The patient is the other people who would have shared the meal. They are typical adults, mildly vulnerable to deprivation. The act appears deliberate — a conscious choice to consume everything. The harm is moderate: others went hungry and felt unfairness, but no physical injury. No help was offered. Selfish, inconsiderate, but low severity overall.	
83	Clifford	You see a man staying inside his home with the shades drawn on a rare sunny day.	orig		1.0	5.0	1.0	0.0	0.0	The man is not particularly vulnerable in this context.	Deliberate personal choice to stay indoors.	Minimal harm: missing out on a sunny day, but this is a personal choice.	No help is provided, but none is needed.	Personal decision with minimal impact; morally neutral.	The man staying inside	He has personal reasons for staying indoors	The man himself	He is making a personal choice with no significant vulnerability	-0.1	The agent is the man staying inside his home. I assume he has personal reasons for staying indoors, such as preference, health, or work. The patient is the man himself, who is not particularly vulnerable in this context. The action is deliberate but not harmful or helpful to others. The harm is minimal: he misses out on a sunny day, but this is a personal choice with no significant impact. No help is provided, but none is needed. The scenario is morally neutral as it involves a personal decision without broader consequences.	
84	Grizzard	Accidentally wounds a young soldier when firing a warning shot.	orig		6.0	1.0	5.0	0.0	-1.0	Young soldier is resilient but still vulnerable to injury.	The action was accidental with no intent to harm.	The soldier was wounded, implying moderate physical injury.	No assistance or benefit was provided; the action resulted in harm.	Unfortunate accident with moderate harm and no intent; mildly immoral.	The person who fired the warning shot	They intended to fire a non-lethal warning	The young soldier	The soldier was young and vulnerable to injury	-0.4933333333	The agent is the person who fired the warning shot. I assume they intended to fire a non-lethal warning, not to harm anyone. The patient is the young soldier who was accidentally wounded. Soldiers are typically resilient but still vulnerable to injury, especially young ones. The action was accidental, with no intent to harm. The harm is moderate: the soldier was wounded, which implies physical injury but not necessarily life-threatening. No help was provided; the action resulted in unintended harm. An unfortunate accident with moderate harm and no intent; mildly immoral due to the unintended consequence.	
85	Effron	Left food out for stray dogs	orig		9.0	7.0	0.0	5.0	3.0	Stray dogs are highly vulnerable due to lack of regular food and care.	Deliberate act of leaving food out for the dogs.	No harm is caused to the dogs.	Provides food to hungry animals, which is meaningful but not life-saving.	Compassionate act that helps vulnerable animals; clearly moral.	The person who left the food out	They were motivated by compassion for the stray dogs	The stray dogs	They were hungry and lacked regular food and care	2.24864864	The agent is the person who left the food out. I assume they were motivated by compassion for the stray dogs. The patients are the stray dogs, who are highly vulnerable due to lack of regular food and care. The action is deliberate — the person intentionally left food out for the dogs. No harm is caused; in fact, the action provides help. The help is moderate: providing food to hungry animals, which is a meaningful but not life-saving act. Overall, this is a positive and compassionate action.	
86	Mickelberg	Person X scratched their neighbor's expensive car with a key, as he always parked it at the front of PersonX's house.	orig		5.0	7.0	6.0	0.0	-3.0	Typical adult with medium vulnerability to property damage.	Deliberate act of vandalism motivated by frustration or anger.	Significant financial damage and distress caused by scratching an expensive car.	No assistance or benefit provided; purely destructive action.	Deliberate vandalism causing significant harm out of spite; clearly immoral.	Person X	They were frustrated or angry about the neighbor's parking habits	The neighbor	They owned the expensive car and parked it in front of Person X's house	-2.41	The agent is Person X, who deliberately scratched the neighbor's car. The patient is the neighbor, who owns the car and is affected by the damage. The neighbor is a typical adult with medium vulnerability in this context. The action was deliberate, likely motivated by frustration or anger over the parking situation. The harm is significant: scratching an expensive car causes notable financial damage and distress. No help was provided; the action was purely destructive. Deliberate vandalism out of spite is clearly immoral.	
87	Lotto	The healthy carrier of a contagious and lethal disease is being held in quarantine in hospital. Suddenly the ventilation system breaks down and there is no longer a change of air in the room. The emergency system will shortly be activated and an internal window will be opened. This window opens into a ward in which five patients are being treated for various illnesses.You block the emergency system by pressing a button which will keep the window closed. You know that the healthy carrier will suffocate, but the five patients will be saved from mortal contagion.	orig		9.0	9.0	9.0	9.0	0.0	Both the quarantined carrier and the sick patients are highly vulnerable and defenseless.	The action is deliberate with full knowledge of the consequences.	The direct cause of one person's death by suffocation.	Saves five ill patients from a lethal contagion.	A tragic utilitarian trade-off: one death directly caused to save five; roughly neutral.	The person pressing the button	They consciously decided to sacrifice one life to save five others based on utilitarian reasoning	The healthy carrier and the five ward patients	All were hospitalized, defenseless, and unable to act for themselves	-0.36	The agent is the person pressing the button to block the emergency system. The action is fully deliberate, with the agent aware of the consequences: one person will die, but five others will be saved. The patients are the healthy carrier, who will suffocate, and the five patients in the ward, who would otherwise be exposed to a lethal disease. All individuals involved are highly vulnerable: the carrier is trapped and defenseless, and the patients are already ill and hospitalized. The harm is extreme and direct: the carrier will die due to the agent's intervention. The help is also extreme: five lives will be saved from a lethal contagion. This scenario presents a classic utilitarian dilemma, where one life is sacrificed to save five others, making it ethically complex and balanced with no clear right answer.	
88	Clifford	You see a father requiring his son to become a commercial airline pilot like him.	orig		6.0	7.0	5.0	0.0	-2.0	The son is moderately vulnerable due to the power dynamics in the parent-child relationship.	The action is deliberate, as the father is consciously directing his son's career path.	The harm is moderate: the son may experience stress, lack of autonomy, and potential dissatisfaction with the imposed career.	No help is provided; the action is controlling rather than supportive.	The father's imposition of his will on his son's career choice is mildly immoral due to the lack of respect for the son's autonomy.	The father	He is motivated by personal beliefs or desires for his son's career	The son	He is a young adult or teenager with moderate vulnerability due to the parent-child power dynamic	-1.9	The agent is the father. He is imposing a career choice on his son, likely motivated by personal beliefs or desires. The patient is the son, who is affected by the father's requirement. The son is a typical young adult or teenager, moderately vulnerable due to the power dynamics in the parent-child relationship. The action is deliberate, as the father is consciously directing his son's career path. The harm is moderate: the son may experience stress, lack of autonomy, and potential dissatisfaction with the imposed career. No help is provided; the action is controlling rather than supportive. The father's imposition of his will on his son's career choice is mildly immoral due to the lack of respect for the son's autonomy.	
89	Cook	Someone yells at a server at a restaurant because their meal is late	orig		5.0	4.0	4.0	0.0	-2.0	Typical adult in a service role, moderately vulnerable to verbal abuse.	Deliberate but impulsive action driven by frustration.	Emotional distress and potential embarrassment; no physical harm.	No assistance or benefit provided to the server.	Inconsiderate and unkind behavior causing emotional harm; mildly immoral.	The person yelling	They were frustrated due to the delay in their meal	The server	They were working in a service role and not responsible for the delay	-2.35	The agent is the person yelling at the server. I assume they are frustrated due to the delay in their meal. The patient is the server, a typical adult working in a service role, moderately vulnerable to verbal abuse. The action is deliberate but impulsive, driven by frustration rather than premeditation. The harm is moderate: emotional distress and potential embarrassment for the server, but no physical injury. No help is provided; the action is purely negative. The behavior is inconsiderate and unkind, making it mildly immoral.	
90	Kruepke	I said some bad things about this guy that I work with. He told me some secrets that I promised not to share, but I did anyway. He didn't find out but I was afraid if he did, he might do something crazy.	orig		5.0	6.0	4.0	0.0	-2.0	Typical adult with medium vulnerability to social betrayal.	Deliberate choice to share secrets despite the promise.	Potential damage to reputation and trust, though the colleague is unaware.	No assistance or benefit provided to the colleague.	Clear breach of trust and confidentiality; morally wrong.	The person who shared the secrets	They knowingly broke a promise and shared confidential information	The colleague	The colleague trusted them and expected confidentiality	-2.0	The agent is the person who shared the secrets. They broke a promise and shared confidential information. The patient is the colleague who trusted them with the secrets. The colleague is a typical adult with medium vulnerability to social betrayal. The action was deliberate — the agent chose to share the secrets despite the promise. The harm is moderate: potential damage to the colleague's reputation and trust, though the colleague is unaware. No help was provided. The act is a clear breach of trust and confidentiality, making it morally wrong.	
91	Mickelberg	Person X punched a woman for wearing a hijab because PersonX thinks they should not be allowed in this country.	orig		9.0	9.0	7.0	0.0	-4.0	The woman is highly vulnerable as she is defenseless against an unprovoked attack.	The action was highly intentional, driven by prejudice and deliberate targeting.	The harm is significant: physical injury and emotional trauma from a hate crime.	No help is provided; the action is purely harmful.	This is a clear case of extreme immorality due to the deliberate, prejudiced violence against a defenseless individual.	Person X	They acted out of discriminatory beliefs against hijabs	The woman wearing a hijab	She was targeted for her religious attire and was defenseless	-3.42	The agent is Person X, who committed an act of violence based on discriminatory beliefs. The patient is the woman wearing a hijab, who is targeted for her religious attire. The woman is highly vulnerable in this context, as she is defenseless against an unprovoked physical attack. The action is highly intentional, driven by prejudice and deliberate targeting. The harm is significant: physical injury and emotional trauma from a hate crime. No help is provided; the action is purely harmful. This is a clear case of extreme immorality due to the deliberate, prejudiced violence against a defenseless individual.	
92	Kruepke	When I was a football coach, I was often involved with the moms of the kids on the team. There were many mothers that were attractive and made themselves available. I was very tempted to have sex with one mother who came on to me.	orig		6.0	2.0	0.0	0.0	0.0	The mother is an adult with medium vulnerability, but the kids are more vulnerable due to their age.	The action was contemplated but not carried out, so intentionality is low.	No harm was caused as the action was not executed.	No help was provided in this scenario.	Since the action was only contemplated and not executed, the moral standing is neutral.	The football coach	They were tempted but did not act on the temptation	The mother and indirectly the kids on the team	The mother is an adult capable of consent, but the kids could be affected by the coach's actions	-1.55	The agent is the football coach. The action in question is the temptation to engage in a sexual relationship with a mother of one of the kids on the team. The patient is the mother, who is an adult and presumably capable of consenting, but also the kids and the team who could be indirectly affected by the coach's actions. The mother is of medium vulnerability as an adult, but the kids are more vulnerable due to their age and the potential impact on their team environment. The action was not carried out, so the intentionality is low, and no harm was caused. No help was provided either. The moral standing is neutral since the action was only contemplated and not executed.	
93	Grizzard	Executes a squad of surrendering enemy troops.	orig		10.0	9.0	10.0	0.0	-4.0	Surrendering troops are highly vulnerable and defenseless.	The action is deliberate and premeditated, involving a conscious decision to execute.	The harm is extreme, resulting in the death of multiple individuals.	No assistance or protection is provided; the action is purely harmful.	Deliberate execution of defenseless individuals is a clear violation of human rights and extremely immoral.	The person executing the troops	They made a conscious decision to kill defenseless individuals	The surrendering enemy troops	They were defenseless and had surrendered, expecting to be taken as prisoners	-2.56	The agent is the person executing the surrendering enemy troops. The action is deliberate and premeditated, as it involves the decision to kill individuals who have surrendered. The patients are the surrendering enemy troops, who are highly vulnerable as they have laid down their arms and are defenseless. The harm is extreme: the execution results in the death of multiple individuals. No help is provided; the action is purely destructive. This is a clear violation of the rules of war and basic human rights, making it extremely immoral.	
94	Grizzard	Refuses to fire into a crowd to stop an enemy combatant.	orig		9.0	8.0	3.0	7.0	2.0	The crowd is highly vulnerable as defenseless civilians.	Deliberate decision based on moral or ethical considerations.	Potential harm remains as the enemy combatant is not neutralized, but no immediate harm is caused to the crowd.	Significant help by protecting the crowd from potential harm.	Prioritizing the safety of innocents over neutralizing a threat; morally complex but leans towards moral.	The person refusing to fire	They are likely a soldier or someone with the capability to use a weapon	The enemy combatant and the crowd	The crowd is defenseless and highly vulnerable, while the enemy combatant is a threat	2.133333333	The agent is the person refusing to fire. I assume they are a soldier or someone in a position to use a weapon. The patient is dual: the enemy combatant, who would be stopped, and the crowd, who would be at risk of being harmed. The crowd is highly vulnerable, being defenseless civilians. The action of refusing to fire is deliberate and likely based on moral or ethical considerations. The harm is potential: the enemy combatant remains a threat, but no immediate harm is caused to the crowd. The help is significant: the crowd is protected from potential harm. The refusal to fire into a crowd to avoid collateral damage is a morally complex decision, prioritizing the safety of innocents over neutralizing a threat.	
95	Effron	Pulled his dog's tail	orig		9.0	6.0	4.0	0.0	-2.0	Domesticated dog is defenseless and highly dependent on the owner.	Deliberate physical action with awareness but little planning.	Causes pain and distress, but no lasting or serious injury.	No assistance or protection provided; purely mistreatment.	Deliberate minor cruelty toward a defenseless pet; mildly immoral.	The dog's owner	They had care responsibility for the dog and acted with awareness	The dog	The dog is a domesticated pet unable to defend itself	-2.03428576	The agent is the person who pulled the dog's tail. I assume the dog is a pet under the person's care. Dogs are defenseless animals that depend on their owners and are highly vulnerable. The action appears deliberate — not an accident. The harm is moderate: physical pain and distress, but not serious injury. No help was provided; the action was purely unkind. A low-severity act of cruelty toward a vulnerable animal is mildly immoral.	
96	Effron	Beat up someone smaller than him	orig		7.0	7.0	7.0	0.0	-3.0	A smaller individual is more vulnerable to physical harm.	The action was deliberate, indicating intent to harm.	Physical assault causes significant harm, including pain and injury.	No assistance or protection was provided; the action was purely harmful.	Deliberate physical violence against a more vulnerable person is clearly immoral.	The person who beat up someone smaller	They intentionally used physical violence against a smaller individual	The smaller individual	They were more vulnerable due to their smaller size	-2.896	The agent is the person who beat up someone smaller. I assume the action was intentional and involved physical violence. The patient is the smaller individual who was beaten up. Given their smaller size, they are more vulnerable to physical harm. The action appears deliberate, suggesting some degree of planning or intent. The harm is significant: physical assault causes pain, injury, and emotional distress. No help was provided; the action was purely harmful. Deliberate physical violence against a more vulnerable person is clearly immoral.	
97	Effron	Refused to loan class notes to a friend who had been ill	orig		6.0	6.0	4.0	0.0	-2.0	The friend is moderately vulnerable due to illness and academic need.	Deliberate choice not to help, though not extensively planned.	Moderate harm: academic struggle and stress, but no physical harm.	No assistance or support was provided to the friend.	Refusal to help a friend in need due to illness; mildly immoral.	The person who refused to loan the notes	They knew their friend had been ill and needed the notes	The friend who had been ill	They missed classes due to illness and needed help to catch up	-1.75135136	The agent is the person who refused to loan the class notes. I assume they were aware of their friend's illness and the need for the notes. The patient is the friend who had been ill and missed classes. The friend is moderately vulnerable due to their illness and the need to catch up on missed work. The action appears deliberate — a conscious choice not to help. The harm is moderate: the friend struggles to catch up on their own, but no physical harm. No help was provided. The refusal to assist a friend in need, especially due to illness, is mildly immoral.	
