id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score	split	regression_score	mlp_score
80	Clifford	You see a boy placing a thumbtack sticking up on the chair of another student.	orig		-3	-2	0	0	0	0	-2	The boy's action could cause physical harm to the other student.	The boy's action is unfair and could disrupt the learning environment.	The boy's action does not involve a breach of trust or loyalty.	The boy's action does not involve challenging authority figures.	The boy's action does not involve degrading or disrespecting someone's dignity.	The boy's action does not involve restricting someone's freedom or autonomy.	The scenario is morally unacceptable due to the potential harm and unfairness.	-2.8	train		
81	Clifford	You see a man telling his girlfriend that she must convert to his religion.	orig		-3	-2	-2	-3	-2	-4	-3	The man's demand may cause emotional distress to his girlfriend.	The man's demand is unfair and one-sided.	The man's demand may be seen as a betrayal of his girlfriend's autonomy.	The man is exerting authority over his girlfriend's beliefs.	The man's demand may be seen as degrading to his girlfriend's values.	The man's demand restricts his girlfriend's freedom to choose her own beliefs.	The scenario is morally unacceptable due to the man's coercive and oppressive behavior.	-2.5	train		
82	Effron	Ate all the food before anyone else could have any	orig		-3	-4	-3	0	0	-1	-3	Others are deprived of food, causing potential harm.	Unfairly taking all the food, violating fairness norms.	Breaking trust by taking all the food, betraying others' expectations.	No authority figure is involved, so this norm doesn't apply.	No degradation or desecration of sacred values occurs.	Others' freedom to eat is restricted, but not oppressed.	The scenario is morally unacceptable due to unfairness and harm caused.	-2.05333328	train		
83	Clifford	You see a man staying inside his home with the shades drawn on a rare sunny day.	orig		0	0	0	0	0	1	0	No harm or help is explicitly involved.	No cheating or unfairness is apparent.	No betrayal or loyalty is relevant in this scenario.	No authority is being subverted or obeyed.	No degradation or sanctity is involved.	The man's choice to stay indoors may be seen as exercising his liberty.	The scenario appears neutral, with no moral implications.	-0.1	train		
84	Grizzard	Accidentally wounds a young soldier when firing a warning shot.	orig		-4	0	0	0	0	0	-3	Accidentally wounding a young soldier causes harm.	No cheating or unfairness is involved in this scenario.	No betrayal of trust or loyalty is involved in this scenario.	The scenario does not involve subverting authority.	No degradation or desecration of something sacred is involved.	No oppression or restriction of liberty is involved.	The scenario is morally unacceptable due to the harm caused.	-0.4933333333	train		
85	Effron	Left food out for stray dogs	orig		4	0	0	0	0	0	3	Helping stray dogs by providing food.	No cheating or unfairness involved.	No betrayal or loyalty issues.	No authority figure is being subverted.	No degradation of sanctity or dignity.	No oppression or restriction of liberty.	The act is morally acceptable as it shows kindness and compassion.	2.24864864	train		
86	Mickelberg	Person X scratched their neighbor's expensive car with a key, as he always parked it at the front of PersonX's house.	orig		-4	-3	-2	0	0	0	-3	Person X intentionally caused harm to their neighbor's property.	Person X took unfair advantage of their neighbor's parking habits.	Person X violated the trust and respect expected between neighbors.	No authority figure was involved or defied in this scenario.	No moral or sacred values were directly degraded or violated.	Person X's action did not restrict their neighbor's freedom or autonomy.	The scenario is morally unacceptable due to the intentional harm and unfairness.	-2.41	train		
87	Lotto	The healthy carrier of a contagious and lethal disease is being held in quarantine in hospital. Suddenly the ventilation system breaks down and there is no longer a change of air in the room. The emergency system will shortly be activated and an internal window will be opened. This window opens into a ward in which five patients are being treated for various illnesses.You block the emergency system by pressing a button which will keep the window closed. You know that the healthy carrier will suffocate, but the five patients will be saved from mortal contagion.	orig		1	0	-2	-1	-2	-1	3	The action harms the healthy carrier but helps the five patients.	No cheating or unfairness is involved in this scenario.	The healthy carrier is abandoned to save others, a form of betrayal.	The emergency system is blocked, subverting the authority's plan.	The healthy carrier's life is degraded to save others.	The healthy carrier's freedom is restricted to protect others.	The moral acceptability is high due to the greater good achieved.	-0.36	train		
88	Clifford	You see a father requiring his son to become a commercial airline pilot like him.	orig		-2	-1	-2	-3	-2	-3	-2	Forcing a career choice may harm the son's well-being and happiness.	No cheating is involved, but fairness is compromised by the father's coercion.	The father's actions may be seen as a betrayal of his son's autonomy.	The father is exercising his authority in an unjustified manner.	The son's autonomy and dignity are degraded by the father's demands.	The father's actions restrict the son's freedom to choose his own career path.	The scenario is morally unacceptable due to the father's coercive behavior.	-1.9	train		
89	Cook	Someone yells at a server at a restaurant because their meal is late	orig		-3	0	0	0	-2	0	-2	Yelling at the server causes emotional harm.	No cheating or unfairness is involved in this scenario.	No betrayal of trust or loyalty is involved in this scenario.	The customer is not challenging the server's authority.	The customer's yelling degrades the server's dignity.	The customer's behavior does not restrict the server's freedom.	The scenario is immoral due to the harm and degradation caused to the server.	-2.35	train		
90	Kruepke	I said some bad things about this guy that I work with. He told me some secrets that I promised not to share, but I did anyway. He didn't find out but I was afraid if he did, he might do something crazy.	orig		-3	-4	-5	0	0	0	-3	I potentially harmed my coworker by sharing secrets.	I broke a promise, which is unfair to my coworker.	I betrayed my coworker's trust by sharing secrets.	No authority figure is involved, so this norm doesn't apply.	No degradation or sanctity is involved, so this norm doesn't apply.	No oppression or restriction of liberty is involved, so this norm doesn't apply.	The scenario is immoral due to the betrayal of trust and potential harm to the coworker.	-2.0	train		
91	Mickelberg	Person X punched a woman for wearing a hijab because PersonX thinks they should not be allowed in this country.	orig		-5	-4	0	-3	-4	-5	-4	Person X causes physical harm to the woman.	Person X's action is unfair and unjustified.	Not applicable in this scenario.	Person X's action challenges the authority of laws protecting individual rights.	Person X's action degrades the woman's dignity and autonomy.	Person X's action restricts the woman's freedom and autonomy.	The scenario is extremely immoral due to the harm, unfairness, and oppression involved.	-3.42	train		
92	Kruepke	When I was a football coach, I was often involved with the moms of the kids on the team. There were many mothers that were attractive and made themselves available. I was very tempted to have sex with one mother who came on to me.	orig		-2	-4	-3	0	-2	0	-3	The coach's temptation could harm his relationships and reputation.	The coach's consideration of an affair with a mother is a form of cheating.	The coach's temptation is a betrayal of trust from the mothers and the team.	The coach's position of authority is not being used to exploit the mother.	The coach's consideration of an affair degrades his personal sanctity.	The scenario does not involve oppression or restriction of liberty.	The scenario is immoral due to the consideration of cheating and betrayal.	-1.55	train		
93	Grizzard	Executes a squad of surrendering enemy troops.	orig		-5	0	0	-2	-4	-4	-4	Executing surrendering troops causes harm and death.	No cheating involved, as enemy troops are surrendering.	No betrayal, as enemy troops are not allies.	Authority is being exercised, but in a harmful way.	Human life is being degraded and disrespected.	Surrendering troops are being denied liberty and life.	Executing surrendering troops is a grave violation of human rights and morality.	-2.56	train		
94	Grizzard	Refuses to fire into a crowd to stop an enemy combatant.	orig		5	0	-2	-3	4	4	4	Refusing to fire into a crowd to avoid harming innocent people.	No cheating or unfairness is involved in this scenario.	Refusing to fire may be seen as disloyal to the military or team.	Refusing to follow orders may be seen as subverting authority.	Protecting human life and dignity is a sacred value.	Refusing to fire into a crowd promotes the liberty and safety of innocent people.	This scenario is highly moral due to the prioritization of human life and dignity.	2.133333333	train		
95	Effron	Pulled his dog's tail	orig		-3	0	-2	0	-2	0	-2	Pulled dog's tail, causing harm or discomfort.	No cheating or unfairness involved.	Dog may feel betrayed by its owner's action.	No authority figure involved or subverted.	Dog's well-being or dignity may be degraded.	Dog's freedom or autonomy not directly affected.	Causing harm and discomfort to a vulnerable being.	-2.03428576	train		
96	Effron	Beat up someone smaller than him	orig		-5	0	0	0	-4	-4	-4	The scenario involves intentionally causing harm to someone smaller.	The scenario does not involve cheating or unfairness.	The scenario does not involve betrayal or loyalty.	The scenario does not involve subverting or following authority.	The scenario involves degrading and disrespecting the victim.	The scenario involves oppressing and restricting the victim's freedom.	The scenario is extremely immoral due to the intentional harm and oppression.	-2.896	train		
97	Effron	Refused to loan class notes to a friend who had been ill	orig		-2	2	-1	0	0	0	1	Refusing to lend notes may harm the friend's academic performance.	Not lending notes maintains fairness, as the friend didn't attend classes.	Refusing to help a friend in need may be seen as disloyal.	No authority figure is involved, so this norm doesn't apply.	No degradation or sanctity is involved in this scenario.	No oppression or restriction of liberty is involved.	The scenario is somewhat morally acceptable, as it prioritizes fairness over helping a friend.	-1.75135136	train		
98	Mickelberg	Person X forgot to water their front garden causing the grass to turn brown.	orig		-2	0	0	0	-1	0	-1	The brown grass may harm the aesthetic value of the garden.	No cheating or unfairness is involved in this scenario.	No betrayal or disloyalty is involved in this scenario.	No authority is being subverted in this scenario.	The garden's degradation may be seen as a desecration of a sacred space.	No oppression or restriction of liberty is involved in this scenario.	The scenario is mildly immoral due to the harm caused to the garden's aesthetic value.	0.02	train		
99	Mickelberg	Person X went to the supermarket but couldn't remember what they needed to buy.	orig		0	0	0	0	0	0	0	No harm or help is intended or caused.	No cheating or unfairness is involved.	No betrayal or loyalty is relevant in this scenario.	No authority is being challenged or obeyed.	No degradation or sanctity is involved.	No oppression or restriction of liberty occurs.	The scenario is morally neutral, as it only involves a personal memory lapse.	0.03	train		
100	Kruepke	One day, when I was 7 years old, my sister left her wallet on her dresser. I bumped the dresser and the wallet fell onto the floor. Many coins came out and I picked them up and put them in my pocket.	orig		-1	-3	-2	0	0	0	-2	No harm was intended, but sister might feel loss.	Took advantage of sister's mistake, unfair gain.	Broke trust by taking sister's property.	No authority figure involved, no subversion.	No degradation or disrespect involved.	No oppression or restriction of freedom.	The scenario is morally unacceptable due to unfair gain and broken trust.	-1.83	train		
101	Mickelberg	Person X jumped in to help a friend who was being bitten by a vicious dog, resulting in PersonX being seriously mauled.	orig		5	0	5	0	0	0	4	Person X helped their friend, despite being seriously harmed.	No cheating or unfairness involved in this scenario.	Person X showed loyalty to their friend by helping them.	No authority figure involved or subverted in this scenario.	No degradation or disrespect involved in this scenario.	No oppression or restriction of liberty involved in this scenario.	Person X's selfless act of helping their friend despite personal harm is highly moral.	3.13	train		
102	Effron	Broke a friend's phone and neither apologized or replaced it	orig		-4	-3	-4	0	0	0	-3	Broke friend's phone, causing harm and inconvenience.	Not apologizing or replacing the phone is unfair to the friend.	Breaking trust by not taking responsibility for the action.	No authority figure is involved, so this norm does not apply.	No degradation of a person or sacred entity is involved.	No oppression or restriction of freedom is involved.	The scenario is morally unacceptable due to harm, unfairness, and betrayal.	-2.688	train		
103	Lotto	You are a fireman and you are trying to save five people from inside a burning building. The only window from which the people can be evacuated is jammed and will not open. The fire will reach you in a short time. Outside on the window ledge of the floor below, there is a person who is waiting to be saved.With an axe you smash the window to get out. You know that when it falls, the heavy glass will kill the person on the lower floor, but you and the five people in danger will be able to escape.	orig		3	0	0	0	0	0	3	Smashing the window will harm one person, but help five others escape.	No cheating or unfairness is involved in this life-or-death situation.	No betrayal of trust or loyalty is involved in this scenario.	No authority is being subverted, as the fireman is acting to save lives.	The act of smashing the window does not degrade human life or dignity.	No one's liberty is being oppressed, as the goal is to save lives.	The moral acceptability score is high due to the life-saving intention and the extreme circumstances.	-0.7	train		
104	Effron	Laughed at a friend's joke even though it wasn't funny	orig		1	0	2	0	0	0	2	Laughing at a joke, even unfunny, doesn't harm anyone.	No cheating or unfairness involved in laughing at a joke.	Laughing at a friend's joke shows loyalty and support.	No authority figure is involved or challenged.	No degradation or disrespect is shown to anyone or anything.	No oppression or restriction of freedom is involved.	Laughing at a friend's joke, even unfunny, is a kind and supportive act.	0.583783768	train		
105	Clifford	You see a drunk elderly man offering to have oral sex with anyone in the bar.	orig		-4	0	0	-3	-5	-2	-3	The drunk elderly man's offer may cause emotional distress or harm to others.	No cheating or unfairness is involved in this scenario.	No betrayal of trust or loyalty is involved in this scenario.	The man's behavior may be seen as subverting social norms and authority.	The man's offer is degrading and violates social norms of decency.	The man's behavior may be seen as oppressive or coercive to others.	The scenario is morally unacceptable due to the potential harm, degradation, and subversion of authority.	-3.4	train		
106	Mickelberg	Person X offered to pay off the debts of their friend, who had been struggling to pay the bills since their partner died.	orig		5	0	4	0	3	0	4	Person X helps their friend by paying off debts.	No cheating or unfairness involved in the act.	Person X shows loyalty to their friend in a time of need.	No authority figure is involved or subverted.	The act is respectful and preserves the friend's dignity.	The act does not restrict or oppress anyone's freedom.	The scenario is highly moral due to the selfless act of kindness.	3.41	train		
107	Effron	Gave out toys to the Children's Hospital at Christmas	orig		5	0	0	0	4	4	4	Helping children in need by giving them toys.	No cheating or unfairness involved in this act.	No betrayal or disloyalty to anyone in this act.	No subversion of authority, following hospital rules.	Respecting the dignity and well-being of children.	No oppression, promoting joy and freedom for children.	This act is highly moral, showing kindness and compassion.	2.925	train		
108	Grizzard	Threatens to withhold aid from a local village to gain intelligence.	orig		-4	-3	-4	0	0	-2	-3	Threatening to withhold aid causes harm to the village.	Using aid as leverage is unfair and exploitative.	Threatening to withhold aid breaches trust and loyalty.	No clear subversion or challenge to authority.	No clear degradation or disrespect for human dignity.	Threatening to withhold aid restricts the village's autonomy.	The scenario is morally unacceptable due to harm, unfairness, and breach of trust.	-1.16	train		
109	Effron	Lied to his girlfriend about not having other dates	orig		-3	-4	-4	0	-2	0	-3	Lying causes emotional harm to the girlfriend.	Lying is unfair to the girlfriend, who deserves honesty.	Lying is a betrayal of trust in the relationship.	No authority figure is involved, so this norm doesn't apply.	Lying degrades the relationship and the girlfriend's trust.	No oppression or restriction of liberty is involved.	Lying to a romantic partner is a serious moral violation.	-2.984	train		
110	Effron	Worked all summer to give his parents a trip to Hawaii	orig		5	0	5	0	0	0	4	The scenario involves helping parents, which is a positive act.	No cheating or unfairness is involved in this scenario.	The scenario demonstrates loyalty to parents.	No authority is being challenged or subverted.	The scenario does not involve degradation or disrespect.	No oppression or restriction of liberty is involved.	The scenario is highly moral due to the selfless act of helping parents.	3.13684216	train		
111	Clifford	You see a girl taking all the Halloween candy from a bowl, leaving none for others.	orig		-3	-4	0	0	0	0	-3	The girl's action harms others by depriving them of candy.	The girl cheats others by taking all the candy, violating fairness.	No betrayal of trust or loyalty is involved in this scenario.	No authority figure is involved, so no subversion occurs.	No degradation or desecration of something sacred occurs.	No oppression or restriction of freedom occurs.	The scenario is immoral because it involves cheating and harming others.	-2.5	train		
112	Mickelberg	Person X ate their lunch and went back to work with food stuck in their teeth.	orig		0	0	0	0	0	0	0	No harm or help is intended or caused.	No cheating or unfairness is involved.	No betrayal or loyalty is relevant.	No authority is challenged or obeyed.	No degradation or sanctity is involved.	No oppression or liberty is relevant.	The scenario is morally neutral, as it only involves a personal issue.	-0.02	train		
113	Clifford	You see a woman commenting out loud about how fat another woman looks in her jeans.	orig		-4	0	0	0	-3	-2	-3	The woman's comment causes emotional harm to the other woman.	No cheating or unfairness is involved in this scenario.	No betrayal or loyalty is involved in this scenario.	No authority figure is involved or subverted in this scenario.	The woman's comment degrades the other woman's self-worth.	The woman's comment restricts the other woman's freedom from judgment.	The scenario is morally unacceptable due to the harm and degradation caused.	-3.0	train		
114	Kruepke	When I was a sophomore in college I was at a party and got involved in a situation where I had the opportunity to have sex with multiple partners. I had sex with all three of them in the same night. There were no emotional or physical repercussions after.	orig		0	0	0	0	-1	0	0	No harm or help was involved in this scenario.	No cheating or unfairness was involved, as no committed relationships were mentioned.	No betrayal or disloyalty was involved, as no commitments were broken.	No authority was defied or subverted in this scenario.	The scenario may be seen as degrading by some, but not explicitly.	No oppression or restriction of liberty was involved.	The scenario is morally neutral, as no harm or unfairness was involved.	-1.6	train		
115	Kruepke	I used to work as a legal assistant. I lied to clients all of the time, the attorney I worked for lied all the time too. We just lie to our clients so things will work out the best for us.	orig		-4	-5	-5	-3	-4	-3	-4	Lying to clients causes them harm and mistrust.	Lying to clients is a form of cheating and unfairness.	Lying to clients is a betrayal of their trust and loyalty.	Lying to clients undermines the authority of the legal profession.	Lying to clients degrades the sanctity of the attorney-client relationship.	Lying to clients restricts their freedom to make informed decisions.	This scenario is extremely immoral due to the intentional harm and betrayal of clients.	-2.8	train		
116	Effron	Got into a fight in a bar with an acquaintance	orig		-4	0	-2	0	0	0	-3	Physical fight causing harm to the acquaintance	No cheating involved, just a physical altercation	Acquaintance may feel betrayed by the fight	No authority figure involved or subverted	No degradation of a person or sanctity involved	No oppression or restriction of liberty involved	The scenario is morally unacceptable due to harm caused	-1.6	train		
117	Clifford	You see a girl telling a boy that his older brother is much more attractive than him.	orig		-2	0	-1	0	-1	0	-2	The girl's comment may hurt the boy's feelings.	No cheating or unfairness is involved in this scenario.	The girl's comment may be seen as a betrayal of the boy's trust.	No authority figure is involved or challenged in this scenario.	The girl's comment may degrade the boy's self-worth.	No oppression or restriction of freedom is involved in this scenario.	The scenario is morally unacceptable due to the potential harm and degradation caused.	-1.4	train		
118	Effron	Failed to return a borrowed book for months	orig		-2	-3	-2	0	0	0	-2	Failing to return a book causes inconvenience to others.	Not returning a book is unfair to the lender and others who may need it.	Breaking a promise to return a book is a breach of trust.	Not applicable, as there is no authority figure involved.	Not applicable, as there is no moral or sacred value involved.	Not applicable, as there is no restriction of freedom involved.	The scenario is morally unacceptable due to the unfairness and breach of trust.	-0.82352944	train		
119	Effron	Paid for a friend's dinner	orig		4	0	3	0	0	0	3	Helping a friend by paying for their dinner.	No cheating or unfairness involved.	Act of loyalty towards a friend.	No authority figure involved.	No degradation or sanctity issues.	No oppression or restriction of liberty.	A kind and selfless act towards a friend.	2.30857144	train		
120	Clifford	You see a woman throwing her cat across the room for scratching the furniture.	orig		-5	0	-3	0	-4	-3	-4	The woman is causing harm to the cat.	No cheating or unfairness is involved.	The woman is betraying the trust of her pet.	No authority figure is involved.	The woman is degrading the dignity of the cat.	The cat is being oppressed and denied freedom.	The scenario is morally unacceptable due to harm and degradation.	-3.2	train		
121	Kruepke	I was playing basketball near a beach. I was hanging out all day when I noticed that there was a basketball that no one had claimed. There was no one around so I took the basketball.	orig		0	-2	0	0	0	0	0	No harm or help is done to anyone.	Taking an unclaimed ball may be seen as unfair.	No one is betrayed or shown loyalty.	No authority is defied or obeyed.	No degradation or sanctity is involved.	No one's liberty is oppressed or promoted.	The scenario is somewhat morally questionable due to the unfairness of taking an unclaimed ball.	-0.85	train		
122	Clifford	You see the coach's wife sponsoring a bake sale for her husband's rival team.	orig		2	-1	-3	0	0	0	-2	Helping a rival team, but not directly harming her husband's team.	Not cheating, but potentially unfair to her husband's team.	Acting against her husband's interests, a form of betrayal.	Not subverting authority, as she's not in a position of power.	No degradation or sanctity issues involved.	No oppression or restriction of liberty involved.	Morally questionable due to potential betrayal and unfairness.	-1.5	train		
123	Kruepke	When my mother was dying she wanted to go out to lunch with me and a bunch of her friends. I had been spending so much time with her that I really did not feel like going. So I told her that I needed some space for myself.	orig		-2	0	-3	0	0	0	-2	Telling mother no may cause emotional harm.	No cheating or unfairness involved.	Not prioritizing mother's wishes may be seen as disloyal.	No authority figure is involved.	No degradation or disrespect involved.	No oppression or restriction of freedom involved.	The scenario is morally questionable due to potential harm and disloyalty.	-2.07	train		
124	Mickelberg	Person X was running late so they drove to work rather than taking the bus.	orig		-1	0	0	0	0	0	0	Driving instead of taking the bus may harm the environment, but not directly harm others.	No cheating or unfairness is involved in this scenario.	No betrayal or disloyalty is involved in this scenario.	No authority is being subverted or challenged in this scenario.	No degradation or desecration is involved in this scenario.	No oppression or restriction of liberty is involved in this scenario.	The scenario is morally neutral, as it's a personal choice with no direct harm or benefit to others.	0.4	train		
125	Clifford	You see a girl laughing at another student forgetting her lines at a school play.	orig		-2	0	0	0	-1	0	-1	The girl's laughter may cause emotional harm to the student who forgot her lines.	No cheating or unfairness is involved in this scenario.	The girl's laughter does not involve betrayal of trust or loyalty.	No authority figure is involved or challenged in this scenario.	The girl's laughter may degrade the student who forgot her lines, but not in a sacred context.	No oppression or restriction of liberty is involved in this scenario.	The scenario is mildly immoral due to the potential harm caused by the girl's laughter.	-2.4	train		
126	Effron	Scratched a stranger's car with his key	orig		-4	-3	0	0	0	0	-3	Scratching a stranger's car causes harm to their property.	The action is unfair to the car's owner, who did not deserve the damage.	No loyalty or trust is involved in this scenario.	No authority figure is involved or defied in this scenario.	No degradation or disrespect to a person or group is involved.	No oppression or restriction of freedom is involved.	The scenario is immoral because it causes harm to someone's property without their consent.	-3.152	train		
127	Mickelberg	Person X set up a cat trap because they love to catch and torture animals.	orig		-5	0	0	0	-5	-5	-4	Person X intentionally causes harm to animals.	No cheating or unfairness is involved in this scenario.	No betrayal or loyalty is involved in this scenario.	No authority is being subverted or obeyed in this scenario.	Animals are being degraded and treated without sanctity.	Animals are being oppressed and denied liberty.	This scenario is extremely immoral due to the intentional harm and degradation of animals.	-3.7	train		
128	Clifford	You see a zoo trainer jabbing a dolphin to get it to entertain his customers.	orig		-5	-2	-4	-3	-4	-4	-4	The trainer is causing harm to the dolphin.	The trainer is not cheating, but being unfair to the dolphin.	The trainer is betraying the dolphin's trust.	The trainer is misusing their authority over the dolphin.	The trainer is degrading the dolphin's dignity.	The trainer is oppressing the dolphin's freedom.	The scenario is extremely immoral due to the harm and betrayal inflicted on the dolphin.	-3.2	train		
129	Lotto	You have been invited to the birthday party of someone you do not know well. You are not really very keen on going, or on spending a lot of money on a present, because he/she is not a close friend. You find a brand-name jumper in excellent condition in a second-hand shop and buy it. On opening the present, the receiver seems embarrassed by such a generous big present.You smile satisfied and reassure the receiver, saying that an important occasion like his/her birthday deserves a special present. You know that he/she will then think of you as a generous person.	orig		4	1	0	0	0	0	3	The scenario involves helping the birthday person with a generous gift.	The scenario does not involve cheating, but rather a clever and fair way to give a gift.	There is no betrayal or disloyalty in the scenario.	The scenario does not involve subverting or challenging authority.	The scenario does not involve degrading or disrespecting anyone or anything.	The scenario does not involve oppressing or restricting anyone's freedom.	The scenario is morally acceptable because it involves a generous and thoughtful act.	1.02	train		
130	Kruepke	A little while ago I had to go to the DMV to get my drivers license renewed. They told me that I had to take a written test in which I had three attempts to pass. I failed the first two times so I cheated on the final attempt.	orig		0	-5	0	-3	0	0	-3	No harm or help is directly caused to others.	Cheating on the test is an extreme act of unfairness.	No betrayal or loyalty is involved in this scenario.	Cheating on the test subverts the authority of the DMV.	No degradation or sanctity is involved in this scenario.	No oppression or restriction of liberty is involved.	Cheating on the test is a morally unacceptable behavior.	-2.15	train		
131	Mickelberg	Person X regularly volunteers in a town that was exposed to radiation, despite the doctor warning them that their own health would be at risk.	orig		5	0	4	-1	3	2	4	Person X is helping the town despite risking their own health.	No cheating or unfairness is involved in this scenario.	Person X is showing loyalty to the town by continuing to volunteer.	Person X is not subverting authority, but rather ignoring the doctor's warning.	Person X's actions show respect for human life and well-being.	No oppression is involved, and Person X is exercising their freedom to choose.	Person X's selfless act despite personal risk makes this scenario highly moral.	1.93	train		
132	Cook	Someone tells a dirty joke at a holocaust memorial	orig		-4	0	-3	-2	-5	0	-4	The joke causes emotional harm to those present.	No cheating or unfairness is involved.	The joke betrays the solemnity and respect of the memorial.	The joke subverts the authority of the memorial's purpose.	The joke degrades the sanctity of the memorial and its significance.	No oppression or restriction of liberty is involved.	The scenario is extremely immoral due to the harm and degradation caused.	-2.72	train		
133	Lotto	You are a worker specialised in manoeuvring a crane and are part of a work team that is loading containers into a ship. You have just lifted a container from the wharf when you realise that the cable of the crane is breaking and that the container is about to crash down on you and the other workers in the team.You move the arm of the crane away from you. You know that the container will fall in an area in which there are two workers who will die crushed, but you and the other will be saved.	orig		-3	0	-2	0	0	0	-2	The crane operator chooses to save themselves and one worker, but harms two others.	No cheating or unfairness is involved in the operator's decision.	The operator prioritizes their own life and one other's over the lives of two colleagues.	The operator does not defy any authority or rules in their decision.	The operator's decision does not involve degrading or disrespecting human life.	The operator's decision does not involve oppressing or restricting anyone's freedom.	The scenario is morally complex, but the operator's decision to prioritize their own life and one other's over two others is morally questionable.	-1.38	train		
134	Clifford	You see someone driving around in a dirty car that has not been washed recently.	orig		0	0	0	0	0	0	0	Not harming or helping anyone directly.	No cheating or unfairness involved.	No betrayal or loyalty issues.	No authority figure is involved or disobeyed.	No degradation of people or sacred values.	No oppression or restriction of freedom.	The scenario is morally neutral, as it's a personal choice.	-0.2	train		
135	Mickelberg	Person X was on a crowded bus and would not give up their seat to a pregnant woman when asked to.	orig		-3	-2	0	0	-2	-1	-3	Person X's refusal to give up their seat causes harm to the pregnant woman.	Person X is not playing fair by not giving up their seat to someone in greater need.	No betrayal or loyalty is involved in this scenario.	No authority figure is involved in this scenario.	The pregnant woman's dignity is degraded by Person X's refusal.	The pregnant woman's freedom to sit is restricted by Person X's actions.	The scenario is immoral because Person X prioritizes their own comfort over the needs of a vulnerable person.	-2.23	train		
136	Clifford	You see a woman having intimate relations with a recently deceased loved one.	orig		0	0	-2	0	-4	1	-3	The woman is not harming anyone, but also not helping the deceased.	The woman is not cheating on anyone, as the deceased is not a living partner.	The woman's actions could be seen as a betrayal of the deceased's memory or loved ones.	The woman's actions do not subvert any authority or institution.	The woman's actions could be seen as degrading the sanctity of death and the deceased's body.	The woman's actions do not oppress anyone, but may be seen as an exercise of her own liberty.	The scenario is morally unacceptable due to the degradation of the deceased's body and potential betrayal of loved ones.	-3.3	train		
137	Lotto	You are driving your motor boat in a small bay when your attention is drawn to cries of help from five people who are drowning at the end of a very narrow channel which is right in front of you. Between you and the people who are drowning, to one side of the channel, is another person who is calmly swimming.You steer towards the end of the channel at high speed. You know that the person who is swimming will be hit by the motorboat, but the other five people will be saved.	orig		3	0	0	0	0	0	3	The scenario involves harming one person to help five others.	No cheating or unfairness is involved in the decision.	No betrayal or loyalty is involved in the decision.	No authority is being subverted or obeyed in the decision.	No degradation or sanctity is involved in the decision.	No oppression or restriction of liberty is involved in the decision.	The moral acceptability score is high due to the greater good achieved.	-1.11	train		
138	Clifford	You see a woman spray painting graffiti across the steps of the local courthouse.	orig		-2	-3	0	-4	-3	0	-3	The graffiti may cause damage to public property, harming the community.	The woman is not following the rules, cheating the system.	No clear betrayal of trust or loyalty in this scenario.	The woman is defying authority by vandalizing public property.	The courthouse is a symbol of justice, and the graffiti degrades its sanctity.	No clear oppression or restriction of liberty in this scenario.	The scenario is morally unacceptable due to the harm caused to public property and defiance of authority.	-3.3	train		
139	Clifford	You see a head cheerleader booing her high school's team during a homecoming game.	orig		-2	0	-4	0	-3	0	-3	The cheerleader's booing may harm the team's morale.	No cheating or unfairness is involved in this scenario.	The cheerleader's booing is a betrayal of her team's trust.	The cheerleader's actions do not challenge authority figures.	The cheerleader's behavior degrades the team's spirit and sanctity of the game.	The cheerleader's actions do not oppress or restrict others' freedom.	The scenario is morally unacceptable due to the cheerleader's disloyal and harmful behavior.	-2.3	train		
140	Mickelberg	Person X forgot to turn off the bath water, flooding the house.	orig		-3	0	0	0	-1	0	-2	The flooding causes harm to the house and its occupants.	No cheating or unfairness is involved in this scenario.	No betrayal of trust or loyalty is involved in this scenario.	No authority is being subverted or challenged in this scenario.	The flooding may cause degradation of the home, but no sanctity is involved.	No oppression or restriction of liberty is involved in this scenario.	The scenario is morally unacceptable due to the harm caused by the flooding.	-0.41	train		
141	Lotto	You have a small horse stud in Australia. You are heading towards the nearby town in a four-wheel drive together with a new client when you notice a bolting wild horse which is galloping like mad. It is heading towards three people who are walking near the edge of a gorge and soon it will run into them. You immediately follow and are able to catch up with it. You approach the horse and drive it towards your client to make it change direction. You know that the client will be trampled by the horse and will be killed, but the other three people will be saved.	orig		1	0	-2	0	0	0	2	The scenario involves harming one person to help three others.	No cheating or unfairness is involved in the scenario.	The protagonist betrays the client's trust to save three strangers.	No authority is involved or subverted in the scenario.	No degradation or sanctity is involved in the scenario.	No oppression or restriction of liberty is involved in the scenario.	The scenario is morally acceptable due to the greater good achieved.	-1.57	train		
