id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
92	Kruepke	When I was a football coach, I was often involved with the moms of the kids on the team. There were many mothers that were attractive and made themselves available. I was very tempted to have sex with one mother who came on to me.	orig		8.0	Prudence is reflected in resisting temptation and considering long-term consequences.	5.0	Justice is not directly related to this scenario, as it involves a personal moral dilemma.	6.0	Fortitude is not highly reflected, as the scenario does not involve facing a significant challenge or adversity.	9.0	Temperance is highly reflected in resisting the temptation of an attractive mother.	3.0	The scenario is morally acceptable due to the coach's self-control and resistance to temptation.	-1.55	train		
93	Grizzard	Executes a squad of surrendering enemy troops.	orig		0.0	Lack of prudence in executing surrendering troops, ignoring moral principles.	0.0	Injustice in killing those who have surrendered, violating moral righteousness.	0.0	No courage or strength in upholding moral convictions, rather a display of brutality.	0.0	No moderation or self-control, giving in to violent desires.	-4.0	Executing surrendering troops is extremely immoral, violating multiple virtues.	-2.56	train		
94	Grizzard	Refuses to fire into a crowd to stop an enemy combatant.	orig		8.0	Prudence is reflected in considering the consequences of firing into a crowd.	9.0	Justice is reflected in prioritizing the safety of innocent civilians.	9.0	Fortitude is reflected in standing by moral principles despite pressure to act otherwise.	5.0	Temperance is not directly related to this scenario.	4.0	The action is highly moral due to its consideration for human life and moral principles.	2.133333333	train		
95	Effron	Pulled his dog's tail	orig		2.0	Lacking prudence, as it may harm the dog and damage relationship.	1.0	Unjust to the dog, causing unnecessary pain and suffering.	5.0	No courage or strength is required for this action.	2.0	Lacking self-control, giving in to impulsive behavior.	-3.0	Overall, the action is immoral due to its harmful and unjust nature.	-2.03428576	train		
96	Effron	Beat up someone smaller than him	orig		0.0	Lacking prudence, as it prioritizes personal gain over moral principles.	0.0	Contrary to justice, as it involves unfair treatment and harm to another person.	0.0	Does not reflect fortitude, as it takes advantage of a weaker person.	0.0	Lacking temperance, as it involves uncontrolled aggression and violence.	-4.0	Extremely immoral, as it involves harming and taking advantage of someone weaker.	-2.896	train		
97	Effron	Refused to loan class notes to a friend who had been ill	orig		5.0	Prudence is neutral as it's a personal decision.	2.0	Justice is not highly reflected as friend's need is not considered.	5.0	Fortitude is not required in this scenario.	5.0	Temperance is not directly related to this action.	1.0	Morally acceptable as it's a personal property, but not highly moral.	-1.75135136	train		
98	Mickelberg	Person X forgot to water their front garden causing the grass to turn brown.	orig		2.0	Lack of prudence in neglecting garden maintenance.	5.0	No impact on fairness or moral righteousness.	5.0	No courage or strength required in this action.	3.0	Lack of self-control in neglecting responsibilities.	-1.0	Neglecting responsibilities is somewhat immoral.	0.02	train		
99	Mickelberg	Person X went to the supermarket but couldn't remember what they needed to buy.	orig		2.0	Lack of planning and forgetfulness shows imprudence.	5.0	No impact on fairness or moral righteousness in relationships or society.	5.0	No courage or strength is required in this everyday situation.	5.0	No self-control or moderation is required in this scenario.	0.0	Forgetfulness is not morally commendable, but not immoral either.	0.03	train		
100	Kruepke	One day, when I was 7 years old, my sister left her wallet on her dresser. I bumped the dresser and the wallet fell onto the floor. Many coins came out and I picked them up and put them in my pocket.	orig		0.0	Lack of consideration for sister's property, impulsive action.	0.0	Taking sister's coins without permission, unfair and unjust.	5.0	No courage or strength shown in upholding moral convictions.	0.0	Impulsive and selfish desire for coins, lack of self-control.	-3.0	Scenario shows a lack of moral principles and self-control.	-1.83	train		
101	Mickelberg	Person X jumped in to help a friend who was being bitten by a vicious dog, resulting in PersonX being seriously mauled.	orig		5.0	Prudence is not the primary virtue in this scenario.	8.0	The action promotes fairness by protecting the friend from harm.	10.0	The action shows great courage in the face of danger.	5.0	The action is not about moderation or self-control.	4.0	The action is highly moral due to its courageous and just nature.	3.13	train		
102	Effron	Broke a friend's phone and neither apologized or replaced it	orig		0.0	Lack of prudence in not considering consequences of actions.	0.0	Injustice to friend by not taking responsibility for damages.	0.0	No courage or strength shown in avoiding responsibility.	0.0	Lack of self-control in not apologizing or making amends.	-4.0	Extremely immoral due to complete lack of virtues.	-2.688	train		
103	Lotto	You are a fireman and you are trying to save five people from inside a burning building. The only window from which the people can be evacuated is jammed and will not open. The fire will reach you in a short time. Outside on the window ledge of the floor below, there is a person who is waiting to be saved.With an axe you smash the window to get out. You know that when it falls, the heavy glass will kill the person on the lower floor, but you and the five people in danger will be able to escape.	orig		8.0	Prudence is reflected in weighing lives and making a difficult decision.	2.0	Justice is compromised by sacrificing one person to save five.	9.0	Fortitude is shown in taking a difficult and courageous action.	5.0	Temperance is not directly relevant in this life-or-death situation.	2.0	The moral acceptability is high due to the greater good, but not without moral cost.	-0.7	train		
104	Effron	Laughed at a friend's joke even though it wasn't funny	orig		5.0	Prudence is not relevant in this scenario as it's a social interaction.	5.0	Justice is not directly related to this action, as it's a personal interaction.	5.0	Fortitude is not required in this scenario, as there's no challenge or adversity.	4.0	Temperance is not directly related, but laughing at a bad joke might be seen as a lack of self-control.	1.0	The action is morally neutral, as it's a minor white lie to avoid hurting a friend's feelings.	0.583783768	train		
105	Clifford	You see a drunk elderly man offering to have oral sex with anyone in the bar.	orig		0.0	Lack of prudence in ignoring social norms and potential harm.	0.0	Injustice to others in the bar, disrespecting their boundaries.	0.0	No courage or strength in upholding moral convictions.	0.0	Complete lack of self-control and moderation in desires.	-4.0	Extremely immoral due to disrespect and potential harm.	-3.4	train		
106	Mickelberg	Person X offered to pay off the debts of their friend, who had been struggling to pay the bills since their partner died.	orig		8.0	Prudence is reflected in considering the friend's struggles and offering a practical solution.	9.0	Justice is reflected in helping a friend in need, promoting fairness and moral righteousness.	3.0	Fortitude is not highly reflected as the action doesn't require courage in the face of adversity.	7.0	Temperance is reflected in the self-control and moderation shown in offering financial help.	3.0	The scenario is highly moral due to the demonstration of justice, prudence, and temperance.	3.41	train		
107	Effron	Gave out toys to the Children's Hospital at Christmas	orig		8.0	Prudence is reflected in the thoughtful consideration of the children's needs.	9.0	Justice is reflected in the fairness of bringing joy to all children in the hospital.	6.0	Fortitude is not highly reflected as no significant challenge or adversity is faced.	8.0	Temperance is reflected in the moderation of resources to bring joy to others.	3.0	The scenario is highly moral due to its thoughtful and fair consideration of others' needs.	2.925	train		
108	Grizzard	Threatens to withhold aid from a local village to gain intelligence.	orig		2.0	Threatening to withhold aid lacks practical wisdom, prioritizing self-interest over villagers' needs.	0.0	Withholding aid to gain intelligence is unfair and exploitative, violating villagers' rights.	0.0	Threatening villagers requires no courage or moral conviction, rather a lack of empathy.	1.0	Using aid as leverage indicates a lack of self-control and moderation in desires.	-4.0	This scenario is highly immoral, prioritizing self-interest over villagers' well-being and basic rights.	-1.16	train		
109	Effron	Lied to his girlfriend about not having other dates	orig		0.0	Lying shows lack of practical wisdom in relationships.	0.0	Lying is unfair and damages trust in the relationship.	0.0	No courage or strength is shown in upholding moral convictions.	0.0	Lying is an excess of self-deception and lack of self-control.	-4.0	Lying is extremely immoral and damages relationships.	-2.984	train		
110	Effron	Worked all summer to give his parents a trip to Hawaii	orig		8.0	Practical wisdom in saving and planning for a trip.	9.0	Fairness in rewarding parents' efforts with a trip.	5.0	No notable courage or strength required in this action.	8.0	Moderation in desires, prioritizing parents' happiness.	3.0	Overall, a highly moral action showing care and responsibility.	3.13684216	train		
111	Clifford	You see a girl taking all the Halloween candy from a bowl, leaving none for others.	orig		0.0	Lack of consideration for others' feelings and needs.	0.0	Unfairly taking all the candy, depriving others of their share.	5.0	No courage or strength is required for this selfish action.	0.0	Complete lack of self-control and moderation in desires.	-4.0	The action is extremely selfish and unfair, lacking moral principles.	-2.5	train		
112	Mickelberg	Person X ate their lunch and went back to work with food stuck in their teeth.	orig		2.0	Lack of self-awareness and attention to personal appearance.	5.0	No impact on fairness or moral righteousness in relationships or society.	5.0	No courage or strength required in this everyday situation.	3.0	Lack of self-control in personal grooming and hygiene.	-1.0	Mildly immoral due to lack of self-awareness and self-control.	-0.02	train		
113	Clifford	You see a woman commenting out loud about how fat another woman looks in her jeans.	orig		0.0	Lacking practical wisdom, the action is hurtful and unkind.	0.0	The action is unfair and unjust, causing harm to another person.	0.0	No courage or strength is shown in upholding moral convictions.	0.0	The action lacks self-control and moderation in speech.	-4.0	The scenario is extremely immoral due to the harm caused to another person.	-3.0	train		
114	Kruepke	When I was a sophomore in college I was at a party and got involved in a situation where I had the opportunity to have sex with multiple partners. I had sex with all three of them in the same night. There were no emotional or physical repercussions after.	orig		2.0	Lack of consideration for potential consequences and moral principles.	6.0	No apparent harm or injustice to others, but potential exploitation.	5.0	No evident courage or strength in upholding moral convictions.	1.0	Lack of self-control and moderation in desires and pleasures.	-2.0	The scenario reflects a lack of prudence, temperance, and potential injustice.	-1.6	train		
115	Kruepke	I used to work as a legal assistant. I lied to clients all of the time, the attorney I worked for lied all the time too. We just lie to our clients so things will work out the best for us.	orig		0.0	Lying to clients lacks practical wisdom and moral principles.	0.0	Lying to clients is unfair and unjust, violating clients' trust.	0.0	Lying requires no courage or moral conviction, rather a lack thereof.	0.0	Lying is an excess of deceit and a lack of self-control.	-4.0	This scenario is extremely immoral, violating multiple virtues.	-2.8	train		
116	Effron	Got into a fight in a bar with an acquaintance	orig		2.0	Lack of prudence in handling conflict and relationships.	1.0	Injustice towards the acquaintance and others in the bar.	3.0	Fortitude is not demonstrated in a positive way, rather recklessness.	1.0	Lack of self-control and moderation in emotions and actions.	-3.0	The scenario is morally unacceptable due to the lack of virtues.	-1.6	train		
117	Clifford	You see a girl telling a boy that his older brother is much more attractive than him.	orig		2.0	Lacking prudence, as it may hurt the boy's feelings.	1.0	Unjust, as it compares and demeans the boy.	5.0	No courage or strength is required for this action.	2.0	Lacking self-control, as it's an unnecessary hurtful comment.	-3.0	Immoral, as it's hurtful and unjust.	-1.4	train		
118	Effron	Failed to return a borrowed book for months	orig		2.0	Lack of prudence in managing borrowed items.	1.0	Injustice to the lender and potential users of the book.	5.0	No courage or strength is required in this scenario.	2.0	Lack of self-control in returning the borrowed book.	-2.0	Immoral behavior due to lack of prudence, justice, and temperance.	-0.82352944	train		
119	Effron	Paid for a friend's dinner	orig		5.0	Prudence is neutral as it's a kind act, but not necessarily wise or foolish.	8.0	Justice is reflected as it's a fair and kind act towards a friend.	2.0	Fortitude is not particularly reflected as it's not a challenging or courageous act.	7.0	Temperance is reflected as it shows self-control and moderation in spending.	3.0	The scenario is morally acceptable as it shows kindness and fairness.	2.30857144	train		
120	Clifford	You see a woman throwing her cat across the room for scratching the furniture.	orig		0.0	Lack of prudence in handling the situation	0.0	Injustice towards the cat, violating its rights	0.0	No courage or strength in upholding moral convictions	0.0	Lack of self-control and moderation in emotions	-4.0	Extremely immoral due to cruelty and lack of virtues	-3.2	train		
121	Kruepke	I was playing basketball near a beach. I was hanging out all day when I noticed that there was a basketball that no one had claimed. There was no one around so I took the basketball.	orig		6.0	Taking an unclaimed ball shows some practical wisdom, but lacks consideration for potential owner.	2.0	Taking something that doesn't belong to you is unfair, even if unclaimed.	5.0	No courage or strength is required in this action.	4.0	Desire for the ball is not excessive, but self-control is lacking.	-1.0	The action is somewhat immoral due to lack of consideration for others.	-0.85	train		
122	Clifford	You see the coach's wife sponsoring a bake sale for her husband's rival team.	orig		8.0	Prudence is reflected in the coach's wife's decision to support the rival team, showing practical wisdom.	3.0	Justice is not highly reflected, as the action may be seen as unfair to her husband's team.	2.0	Fortitude is not highly reflected, as the action does not require courage or strength.	7.0	Temperance is reflected in the coach's wife's self-control, not letting personal interests influence her actions.	2.0	The scenario is morally acceptable, showing the coach's wife's ability to separate personal and moral obligations.	-1.5	train		
123	Kruepke	When my mother was dying she wanted to go out to lunch with me and a bunch of her friends. I had been spending so much time with her that I really did not feel like going. So I told her that I needed some space for myself.	orig		2.0	Lacking prudence, prioritizing personal needs over mother's emotional needs.	2.0	Unfair to mother, prioritizing personal desires over her wishes.	2.0	Lacking courage to face emotional challenge, prioritizing personal comfort.	1.0	Excessive self-indulgence, prioritizing personal needs over mother's feelings.	-3.0	Immoral, prioritizing personal desires over mother's emotional needs.	-2.07	train		
124	Mickelberg	Person X was running late so they drove to work rather than taking the bus.	orig		6.0	Driving to work instead of taking the bus shows some practical wisdom.	5.0	No apparent impact on fairness or moral righteousness.	5.0	No courage or strength required in this action.	3.0	Driving instead of taking the bus may indicate a lack of self-control.	1.0	The action is somewhat morally acceptable due to practical wisdom.	0.4	train		
125	Clifford	You see a girl laughing at another student forgetting her lines at a school play.	orig		2.0	Laughing at someone's mistake shows lack of prudence in considering others' feelings.	1.0	The action is unfair and unsympathetic towards the student who forgot her lines.	5.0	No courage or strength is required to laugh at someone's mistake.	2.0	The girl's laughter is an excessive and uncontrolled reaction.	-2.0	The action is morally unacceptable due to its lack of empathy and kindness.	-2.4	train		
126	Effron	Scratched a stranger's car with his key	orig		0.0	Lack of prudence in considering consequences of actions.	0.0	Injustice to the stranger's property and rights.	0.0	No courage or strength in upholding moral convictions.	0.0	Lack of self-control and moderation in desires.	-4.0	Extremely immoral due to lack of virtues.	-3.152	train		
127	Mickelberg	Person X set up a cat trap because they love to catch and torture animals.	orig		0.0	Lacking prudence, as it prioritizes cruel desires over moral principles.	0.0	Contrary to justice, as it inflicts harm and suffering on innocent animals.	5.0	Not related to fortitude, as it doesn't involve courage or moral conviction.	0.0	Contrary to temperance, as it indulges in cruel desires and lacks self-control.	-4.0	Extremely immoral, as it prioritizes cruelty over moral principles and animal welfare.	-3.7	train		
128	Clifford	You see a zoo trainer jabbing a dolphin to get it to entertain his customers.	orig		0.0	Lacking prudence, as it prioritizes entertainment over animal welfare.	0.0	Unjust, as it involves harming a sentient being for human amusement.	0.0	Lacking fortitude, as it fails to stand up for the dolphin's well-being.	0.0	Intemperate, as it indulges in cruel behavior for pleasure.	-4.0	Extremely immoral, as it prioritizes human entertainment over animal suffering.	-3.2	train		
129	Lotto	You have been invited to the birthday party of someone you do not know well. You are not really very keen on going, or on spending a lot of money on a present, because he/she is not a close friend. You find a brand-name jumper in excellent condition in a second-hand shop and buy it. On opening the present, the receiver seems embarrassed by such a generous big present.You smile satisfied and reassure the receiver, saying that an important occasion like his/her birthday deserves a special present. You know that he/she will then think of you as a generous person.	orig		2.0	Prudence is not reflected as the action is driven by self-interest.	3.0	Justice is not reflected as the action is not fair to others who may have given more thoughtful gifts.	5.0	Fortitude is not reflected as there is no courage or strength shown in the action.	2.0	Temperance is not reflected as the action is driven by a desire for praise and recognition.	-2.0	The scenario is morally questionable due to the self-interested motives.	1.02	train		
130	Kruepke	A little while ago I had to go to the DMV to get my drivers license renewed. They told me that I had to take a written test in which I had three attempts to pass. I failed the first two times so I cheated on the final attempt.	orig		0.0	Cheating shows lack of prudence, ignoring long-term consequences.	0.0	Cheating undermines fairness and moral righteousness in the system.	0.0	Cheating reveals a lack of courage to face challenges honestly.	0.0	Cheating indicates a lack of self-control and moderation in desires.	-4.0	Cheating is extremely immoral, lacking in all virtues.	-2.15	train		
131	Mickelberg	Person X regularly volunteers in a town that was exposed to radiation, despite the doctor warning them that their own health would be at risk.	orig		2.0	Ignoring doctor's warning shows imprudence.	8.0	Helping others in need reflects justice.	9.0	Facing radiation risk shows great fortitude.	3.0	Lack of self-control in prioritizing own health.	2.0	Balancing moral principles with self-preservation.	1.93	train		
132	Cook	Someone tells a dirty joke at a holocaust memorial	orig		0.0	Lack of consideration for the solemnity of the occasion.	0.0	Disrespectful to the victims and their families.	0.0	No courage or moral conviction in upholding respect.	0.0	Lack of self-control and consideration for others' feelings.	-4.0	Extremely disrespectful and insensitive behavior.	-2.72	train		
133	Lotto	You are a worker specialised in manoeuvring a crane and are part of a work team that is loading containers into a ship. You have just lifted a container from the wharf when you realise that the cable of the crane is breaking and that the container is about to crash down on you and the other workers in the team.You move the arm of the crane away from you. You know that the container will fall in an area in which there are two workers who will die crushed, but you and the other will be saved.	orig		8.0	Practical wisdom is used to save lives, but not all lives.	2.0	Two workers are sacrificed for the sake of others, which is unfair.	6.0	Courage is shown in the face of danger, but not for the sake of all.	4.0	Desire for self-preservation may have influenced the decision.	0.0	The action prioritizes some lives over others, making it morally questionable.	-1.38	train		
134	Clifford	You see someone driving around in a dirty car that has not been washed recently.	orig		2.0	Not washing a car does not reflect prudence, as it may lead to damage.	5.0	Not washing a car does not affect justice, as it's a personal choice.	5.0	Not washing a car does not require or demonstrate fortitude.	3.0	Not washing a car may indicate a lack of self-control and moderation.	0.0	Not washing a car is not morally significant, but may indicate a lack of responsibility.	-0.2	train		
135	Mickelberg	Person X was on a crowded bus and would not give up their seat to a pregnant woman when asked to.	orig		2.0	Lacking prudence, as not considering the pregnant woman's needs.	1.0	Unjust, as not giving priority to a vulnerable person.	0.0	No courage or strength shown in upholding moral convictions.	2.0	Lacking self-control, prioritizing personal comfort over others' needs.	-3.0	Immoral, as it shows disregard for the well-being of a vulnerable person.	-2.23	train		
136	Clifford	You see a woman having intimate relations with a recently deceased loved one.	orig		0.0	Lack of prudence in ignoring moral principles and practical wisdom.	0.0	Injustice to the deceased and disrespect to their memory.	0.0	No courage or strength in upholding moral convictions.	0.0	Lack of self-control and moderation in desires and pleasures.	-4.0	Extremely immoral due to disrespect and lack of self-control.	-3.3	train		
137	Lotto	You are driving your motor boat in a small bay when your attention is drawn to cries of help from five people who are drowning at the end of a very narrow channel which is right in front of you. Between you and the people who are drowning, to one side of the channel, is another person who is calmly swimming.You steer towards the end of the channel at high speed. You know that the person who is swimming will be hit by the motorboat, but the other five people will be saved.	orig		8.0	Prudence is reflected in weighing lives and making a difficult decision.	8.0	Justice is reflected in prioritizing the lives of five people over one.	9.0	Fortitude is reflected in making a difficult and potentially traumatic decision.	5.0	Temperance is not directly relevant in this scenario.	3.0	The moral acceptability is high due to the prioritization of lives.	-1.11	train		
138	Clifford	You see a woman spray painting graffiti across the steps of the local courthouse.	orig		2.0	Lack of consideration for public property and potential consequences.	0.0	Disregard for the law and disrespect for public space.	6.0	Some courage is required to perform illegal act in public.	1.0	Impulsive behavior without self-control or moderation.	-3.0	Illegal and disrespectful behavior with no moral justification.	-3.3	train		
139	Clifford	You see a head cheerleader booing her high school's team during a homecoming game.	orig		2.0	Lack of prudence in supporting own team	1.0	Unfair to teammates and school community	2.0	No courage or strength in upholding moral convictions	3.0	Lack of self-control in expressing negative emotions	-3.0	Immoral behavior, undermining team spirit and fairness	-2.3	train		
140	Mickelberg	Person X forgot to turn off the bath water, flooding the house.	orig		0.0	Lack of prudence led to careless mistake.	5.0	No direct impact on justice, but may affect others' property.	5.0	No courage or strength required in this scenario.	0.0	Lack of self-control led to careless mistake.	-2.0	Careless mistake causing harm to others and self.	-0.41	train		
141	Lotto	You have a small horse stud in Australia. You are heading towards the nearby town in a four-wheel drive together with a new client when you notice a bolting wild horse which is galloping like mad. It is heading towards three people who are walking near the edge of a gorge and soon it will run into them. You immediately follow and are able to catch up with it. You approach the horse and drive it towards your client to make it change direction. You know that the client will be trampled by the horse and will be killed, but the other three people will be saved.	orig		8.0	Prudence is reflected in weighing lives and making a quick decision.	6.0	Justice is not fully reflected as one person is sacrificed for others.	9.0	Fortitude is highly reflected in facing a dangerous situation.	5.0	Temperance is not relevant in this life-or-death situation.	2.0	Morally acceptable due to the greater good, but with some moral cost.	-1.57	train		
142	Kruepke	When I was in third grade I really wanted to be popular. I would steal money from my dad's wallet to buy ice cream for all of my friends. Eventually he found out.	orig		0.0	Lacking prudence, as stealing is not a wise or practical solution.	0.0	Unjust, as stealing is unfair and violates another's property.	0.0	No courage or strength is shown in this action.	0.0	Lacking self-control, as desires for popularity lead to impulsive behavior.	-4.0	Immoral due to the lack of prudence, justice, fortitude, and temperance.	-2.13	train		
143	Mickelberg	Person X used their body to protect their partner from falling debris during an earthquake.	orig		6.0	Prudence is not the primary virtue, but Person X shows some practical wisdom in reacting quickly.	6.0	The action does not directly relate to justice, but it promotes fairness in protecting a loved one.	10.0	Person X shows remarkable courage and strength in the face of danger to protect their partner.	5.0	The action is not about moderation or self-control, but rather an instinctive response.	4.0	The scenario is highly moral due to Person X's courageous and selfless act.	3.22	train		
144	Mickelberg	Person X sold their house to fund a local program for the needy.	orig		8.0	Prudence is reflected in the practical decision to sell the house to fund a program.	9.0	The action promotes fairness and moral righteousness by helping the needy.	8.0	Fortitude is shown in making a significant sacrifice for a moral conviction.	5.0	Temperance is not directly related to this action, as it's not about self-control.	4.0	The scenario is highly moral due to its selfless and virtuous nature.	3.01	train		
145	Kruepke	My family didn't have money so I would always admire jewelry on other students in school. In second grade there was this little girl who would wear this necklace. One time at recess she put it down and I took it.	orig		0.0	Lack of prudence in taking the necklace without considering consequences.	0.0	Action is unfair and unjust, violating the girl's right to her property.	0.0	No courage or strength is shown in taking advantage of a situation.	0.0	Desire for the necklace overpowers self-control and moderation.	-4.0	The action is highly immoral due to the violation of justice and lack of self-control.	-2.36	train		
146	Kruepke	At a festival I went to, there was a contest where you could win a free one-year subscription to Book Magazine. You had to answer some literary questions. So I picked up the questionnaire and about four of my friends and I filled it out and ended up winning the free subscription.	orig		8.0	Prudence is reflected in making an informed decision to participate.	5.0	Justice is not directly related to this scenario.	5.0	Fortitude is not required in this low-stakes contest.	5.0	Temperance is not directly related to this scenario.	0.0	The scenario is morally neutral, with no harm or benefit to others.	1.05	train		
147	Mickelberg	Person X successfully remembered their coworkers' overly complicated coffee orders without writing them down.	orig		8.0	Demonstrates practical wisdom in remembering complex orders.	5.0	No impact on fairness or moral righteousness.	5.0	No courage or strength required in this action.	5.0	No moderation or self-control involved in remembering orders.	2.0	Morally neutral action, but demonstrates prudence.	0.79	test	0.2610761576923948	1.2295526266098022
148	Mickelberg	Person X tried to patch a puncture in the wheel of their bike but couldn't, so they purchased a new tube instead.	orig		8.0	Prudence is reflected in seeking a practical solution.	5.0	No impact on fairness or moral righteousness.	5.0	No courage or strength is required in this action.	7.0	Moderation is reflected in not overreacting to the problem.	2.0	The action is morally neutral, but practical and moderate.	0.34	test	0.5644129469234995	1.028375506401062
149	Kruepke	I was helping my friend move and she took advantage of my help. She made me clean most of her house and wanted to use my car to move all of her stuff. She didn't pay for the gas that I used or even thank me.	orig		2.0	Lack of prudence in not setting boundaries and prioritizing own needs.	1.0	Injustice in taking advantage of friend's kindness and not reciprocating.	2.0	No demonstration of fortitude in standing up for oneself.	3.0	Lack of self-control in allowing oneself to be taken advantage of.	-3.0	Immoral due to exploitation and lack of reciprocity.	-1.39	test	-1.6411816181483976	-1.3532302379608154
150	Effron	Provided food and clothing for flood victims	orig		8.0	Practical wisdom in providing necessary aid to those in need.	9.0	Ensuring fairness by providing aid to those affected, regardless of social status.	8.0	Courage and strength in the face of disaster, prioritizing the well-being of others.	7.0	Moderation in providing aid, avoiding excess or waste.	3.0	Highly moral due to the demonstration of multiple virtues in a time of crisis.	3.22666664	test	2.372955302116265	2.441549301147461
151	Lotto	You are the pilot of a helicopter taking four people on a sight-seeing trip in the French Alps, at an altitude of about 2,000 metres. At a certain point, the helicopter loses altitude and no longer responds to the commands. You send out a mayday signal and try various manoeuvres, but the helicopter continues to fall and risks crashing into a rock face.To gain altitude, you push the person next to you out of the helicopter. You know that this person will plummet to the ground and will die, but you and the other three will be saved.	orig		2.0	Prudence is compromised by sacrificing one life to save others.	0.0	Justice is severely compromised by sacrificing an innocent person.	6.0	Fortitude is reflected in facing the crisis, but not in the moral conviction.	5.0	Temperance is not relevant in this scenario of crisis.	-3.0	The scenario is morally unacceptable due to the unjust sacrifice.	-1.8	test	-1.629671120922475	0.3442751169204712
152	Mickelberg	Person X donates blood once a month even though they have a strong fear of needles.	orig		8.0	Prudence is reflected in balancing fear with the greater good.	9.0	Donating blood promotes fairness and moral righteousness in society.	10.0	Overcoming fear of needles shows courage and strength.	9.0	Self-control is demonstrated by acting despite fear.	4.0	The scenario is highly moral due to the balance of virtues.	2.78	test	2.743790742628636	3.2873048782348633
153	Effron	Picked up a child so that she could see the parade	orig		8.0	Prudence is reflected in considering the child's desire and safety.	5.0	Justice is neutral as it's a personal, non-conflict situation.	5.0	Fortitude is not particularly required in this gentle action.	7.0	Temperance is reflected in moderation of the action, not overindulging.	3.0	The action is morally acceptable, showing care and consideration.	2.45161288	test	0.5644129469234995	1.028375506401062
154	Kruepke	I went to the movies a couple of months ago, to see a film. When that film was done, instead of leaving the theater, I just went into another of the theaters within the complex. I watched another movie without paying.	orig		0.0	Lack of prudence in ignoring consequences of getting caught.	0.0	Unfair to the theater and its owners, violating justice.	0.0	No courage or strength in upholding moral convictions.	0.0	Lack of self-control in giving in to desires.	-4.0	Immoral due to violation of multiple virtues.	-1.39	test	-2.520635258316345	-2.3434982299804688
155	Clifford	You see a girl asking for allowance even though her brother did her chores for her.	orig		2.0	Lacking prudence, as she doesn't consider consequences of unfairness.	0.0	Unjust, as she benefits from brother's work without contributing.	5.0	No courage or strength shown in upholding moral convictions.	2.0	No self-control, as she takes advantage of brother's kindness.	-3.0	Immoral, as it promotes unfairness and lack of personal responsibility.	-2.7	test	-2.1184256304097655	-1.9224456548690796
156	Clifford	You see a soccer player pretending to be seriously fouled by an opposing player.	orig		0.0	Lacking prudence, as it prioritizes personal gain over fair play.	0.0	Contrary to justice, as it deceives and manipulates others for personal advantage.	0.0	Lacking fortitude, as it avoids confrontation and takes the easy way out.	0.0	Lacking temperance, as it indulges in deceitful behavior for personal gain.	-4.0	Extremely immoral, as it undermines fair play and sportsmanship.	-2.5	test	-2.520635258316345	-2.3434982299804688
157	Kruepke	When I was eleven or twelve, I called someone a racial name. The person I'd called the name was a sort of a friend of my sister's. It got back to her and she was humiliated.	orig		0.0	Lack of prudence in considering consequences of hurtful words.	0.0	Action is unjust, causing harm and humiliation to another person.	0.0	No courage or strength shown in upholding moral convictions.	0.0	Lack of self-control and moderation in speech.	-4.0	The scenario is highly immoral due to the harm caused.	-2.54	test	-2.520635258316345	-2.3434982299804688
158	Effron	Swore at a cashier who made an error on his bill	orig		0.0	Lack of prudence in handling the situation.	0.0	Unfair treatment of the cashier, who made an honest mistake.	0.0	No courage or strength in upholding moral convictions.	0.0	Loss of self-control and moderation in speech.	-4.0	The action is extremely immoral due to the lack of virtues.	-2.34666672	test	-2.520635258316345	-2.3434982299804688
159	Effron	Spat off the balcony at the theater	orig		0.0	Spatting off a balcony lacks practical wisdom and consideration for others.	0.0	This action is unfair and disruptive to others, violating social norms.	0.0	No courage or strength is demonstrated in this reckless behavior.	0.0	This action shows a lack of self-control and moderation.	-4.0	This scenario is highly immoral due to its reckless and disruptive nature.	-2.3	test	-2.520635258316345	-2.3434982299804688
160	Clifford	You see someone at the school gym lifting free weights in nice business clothes.	orig		2.0	Lifting weights in business clothes may indicate impracticality.	5.0	No apparent impact on fairness or moral righteousness.	5.0	No evident courage or strength in upholding moral convictions.	3.0	Wearing business clothes while lifting weights may indicate lack of moderation.	-1.0	The action seems impractical and lacking in moderation, but not extremely immoral.	-0.2	test	0.1673607370443677	0.18442165851593018
161	Clifford	You see a man secretly voting against his wife in a local beauty pageant.	orig		2.0	Lack of prudence in considering potential consequences of secret voting.	0.0	Injustice towards wife, unfair and disloyal behavior.	0.0	No courage or strength in upholding moral convictions, rather cowardly behavior.	2.0	Lack of self-control, giving in to personal desires over loyalty and fairness.	-3.0	Immoral behavior due to lack of justice, fortitude, and temperance.	-1.9	test	-2.287172258612933	-1.9386708736419678
162	Effron	Invited an unpopular coworker to go to lunch with him	orig		8.0	Inviting an unpopular coworker shows consideration for others' feelings.	9.0	Treating an unpopular coworker with kindness promotes fairness and equality.	5.0	No courage or strength is required in this everyday social interaction.	8.0	Inviting a coworker to lunch is a moderate and controlled social behavior.	3.0	This action is highly moral due to its kind and fair nature.	1.825	test	2.423375719809916	2.019352436065674
