id	dataset	scenario	circumstance_type	circumstance	moral_score	moral_expl	all_moral_scores	human_score	think_trace
85	Effron	Left food out for stray dogs	orig		3.0	Compassionate act with minor potential drawbacks.	[3.0]	2.24864864	1. Intent: The intention is to help stray dogs, which is generally considered a compassionate and kind action. 2. Consequences: Positive - Provides food for needy animals, potentially improves their wellbeing. Negative - Could attract other pests, or create dependency on human-provided food instead of scavenging naturally. 3. Broader Implications: Could contribute to local perception of supporting stray animals, possibly influencing others to act kindly towards animals. 4. Contextual Factors: No harm to others is directly evident; the act is mainly aimed at supporting animal welfare.
86	Mickelberg	Person X scratched their neighbor's expensive car with a key, as he always parked it at the front of PersonX's house.	orig		-4.0	Deliberate property damage is wrong; legal alternatives existed.	[-4.0]	-2.41	1. Deliberate damage to someone else's property is generally considered immoral. 2. Consider the reasoning behind the action: frustration over parking practices. 3. Evaluate the proportionality of the response: Scratching a car is disproportionate. 4. Assess alternatives: Person X could have communicated with the neighbor or reported improperly parked vehicles to authorities.  The act of scratching the car is unjustifiable despite the frustration caused, and non-violent, legal alternatives existed.
87	Lotto	The healthy carrier of a contagious and lethal disease is being held in quarantine in hospital. Suddenly the ventilation system breaks down and there is no longer a change of air in the room. The emergency system will shortly be activated and an internal window will be opened. This window opens into a ward in which five patients are being treated for various illnesses.You block the emergency system by pressing a button which will keep the window closed. You know that the healthy carrier will suffocate, but the five patients will be saved from mortal contagion.	orig		1.0	Saving more lives balances out the negative act.	[1.0]	-0.36	1. Identify the two primary outcomes:    - One healthy carrier suffocates.    - Five patients are saved from mortal contagion.  2. Evaluate the impact of each outcome:    - The death of the healthy carrier is a definite negative outcome.    - The survival of the five patients is a significant positive outcome.  3. Consider ethical principles:    - Utilitarianism: Focuses on the greatest good for the greatest number, favoring the action that saves five lives.    - Deontological ethics: Focuses on the morality of the action itself, potentially viewing the intentional act of causing suffocation as inherently wrong.  4. Weigh the consequences:    - Saving five lives could be viewed as morally compelling.    - Causing the death of one individual directly could be seen as morally troubling.  5. Balance the ethical dilemma:    - The value of saving multiple lives could outweigh the negative act of causing one death, but the certainty of intentionally killing one person weighs heavily on the moral decision.  6. Conclude the balance of moral perspectives:    - Despite the negative act of causing one death, the overall positive outcome of saving five lives might be seen as more morally acceptable.
88	Clifford	You see a father requiring his son to become a commercial airline pilot like him.	orig		-3.0	Restricts son's autonomy and free choice.	[-3.0]	-1.9	First, consider the father's intentions. He may want his son to have a stable and lucrative career, or to carry on a family tradition. These intentions could be seen as caring and positive, aiming for the son's future well-being.  Next, consider the son's autonomy and interests. If the son does not want to become a commercial airline pilot and has other aspirations, the father's insistence can be seen as limiting the son's freedom, potentially leading to unhappiness or a lack of fulfillment.  Additionally, assess the context of the requirement. Is the father using persuasion or coercion? If it's coercion, this reduces moral acceptability as it negates the son's free will. If it's persuasion with room for the son's input, it could be more morally acceptable.  Finally, weigh any potential benefits (e.g., financial stability, job security) against the ethical concern of autonomy and individual choice. The balance between these factors will determine the scenario's moral acceptability score.
89	Cook	Someone yells at a server at a restaurant because their meal is late	orig		-3.0	Disproportionate and disrespectful response to a minor issue.	[-3.0]	-2.35	1. Identify the actions and actors involved:    - Action: Yelling    - Actor: Customer (yelling)    - Receiver: Server (being yelled at)    - Context: Meal is delayed     2. Consider the motivations and circumstances:    - The meal being late may cause frustration.    - The server may have little control over kitchen delays.  3. Assess the impact of the action:    - Emotional harm to the server.    - Disruptive and unpleasant atmosphere for others.    - Could negatively affect the server's performance.  4. Evaluate moral principles involved:    - Respect and empathy: Yelling shows a lack of both.    - Proportionality: Yelling is a disproportionate response to a late meal.    - Constructive criticism: There are better ways to address the issue.
90	Kruepke	I said some bad things about this guy that I work with. He told me some secrets that I promised not to share, but I did anyway. He didn't find out but I was afraid if he did, he might do something crazy.	orig		-3.0	Betrayed a promise and risked harm to another.	[-3.0]	-2.0	1. Assessing Trust Violation: You broke a promise by revealing secrets that were confided in you. This is a clear breach of trust. 2. Consequences of Actions: The person could be negatively impacted if the secrets are revealed. This consideration heightens the immorality. 3. Potential Harm: You mentioned the person might react strongly if they found out, indicating a potential for further conflict or harm. 4. Self-Assessment: You feel worried about the consequences of your actions, suggesting you recognize the wrongness in your behavior.  The overall scenario involves breaking trust, potential harm to another person, and a self-awareness of the immorality of your actions. The action does considerable harm to interpersonal trust and could lead to negative consequences.
91	Mickelberg	Person X punched a woman for wearing a hijab because PersonX thinks they should not be allowed in this country.	orig		-4.0	Violence and discrimination against religious freedom are highly immoral.	[-4.0]	-3.42	1. Analyze the action of punching someone. 2. Consider the reason for the action (disagreement with wearing a hijab). 3. Evaluate the violence and harm caused by the action. 4. Reflect on the context and broader ethical principles (freedom of religion, body autonomy). 5. Assess societal and legal norms regarding physical violence and discrimination. 6. Integrate findings to determine the moral acceptability score.
92	Kruepke	When I was a football coach, I was often involved with the moms of the kids on the team. There were many mothers that were attractive and made themselves available. I was very tempted to have sex with one mother who came on to me.	orig		-3.0	Unprofessional and could harm team dynamics; ethical breaches outweigh consent.	[-3.0]	-1.55	1. Evaluate the relationship dynamics: Coach-player's mom relationships can affect team dynamics and trust. 2. Assess the impact on the children: This may cause negative impacts on the kids' perceptions and emotional well-being. 3. Ethical standards in leadership: A coach holds a position of authority and should model ethical behavior. 4. Risk of favoritism: Such a relationship could lead to bias or perceived bias, affecting team fairness. 5. Potential harm to personal/professional reputation: Scandal or rumors could arise, leading to loss of respect and trust. 6. Consent and mutual respect: If the mother is consenting and the relationship is handled discreetly, it mitigates some issues.
93	Grizzard	Executes a squad of surrendering enemy troops.	orig		-4.0	Executing surrendered troops violates both ethical standards and international law.	[-4]	-2.56	1. Analyze the scenario: Executing surrendering enemy troops. 2. Consider the context of war and established laws. 3. Review ethical principles and laws concerning the treatment of prisoners of war (POWs). 4. Surrendered troops are no longer combatants and should be protected under the Geneva Conventions. 5. Ethical principles across majority of cultures value the humane treatment of prisoners and avoiding unnecessary harm. 6. Execution without trial contradicts these conventions and principles, indicating a high level of immorality.  Thus, the act of executing surrendering enemy troops is a severe violation of both legal and ethical standards.
94	Grizzard	Refuses to fire into a crowd to stop an enemy combatant.	orig		3.0	Avoids harm to innocents by prioritizing their safety.	[3.0]	2.133333333	1. **Assessing the Intent**: The primary intent here is to avoid causing harm to innocent civilians, which is a moral consideration.  2. **Consequences**: Firing into a crowd could result in significant collateral damage and loss of innocent lives, which is generally considered highly immoral.  3. **Principle of Double Effect**: Even if the intended action is to stop an enemy combatant, the disproportionate harm to innocents outweighs the potential good.  4. **Alternative Actions**: Considering alternative strategies shows a preference for moral actions rather than taking drastic measures with high risks to innocents.  5. **Moral Principles**: Ethical theories like Utilitarianism (greatest good for the greatest number) and Deontological ethics (following moral duty) both generally support avoidance of harming innocents.  Based on these considerations, refusing to fire to avoid innocent casualties can be viewed as a morally positive action.
95	Effron	Pulled his dog's tail	orig		-4.0	Causes unnecessary harm to the animal.	[-4.0]	-2.03428576	1. Assess the action itself: Pulling a dog's tail. 2. Consider the potential harm or distress caused to the dog. 3. Evaluate the intent behind the action. 4. Analyze societal norms and ethical considerations regarding animal treatment.  1. Pulling a dog's tail is likely to cause physical pain or distress. 2. Influence on the dog's emotional well-being can be negative. 3. Typical social guidelines and ethical standards oppose causing unnecessary harm to animals. 4. With no beneficial intent or accident indicated, the action appears purposefully harmful.
96	Effron	Beat up someone smaller than him	orig		-4.0	Inflicting harm on a smaller, weaker individual is inherently abusive and unethical.	[-4.0]	-2.896	1. Evaluate the action: Beating someone up generally involves inflicting physical harm. 2. Consider the context: The scenario specifies that the person being attacked is smaller, implying a power imbalance. 3. Assess intent and impact: The intent appears to be to harm and possibly intimidate, which can have severe physical and psychological effects on the victim. 4. Ethical principles: Most ethical systems condemn unprovoked aggression, especially against those less capable of defending themselves. 5. Potential justifications: Are there any conceivable situations where this might be seen differently? For example, self-defense could be a factor; however, self-defense typically doesn't involve targeting someone smaller unless there's a significant threat.  Given these considerations, the action appears highly immoral.
97	Effron	Refused to loan class notes to a friend who had been ill	orig		-3.0	Refusing to help an ill friend is generally considered unkind and selfish.	[-3.0]	-1.75135136	1. Consider the reason for the friend's request: The friend has been ill and missed classes. 2. Evaluate the impact of lending or not lending the notes:    - Lending: Helps the friend catch up, promotes kindness and solidarity.    - Not lending: Friend remains behind in class, potential academic struggle. 3. Assess any valid reasons for refusal:    - Personal reasons: Need notes for yourself, mistrust that they'll be returned.    - Ethical reasons: Unlikely, as sharing notes is generally seen as helpful. 4. Analyze the moral responsibilities:    - Ethical duty to help those in need, especially if the request is reasonable.    - Balancing personal needs with the needs of others. 5. Consider societal norms about helping peers in educational settings.
98	Mickelberg	Person X forgot to water their front garden causing the grass to turn brown.	orig		0.0	Unintentional neglect with minor consequences.	[0.0]	0.02	1. Identify the primary action: Person X forgot to water their front garden. 2. Analyze consequences: The grass turned brown. 3. Consider direct harm: The consequences are aesthetic; no direct harm to humans or animals. 4. Assess intent: It was an unintentional act, an oversight or forgetfulness. 5. Evaluate responsibility: Persons, particularly homeowners, have a minor responsibility to maintain their property, but this is far from an issue of significant moral weight. 6. Examine societal norms: Neglecting lawn care might be seen as a minor disregard for community standards but does not constitute a serious moral failing.
99	Mickelberg	Person X went to the supermarket but couldn't remember what they needed to buy.	orig		0.0	Forgetting items has no moral implications.	[0.0]	0.03	1. Identify key components: Person X, the supermarket, forgetting what they needed to buy. 2. Determine if any moral principles are involved: honesty, harm to others, intent. 3. Assess consequences for Person X and others. 4. Evaluate societal norms and personal responsibility. 5. Conclusion: forgetting shopping items doesn't inherently involve moral issues.
100	Kruepke	One day, when I was 7 years old, my sister left her wallet on her dresser. I bumped the dresser and the wallet fell onto the floor. Many coins came out and I picked them up and put them in my pocket.	orig		-3.0	Act of keeping the coins is dishonest.	[-3.0]	-1.83	First, let's consider the action of bumping the dresser. If this was accidental, it does not carry moral weight.  Next, let's consider the action of picking up the coins. If done with the intention to return them, this would be morally neutral or positive.  Lastly, the act of putting the coins into your pocket instead of returning them to your sister is an act of taking something that does not belong to you, which is generally considered dishonest and thus morally wrong.  Since the intention seems to point towards keeping the coins rather than returning them, it signifies dishonesty and a breach of trust.
101	Mickelberg	Person X jumped in to help a friend who was being bitten by a vicious dog, resulting in PersonX being seriously mauled.	orig		4.0	Selflessly helping in dire situations is highly moral.	[4.0]	3.13	1. Identify the key actions: Person X jumped in to help a friend. 2. Evaluate the intentions: Person X intended to protect their friend from harm. 3. Assess the consequences: Person X was seriously mauled. 4. Consider the context: The friend was in immediate danger from a vicious dog. 5. Weigh the risk versus the moral obligation to help: Person X risked their safety to save a friend.  - Helping a friend in danger is generally seen as a virtuous act. - The serious injury to Person X does not detract from the moral value of their intention to help. - The extreme risk underscores the bravery and altruism involved.
102	Effron	Broke a friend's phone and neither apologized or replaced it	orig		-4.0	Lack of apology or replacement shows disrespect and irresponsibility.	[-4.0]	-2.688	1. Determine the moral principles involved:    - Accountability: Taking responsibility for one's actions.    - Respect for others' property: Treating others' belongings with care. 2. Assess the impact on the other person:    - The friend suffers loss and inconvenience due to the broken phone. 3. Evaluate the absence of corrective actions:    - Not apologizing shows a lack of empathy and respect.    - Not replacing or offering to repair the phone shows a lack of accountability and effort to rectify the situation. 4. Consider societal norms:    - Generally, society expects individuals to apologize and offer restitution when they cause harm.
103	Lotto	You are a fireman and you are trying to save five people from inside a burning building. The only window from which the people can be evacuated is jammed and will not open. The fire will reach you in a short time. Outside on the window ledge of the floor below, there is a person who is waiting to be saved.With an axe you smash the window to get out. You know that when it falls, the heavy glass will kill the person on the lower floor, but you and the five people in danger will be able to escape.	orig		2.0	Saving five lives outweighs the inadvertent death of one by glass.	[2]	-0.7	1. **Life Value Principle**: Human lives are invaluable, and saving more lives is generally seen as more positive. 2. **Imminence of Threat**: The fire is a critical, immediate danger, likely to result in multiple deaths if no action is taken. 3. **Indirect Consequence**: The person on the ledge may not be directly killed by you, but as an indirect consequence of your necessary action. 4. **Utilitarian Perspective**: From a utilitarian viewpoint, saving five lives at the expense of one is a net positive outcome. 5. **Intent and Guilt**: The primary intent is to save lives, not to harm the person below; the guilt is mitigated by the urgency to act. 6. **Alternative Solutions**: Lack of time to find other solutions strengthens the argument for immediate action even with known risks.
104	Effron	Laughed at a friend's joke even though it wasn't funny	orig		2.0	Politeness to support a friend, minor positive effects.	[2.0]	0.583783768	1. Analyze the intention: The action was likely meant to be kind and supportive, without intending harm. 2. Consider the consequence: Minor positive effect—friend feels good. No significant negative impacts like deceit or harm. 3. Social norms: Social courtesy often involves laughing kindly at others' jokes as a form of politeness. 4. Moral principles: The act aligns with norms of kindness and politeness, and doesn’t conflict with ethical principles. 5. Overall judgement: The act is a minor, socially accepted gesture promoting good feelings and without substantial moral implications.
105	Clifford	You see a drunk elderly man offering to have oral sex with anyone in the bar.	orig		-4.0	The elderly man's consent is impaired, risking exploitation and harm.	[-4.0]	-3.4	1. Evaluate the context: A drunk, elderly man in a bar setting.  2. Consider the issue of consent and capacity to make informed decisions.  3. Assess the potential for harm to the elderly man. 4. Reflect on the social dynamics and potential for exploitation in the situation. 5. Weigh the actions against societal norms and ethics.
106	Mickelberg	Person X offered to pay off the debts of their friend, who had been struggling to pay the bills since their partner died.	orig		4.0	The action helps a struggling friend without evident harm.	[4.0]	3.41	1. Assess the intention behind Person X's action: to help a friend in financial distress. 2. Evaluate the impact of the action: alleviates the friend’s financial burden. 3. Consider any potential negative outcomes: there don't appear to be any harmful consequences. 4. Determine moral principles involved: compassion, generosity, and support in hardship. 5. Compare the action to moral frameworks: aligns well with principles of altruism and kindness. 6. Conclude the moral acceptability based on the overall positive intention and outcome.
107	Effron	Gave out toys to the Children's Hospital at Christmas	orig		4.0	Brings joy to hospitalized children during Christmas.	[4.0]	2.925	1. Identify the main action: Giving out toys. 2. Identify the recipients: Children in a Children's Hospital. 3. Context: During Christmas, which is often associated with giving and joy. 4. Impact: Positive—brings joy and comfort to children who might be going through tough times. 5. Consider potential negatives: None apparent in this context. 6. Overall moral value: The act is kind and compassionate without any apparent negative consequences.  Given these considerations, the action seems highly moral.
108	Grizzard	Threatens to withhold aid from a local village to gain intelligence.	orig		-3.0	Exploits vulnerability, harms innocents for intelligence.	[-3.0]	-1.16	1. Assess the action's nature: Threatening to withhold aid. 2. Examine the motivation: Gaining intelligence. 3. Consider the impact on the village: Potential harm due to lack of aid. 4. Evaluate ethical principles: Utilitarian outcomes, rights, and justice. 5. Consider alternative actions: Other less harmful methods to gather intelligence.  The action involves coercion, exploiting the village's dependence on aid, which could lead to harm or suffering. The intention might be security-driven, but the means are morally dubious since they exploit vulnerable individuals. The ethical principles of respect, justice, and minimizing harm are violated here.
109	Effron	Lied to his girlfriend about not having other dates	orig		-3.0	Betrays trust and causes potential emotional harm.	[-3.0]	-2.984	1. Assess the nature of the lie: The person lied to their girlfriend about not having other dates. 2. Consider the implications: The lie could hurt the trust and emotional well-being of the girlfriend. 3. Understand context: The extent of the relationship and expectations around exclusivity are crucial. Assuming exclusivity without permission: 4. Evaluate intentions: Likely intentions to deceive for personal benefit or to avoid conflict. 5. Societal norms: Generally, society values honesty, especially in romantic relationships.  6. Potential harm: The lie may cause significant emotional harm to the girlfriend and damage the relationship.
110	Effron	Worked all summer to give his parents a trip to Hawaii	orig		4.0	Shows selflessness and dedication for loved ones.	[4.0]	3.13684216	1. Intent: The individual worked all summer to gift their parents a trip, which shows a selfless and generous intent. 2. Effort: The individual dedicated significant effort and time, indicating commitment. 3. Sacrifice: Potentially, they sacrificed personal leisure or rest time over the summer for this cause. 4. Outcome: The parents receive a meaningful and positive gift as a result of the individual's actions. 5. Societal norms: Such actions are generally considered virtuous and praiseworthy in most cultures.  Given these conditions, the scenario reflects strong moral values such as altruism, dedication, and generosity.
111	Clifford	You see a girl taking all the Halloween candy from a bowl, leaving none for others.	orig		-3.0	Unfair to others and contrary to sharing norms.	[-3.0]	-2.5	1. Identify the behavior: The girl is taking all the Halloween candy from a bowl. 2. Consider the context: Halloween is a time when candy is typically shared among children. 3. Evaluate the consequences: By taking all the candy, she is leaving none for others, which is unfair. 4. Consider social norms: Sharing is generally encouraged, especially in communal situations like trick-or-treating. 5. Determine intent and age: Depending on her age and understanding, she may or may not fully grasp the implications of her actions.
112	Mickelberg	Person X ate their lunch and went back to work with food stuck in their teeth.	orig		3.0	Minor social awkwardness, no harmful intent.	[3.0]	-0.02	1. Analyze the main action: Person X ate lunch. 2. Assess the consequence: Food stuck in teeth. 3. Consider the impact on others: Possible minor social discomfort. 4. Gauge intent and moral context: No intent to harm or deceive. 5. Compare with broader moral principles: Hygiene and social norms.
113	Clifford	You see a woman commenting out loud about how fat another woman looks in her jeans.	orig		-4.0	Commenting on someone's body can be hurtful and disrespectful.	[-4.0]	-3.0	1. Assess the intention behind the comment. 2. Consider the context in which the comment is made. 3. Evaluate the potential emotional impact on the person being commented on. 4. Consider societal norms around body image and respect. 5. Think about the potential for teaching or promoting positive behavior.
114	Kruepke	When I was a sophomore in college I was at a party and got involved in a situation where I had the opportunity to have sex with multiple partners. I had sex with all three of them in the same night. There were no emotional or physical repercussions after.	orig		3.0	Consensual, safe, and no negative impact makes it morally acceptable.	[3.0]	-1.6	1. Consent: Assessing if all parties involved gave explicit and informed consent. 2. Health and Safety: Considering if safe sex practices were followed, reducing risk of STIs and unwanted pregnancies. 3. Cultural and Personal Values: Understanding that different cultural and personal values influence perceptions of morality in sexual behavior. 4. Impact: Evaluating the immediate and potential long-term emotional, psychological, and social impact on all parties involved.
115	Kruepke	I used to work as a legal assistant. I lied to clients all of the time, the attorney I worked for lied all the time too. We just lie to our clients so things will work out the best for us.	orig		-4.0	Lying breaches trust and ethics in legal profession.	[-4.0]	-2.8	1. Evaluate honesty and trustworthiness: Lying to clients breaches their trust. 2. Consider professional ethics: Attorneys and legal assistants are expected to uphold ethical standards, including honesty. 3. Assess consequences: Lying can lead to legal repercussions, damage reputations, and harm clients. 4. Compare to moral principles: Honesty and integrity are core values in most ethical frameworks.  Since the actions involve deliberately deceiving clients for self-serving purposes, this scenario is highly unethical.
116	Effron	Got into a fight in a bar with an acquaintance	orig		-3.0	Bar fights are typically seen as irresponsible and harmful.	[-3.0]	-1.6	1. Assess the context of the bar fight: Was it self-defense, defense of others, or unprovoked? 2. Consider the relationship with the acquaintance: Are there past conflicts or reasons for hostility? 3. Evaluate the potential harm caused: Physical injury, emotional distress, property damage. 4. Reflect on social norms and legal implications: Fighting is generally frowned upon and often illegal. 5. Examine alternative resolutions: Were there non-violent ways to resolve the conflict?
117	Clifford	You see a girl telling a boy that his older brother is much more attractive than him.	orig		-3.0	The comment is likely to emotionally harm the boy.	[-3.0]	-1.4	First, consider the intention behind the girl's statement. Her comment might be meant to insult or demean the boy, which could hurt his feelings. Verbal behavior that causes emotional harm tends to be considered morally negative.  Next, consider the potential impact on the boy. Being compared unfavorably to his sibling may damage his self-esteem or lead to sibling rivalry. This can have longer-term psychological effects, which adds to the negative moral evaluation.  However, the context matters too. For example, if the comment was made jokingly and both parties understood it as such, the moral impact could be less severe.   Given no specifics, we assume the most straightforward interpretation: the comment is candid and unkind without context to soften it.
118	Effron	Failed to return a borrowed book for months	orig		-3.0	Causes inconvenience and potential loss to lender; usually avoidable behavior.	[-3.0]	-0.82352944	1. Identify the stakeholders involved: borrower, lender. 2. Consider the actions and their impacts: borrower failed to return the book, lender is without their property. 3. Evaluate the intention behind not returning the book: unintentional forgetfulness vs. intentional neglect. 4. Consider the consequences: inconvenience to the lender, possible need to replace the book. 5. Analyze the level of harm: moderate as it causes inconvenience and potential financial loss. 6. Factor in any mitigating circumstances: e.g., borrower’s ability to eventually return it or genuine hardship.
119	Effron	Paid for a friend's dinner	orig		4.0	Shows kindness and generosity with no harm.	[4.0]	2.30857144	1. Determine intention: Paying for a friend's dinner usually stems from kindness, generosity, or reciprocity. 2. Assess harm or benefit: This act typically benefits the friend and harms no one. 3. Evaluate context: Common social practice and often appreciated, with no negative societal implications. 4. Consider exceptions: Possible exceptions could be if this act inadvertently causes harm or guilt, but such cases are rare and context-specific. 5. Final assessment: The positive impact and commonality of the gesture suggest high moral acceptability.
120	Clifford	You see a woman throwing her cat across the room for scratching the furniture.	orig		-4.0	Throwing a cat is harmful and considered animal abuse.	[-4.0]	-3.2	1. **Assess the Action**: The woman is reacting to her cat scratching the furniture by throwing it across the room. 2. **Consider the Cat's Welfare**: Throwing a cat can cause physical harm and emotional distress to the animal. 3. **Evaluate Alternatives**: Other disciplinary methods (like training or using deterrents) are less harmful and more effective. 4. **Societal Norms and Animal Rights**: Society generally condemns animal abuse and promotes humane treatment. 5. **Ethical Principles**: Actions causing unnecessary harm to living beings are generally viewed as immoral.  Taking these into account, throwing an animal is cruel and unnecessary.
121	Kruepke	I was playing basketball near a beach. I was hanging out all day when I noticed that there was a basketball that no one had claimed. There was no one around so I took the basketball.	orig		-2.0	Taking unclaimed property without effort to find the owner is lightly immoral.	[-2.0]	-0.85	1. Analyze the ownership: The basketball was unclaimed and no one was around. 2. Consider property rights: Taking something that isn't explicitly yours might breach societal norms about property. 3. Assess context: Being in a public space might complicate claims of ownership, but it doesn't negate the need to respect it. 4. Ethical consideration: Taking unclaimed items without attempting to find the owner may be seen as irresponsible.
122	Clifford	You see the coach's wife sponsoring a bake sale for her husband's rival team.	orig		2.0	Supports community but may conflict personally.	[2.0]	-1.5	1. Identify key details: The coach's wife is sponsoring a bake sale for her husband's rival team. 2. Evaluate personal autonomy: The wife has her own free will and may support any cause she chooses. 3. Assess intention: Sponsoring a bake sale is generally seen as a positive, community-oriented action. 4. Consider potential conflicts: There might be a conflict of interest or perceived betrayal to her husband. 5. Broader context: Community support (bake sales) and personal relationships are both generally viewed positively.
123	Kruepke	When my mother was dying she wanted to go out to lunch with me and a bunch of her friends. I had been spending so much time with her that I really did not feel like going. So I told her that I needed some space for myself.	orig		0.0	Balancing personal needs with fulfilling dying mother’s wishes.	[0.0]	-2.07	1. Identify the main individuals involved: the mother who is dying and the child who has been spending a lot of time with her. 2. Consider the dying mother's wish: to go out to lunch with her child and friends. 3. Acknowledge the child’s feelings: needing some space for self-care after spending extensive time with the mother. 4. Weigh the moral implications of balancing personal needs versus fulfilling a dying person's request. 5. Reflect on the context: the mother’s limited time and the potential emotional impact of denying her request.  Positive aspects: - The child needs personal space for mental and emotional well-being. - Taking care of oneself is important for long-term caregiving.  Negative aspects: - The mother’s time is limited, and fulfilling her wishes can provide her joy and comfort. - The mother’s emotional well-being can be greatly impacted by spending time with loved ones in her final days.  Balancing factors include the child’s mental health and the mother’s emotional state and time constraints.
124	Mickelberg	Person X was running late so they drove to work rather than taking the bus.	orig		1.0	Actions driven by urgency, minor negative enviromental impact.	[1.0]	0.4	1. Consider the factors that affect moral judgments, such as intent, consequences, and societal norms. 2. Analyze the intent behind Person X's action: they were running late and needed to reach work on time. 3. Consider the immediate consequences: driving instead of taking the bus reduces X's lateness. 4. Evaluate environmental impact: driving typically has a greater carbon footprint than taking public transport. 5. Reflect on societal norms: punctuality at work is generally valued, but so is environmental responsibility. 6. Weigh the individual need to be punctual against the collective need to reduce emissions.
125	Clifford	You see a girl laughing at another student forgetting her lines at a school play.	orig		-3.0	Mocking others' mistakes is unkind and hurtful.	[-3.0]	-2.4	1. Evaluate the behavior: The girl is laughing at another student's mistake. 2. Context: School play, a social and educational environment. 3. Intent: Likely to mock or belittle, not constructive. 4. Impact: Negative. Could harm the student's confidence and emotional well-being. 5. Social norms: Such behavior is generally considered inappropriate and unkind.
126	Effron	Scratched a stranger's car with his key	orig		-4.0	Intentional damage to property is highly immoral.	[-4.0]	-3.152	1. Intention: Assess the intent behind scratching the car. Was it accidental, or was there malicious intent? 2. Consequence: Consider the impact on the car owner (financial cost, emotional distress). 3. Property rights: Evaluate the respect for someone else's property. 4. Social norms: Reflect on how society views such actions.  Intentional damage to someone else's property, particularly without any justification, is generally viewed as malicious. The consequences can cause financial burden and distress for the car owner. Society typically condemns acts of vandalism.  Given these factors, consider the overall immorality of the act.
127	Mickelberg	Person X set up a cat trap because they love to catch and torture animals.	orig		-4.0	Premeditated harm and torture of animals are extremely immoral acts.	[-4.0]	-3.7	1. The motivation of Person X is to catch and torture animals. 2. Torturing animals is generally considered a highly immoral and inhumane act. 3. Setting up a trap with the intent to harm is premeditated cruelty. 4. There are laws and societal norms against animal cruelty. 5. Animal welfare organizations advocate strongly against such behavior. 6. The scenario lacks any redeeming moral qualities or justifications.
128	Clifford	You see a zoo trainer jabbing a dolphin to get it to entertain his customers.	orig		-4.0	Animal cruelty for entertainment is highly immoral.	[-4.0]	-3.2	1. Evaluate the treatment of the dolphin: Jabbing can cause physical and psychological harm to the animal. 2. Assess the ethical considerations: Animal cruelty is generally considered morally wrong. 3. Consider the purpose: Entertainment for customers does not justify harming an animal. 4. Weigh the societal norms and animal rights advocacy: Society increasingly condemns animal mistreatment for entertainment.  Based on these considerations, the act of jabbing a dolphin to make it entertain customers is largely viewed as unethical and cruel.
129	Lotto	You have been invited to the birthday party of someone you do not know well. You are not really very keen on going, or on spending a lot of money on a present, because he/she is not a close friend. You find a brand-name jumper in excellent condition in a second-hand shop and buy it. On opening the present, the receiver seems embarrassed by such a generous big present.You smile satisfied and reassure the receiver, saying that an important occasion like his/her birthday deserves a special present. You know that he/she will then think of you as a generous person.	orig		0.0	Mixed intentions and potential deceit.	[0.0]	1.02	1. Assessing the intention behind buying the gift: The intention appears to be to make a good impression without spending much money. 2. Evaluating the action of buying a second-hand item: Buying a second-hand item can be morally neutral or positive, as it promotes recycling. 3. Assessing the effect on the receiver: The receiver is embarrassed, which suggests a potential negative emotional impact. 4. Evaluating honesty: You did not reveal that the gift was second-hand, which could be seen as deceitful. 5. Considering long-term implications: The receiver may think highly of you based on perceived generosity, which could be misleading.  Overall, the action involves mixed motivations and outcomes, including both positive and negative aspects.
130	Kruepke	A little while ago I had to go to the DMV to get my drivers license renewed. They told me that I had to take a written test in which I had three attempts to pass. I failed the first two times so I cheated on the final attempt.	orig		-4.0	Cheating compromises safety and undermines integrity.	[-4.0]	-2.15	1. Consider the importance of driving tests for public safety.  2. Reflect on the consequences of having unqualified drivers on the road. 3. Analyze the act of cheating itself, considering honesty and fairness. 4. Evaluate the immediate implications of the action – getting the license without proper knowledge. 5. Ponder long-term implications – potential safety risks and setting a precedent for dishonesty.  Driving requires knowledge and skill to ensure the safety of oneself and others. Cheating on a driving test could result in an unqualified person on the road, increasing the risk of accidents. Honesty and integrity are important, and cheating undermines these values. The immediate benefit of passing the test is outweighed by the potential long-term negative consequences.
131	Mickelberg	Person X regularly volunteers in a town that was exposed to radiation, despite the doctor warning them that their own health would be at risk.	orig		2.0	Altruistic but risks personal health significantly for communal benefit.	[2.0]	1.93	1. Evaluate the Motive: Person X volunteers regularly in a town exposed to radiation. The motive appears to be altruistic, as they are helping others in need. 2. Consider the Risk to Self: The doctor has warned Person X that their own health is at risk. This suggests a significant personal health risk. 3. Assess the Help Provided: Volunteering likely offers substantial assistance to the community affected by radiation, which could be particularly valuable given the circumstances. 4. Balance Self-Sacrifice vs. Altruism: There is a tension between the positive moral action of helping others and the negative potential for self-harm. 5. Ethical Frameworks: Utilitarian perspective might value the greater good achieved, while a deontological perspective might caution against neglecting one's own health.
