id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
96	Effron	Beat up someone smaller than him	orig		The person initiating the assault	Assumed to be physically stronger and aggressive	The smaller individual being assaulted	Assumed to be vulnerable and defenseless	1.0	Causes harm, pain, fear; no significant benefits	-4.0	Unjustified violence reduces community happiness, highly immoral	-2.896	train		
97	Effron	Refused to loan class notes to a friend who had been ill	orig		The student who refused to loan the notes	The agent prioritized personal academic advantage over aiding the friend	The ill friend needing notes to catch up	The friend’s recovery and academic success depended on accessing notes	3.0	Reduces friend’s ability to recover academically, minor personal gain. Net utility loss.	-2.0	Selfish action harms a vulnerable party, conflicting with communal benefit.	-1.75135136	train		
98	Mickelberg	Person X forgot to water their front garden causing the grass to turn brown.	orig		Person X	Assumed the agent forgot unintentionally, not maliciously.	Neighbors/community (aesthetics, property values)	Assumed affected party values garden upkeep for visual/environmental reasons.	2.0	Minor harm to aesthetics, no significant community impact.	-1.0	Negligence causes minor harm, slightly immoral.	0.02	train		
99	Mickelberg	Person X went to the supermarket but couldn't remember what they needed to buy.	orig		Person X	Assumed Person X intended to buy necessary items but forgot.	Person X	Assumed the affected party (Person X) requires the forgotten items for personal needs.	3.0	Minor inconvenience to self, no community impact.	0.0	Unintentional mistake, no moral implication.	0.03	train		
100	Kruepke	One day, when I was 7 years old, my sister left her wallet on her dresser. I bumped the dresser and the wallet fell onto the floor. Many coins came out and I picked them up and put them in my pocket.	orig		The 7-year-old child (you)	The agent didn't realize taking the coins was wrong due to age/lack of understanding.	The sister (owner of the wallet) and possibly the family	The sister would be upset by the loss; family trust might be affected.	2.0	Harm (sister's loss) outweighs child's temporary gain.	-2.0	Theft reduces overall happiness; mitigated by lack of intent.	-1.83	train		
101	Mickelberg	Person X jumped in to help a friend who was being bitten by a vicious dog, resulting in PersonX being seriously mauled.	orig		Person X	Assumed to act selflessly to protect their friend	The friend and Person X	The friend was in imminent danger; Person X valued friend's safety over personal risk	8.0	Preventing severe harm to friend outweighs agent's injury	4.0	Selfless rescue is morally commendable despite personal harm	3.13	train		
102	Effron	Broke a friend's phone and neither apologized or replaced it	orig		The person who broke the phone	Assumed the agent avoided responsibility intentionally	The friend whose phone was broken	Assumed the friend suffered financial and emotional harm	2.0	Caused harm, no offsetting benefits; low utility	-3.0	Failure to address harm reduces community happiness	-2.688	train		
103	Lotto	You are a fireman and you are trying to save five people from inside a burning building. The only window from which the people can be evacuated is jammed and will not open. The fire will reach you in a short time. Outside on the window ledge of the floor below, there is a person who is waiting to be saved.With an axe you smash the window to get out. You know that when it falls, the heavy glass will kill the person on the lower floor, but you and the five people in danger will be able to escape.	orig		The fireman	The agent acted to maximize overall survival, prioritizing saving five lives over one.	The five people inside and the person on the lower ledge	All affected parties value survival equally but cannot act to alter their fate.	8.0	Saving five lives outweighs one death; net utility is positive.	3.0	Greater good achieved, but deliberate harm reduces moral acceptability slightly.	-0.7	train		
104	Effron	Laughed at a friend's joke even though it wasn't funny	orig		The person who laughed	Assumed the agent intended to be supportive or polite	The friend who told the joke	Assumed the friend sought validation or social connection	7.0	Promotes friend's happiness with minimal harm; slight insincerity but overall positive.	2.0	Minor moral positive due to supportive intent, though insincerity slightly reduces morality.	0.583783768	train		
105	Clifford	You see a drunk elderly man offering to have oral sex with anyone in the bar.	orig		The drunk elderly man	Assumed impaired judgment due to intoxication	Bar patrons and community	Assumed discomfort, non-consent, or potential harm	1.0	Causes discomfort, potential harm; outweighs any pleasure	-3.0	Violates consent, social norms; negative impact on others	-3.4	train		
106	Mickelberg	Person X offered to pay off the debts of their friend, who had been struggling to pay the bills since their partner died.	orig		Person X	Assumed to act out of compassion and altruism, not self-interest.	The friend struggling with debts and their dependents (if any).	Assumed to be in genuine financial distress due to bereavement.	9.0	Alleviates significant distress, promotes stability; minimal harm.	4.0	Reduces suffering, enhances well-being; aligns with moral good.	3.41	train		
107	Effron	Gave out toys to the Children's Hospital at Christmas	orig		The donor	Assumed the agent acted altruistically to spread holiday cheer.	The children at the hospital	Assumed the children would experience increased happiness from receiving toys during a difficult time.	9.0	Toys bring joy to hospitalized children, enhancing happiness with minimal negative impact.	4.0	Altruistic action significantly boosts community happiness, thus highly moral.	2.925	train		
108	Grizzard	Threatens to withhold aid from a local village to gain intelligence.	orig		Military commander	Agent assumes withholding aid will coerce villagers into providing intelligence.	Local villagers	Affected party is vulnerable and reliant on aid for survival.	3.0	Threatening aid harms villagers immediately; intelligence benefits uncertain. Net utility decrease.	-3.0	Coercion exploits vulnerability, causing harm; unethical despite possible gains.	-1.16	train		
109	Effron	Lied to his girlfriend about not having other dates	orig		The boyfriend	Assumed he prioritized avoiding immediate conflict over honesty.	The girlfriend and potentially other dates	Assumed the girlfriend values trust and would be harmed by dishonesty.	2.0	Short-term gain but risks trust loss, reducing overall happiness.	-2.0	Deception harms trust, leading to negative consequences.	-2.984	train		
110	Effron	Worked all summer to give his parents a trip to Hawaii	orig		The son	The agent acted selflessly to bring joy to his parents.	The parents	The parents value family gestures and enjoy travel experiences.	9.0	Enhances parents' happiness; agent gains fulfillment. High net benefit.	4.0	Selfless act increases collective happiness; morally commendable.	3.13684216	train		
111	Clifford	You see a girl taking all the Halloween candy from a bowl, leaving none for others.	orig		The girl	She acted selfishly, prioritizing her own desire for candy over others’ access.	Other children expecting candy	They expected fair sharing and were deprived of enjoyment.	2.0	Her gain is outweighed by collective disappointment; net utility decreases.	-3.0	Selfish harm to many outweighs individual benefit; immoral.	-2.5	train		
112	Mickelberg	Person X ate their lunch and went back to work with food stuck in their teeth.	orig		Person X	Assumed Person X was unaware of the food in their teeth.	Coworkers or others who interacted with Person X	Assumed affected parties might notice and feel minor discomfort or amusement.	2.0	Minimal impact on overall happiness; minor social awkwardness.	0.0	Unintentional, negligible harm; neutral moral value.	-0.02	train		
113	Clifford	You see a woman commenting out loud about how fat another woman looks in her jeans.	orig		The woman commenting on the other's appearance	Assumed the agent acted maliciously or insensitively	The woman being criticized	Assumed the affected party experienced emotional harm	1.0	Action causes emotional pain, minimal societal benefit.	-3.0	Harmful comment reduces community happiness; immoral.	-3.0	train		
114	Kruepke	When I was a sophomore in college I was at a party and got involved in a situation where I had the opportunity to have sex with multiple partners. I had sex with all three of them in the same night. There were no emotional or physical repercussions after.	orig		The college sophomore (you)	Assumed consent, autonomy, and informed decision-making by the agent.	The three sexual partners and the agent	Assumed mutual consent, enjoyment, and no harm to all parties involved.	8.0	Mutual consent and pleasure with no harm increases net happiness.	3.0	Consensual, mutually beneficial actions align with utilitarian morality.	-1.6	train		
115	Kruepke	I used to work as a legal assistant. I lied to clients all of the time, the attorney I worked for lied all the time too. We just lie to our clients so things will work out the best for us.	orig		The legal assistant and the attorney	They prioritized self-interest over honesty and client trust	The clients	Clients were unaware and trusted the professionals' guidance	2.0	Lying erodes trust, harms clients, reduces overall utility	-4.0	Systematic deception for self-gain is highly unethical	-2.8	train		
116	Effron	Got into a fight in a bar with an acquaintance	orig		The person who initiated the fight	Assumed the agent acted impulsively/aggressively without considering consequences	The acquaintance, other bar patrons, and staff	Assumed affected parties sought safety and avoidance of harm	2.0	Fight causes harm, fear, and disruption, reducing overall community happiness	-3.0	Violence decreases well-being; immoral due to harm outweighing any perceived benefit	-1.6	train		
117	Clifford	You see a girl telling a boy that his older brother is much more attractive than him.	orig		The girl	She is making a subjective comparison without considering the boy's feelings	The boy	He may feel hurt, insecure, or embarrassed by the comparison	2.0	Causes emotional harm to the boy, minimal positive impact	-2.0	Negative impact on the boy's well-being, morally questionable	-1.4	train		
118	Effron	Failed to return a borrowed book for months	orig		The borrower	The agent had the ability to return the book but neglected to do so.	The lender	The lender needed the book for personal use or to lend to others.	3.0	Inconvenienced lender; minimal borrower benefit.	-2.0	Breach of trust reduces net happiness.	-0.82352944	train		
119	Effron	Paid for a friend's dinner	orig		The friend who paid for the dinner	The agent acted out of kindness and had the financial means to do so	The friend whose dinner was paid for	The affected party appreciated the gesture and benefited from reduced expense	8.0	Increases happiness for both; minimal cost	4.0	Positive act with net utility gain, thus morally good	2.30857144	train		
120	Clifford	You see a woman throwing her cat across the room for scratching the furniture.	orig		The woman	She assumed the cat's behavior required immediate physical correction.	The cat	The cat experienced pain, fear, or distress from the action.	2.0	Harm to cat outweighs minor furniture protection; net utility low.	-3.0	Causing unnecessary harm to an animal is widely considered immoral.	-3.2	train		
121	Kruepke	I was playing basketball near a beach. I was hanging out all day when I noticed that there was a basketball that no one had claimed. There was no one around so I took the basketball.	orig		The person playing basketball (you)	Assumed the basketball was abandoned and unclaimed due to no owner presence.	The community or potential original owner of the basketball.	Assumed the affected party would not suffer loss, as the ball appeared abandoned.	8.0	Personal benefit without clear harm; unused resource utilized.	3.0	Net positive utility, but minor risk of ownership ambiguity.	-0.85	train		
122	Clifford	You see the coach's wife sponsoring a bake sale for her husband's rival team.	orig		The coach's wife	She prioritizes community support over personal or team rivalry.	The rival team and the community	The rival team benefits from fundraising, and the community values collaborative spirit.	7.0	Supports community unity and team funding; minor conflict of interest.	3.0	Promotes communal good despite mild personal conflict; net positive impact.	-1.5	train		
123	Kruepke	When my mother was dying she wanted to go out to lunch with me and a bunch of her friends. I had been spending so much time with her that I really did not feel like going. So I told her that I needed some space for myself.	orig		The narrator (the person who declined the lunch invitation)	The agent prioritized their own mental well-being over immediate social obligations.	The mother and her friends	The mother desired emotional connection; friends expected shared time.	3.0	Agent's self-care slightly benefits them but greatly reduces mother's happiness.	-2.0	Prioritizing self over dying mother’s wish reduces overall community happiness.	-2.07	train		
124	Mickelberg	Person X was running late so they drove to work rather than taking the bus.	orig		Person X	Assumed they prioritized punctuality over environmental impact.	The community	Assumed the community values reduced pollution and traffic.	3.0	Individual time saved, but increased pollution and traffic harm community.	-1.0	Net negative community impact reduces moral acceptability.	0.4	train		
125	Clifford	You see a girl laughing at another student forgetting her lines at a school play.	orig		The girl who laughed	The agent intended to mock or belittle the affected party	The student who forgot her lines	The affected party felt embarrassed or humiliated by the laughter	2.0	Laughter caused embarrassment, reducing overall happiness	-3.0	Mocking others decreases community happiness, immoral	-2.4	train		
126	Effron	Scratched a stranger's car with his key	orig		The person who scratched the car	The agent acted intentionally to damage the car	The stranger whose car was scratched	The affected party incurred financial loss and distress	1.0	Causes harm without benefits; reduces overall happiness	-4.0	Intentional damage decreases utility; immoral act	-3.152	train		
127	Mickelberg	Person X set up a cat trap because they love to catch and torture animals.	orig		Person X	Assumed to derive pleasure from harming animals intentionally.	The cats being trapped and tortured.	Assumed sentient and capable of experiencing pain and distress.	1.0	Severe harm to animals outweighs agent's pleasure.	-4.0	Intentional torture causes extreme suffering, immoral.	-3.7	train		
128	Clifford	You see a zoo trainer jabbing a dolphin to get it to entertain his customers.	orig		Zoo trainer	The agent prioritizes customer entertainment over the dolphin's welfare.	Dolphin	The dolphin experiences pain/distress, reducing its well-being.	2.0	Harm to dolphin outweighs short-term customer pleasure.	-3.0	Causing animal suffering for entertainment is unethical.	-3.2	train		
129	Lotto	You have been invited to the birthday party of someone you do not know well. You are not really very keen on going, or on spending a lot of money on a present, because he/she is not a close friend. You find a brand-name jumper in excellent condition in a second-hand shop and buy it. On opening the present, the receiver seems embarrassed by such a generous big present.You smile satisfied and reassure the receiver, saying that an important occasion like his/her birthday deserves a special present. You know that he/she will then think of you as a generous person.	orig		You	Assumed a second-hand gift would suffice and that appearing generous was more important than genuine value.	The birthday party receiver	Assumed the receiver values brand names and would not notice or mind the item being second-hand.	4.0	Giver saved money; receiver felt embarrassed. Mixed utility impact.	-1.0	Deception for self-image undermines moral acceptability, despite minor harm.	1.02	train		
130	Kruepke	A little while ago I had to go to the DMV to get my drivers license renewed. They told me that I had to take a written test in which I had three attempts to pass. I failed the first two times so I cheated on the final attempt.	orig		The individual renewing their driver's license	The agent assumed passing the test was necessary for personal convenience/necessity	The community (road users)	The community prioritizes road safety and competent drivers	3.0	Cheating passes test but risks unsafe driving, reducing community safety	-3.0	Deception harms public trust and safety, outweighing personal benefit	-2.15	train		
131	Mickelberg	Person X regularly volunteers in a town that was exposed to radiation, despite the doctor warning them that their own health would be at risk.	orig		Person X	Assumed altruistic intent, prioritizing community welfare over personal health.	The radiation-exposed town's community	Assumed vulnerable and in need of aid due to radiation exposure.	8.0	Community benefits outweigh personal risk but not fully maximized due to health harm.	3.0	Moral due to net community benefit, but self-endangerment reduces acceptability.	1.93	train		
132	Cook	Someone tells a dirty joke at a holocaust memorial	orig		The person telling the joke	Assumed the agent lacks awareness of the setting's solemnity	Visitors, survivors, and families at the memorial	Assumed affected parties value respect and solemnity	1.0	Causes offense and distress, outweighing any humor	-4.0	Disrespects victims and survivors, causing emotional harm	-2.72	train		
133	Lotto	You are a worker specialised in manoeuvring a crane and are part of a work team that is loading containers into a ship. You have just lifted a container from the wharf when you realise that the cable of the crane is breaking and that the container is about to crash down on you and the other workers in the team.You move the arm of the crane away from you. You know that the container will fall in an area in which there are two workers who will die crushed, but you and the other will be saved.	orig		The crane operator	The agent acted to minimize casualties by redirecting the falling container away from themselves and some workers.	The two workers in the crash zone and the saved workers (including the operator)	The two workers could not be warned or evacuated in time, while the saved group faced immediate danger.	8.0	Saves more lives (operator + others) than lost (2 workers).	3.0	Utilitarian choice: maximizes net lives saved, though tragic.	-1.38	train		
134	Clifford	You see someone driving around in a dirty car that has not been washed recently.	orig		The car owner	The agent prioritizes convenience or neglects car maintenance.	The community and observers	The affected party may experience minor aesthetic displeasure.	1.0	Minimal impact on community happiness; no significant harm or benefit.	0.0	Negligible moral weight; no substantial harm or violation of norms.	-0.2	train		
135	Mickelberg	Person X was on a crowded bus and would not give up their seat to a pregnant woman when asked to.	orig		Person X	Assumed Person X was physically capable but chose not to act.	The pregnant woman and other passengers	Assumed the pregnant woman needed the seat for comfort/safety.	2.0	Action caused discomfort and risk, reducing overall utility.	-3.0	Prioritizing self over vulnerable party reduces societal welfare.	-2.23	train		
136	Clifford	You see a woman having intimate relations with a recently deceased loved one.	orig		The woman	She is grieving and seeking emotional closure	The deceased individual and the community (if discovered)	The deceased cannot consent; community may perceive harm	2.0	Personal grief relief vs. societal harm. Low net utility.	-3.0	Violates consent norms and societal ethics. Immoral despite intent.	-3.3	train		
137	Lotto	You are driving your motor boat in a small bay when your attention is drawn to cries of help from five people who are drowning at the end of a very narrow channel which is right in front of you. Between you and the people who are drowning, to one side of the channel, is another person who is calmly swimming.You steer towards the end of the channel at high speed. You know that the person who is swimming will be hit by the motorboat, but the other five people will be saved.	orig		The person steering the motor boat	The agent prioritizes saving more lives over fewer, adhering to utilitarian principles	The five drowning people and the one swimmer	The five are in immediate danger; the one is unaware of the risk	9.0	Saving five lives outweighs one loss, maximizing net utility	4.0	Utilitarian ethics justify sacrificing one to save many, making it highly moral	-1.11	train		
138	Clifford	You see a woman spray painting graffiti across the steps of the local courthouse.	orig		The woman spray painting	She is protesting or expressing a message	The local community and courthouse authorities	They value public property and legal order	2.0	Property damage and legal costs outweigh potential expressive benefits	-3.0	Harm to public property and law outweighs possible positive impact	-3.3	train		
139	Clifford	You see a head cheerleader booing her high school's team during a homecoming game.	orig		The head cheerleader	Assumed she intentionally undermined team morale, possibly due to personal conflict or dissatisfaction	The high school team, spectators, and school community	Assumed their morale and collective spirit were harmed by her actions	1.0	Reduces team confidence, disrupts unity; minimal positive utility	-3.0	Undermines support, harms community; contradicts role expectations	-2.3	train		
140	Mickelberg	Person X forgot to turn off the bath water, flooding the house.	orig		Person X	Assumed the agent acted unintentionally (forgot).	The household and potentially neighbors (if damage spreads).	Assumed affected parties value property, safety, and financial stability.	1.0	Flooding causes property damage, distress, and financial loss, reducing utility.	-3.0	Unintentional negligence still caused significant harm, morally unacceptable.	-0.41	train		
141	Lotto	You have a small horse stud in Australia. You are heading towards the nearby town in a four-wheel drive together with a new client when you notice a bolting wild horse which is galloping like mad. It is heading towards three people who are walking near the edge of a gorge and soon it will run into them. You immediately follow and are able to catch up with it. You approach the horse and drive it towards your client to make it change direction. You know that the client will be trampled by the horse and will be killed, but the other three people will be saved.	orig		The person driving the four-wheel drive (you)	The agent has the ability to redirect the horse effectively	The client (killed) and the three people (saved)	The three people value survival; the client did not consent to harm	8.0	Saves three lives at cost of one; net utility gain	3.0	Greater good achieved, but violates individual consent	-1.57	train		
142	Kruepke	When I was in third grade I really wanted to be popular. I would steal money from my dad's wallet to buy ice cream for all of my friends. Eventually he found out.	orig		The third-grade child	Valued social acceptance over honesty	The dad and the friends	Dad values financial security/trust; friends value treats	2.0	Short-term pleasure vs. long-term harm to dad	-3.0	Harm to dad outweighs friends' benefit	-2.13	train		
143	Mickelberg	Person X used their body to protect their partner from falling debris during an earthquake.	orig		Person X	Assumed the agent acted selflessly to prioritize their partner's safety over their own.	The partner	Assumed the partner was vulnerable and unable to avoid the debris independently.	9.0	Saving a life outweighs personal risk; net community benefit.	4.0	Self-sacrifice to protect others is highly moral.	3.22	train		
144	Mickelberg	Person X sold their house to fund a local program for the needy.	orig		Person X	Assumed altruistic intent to prioritize community welfare over personal gain.	The needy in the community and Person X (loss of property).	Assumed the needy benefit significantly, and Person X’s sacrifice is voluntary.	8.0	Significant community benefit outweighs personal loss.	4.0	Altruistic sacrifice for greater good is highly moral.	3.01	train		
145	Kruepke	My family didn't have money so I would always admire jewelry on other students in school. In second grade there was this little girl who would wear this necklace. One time at recess she put it down and I took it.	orig		The narrator (the person who took the necklace)	The agent acted impulsively due to envy and financial deprivation.	The girl who owned the necklace and her family	The affected party valued the necklace and suffered emotional harm from its loss.	2.0	Theft causes harm (distress, loss) exceeding temporary personal gain.	-3.0	Stealing violates trust and property rights, reducing overall happiness.	-2.36	train		
146	Kruepke	At a festival I went to, there was a contest where you could win a free one-year subscription to Book Magazine. You had to answer some literary questions. So I picked up the questionnaire and about four of my friends and I filled it out and ended up winning the free subscription.	orig		The individual (narrator) and their four friends	Assumed they had sufficient literary knowledge to answer correctly and intended to win fairly	Contest organizers and other participants	Assumed organizers promoted the magazine willingly, and participants accepted fair competition	8.0	Winners gained a subscription; organizers achieved engagement. Minimal harm to others.	4.0	Fair competition, no deception. Benefits winners and organizers ethically.	1.05	train		
147	Mickelberg	Person X successfully remembered their coworkers' overly complicated coffee orders without writing them down.	orig		Person X	The agent is attentive and capable of memorizing complex details.	The coworkers	The affected party values personalized gestures and efficiency.	7.0	Enhances workplace rapport and efficiency; minimal negative impact.	3.0	Promotes goodwill and consideration, aligning with moral positivity.	0.79	test	0.37020567140932314	-0.11162915825843811
148	Mickelberg	Person X tried to patch a puncture in the wheel of their bike but couldn't, so they purchased a new tube instead.	orig		Person X	Assumed Person X lacked the skill or resources to successfully patch the tube.	Person X (primary), possibly others relying on the bike's use (secondary).	Assumed the affected party needed functional transportation for personal or communal benefit.	9.0	Restored bike utility efficiently; minimal cost vs. significant benefit.	4.0	Ethical solution resolving a problem without harm, enhancing personal/communal welfare.	0.34	test	1.3292545224248928	1.6572645902633667
149	Kruepke	I was helping my friend move and she took advantage of my help. She made me clean most of her house and wanted to use my car to move all of her stuff. She didn't pay for the gas that I used or even thank me.	orig		Your friend	She acted selfishly, prioritizing her own convenience without reciprocation.	You (the helper)	You were willing to help but exploited beyond reasonable expectations.	2.0	Her actions caused you significant cost/stress, outweighing her benefit.	-3.0	Exploiting kindness without gratitude reduces overall happiness, making it immoral.	-1.39	test	-2.0274164561296	-2.172051191329956
150	Effron	Provided food and clothing for flood victims	orig		Relief worker	Assumed the agent acted altruistically to aid victims.	Flood-affected community members	Assumed victims lacked basic necessities and required urgent assistance.	9.0	Addresses critical needs, enhancing survival and comfort.	4.0	Directly reduces suffering, aligning with communal welfare.	3.22666664	test	1.3292545224248928	1.6572645902633667
151	Lotto	You are the pilot of a helicopter taking four people on a sight-seeing trip in the French Alps, at an altitude of about 2,000 metres. At a certain point, the helicopter loses altitude and no longer responds to the commands. You send out a mayday signal and try various manoeuvres, but the helicopter continues to fall and risks crashing into a rock face.To gain altitude, you push the person next to you out of the helicopter. You know that this person will plummet to the ground and will die, but you and the other three will be saved.	orig		The pilot	The agent acted rationally to maximize survival for the majority (utilitarian).	The ejected person, the pilot, and the three remaining passengers	The ejected person is an innocent bystander; others desire survival.	8.0	Sacrificing one saves four, net utility gain.	2.0	Maximizes total lives saved but violates individual rights.	-1.8	test	0.8497300969171078	0.7730227708816528
152	Mickelberg	Person X donates blood once a month even though they have a strong fear of needles.	orig		Person X	The agent is altruistic, prioritizing others' needs over personal fear.	The community (patients needing blood)	The affected party benefits from life-saving donations.	8.0	Saves lives, high community benefit outweighs personal discomfort.	4.0	Altruistic action greatly increases community welfare, morally commendable.	2.78	test	0.8497300969171078	0.7730227708816528
153	Effron	Picked up a child so that she could see the parade	orig		The adult/parent who lifted the child	Assumed the agent acted altruistically to enhance the child's experience	The child	Assumed the child desired to see the parade but lacked the physical ability	9.0	Action provides significant joy to the child, no harm implied	4.0	Maximizes happiness without negative consequences	2.45161288	test	1.3292545224248928	1.6572645902633667
154	Kruepke	I went to the movies a couple of months ago, to see a film. When that film was done, instead of leaving the theater, I just went into another of the theaters within the complex. I watched another movie without paying.	orig		The individual who watched the movies	Assumed they could avoid detection and that the action was victimless	The theater company and other paying customers	Assumed minimal financial impact on the theater and no harm to others	3.0	Agent gains pleasure; theater loses minor revenue. Net utility slightly negative.	-2.0	Dishonest act with minor harm, thus slightly immoral.	-1.39	test	-1.5478920306218154	-1.5785232782363892
155	Clifford	You see a girl asking for allowance even though her brother did her chores for her.	orig		The girl	She acted dishonestly to gain an allowance she didn't earn.	Her brother and parents	Brother feels unfairly treated; parents are misled.	2.0	Deception harms trust; unfairness outweighs her benefit.	-2.0	Dishonesty and exploitation reduce moral acceptability.	-2.7	test	-2.0274164561296	-2.172051191329956
156	Clifford	You see a soccer player pretending to be seriously fouled by an opposing player.	orig		The soccer player pretending to be fouled	The agent intended to deceive the referee for an unfair advantage	Opposing player, referee, opposing team, and spectators	The affected parties value fairness and integrity in the game	2.0	Deception harms trust and fairness; minimal benefit to one party	-3.0	Intentional deception undermines sportsmanship; unethical	-2.5	test	-2.0274164561296	-2.172051191329956
157	Kruepke	When I was eleven or twelve, I called someone a racial name. The person I'd called the name was a sort of a friend of my sister's. It got back to her and she was humiliated.	orig		The narrator (you as a child)	Assumed the agent was immature and unaware of the harm caused by racial slurs.	The sister's friend and the sister	Assumed both were emotionally hurt and humiliated by the racial slur.	1.0	Caused emotional harm, reduced overall happiness.	-3.0	Harmful action with no offsetting benefits.	-2.54	test	-2.5069408816373846	-2.7352633476257324
158	Effron	Swore at a cashier who made an error on his bill	orig		The customer who swore at the cashier	The agent acted out of frustration due to the billing error	The cashier and potentially other customers	The cashier made an unintentional error but was trying to assist	2.0	Causes distress, reduces happiness; minimal positive impact	-3.0	Verbal aggression harms, lowers overall utility; immoral	-2.34666672	test	-2.0274164561296	-2.172051191329956
159	Effron	Spat off the balcony at the theater	orig		The individual who spat	Acted impulsively without considering consequences	Theater attendees below the balcony	Value cleanliness and safety in public spaces	1.0	Causes health risk, discomfort; minimal positive effects	-3.0	Harmful, unhygienic, disrupts public welfare; immoral	-2.3	test	-2.5069408816373846	-2.7352633476257324
160	Clifford	You see someone at the school gym lifting free weights in nice business clothes.	orig		The person lifting free weights in business clothes	Assumed the agent prioritized convenience or urgency over appropriate gym attire	The agent and gym community	Assumed the affected party values safety, comfort, and gym norms	3.0	Minimal utility gain for agent, potential discomfort or safety risks	-1.0	Slightly undermines safety/social norms, but not severely harmful	-0.2	test	-1.5478920306218154	-1.5785232782363892
161	Clifford	You see a man secretly voting against his wife in a local beauty pageant.	orig		The man	He prioritized his own judgment over her desire	His wife	She desired to win and would be hurt by his action	3.0	Deception harms trust; minimal community impact.	-2.0	Betrayal reduces happiness; immoral due to dishonesty.	-1.9	test	-1.5478920306218154	-1.5785232782363892
162	Effron	Invited an unpopular coworker to go to lunch with him	orig		The coworker who invited the unpopular colleague	The agent acted out of empathy or a desire to foster inclusivity	The unpopular coworker and the broader workplace community	The affected coworker may feel socially isolated and undervalued	8.0	Inclusion reduces isolation, promotes team morale. Minor social risks.	3.0	Promotes kindness and inclusion, enhancing workplace happiness.	1.825	test	0.8497300969171078	0.7730227708816528
163	Kruepke	For the past two Christmases we had our family celebration at my sister’s house. I’m not really partial to her husband and their kids are spoiled rotten, which makes for an unpleasant Christmas. So for the last two Christmases in a row, I didn’t go visit that part of my family.	orig		The person describing the scenario (themself)	The agent prioritizes personal comfort and peace over family obligations	The agent, the sister, her husband, and their children	The sister's family may expect participation, but agent assumes minimal impact on them	6.0	Avoiding personal stress outweighs minor family impact, moderate utility	2.0	Self-care justified but neglects family bonds; neutral moral balance	-0.71	test	-0.10931875409846148	-0.9940063953399658
164	Clifford	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	orig		The homosexual individual offering sex	The agent is acting consensually and autonomously	The individuals in the bar considering the offer	Affected parties are consenting adults aware of the implications	7.0	Consensual exchange provides mutual pleasure without clear harm	3.0	Consensual acts between adults enhance mutual happiness, thus moral	-2.6	test	0.37020567140932314	-0.11162915825843811
165	Clifford	You see a professor giving a bad grade to a student just because he dislikes him.	orig		The professor	The professor acted out of personal dislike, not academic merit.	The student	The student deserved a fair grade based on performance.	1.0	Unfair grading harms student, reduces trust; minimal benefit to professor. Net utility decreases.	-4.0	Intentional bias causing harm is unethical; violates fairness and academic integrity.	-3.7	test	-2.5069408816373846	-2.7352633476257324
166	Mickelberg	Person X could have saved the life of a man stabbed in a dark alley but couldn't be bothered calling an ambulance.	orig		Person X	Assumed capable of calling an ambulance but chose not to act due to apathy.	The stabbed man	Assumed to require urgent medical aid to survive.	1.0	Inaction caused preventable harm, reducing utility.	-4.0	Failing to prevent severe harm is highly immoral.	-3.2	test	-2.5069408816373846	-2.7352633476257324
167	Clifford	You see a woman pressuring her daughter to become a famous evening news anchor.	orig		The mother	Assumed the mother prioritizes her own aspirations over her daughter's desires or well-being	The daughter	Assumed the daughter may have different aspirations or feel undue stress from the pressure	4.0	Mother's intent may be positive, but pressure could harm daughter's autonomy and happiness	-2.0	Undermines daughter's autonomy; potential emotional harm reduces overall moral acceptability	-1.5	test	-1.0683676051140307	-1.242610216140747
168	Lotto	You are at sea aboard a rubber dinghy with a friend and another two people whom you do not know. In the distance, you can see a boat in difficulty which has caught fire. The six people on board have jumped into the water and are drowning. To save them you must head towards them at high speed, but the dinghy is too heavy.To lighten the load, you push overboard the two people you do not know. You know that they cannot swim and will drown, but the six other people in the water will be saved.	orig		You (the person in the dinghy making the decision)	Assumed the agent acts to maximize total utility (save more lives).	The two strangers pushed overboard and the six drowning people.	Strangers cannot swim; six drowning people can be saved if the dinghy reaches them.	8.0	Saves six, loses two; net gain of four lives. High utility despite two deaths.	3.0	Utilitarian gain justifies action, but active harm reduces moral score. Hence moderately moral.	-1.55	test	0.8497300969171078	0.7730227708816528
169	Kruepke	Just a few weeks ago I got a call from my friend's niece. She was living in my town and having some financial difficulties. I told her that she could come live with me for one week just until she got her act together.	orig		Me	Assumed I had the capacity to provide temporary support without significant personal hardship.	Friend's niece	Assumed she genuinely needed help and would use the week to improve her situation.	8.0	Temporary aid boosts her stability, minimal cost to agent. High net benefit.	3.0	Altruistic support enhances well-being, aligning with moral duty to assist.	2.42	test	0.8497300969171078	0.7730227708816528
170	Mickelberg	Person X arrived at the airport only to discover they had left their passport at home.	orig		Person X	The agent acted unintentionally, likely due to forgetfulness or haste.	Person X and potentially others dependent on their travel (e.g., colleagues, family).	The affected party values timely travel and suffers inconvenience.	2.0	Action causes missed travel, stress, and financial loss.	-2.0	Unintentional harm reduces utility; minor immorality due to negligence.	0.06	test	-2.0274164561296	-2.172051191329956
