id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	Q8_score	Q8_expl	moral_score	moral_expl	human_score
64	Effron	Had a welcoming party for some new neighbors	orig		An existing neighbor who hosted the party.	Assumed the agent is an established resident welcoming new neighbors.	The new neighbors.	Assumed they are new residents moving into the neighborhood.	6.0	New neighbors may feel slightly vulnerable in a new environment.	7.0	Hosting a party involves planning and preparation.	0.0	No harm was caused; the action was friendly.	7.0	Provided substantial social support to new neighbors.	3.0	Intentional act providing help with no harm; morally commendable.	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		The commander of the Russian military submarine	Assumed the commander aims to save the majority	The crew member who was shot	Assumed to be a regular crew member under command	9.0	The patient was defenseless and highly susceptible to harm	9.0	The action was deliberate with extensive planning	10.0	Resulted in death, inflicting maximum harm	9.0	Ensured survival of remaining crew in life-threatening situation	-2.0	Intentional killing of a defenseless person is morally unacceptable	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		The boy.	He wants to avoid listening to his father.	The father.	He wants to share his military experiences.	7.0	The father is emotionally vulnerable, seeking connection.	4.0	The boy acted impulsively to avoid listening.	4.0	The father may feel ignored, causing minor harm.	0.0	No help was provided to the father.	-2.0	Disrespectful action causing minor emotional harm.	-2.1
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		I and my friend, employees at the fast food restaurant.	That they wanted to prevent waste and benefit personally by taking the excess food home.	The fast food restaurant (the employer).	That the restaurant aims to control inventory and prevent unauthorized taking of food.	3.0	The patient is a corporation, generally resilient to minor losses.	7.0	They knowingly took the food despite policy, with some planning.	2.0	Minimal impact on the restaurant, food was to be discarded.	4.0	They benefited personally by getting extra food.	-1.0	Minor harm caused intentionally for personal gain, but low impact.	0.39
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		Person X	Person X is a musician seeking greater success	Their long-term band	The band valued Person X's contribution and is affected by their departure	5.0	The band may be affected but has resilience as a group.	7.0	Person X made a planned decision to leave for a better opportunity.	4.0	The band faces minor setback losing a member.	0.0	No help was provided to the band.	0.0	Person X sought personal growth; minimal harm to others.	-0.81
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		You, the leader of the expedition	Assumed to be a responsible leader making difficult decisions under survival conditions	The two expedition members who were shot	Assumed to be average adults, equal in status to others	7.0	They are typical adults with some vulnerability to harm	8.0	The action was premeditated to ensure survival	10.0	The action resulted in the death of two people	9.0	Saved five people in a life-threatening situation	0.0	Killing is immoral but saved more lives; morality is ambiguous	-1.57
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		Person X	Assumed Person X is an employee seeking promotion	Their boss	Assumed the boss has authority to grant promotions	3.0	Boss is in position of authority, low vulnerability	8.0	Person X planned the discussion to convince boss	0.0	No harm was caused to the boss	1.0	Minimal help to boss by demonstrating readiness	2.0	Action is morally acceptable with no harm	0.52
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		The boss who hired the woman.	He is favoring personal connections over merit.	Other qualified job applicants who didn't get the job.	They were more qualified but were overlooked due to nepotism.	6.0	They are average individuals harmed by unfair hiring.	7.0	The boss deliberately chose nepotism over merit.	4.0	Caused minor harm by denying fair opportunities.	7.0	Provided substantial help by giving her the job.	-2.0	Unfair hiring is moderately immoral despite helping one person.	-2.4
72	Effron	Stole into a parking place while someone else was backing in	orig		A driver who stole the parking spot.	Assumed to be an adult driver acting intentionally.	The driver who was backing into the parking spot.	Assumed to be an adult driver attempting to park.	6.0	The patient is a typical adult with average vulnerability.	7.0	The driver deliberately took the spot without extensive planning.	4.0	Caused minor harm by inconveniencing the other driver.	0.0	No help was provided to anyone in the scenario.	-2.0	The intentional act caused minor harm; therefore, it's somewhat immoral.	-1.93846152
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		The narrator ('I' in the scenario).	Assumed to be a single adult visiting the Bahamas.	The married man she was attracted to.	Assumed to be an adult married man.	7.0	The patient is an average adult with typical vulnerability.	7.0	The action was deliberate flirting after some thought.	1.0	Minimal harm as no actions were taken beyond flirting.	0.0	No assistance or help was provided.	-1.0	Slightly immoral due to intentional flirting with a married man.	-0.71
74	Kruepke	As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn't even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.	orig		The driver who backed out and bumped the parked car.	I assumed the agent is a typical adult driver.	The owner of the parked car that was damaged.	I assumed the patient is a typical car owner.	5.0	The patient is indirectly affected; moderate vulnerability.	7.0	Choosing to leave without notifying shows intent.	4.0	Minor damage to property was caused.	0.0	No assistance was provided; driver did nothing.	-3.0	Deliberate avoidance after causing harm is unethical.	-1.93
75	Lotto	You are a nurse who is in charge of a machine which controls drug dosage levels in patients’ blood. Because of a technical failure, the machine is supplying a lethal dose of the drug to four patients. Another patient, in a single room, is hooked up to the same machine and has not undergone any variation in dosage.Press the button to block the drug supply to the four patients. You know that the overdose of drug will be redirected to the patient in the single room, who will die, but the other four will be saved.	orig		The nurse.	The nurse is responsible for operating the machine and is aware of the consequences.	The single patient in the single room.	The patient is unaware and defenseless.	9.0	The patient is defenseless and unaware, highly susceptible to harm.	9.0	The nurse knowingly redirects harm to the patient after deliberate thought.	10.0	The patient dies as a result of the action.	10.0	The nurse saves four patients from certain death.	1.0	Action saves four but harms one; slightly morally acceptable.	-1.16
76	Mickelberg	Person X went to a fancy restaurant but couldn't pronounce the items on the menu.	orig		Person X	Assumed X is unfamiliar with fancy dining.	Person X	Assumed X felt embarrassed by inability to pronounce items.	7.0	Person X is an average adult with typical susceptibility to harm.	1.0	Mispronouncing items was accidental; X didn't intend it.	3.0	X may feel minor embarrassment over mispronouncing items.	0.0	No assistance or help occurred in the scenario.	0.0	No moral transgression occurred; scenario is morally neutral.	0.06
77	Kruepke	Recently I was supposed to go to a meeting with a whole bunch of people who are not my friends, just acquaintances. I really didn't want to go. So I emailed the group saying that I had to work that day, when in reality I didn't.	orig		The person who sent the email (the agent in the scenario).	Assuming the agent is an adult avoiding the meeting by lying.	The group of acquaintances expecting the agent at the meeting.	Assuming they are adult acquaintances minimally impacted by the absence.	4.0	Patients are resilient adults, minimally affected.	7.0	Agent deliberately planned to lie to avoid the meeting.	3.0	Minor harm like disappointment or inconvenience.	0.0	No help provided; agent did not assist patients.	-1.0	Agent lied, causing minor harm; action is mildly immoral.	-0.71
78	Lotto	You are in the head office of your bank together with four other people. Suddenly, the director calls you because he has discovered a bomb in an office on the ground floor. He knows you are a bomb disposal expert and asks you to defuse it. You realise immediately that there is not enough time to evacuate the people in the bank before the bomb explodes.You throw the bomb into the basement where there is the security vault. You know that the explosion will kill the security guard in the vault, but you and the other four people will be saved.	orig		You, the bomb disposal expert.	The agent is acting quickly to save lives, with bomb disposal expertise.	The security guard in the vault.	The patient is defenseless, unaware of danger, and unable to escape.	9.0	The guard is defenseless and unaware, highly vulnerable to harm.	7.0	Action taken knowingly under time pressure, intending consequences.	10.0	Action resulted in the death of the security guard.	9.0	Saved five lives in a life-threatening situation.	1.0	Saved lives but intentionally harmed an innocent; slightly morally acceptable.	-0.85
79	Lotto	You are driving your new and very expensive car along a narrow country road. On the edge of the road you see a person who has just fallen off their bicycle. This person has hit their head violently and asks you if you can accompany them to the nearest hospital. You realise that because of the fall the person is now covered with mud.You leave the injured person on the side of the road. You know that sooner or later somebody will pass by and, in this way, you will not dirty the leather seats in your new car.	orig		The driver of the car	Assumed the agent values car cleanliness over helping others	The injured cyclist who fell off their bicycle	Assumed the patient is injured and needs immediate assistance	9.0	The patient is injured and defenseless after a head injury	7.0	The agent chose not to help to keep car clean	6.0	By not helping, the agent risked worsening patient's condition	0.0	The agent offered no assistance to the injured person	-4.0	Neglecting a vulnerable person in need is extremely immoral	-1.72
80	Clifford	You see a boy placing a thumbtack sticking up on the chair of another student.	orig		A boy placing a thumbtack.	He intends to harm or prank the other student.	Another student who will sit on the chair.	They are unaware and vulnerable to being hurt.	9.0	The patient is a child, unaware, and highly vulnerable.	8.0	He deliberately placed the thumbtack to cause harm.	5.0	Potential for minor physical injury causing pain.	0.0	No assistance or protection was offered.	-3.0	Deliberate harm to a vulnerable child is highly immoral.	-2.8
81	Clifford	You see a man telling his girlfriend that she must convert to his religion.	orig		The man telling his girlfriend to convert.	He is pressuring her to change her religion.	His girlfriend.	She may not want to convert and feels pressured.	7.0	She is emotionally susceptible to her partner's demands.	8.0	He deliberately tells her to convert to his religion.	5.0	He may cause emotional distress by pressuring her.	1.0	He offers no assistance or benefit to her.	-3.0	He pressures her to change beliefs, causing distress.	-2.5
82	Effron	Ate all the food before anyone else could have any	orig		John	I assumed the agent was an adult who was hungry.	Other people who were supposed to have some of the food.	I assumed they were guests at a gathering expecting to eat.	7.0	The patients were typical adults expecting food; medium-high vulnerability.	7.0	The agent acted intentionally with some planning; medium-high intentionality.	4.0	Caused inconvenience and hunger; minor harm.	0.0	No assistance was provided; minimum help.	-2.0	Intentional selfish action causing minor harm; moderately immoral.	-2.05333328
83	Clifford	You see a man staying inside his home with the shades drawn on a rare sunny day.	orig		The man staying inside his home.	He chooses to stay indoors despite the sunny weather.	The man himself is the patient.	He may be depriving himself of sunlight.	7.0	Average adult with medium-high vulnerability.	7.0	He intentionally chose to stay inside.	2.0	Minimal self-harm by missing sunlight.	0.0	No assistance or benefit provided.	0.0	Personal choice with minimal harm; morally neutral.	-0.1
84	Grizzard	Accidentally wounds a young soldier when firing a warning shot.	orig		An experienced soldier firing a warning shot.	I assumed the agent is an experienced soldier aiming to warn others.	A young soldier who was accidentally wounded.	I assumed the patient is a young, less experienced soldier.	7.0	The young soldier is of average resilience, susceptible to harm.	7.0	The agent intentionally fired, but the wounding was accidental.	7.0	The soldier was wounded, causing significant but not fatal harm.	6.0	Firing the warning shot intended to alert or protect others.	1.0	Despite good intentions, accidental harm makes the action slightly immoral.	-0.4933333333
85	Effron	Left food out for stray dogs	orig		An adult individual.	The agent is compassionate and wants to help stray dogs.	Stray dogs.	The stray dogs are hungry and in need of food.	9.0	The stray dogs are vulnerable animals in need of food and care.	7.0	The agent decided to help, involving some thought but not extensive planning.	0.0	The action did not cause any harm to the dogs.	7.0	The agent provided substantial assistance by feeding hungry stray dogs.	4.0	Helped vulnerable animals without causing harm, making it highly moral.	2.24864864
86	Mickelberg	Person X scratched their neighbor's expensive car with a key, as he always parked it at the front of PersonX's house.	orig		Person X	Assuming Person X is an adult annoyed by the neighbor parking in front of their house.	The neighbor	Assuming the neighbor owns the expensive car and parks it in front of Person X's house.	7.0	The neighbor is a typical adult susceptible to harm.	7.0	Action was deliberate with some thought but not extensive planning.	5.0	Caused minor property damage by scratching the car.	0.0	No help was provided in this action.	-3.0	Deliberately harming someone's property is immoral.	-2.41
87	Lotto	The healthy carrier of a contagious and lethal disease is being held in quarantine in hospital. Suddenly the ventilation system breaks down and there is no longer a change of air in the room. The emergency system will shortly be activated and an internal window will be opened. This window opens into a ward in which five patients are being treated for various illnesses.You block the emergency system by pressing a button which will keep the window closed. You know that the healthy carrier will suffocate, but the five patients will be saved from mortal contagion.	orig		The person who pressed the button to keep the window closed.	That the agent is a hospital staff member aware of the consequences.	The healthy carrier who suffocates.	That the patient is unaware and cannot prevent their suffocation.	9.0	The patient is defenseless and cannot prevent their suffocation.	7.0	Action taken with knowledge of consequences, some thought but limited planning.	10.0	Action results in the death of the patient.	10.0	Action saves five patients from mortal contagion.	-2.0	Intentional killing of one defenseless person, despite saving five; overall morally unacceptable.	-0.36
88	Clifford	You see a father requiring his son to become a commercial airline pilot like him.	orig		The father	I assumed the father is pressuring his son to follow his career path.	The son	I assumed the son is feeling pressured to become a pilot.	8.0	Son is vulnerable to father's influence; susceptible to parental pressure.	9.0	Father deliberately pressures son to follow his career.	4.0	Causes minor psychological stress due to pressure.	5.0	Offers guidance and support for a stable career.	-1.0	Father undermines son's autonomy; slightly immoral.	-1.9
89	Cook	Someone yells at a server at a restaurant because their meal is late	orig		The customer who yelled at the server.	They are frustrated because their meal is late.	The server at the restaurant.	They are a typical adult doing their job.	7.0	The server is an average adult susceptible to emotional harm.	4.0	The customer acted impulsively out of frustration.	4.0	Yelling caused minor emotional harm to the server.	0.0	No assistance or protection was offered.	-2.0	The impulsive act caused minor harm; thus, it's moderately immoral.	-2.35
90	Kruepke	I said some bad things about this guy that I work with. He told me some secrets that I promised not to share, but I did anyway. He didn't find out but I was afraid if he did, he might do something crazy.	orig		You	That you knowingly broke a promise and shared confidential information	Your coworker	That your coworker trusted you and might react badly if he found out	7.0	Coworker is susceptible to harm if secrets are revealed.	7.0	You shared secrets knowing you promised not to.	5.0	Potential for minor harm through breach of trust.	0.0	No assistance or benefit was provided to anyone.	-3.0	Breaking a promise and risking harm is immoral.	-2.0
91	Mickelberg	Person X punched a woman for wearing a hijab because PersonX thinks they should not be allowed in this country.	orig		Person X	Assumed to be an individual with xenophobic beliefs	A woman wearing a hijab	Assumed to be an innocent bystander targeted for her attire	7.0	The woman is a typical adult, moderately vulnerable	8.0	Action was intentional with some planning due to beliefs	7.0	Punching causes significant harm like assault	0.0	No help was provided in this action	-4.0	The action is highly immoral due to intentional harm	-3.42
92	Kruepke	When I was a football coach, I was often involved with the moms of the kids on the team. There were many mothers that were attractive and made themselves available. I was very tempted to have sex with one mother who came on to me.	orig		The football coach (the narrator).	He is an adult male in a position of trust.	The mother who came on to him.	She is an adult woman, parent of a child on the team.	7.0	Patient is a typical adult with average vulnerability.	5.0	He contemplated action but did not act.	0.0	No action taken, so no harm caused.	0.0	No help provided as no action taken.	0.0	No action taken; mere temptation is morally neutral.	-1.55
93	Grizzard	Executes a squad of surrendering enemy troops.	orig		A military officer	Assumed the agent is a commanding officer ordering the execution	A squad of surrendering enemy troops	Assumed the enemy troops have surrendered and are unarmed	9.0	Surrendered troops are defenseless and highly susceptible to harm	8.0	Deliberate action following orders, with intent but possibly limited planning	10.0	Execution causes the utmost damage, ending lives	0.0	No assistance or protection was provided	-4.0	High vulnerability and maximum harm make it extremely immoral	-2.56
94	Grizzard	Refuses to fire into a crowd to stop an enemy combatant.	orig		A soldier.	That the agent is a soldier in combat who refuses to fire into a crowd.	The enemy combatant.	That the patient is an enemy combatant posing a threat among civilians.	4.0	The enemy is armed and trained, making him less vulnerable.	8.0	The soldier deliberately chooses not to fire after considering consequences.	4.0	Refusal may allow enemy action, but direct harm from inaction is minimal.	9.0	Prevented potential harm to civilians by not firing into the crowd.	3.0	Protecting civilians is morally commendable despite risk of enemy escape.	2.133333333
95	Effron	Pulled his dog's tail	orig		A man.	That the agent is the dog's owner, a man.	His dog.	That the dog is his pet dog.	7.0	Dogs have average resilience; they can be harmed.	4.0	Pulling the tail was likely impulsive, minimal planning.	4.0	Action caused minor discomfort to the dog.	0.0	No assistance or benefit was provided.	-2.0	Minor harm to a vulnerable pet; morally unacceptable.	-2.03428576
96	Effron	Beat up someone smaller than him	orig		A man	He is an adult male who is physically stronger than the person he attacked.	A person smaller than him	They are physically smaller and possibly weaker than the agent.	7.0	They are smaller and possibly weaker, making them more susceptible to harm.	7.0	The action seems intentional and possibly involved some planning.	8.0	Beating up someone likely causes significant physical harm.	0.0	No help was provided to the patient during this action.	-4.0	Intentional harm to a vulnerable person is extremely immoral.	-2.896
97	Effron	Refused to loan class notes to a friend who had been ill	orig		The student who refused to loan class notes.	Assumed the agent is a fellow student who has the class notes.	The friend who had been ill and requested the notes.	Assumed the patient missed classes due to illness and needs notes to catch up.	7.0	The patient is a typical student needing help due to illness.	7.0	The agent deliberately chose not to share notes upon request.	4.0	Caused minor harm by hindering the friend's academic progress.	1.0	No help was provided to the patient.	-2.0	Intentional refusal to help an ill friend is somewhat immoral.	-1.75135136
98	Mickelberg	Person X forgot to water their front garden causing the grass to turn brown.	orig		Person X	I assumed Person X is the homeowner.	The grass in the front garden.	I assumed the grass is living plants needing care.	2.0	Grass is living but non-sentient; minimal vulnerability.	1.0	Action was accidental due to forgetting.	6.0	Grass turned brown; significant damage but not total destruction.	0.0	No assistance was provided; minimal help.	-1.0	Unintentional harm to grass; minor moral concern.	0.02
99	Mickelberg	Person X went to the supermarket but couldn't remember what they needed to buy.	orig		Person X	Assumed Person X is an adult individual	Person X	Assumed Person X is experiencing forgetfulness	7.0	Experiencing forgetfulness, average adult with some vulnerability	7.0	Planned to shop but forgot items	1.0	No significant harm caused to anyone	0.0	No help was provided to anyone	0.0	Morally neutral action with no harm or help caused	0.03
100	Kruepke	One day, when I was 7 years old, my sister left her wallet on her dresser. I bumped the dresser and the wallet fell onto the floor. Many coins came out and I picked them up and put them in my pocket.	orig		I, the 7-year-old child.	That the agent is the 7-year-old narrator.	My sister.	That the patient is the sister who owns the wallet.	7.0	Sister is likely a child with average vulnerability.	6.0	He took the coins intentionally after wallet fell.	4.0	He stole coins, causing minor harm to sister.	0.0	He didn't help the sister in any way.	-2.0	Intentional theft causing minor harm is moderately immoral.	-1.83
101	Mickelberg	Person X jumped in to help a friend who was being bitten by a vicious dog, resulting in PersonX being seriously mauled.	orig		Person X	Assumed Person X is a brave individual helping a friend in danger.	Person X's friend	Assumed the friend was being attacked and needed urgent help.	10.0	Friend was defenseless against a vicious dog; maximum vulnerability.	5.0	Acted impulsively to assist without prior planning.	0.0	No harm caused to others; only agent was harmed.	10.0	Provided critical assistance in a life-threatening situation.	4.0	Selfless act aiding vulnerable friend; highly moral.	3.13
102	Effron	Broke a friend's phone and neither apologized or replaced it	orig		The person who broke their friend's phone	Assumed the agent is an adult aware of their actions	The friend whose phone was broken	Assumed the friend depends on the phone and was affected by its loss	7.0	The patient is a typical adult with average vulnerability	6.0	Not apologizing or replacing implies intentional neglect	7.0	Caused significant property damage by breaking the phone	0.0	No assistance or restitution was provided	-4.0	Significant harm without remorse is highly immoral	-2.688
103	Lotto	You are a fireman and you are trying to save five people from inside a burning building. The only window from which the people can be evacuated is jammed and will not open. The fire will reach you in a short time. Outside on the window ledge of the floor below, there is a person who is waiting to be saved.With an axe you smash the window to get out. You know that when it falls, the heavy glass will kill the person on the lower floor, but you and the five people in danger will be able to escape.	orig		The fireman.	That the fireman is duty-bound to save lives.	The person waiting on the ledge below.	That the person is unaware of the falling glass and is vulnerable.	10.0	The patient is defenseless and unaware, highly susceptible to harm.	7.0	The action was deliberate with some thought but under pressure.	10.0	The action resulted in the death of the patient.	10.0	The action saved five lives in a life-threatening situation.	1.0	While causing harm to one, it saved five; moral acceptability is marginal.	-0.7
104	Effron	Laughed at a friend's joke even though it wasn't funny	orig		I (the person who laughed at the joke).	Assumed the agent wanted to be polite.	My friend who told the joke.	Assumed the friend values being appreciated.	6.0	Friend is an average adult with typical vulnerability.	5.0	Laughing was impulsive with minimal premeditation.	1.0	No harm was caused; action was supportive.	4.0	Provided minor support to friend's feelings.	2.0	Minor positive action with little harm and some help.	0.583783768
105	Clifford	You see a drunk elderly man offering to have oral sex with anyone in the bar.	orig		The drunk elderly man.	He is intoxicated and may not be fully aware of his actions.	The patrons in the bar.	They are typical adults who may feel harassed.	7.0	Bar patrons are typical adults with average vulnerability.	4.0	His action is influenced by intoxication, so intentionality is medium-low.	4.0	Causes discomfort or offense but no physical harm.	0.0	He is not providing help or assistance.	-2.0	Action is inappropriate and offensive, thus morally unacceptable.	-3.4
106	Mickelberg	Person X offered to pay off the debts of their friend, who had been struggling to pay the bills since their partner died.	orig		Person X	Assumed to be a compassionate friend	Their friend	Assumed to be financially struggling after partner's death	8.0	Friend is vulnerable due to financial and emotional hardship	8.0	Person X acted with deliberate intent to help	0.0	No harm was caused by this action	9.0	Provided critical financial assistance in difficult time	4.0	Highly moral action helping a vulnerable person	3.41
107	Effron	Gave out toys to the Children's Hospital at Christmas	orig		A charitable person distributing toys	I assumed the agent was an individual performing a charitable act	The children at the Children's Hospital	I assumed the children were patients in the hospital during Christmas	10.0	Children in hospital are highly vulnerable and defenseless	9.0	Giving toys at Christmas requires planning and deliberate thought	0.0	No harm was caused by giving toys to children	7.0	Providing joy and support to sick children is substantial help	4.0	An intentional act providing substantial help to vulnerable children is highly moral	2.925
108	Grizzard	Threatens to withhold aid from a local village to gain intelligence.	orig		A government official	That they are an intelligence officer seeking information	The local village	That the village depends on aid and is vulnerable	9.0	Village relies on aid and is defenseless to threats	9.0	Deliberate threat to achieve a specific goal	6.0	Threat causes distress; potential for significant harm	1.0	Aid is being withheld; minimal assistance provided	-3.0	Exploits vulnerable village with harmful intent; morally unacceptable	-1.16
109	Effron	Lied to his girlfriend about not having other dates	orig		The man who lied to his girlfriend.	He is an adult man in a committed relationship.	His girlfriend.	She is an adult woman who trusts him.	7.0	She is an average adult, emotionally vulnerable due to trust.	7.0	He intentionally deceived her with some planning.	5.0	He caused emotional harm by betraying her trust.	0.0	No help was provided; he deceived her.	-3.0	He intentionally harmed a trusting person without justification.	-2.984
110	Effron	Worked all summer to give his parents a trip to Hawaii	orig		He—the son who worked all summer.	I assumed he is the son of the parents.	His parents.	I assumed they are his parents who would appreciate the trip.	7.0	They are typical adults with average vulnerability.	9.0	He planned and worked all summer deliberately for this goal.	0.0	No harm was caused to anyone.	7.0	He provided substantial help by funding a significant trip.	4.0	He intentionally helped his parents; morally commendable action.	3.13684216
111	Clifford	You see a girl taking all the Halloween candy from a bowl, leaving none for others.	orig		The girl taking all the Halloween candy.	She knowingly took all the candy, disregarding others.	Other trick-or-treaters who would get candy later.	They are children expecting candy but will be disappointed.	9.0	Patients are children, highly susceptible to disappointment.	7.0	She deliberately took all the candy, aware of others.	4.0	Caused disappointment to other children, minor harm.	0.0	No assistance provided; action offered no help.	-2.0	Deliberate selfish act causing minor harm; morally negative.	-2.5
112	Mickelberg	Person X ate their lunch and went back to work with food stuck in their teeth.	orig		Person X	Assumed to be a typical adult working person	Person X	Assumed that Person X is affected by their own action	6.0	Person X is a typical adult with average vulnerability.	1.0	Person X unintentionally had food stuck in their teeth	1.0	Minimal harm; possible slight embarrassment.	0.0	No help provided; action did not assist anyone.	0.0	Unintentional action with minimal harm; morally neutral.	-0.02
113	Clifford	You see a woman commenting out loud about how fat another woman looks in her jeans.	orig		The woman making the comment about the other woman.	Assumed she is an adult woman making a rude comment aloud.	The woman being told she looks fat in her jeans.	Assumed she is an adult woman who felt hurt by the comment.	7.0	An adult woman susceptible to emotional harm from public criticism.	5.0	Likely an impulsive comment with minimal premeditation.	4.0	Inflicted minor emotional harm through an insult.	0.0	No assistance or help was offered.	-2.0	Rude behavior causing minor harm is somewhat immoral.	-3.0
114	Kruepke	When I was a sophomore in college I was at a party and got involved in a situation where I had the opportunity to have sex with multiple partners. I had sex with all three of them in the same night. There were no emotional or physical repercussions after.	orig		The college sophomore student (the narrator).	That the agent is a consenting adult college student.	The three sexual partners at the party.	That they are all consenting adult participants.	7.0	They are typical adults with average vulnerability.	4.0	Acted impulsively with minimal premeditation.	0.0	No harm was caused to the participants.	0.0	No significant help was provided.	2.0	Consensual interaction among adults with no harm caused.	-1.6
115	Kruepke	I used to work as a legal assistant. I lied to clients all of the time, the attorney I worked for lied all the time too. We just lie to our clients so things will work out the best for us.	orig		The legal assistant (the person speaking).	That the agent is an adult working in a law firm.	The clients of the legal assistant and attorney.	That the clients trusted them for legal assistance.	7.0	Clients are moderately vulnerable, relying on professionals and susceptible to harm from deceit.	9.0	They intentionally lied for personal gain with deliberate thought.	6.0	Their deceit could cause significant harm to clients' legal matters.	1.0	They provided minimal genuine help to clients.	-4.0	Deliberately deceiving vulnerable clients is extremely immoral.	-2.8
116	Effron	Got into a fight in a bar with an acquaintance	orig		The person who got into the fight (the agent)	Assumed to be intoxicated and aggressive	The acquaintance involved in the fight	Assumed to be a typical adult trying to avoid conflict	7.0	An average adult has medium-high vulnerability	4.0	Acted impulsively due to alcohol, minimal planning	6.0	Caused significant harm through physical assault	1.0	No assistance was provided	-2.0	Physical violence is immoral but less premeditated	-1.6
117	Clifford	You see a girl telling a boy that his older brother is much more attractive than him.	orig		The girl.	She is being insensitive or intentionally hurtful towards the boy.	The boy.	He may feel hurt or insulted by the comparison.	7.0	He's a typical individual susceptible to emotional harm.	7.0	She intentionally told him, possibly without extensive planning.	4.0	She insulted him, causing minor emotional harm.	0.0	She didn't provide any assistance or support.	-2.0	She intentionally caused minor harm, making it somewhat immoral.	-1.4
118	Effron	Failed to return a borrowed book for months	orig		An individual who borrowed the book.	Assumed the agent is a friend who borrowed the book.	The owner of the book.	Assumed the patient needs the book and is waiting for its return.	7.0	The patient is a typical adult relying on the book.	4.0	Likely due to negligence, not deliberate withholding.	5.0	Caused inconvenience and potential stress to the owner.	0.0	No assistance or help was provided.	-2.0	Negligence led to minor harm; moderately immoral.	-0.82352944
119	Effron	Paid for a friend's dinner	orig		The person who paid for the friend's dinner.	Assumed the agent is a friend acting generously.	The friend whose dinner was paid for.	Assumed the patient is a typical adult friend.	6.0	Friend is a typical adult with average vulnerability.	7.0	Action was planned with some thought to pay for dinner.	0.0	No harm caused; action was beneficial.	4.0	Provided minor assistance by paying for meal.	3.0	Kind gesture with positive moral value.	2.30857144
120	Clifford	You see a woman throwing her cat across the room for scratching the furniture.	orig		The woman	She is the owner of the cat	The cat	The cat is a domestic pet	9.0	The cat is defenseless and highly susceptible to harm	4.0	Acted impulsively in response to the cat scratching furniture	7.0	Throwing could cause significant harm to the cat	0.0	No assistance or protection was provided	-4.0	Highly immoral due to harm to a vulnerable animal	-3.2
121	Kruepke	I was playing basketball near a beach. I was hanging out all day when I noticed that there was a basketball that no one had claimed. There was no one around so I took the basketball.	orig		I	The agent is a person playing basketball near a beach.	The owner of the basketball.	The owner left the basketball unattended.	6.0	The patient is a typical adult with average vulnerability.	7.0	The action was taken after some thought upon noticing the unclaimed ball.	4.0	The owner lost access to their basketball, minor harm.	0.0	No assistance or help was provided to anyone.	-2.0	Intentionally taking someone’s property causing minor harm; moderately immoral.	-0.85
122	Clifford	You see the coach's wife sponsoring a bake sale for her husband's rival team.	orig		The coach's wife	She is intentionally supporting her husband's rival team	Her husband, the coach	He would feel betrayed by her actions	6.0	The coach is a typical adult with average resilience	8.0	Sponsoring a bake sale requires planning and deliberate thought	4.0	Her actions may cause minor emotional harm to her husband	7.0	She is providing substantial support to the rival team	-1.0	Minor harm to husband and help to rival team; overall mildly negative	-1.5
123	Kruepke	When my mother was dying she wanted to go out to lunch with me and a bunch of her friends. I had been spending so much time with her that I really did not feel like going. So I told her that I needed some space for myself.	orig		I (the narrator, the child of the mother)	That the agent is the adult child feeling overwhelmed	My mother	That she is dying and wants to spend time with loved ones	9	The mother is dying, making her highly vulnerable	6	The agent decided after some thought but not extensive planning	6	Likely caused significant emotional harm to the dying mother	0	The action did not provide any assistance or help	-3	Intentional harm to a vulnerable person is morally unacceptable	-2.07
